TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAD6	TAD2	TAD3	TAD4	TAH6	TAH8	TAH10	species	ID
bacOTU_6	66.6084297881633	96.3733198072534	676.237756608077	28.725726760887	359.208933136015	2105.1939513478	1032.26770242008	307.372313381095	48.7646293888167	2569.57087126138	49.3157440512884	212.455185234365	162.742757947271	61.7809970174691	bac	bacOTU_6
bacOTU_7	260.974011792968	426.071519147857	132.832416476587	41.3650465356774	516.615094847303	281.393819855358	339.109650433224	285.417148139589	253.576072821847	131.339401820546	399.457526815436	430.221750099588	880.980796354562	189.603749467405	bac	bacOTU_7
bacOTU_70	93.906966586591	188.942429622115	159.667248088018	144.777662874871	82.0664603793892	52.5969756738988	167.314012548551	32.3549803559048	94.2782834850455	62.4187256176853	204.660337812847	134.112335679193	146.468482152544	105.453770771197	bac	bacOTU_70
bacOTU_20	27.2985367984276	178.797869642404	244.196967664028	22.9805814087096	17.4895735234764	47.3372781065089	41.8285031371377	307.372313381095	124.620719549198	123.537061118336	98.6314881025768	45.1467268623025	53.1626342627753	11.7170856412441	bac	bacOTU_20
bacOTU_22	134.308801048264	150.900329698199	202.602978666309	41.3650465356774	68.6129422844074	80.2103879026956	34.3591275769346	130.57545643633	92.1109666233203	347.204161248374	160.276168166687	70.3757801088833	103.070413366605	30.8904985087346	bac	bacOTU_22
bacOTU_19	200.917230836427	67.2077098655846	99.2888769622971	369.987360680225	165.478272568277	74.9506903353057	32.8652524648939	49.6880055465681	80.1907238838318	75.4226267880364	92.4670200961657	55.7694861240207	42.3131170662906	165.104388581167	bac	bacOTU_19
bacOTU_32	120.113561913081	60.8673598782653	61.7201127062928	116.051936113984	368.626395802502	351.084812623274	31.3713773528533	164.085971804946	89.9436497615951	52.0156046814044	75.2065096782148	86.3099190014606	72.6917652164479	83.0847890924585	bac	bacOTU_32
bacOTU_53	50.2293077091068	72.27998985544	32.201797933718	34.4708721130645	2.69070361899637	2.62984878369494	10.4571257842844	13.8664201525306	36.8443866493281	40.3120936280884	48.0828504500062	18.5898287080069	5.42475859824238	24.4993608862378	bac	bacOTU_53
bacOTU_26	137.584625464075	86.2287598275425	69.7705621897223	272.319889693209	110.318848378851	80.2103879026956	44.816253361219	26.5773052923504	179.88729952319	45.5136540962289	59.1788928615461	82.3263842783163	58.5873928610177	255.645504899872	bac	bacOTU_26
bacOTU_11	127.757152216641	32.9698199340604	105.997584865155	111.455819832242	83.4118121888874	31.5581854043392	88.1386316103974	13.8664201525306	70.4377980060685	79.3237971391417	43.1512760448773	123.489576417474	241.94423348161	278.014486578611	bac	bacOTU_11
bacOTU_48	72.0681371478489	71.0119198579762	37.5687642560043	27.5766976904516	154.715458092291	152.531229454306	52.2856289214222	65.8654957245205	70.4377980060685	83.2249674902471	56.7131056589816	75.6871597397424	93.3058478897689	44.7379633574776	bac	bacOTU_48
bacOTU_16	27.2985367984276	289.11995942176	101.97236012344	5.74514535217741	648.459572178125	86.7850098619329	13.4448760083657	97.0649410677143	62.8521889900303	305.591677503251	152.878806558994	42.4910370468729	105.240316805902	10.6518960374947	bac	bacOTU_16
bacOTU_25	94.9989080585281	38.0420999239158	63.0618542868644	152.820866367919	72.6489977129019	105.193951347798	138.930385419779	61.2433556736769	59.6012136974426	35.110533159948	41.9183824435951	102.244057894038	179.017033741998	80.9544098849595	bac	bacOTU_25
bacOTU_139	9.82747324743394	5.07227998985544	0	1.14902907043548	0	0	1.49387511204063	1.15553501271089	10.8365843086259	1.30039011703511	1.23289360128221	0	0	1.06518960374947	bac	bacOTU_139
bacOTU_50	89.5392006988425	36.7740299264519	56.3531463840064	155.11892450879	40.3605542849455	53.9119000657462	40.3346280250971	20.7996302287959	43.3463372345037	23.407022106632	38.2197016397485	50.4581064931616	106.325268525551	34.086067319983	bac	bacOTU_50
bacOTU_206	79.7117274514086	21.5571899568856	17.4426405474306	12.6393197747903	2.69070361899637	9.20447074293228	7.46937556020317	144.441876588861	28.1751192024274	15.6046814044213	25.8907656269264	25.2290532465808	81.3713789736357	11.7170856412441	bac	bacOTU_206
bacOTU_44	58.9648394846036	120.466649759067	53.6696632228633	110.306790761806	36.324498856451	139.381985535832	28.383627128772	49.6880055465681	68.2704811443433	24.7074122236671	59.1788928615461	38.5075023237286	30.3786481501573	27.6949296974862	bac	bacOTU_44
bacOTU_12	54.5970735968552	207.963479584073	116.731517509728	52.8553372400322	24.2163325709673	46.0223537146614	70.2121302659098	262.306447885371	63.9358474208929	200.260078023407	170.139316976945	124.817421325189	135.618964956059	13.8474648487431	bac	bacOTU_12
bacOTU_208	53.5051321249181	25.3613999492772	9.39219106400107	17.2354360565322	4.03605542849455	13.1492439184747	25.3958769046908	6.93321007626531	20.5895101863892	22.1066319895969	12.3289360128221	46.4745717700173	19.5291309536726	10.6518960374947	bac	bacOTU_208
bacOTU_23	63.332605372352	135.683489728633	195.894270763451	18.3844651269677	1.34535180949818	5.25969756738987	7.46937556020317	23.1107002542177	80.1907238838318	204.161248374512	96.1657009000123	13.2784490771478	16.2742757947271	11.7170856412441	bac	bacOTU_23
