ZH11FunBI05501	ZH11FunBI05502	ZH11FunBI05503	ZH11FunBI05504	ZH11FunBI05505	ZH11FunBI05506	ZH11FunBI05507	ZH11FunBI05508	ZH11FunBI05509	ZH11FunBI0401	ZH11FunBI0402	ZH11FunBI0403	ZH11FunBI0404	ZH11FunBI0405	ZH11FunBI0406	ZH11FunBI0407	ZH11FunBI0408	ZH11FunBI0409	ZH11FunBI0301	ZH11FunBI0302	ZH11FunBI0303	ZH11FunBI0304	ZH11FunBI0305	ZH11FunBI0306	ZH11FunBI0307	ZH11FunBI0308	ZH11FunBI0309	ZH11FunBI0001	ZH11FunBI0002	ZH11FunBI0003	ZH11FunBI0004	ZH11FunBI0005	ZH11FunBI0006	ZH11FunBI0007	ZH11FunBI0008	ZH11FunBI0009
OTU_74	0.000975120055562341	0	0.000981470330888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000719076437510842	0.000286170970364149	0.0002123425171472	0.000109966709261935	0.000180752366601802	0	0.00045522745114434	0.000558514351824148	0.00102251089026267	0	0	0	0	0	0	0	0	0
OTU_58	0.000975120055562341	0	0	0	0	0.000537710902314383	0	0	0	0	0	0	0	0	0	0	0	0	0.000102725205358692	0.000214628227773112	0.0002123425171472	7.33111395079566e-05	3.61504733203605e-05	0.000180220220282072	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	0.000975120055562341	0.000971627505220069	0	0.00106928530360378	0.00216169862386806	0	0.00170830226358591	0.00178472631222002	0	0	0	0	0	0	0	0	0	0	0.00164360328573907	0.00121622662404763	0.00134483594193227	0.00021993341852387	0.000289203786562884	0.000720880881128287	0	0.000558514351824148	0	0	0	0	0	0	0	0	0	0
OTU_139	0.000975120055562341	0	0	0	0.000540424655967015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000410900821434767	0.000143085485182074	0.0002123425171472	0.000109966709261935	0	0.000108132132169243	0.00045522745114434	0	0	0	0	0	0	0	0	0	0	0
OTU_50	0.000975120055562341	0	0	0	0	0	0	0	0	0	0.00047575667764548	0.00095906504858692	0.000263100865999185	0.000262912533238985	0.00026557397609173	0	0	0	0.000616351232152151	0.000214628227773112	0.000141561678098133	7.33111395079566e-05	0.000144601893281442	0.000180220220282072	0	0.000558514351824148	0	0	0	0	0	0	0	0	0	0
OTU_2	0	0	0	0	0	0.000537710902314383	1.04889758984175	1.17613463975299	0.995242226230375	0	0	0.00047953252429346	0	0.000525825066477971	0.00159344385655038	1.25873177348254	1.28120192024751	1.36666769423636	0	7.15427425910372e-05	0.000353904195245333	3.66555697539783e-05	0	3.60440440564144e-05	0.567213404125847	0.713781341631261	0.650316926207058	0	0	0	0	0	0	0	0	0
OTU_155	0	0.000971627505220069	0	0.00053464265180189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000141561678098133	0	3.61504733203605e-05	7.20880881128287e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0.000971627505220069	0.001962940661776	0.00106928530360378	0.00162127396790105	0.00161313270694315	0.00341660452717183	0	0.00332856931849624	0.00238048738778917	0.00333029674351836	0.00287719514576076	0.00131550432999593	0.000788737599716956	0.00053114795218346	0.00406917599186165	0.00274641354822618	0.00575439029152152	0.00359538218755421	0.00150239759441178	0.0014863976200304	0.000623144685817631	0.000469956153164686	0.000829013013297531	0.00136568235343302	0.000558514351824148	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_46	0	0	0.000981470330888	0.00106928530360378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012327024643043	0.00100159839627452	0.000353904195245333	0.000146622279015913	0.000253053313242523	0.000288352352451315	0	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_21	0	0	0	0	0.000540424655967015	0.000537710902314383	0.00170830226358591	0	0	0.000476097477557834	0.00095151335529096	0.00143859757288038	0.000263100865999185	0.00105165013295594	0.00026557397609173	0.00135639199728722	0.00137320677411309	0.00143859757288038	0.00184905369645645	0.00100159839627452	0.000283123356196267	0.000146622279015913	0.000216902839922163	0.000180220220282072	0.00045522745114434	0	0	0	0	0	0	0	0	0	0	0
