Genus	Fun2DBS01	Fun2DBS02	Fun2DBS03	Fun2DBS04	Fun2DBS05	Fun2DBS06	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WBS01	Fun2WBS02	Fun2WBS03	Fun2WBS04	Fun2WBS05	Fun2WBS06	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDBS01	FunDBS02	FunDBS03	FunDBS04	FunDBS05	FunDBS06	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWBS01	FunWBS02	FunWBS03	FunWBS04	FunWBS05	FunWBS06	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Syncephalis	0	0	0.0606	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0202	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403	0	0.0101	0	0.0201	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Ramicandelaber	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363	0.412	0.323	0.321	0.342	0.372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0605	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0.815	1.28	0.623	0.836	0.281	0.28	0	0	0	0	0	0	0.0202	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0.01	0	0	0.0101	0	0.00999	0	0	0	0	0	0	0	0	0.0101	0.02	0	0	0	0	0.2
Ganoderma	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0503	0	0.0903	0	0.0403	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0302	0.01	0.0301	0.0202	0.0301	0.02	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.1
Psathyrella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06	0.0101	1.92	0	1.92	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0101	0.0101	0.0201	0	0	0	0	0	0	0.01	0	0.01	0	0.0201	7.89	0	0.101	0	0	0	0.231	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0.242	0	0	0	0	0	0	17.8	0	0	0.0304	0	0.0509	0.314	0	1.55	0	0	0	0.02	0.321	0	0.0101	0.0101	0	0	0.182	0	0	0	0	0	0.0101	0	0.1
Cladorrhinum	0	0	0	0.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0302	0	0	0	0.181	0.141	0.192	0.171	0.171	0.151	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0.0403	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.0201	0	0.01	0	0.0301	0	3.19	0.11	0.01	0.0101	0.162	0.0202	0	0	0	0	0	0	0.101	0.111	0.101	0	0	0	0	0.0101	0	0	0.0403	0.313	0.0609	0	0.0509	0	0.0904	0.0101	0.0202	0	0	0	0	0	0	0	0	0.0101	0	0.0609	0	0	0	0.0203	0	0	0.1
Acremonium	0.151	0.232	0.273	0.132	0.111	0.181	0.0401	0.04	0.04	0.101	0.283	0.343	0.192	0.01	1.2	1.05	0.0101	0.0202	0.112	0.182	0.514	0.243	0.0202	0.202	0.0911	0.0302	0.131	0.0602	0.0201	0.0303	3.13	0.0302	0.283	0.0604	0.0501	0.0302	0.0201	0.0202	0	0.303	0.0201	0.03	0.172	0.0402	0.0202	0.0302	0.0301	0.0505	0.313	0.182	0.121	0.241	0.122	0.333	1.65	0.151	0.0202	2.69	0.111	0	0.0402	0.0301	0.0202	0.0811	0	0	0.12	0.0708	2.76	0.11	0.0506	0.0404	0.0101	0.152	0.0202	0.747	0.101	0.0101	0.232	0.0202	0.0202	0.0501	1.34	0.381	0.0804	0.0201	0.0101	0.0303	0.0202	0.0908	0.0602	0.201	0.0704	0.0501	0.271	0.0201	0.191	0.814	0.212	0.953	0.191	0.886	0.02	0.687	0.405	0.614	0.333	0.111	0.0201	0	0.434	0.0404	0.363	0.0605	0.141	0.0303	0.101	0.765	0.151	0.343	0	0.856	0.0101	0.0909	0.0202	0.0302	0.0101	0.483	0.0201	0.0503	0	0.674	0.0907	0.13	0.0202	0.01	0.0101	0	0.0604	0.0907	0	0.171	0.0101	0.06	0.0302	0.0302	0.12	0.604	0.0902	0.754	0.564	0.141	0.1	0	0	0	0	0.0101	0.0101	0.0202	0.0102	0	0.0101	0	0	0.121	0.0101	0	0	0	0	0.0202	0.0101	0	0.0203	0	0.0203	0	0	0	0	0.172	0	0.00999	0.01	0	0	0	0.0101	0.0201	0	0	0	0.02	0.0201	0	0	0	0.1
Coprinellus	0.0101	0	0.0101	0	0.0201	0.0201	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.192	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0.0703	0	0.0101	0.01	0	0	0	0	0	0.0101	0.0202	0.0303	0	0.0101	0.0101	0.0504	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Curvularia	0	0	0.0101	0.0203	0	0.0201	0.231	0.21	0.04	0.333	0.192	0.212	0.567	0.0803	0.595	0.161	0.263	0.384	0.122	0.0505	0.303	0.142	0.0303	1.37	0.334	0.0403	0.0403	0.0301	0.131	0.101	0.768	0.201	0.738	0.111	0.301	0.151	0.0502	0.0605	0.0201	0.131	0.241	0.03	0.223	0.0502	0.182	0.161	0.12	0.243	0.0101	0	0	0.0101	0.0304	0.0302	6.03	1.09	0.0807	0.799	0.837	0.0405	1.95	1.34	1.86	0.0203	1.66	0.131	0.0499	1	0.384	0.2	0.101	0.162	0.0303	0.253	0.0202	1.97	0.111	7.93	4.21	0.151	0.101	0.17	4.06	1.24	0	0	0.0302	0.484	0.0302	0.0404	1.35	1.47	0.0603	0.0301	0.0603	0.0201	0.222	0.0201	0.212	0.0301	0.191	0.0302	0.2	1.06	0.87	1.08	0.818	0.303	0.815	0.131	0.384	0.969	1.71	0.615	2.16	0.161	0.846	0.272	1.78	0.717	0.111	0.835	0.0911	0.505	0.444	1.74	0.0705	0.784	0.322	0.282	0.893	0.825	2.17	0.461	0.595	1.32	0.0704	0.24	1.21	7.42	0.101	3.06	0.383	3.39	2.11	4.21	1.19	0	0	0.01	0.0403	0	0	0.523	0.233	0.726	0.192	0.849	2.13	0.132	3.47	0.615	0.545	2.29	0.424	0.121	1.09	5.7	0.402	3.42	2.11	1.36	0.282	0.818	0.243	0.0807	1.43	1.28	0.1	0.911	0.243	0.617	3.71	1.03	0.171	0.0403	0.0201	0.191	0.232	0.0604	0.404	0.0102	0.253	0.0801	0.292	0.101	1.86	0.576	0.1
Allomyces	0	0	0	0	0	0.0403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141	0	0.1	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Peziza	0	0	0	0.081	0.0101	0.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Inocybe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Gigaspora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403	0	0.0302	0	0.0503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401	0	0	0.0101	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Moesziomyces	0	0	0	0	0	0	0.0803	0.06	0.14	0.434	0.162	0.363	0.283	0.0803	0.282	0.111	0.0505	0.0404	0.112	0.0605	1.11	0.0304	0.0202	0.151	0.081	0.0403	0.0403	0.0401	0.0906	0.0809	0.0404	0.0604	0.091	0.151	0.0701	0.0504	0.0903	0.121	0.01	0.111	0.151	0.02	0.121	0.0703	0.192	0.393	0.0501	0.111	0	0	0.0201	0	0	0	0.0202	0.0201	0.0302	0.0404	0.0101	0.0303	0.0302	0.01	0.182	0.0507	0.0101	0.0806	0.03	0.212	0.192	0.0702	0.162	0.0404	0.0101	0.0304	0.0505	0.151	0.121	0.0907	0.0404	0.0202	0.0101	0.0501	0.151	0.14	0.0201	0.01	0.0302	0.0101	0.0101	0.101	0.491	0.0101	0.0201	0.02	0.101	0.0401	0	0	0.0101	0	0.0101	0	0.14	0.0606	0.202	0.111	0.101	0.0908	0.352	0.191	0.212	0.202	0.363	0.0907	0.0907	0.0908	0.202	0.222	0.605	0.232	0.333	0.544	0.638	0.525	0.262	1.07	0.503	0.603	0.201	0.151	0.497	0.765	0.212	0.0601	0.151	0.16	0.0201	0.1	0.121	0.272	0.0505	0.201	0.192	0.34	0.221	0.685	0.171	0	0	0	0	0	0	0.151	0.131	0.393	0.0709	0.222	0.121	0.304	0.335	0.0504	0.161	0.111	0.363	0.667	0.475	0.608	1.04	0.121	0.404	0.383	1.16	0.475	1.46	0.575	0.661	0.425	0.201	0.506	0.647	0.293	0.476	0.12	0.0401	0.101	0.232	0.0504	0.0706	0.111	0.0809	0.0406	0.0607	0.22	0.0603	0.263	0.151	0.162	0.1
Talaromyces	0.121	0.505	0.162	0.182	0.0704	0.101	0.0401	0.03	0.03	0.0505	0.0101	0.0404	0.172	0.0201	0.0403	0.0303	0.0101	0.0202	0.0611	0.0101	0	0.0101	0	0	0.0101	0	0.0101	0.0201	0.0101	0.0202	0.0101	0	0.0202	0.0201	0.02	0.0101	0	0.0101	0.01	0.0202	0.0201	0	0.0101	0.01	0	0.0302	0.01	0.0101	0.243	0.161	0.0604	0.252	0.132	0.121	0.0101	0.0101	0.0202	0	0	0	0	0.0201	0.0101	0	0	0.0101	0.03	0	0.0404	0.01	0.0101	0.0404	0	0	0	0.0202	0.0405	0.0101	0	0	0	0	0.0201	0.01	0	0	0	0	0	0	0.0301	0	0	0.01	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.01	0.01	0	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sarocladium	0	0	0	0	0	0	0	0	0	0.0101	0	0.0303	0.0101	0	0.353	0.0403	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403	0.01	0	0	0	0.0101	0	0	0	0	0.0403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969	0	0	0	0	0.0101	0	0	0	0	0.01	0.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252	0.0101	0	0	0	0	0	0.0101	0.0603	0	0	0.122	0	0	0	0	0	0	0	0	0.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0.0101	0.162	0	0	0.0302	0	0	0	0	0	0	0	0	0.0709	0	0.0101	0	0	0.0304	0	0	0	0	0	0	0	0	0	0	0	0.201	0	0	0.101	0.1
Spizellomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373	0.0402	0.343	0.0301	0.362	0.0403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0.0201	0.01	0.0202	0.0201	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.0505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Staphylotrichum	0.0101	0	0	0.0101	0	0	0	0	0	0.0303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0.0201	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.302	0.0101	0.383	0.01	0.332	0.0201	0	0	0	0.0101	0	0	0	0.0101	0	0.0202	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0202	0.01	0.0402	0	0	0	0	0	0	0.02	0	0	0.01	0.0101	0.01	0	0.383	0.1	0.0901	0	0	0	0	0	0	0	0.0203	0	0.0202	0.0202	0.0101	0	0	0	0	0	0	0	0.0101	0.0101	0.0203	0	0	0.0101	0.0201	0	0.0101	0.0404	0.0101	0	0.01	0.0101	0.0201	0	0.0101	0	0.0101	0.0203	0	0.02	0	0.0101	0	0.0101	0.1
Scolecobasidium	0.0302	0.0707	0.111	0.0506	0.0402	0.0503	0	0	0	0.0101	0	0	0	0	0.0101	0.0504	0	0	0.0102	0.0101	0.0404	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.0101	0	0	0.0202	0	0	0	0	0.162	0.101	0.0202	0.0302	0.0402	0.0405	0.0706	0.0606	0.302	0	0	0	0	0	0.01	0.101	0	0.0709	0.0101	0	0.0101	0	0.01	0	0	0	0.0202	0	0	0	0.0101	0.0505	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.0101	0	0.0101	0	0.0806	0.0704	0.0907	0.0703	0.101	0.0604	0	0	0	0.0101	0	0.0202	0.0403	0.0101	0	0	0.0202	0	0.0101	0	0	0.0302	0.525	0	0	0	0	0.0101	0.0101	2.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0201	0.0101	0.0201	0.0201	0.0504	0.01	0	0.0805	0.0101	0	0	0	0	0.0101	0	0.0202	0.0202	0	0	0.0101	0.192	0.0405	0	0.101	0.0101	0.0101	0	0	0	0	0.0203	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0.0101	0	0.0101	0.1
Dentiscutata	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0.0101	0.0101	0.01	0	0	0	0	0.0101	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0.01	0	0	0	0.0101	0.00999	0	0.0101	0.01	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0201	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.0201	0.0201	0	0.0301	0	0.0201	0.01	0	0	0	0	0	0.0101	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudocercospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Edenia	0	0	0	0.0101	0	0	0.201	0.18	0.41	0.778	0.0709	4.3	1.08	0.181	1.36	10.1	0.647	0.979	0.183	5.08	7.49	0.729	0.212	26.2	0.223	0.0302	2.46	0.14	2.92	0.0202	24.8	0.0403	1.54	0.101	0.0601	0.836	0.0201	0.0404	0.0301	0.0202	0.121	0	0.0202	0.883	0.0809	0.0202	1.07	0.0708	0	0	0	0	0	0.151	0.263	1.61	0.282	0.687	0.494	0.0303	0.211	0.451	0.0707	0.842	0.497	0.0403	0.00999	1.02	0.222	0.211	0.243	0.151	0.192	0.152	0.101	0.545	3.36	0.534	0.414	0.141	1.07	0.17	2.47	1.57	0.0603	0.0803	0.0503	0.212	0.101	0.0505	0.01	0.131	0.0704	0.02	0.422	0.0301	0	0	0	0	0	0	0.15	0.172	0.0304	0.0302	2.6	0.0807	0	0.0805	0.0101	0.323	0.131	0.151	0.695	0	0.0806	0.0101	0.111	0.353	0.0303	0.141	0.0304	0.374	0.0202	0.0201	0.0302	0.0101	0.0201	0	0	0.0101	0.0201	0	0	0	0	0	0.0101	0.0302	0	0.261	0.151	0.04	0.0302	0	0.151	0	0	0	0	0	0	0	0	0.0101	0.223	0.0202	0.221	0	0	0.0908	0.0202	0.0607	0.0404	0.0404	0.0101	0.0405	0.0302	0.0101	0	0.888	0.111	0.0303	0.0101	0.0101	0.0305	0.0405	0.0904	0	0	0.0707	0.0506	0.00999	0	0.111	0	0	0	0	0.0101	0.0305	0.0202	0	0.563	0.0405	0.0505	0.111	0.1
Entorrhiza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0705	0	0.0605	0.01	0.0604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301	0	0.0302	0.532	0.511	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
