Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
FunWMH63ZH08	0.335	0.000938	239.2	0.785	0.409	5.55	9.29	9907.0	234.0	0.451	0.215	2.23	3.22	0.968
FunWMH63ZH09	0.502	0.00134	371.0	0.731	0.437	5.36	13.2	9831.0	364.0	0.482	0.269	2.58	3.72	1.12
FunWMH63ZH10	0.423	0.0015	315.0	0.792	0.470	6.85	14.8	9875.0	309.0	0.481	0.208	2.70	3.89	1.17
FunWMH63ZH11	0.442	0.000871	318.4	0.740	0.378	4.79	8.67	9952.0	305.0	0.575	0.260	2.16	3.12	0.938
FunWMH63ZH12	0.415	0.00127	324.6	0.773	0.439	5.89	12.5	9887.0	317.0	0.478	0.227	2.53	3.65	1.10
FunWMH63ZH13	0.457	0.00128	333.4	0.765	0.439	5.93	12.7	9894.0	327.0	0.503	0.235	2.54	3.67	1.10
FunWMH63ZH14	0.637	0.000888	410.8	0.586	0.362	3.31	8.78	9894.0	404.0	0.509	0.414	2.17	3.13	0.944
FunWMH63ZH15	0.589	0.00116	395.0	0.648	0.409	4.14	11.5	9874.0	388.0	0.530	0.352	2.44	3.52	1.06
FunWWYJ01	0.573	0.000893	407.1	0.654	0.368	3.93	8.94	10009.0	382.0	0.611	0.346	2.19	3.16	0.951
FunWWYJ02	0.368	0.000758	288.1	0.726	0.359	4.37	7.56	9969.0	279.0	0.564	0.274	2.02	2.92	0.879
FunWWYJ03	0.555	0.000472	225.4	0.600	0.287	2.88	4.69	9930.0	216.0	0.521	0.400	1.55	2.23	0.671
FunWWYJ04	0.451	0.000859	272.7	0.735	0.384	4.73	8.53	9935.0	266.0	0.521	0.265	2.14	3.09	0.931
FunWWYJ05	0.388	0.000564	181.1	0.724	0.337	4.02	5.60	9931.0	167.0	0.506	0.276	1.72	2.49	0.748
FunWWYJ06	0.379	0.000826	259.2	0.743	0.380	4.72	8.20	9920.0	255.0	0.488	0.257	2.10	3.04	0.914
FunWWYJ07	0.546	0.000399	222.6	0.583	0.256	2.67	3.97	9941.0	217.0	0.555	0.417	1.38	1.99	0.599
FunWWYJ08	0.430	0.000837	301.6	0.715	0.371	4.33	8.27	9890.0	297.0	0.490	0.285	2.11	3.05	0.918
FunWWYJ09	0.501	0.00104	328.4	0.708	0.404	4.61	10.3	9851.0	323.0	0.475	0.292	2.33	3.36	1.01
FunWWYJ10	0.444	0.000789	334.1	0.692	0.355	3.97	7.80	9892.0	324.0	0.538	0.308	2.05	2.96	0.892
FunWWYJ11	0.422	0.000896	372.7	0.738	0.373	4.76	8.95	9992.0	357.0	0.626	0.262	2.19	3.16	0.952
FunWWYJ12	0.431	0.00121	357.8	0.762	0.424	5.59	12.0	9947.0	353.0	0.489	0.238	2.49	3.59	1.08
FunWWYJ13	0.631	0.000652	262.3	0.587	0.336	3.14	6.44	9874.0	256.0	0.471	0.413	1.86	2.69	0.809
FunWWYJ14	0.410	0.000917	272.4	0.760	0.398	5.15	9.09	9908.0	257.0	0.516	0.240	2.21	3.18	0.958
FunWWYJ15	0.459	0.000946	257.5	0.750	0.404	5.17	9.37	9902.0	254.0	0.467	0.250	2.24	3.23	0.972
