Bradyrhizobium	Conexibacter	Aquabacterium	Hyphomicrobium	Dongia	Niastella	Pseudolabrys	Variibacter	Thiomonas	Gp3	Ardenticatena	Chelativorans	Roseiflexus	Thermoleophilum	Acidiphilium	Ammoniphilus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Ardenticatena	0.976190476190476	0.952380952380953	0.880952380952381	0.952380952380953	0.976190476190476	0.880952380952381	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	1	0.857142857142857	0.958101009530607	0.714285714285714	0.934148484292342	0.634741918814027	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Chelativorans	0.904761904761905	0.857142857142857	0.928571428571429	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.857142857142857	0.785714285714286	0.857142857142857	1	0.850314645958414	0.761904761904762	0.802409595481884	0.730552019767088	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Roseiflexus	0.922172221673209	0.898219696434944	0.874267171196679	0.898219696434944	0.922172221673209	0.934148484292342	0.922172221673209	0.922172221673209	0.862290908577547	0.97007727214974	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Thermoleophilum	0.785714285714286	0.80952380952381	0.880952380952381	0.714285714285714	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.714285714285714	0.785714285714286	0.714285714285714	0.761904761904762	0.790433332862751	1	0.814385858101016	0.946124746911475	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Acidiphilium	0.898219696434944	0.922172221673209	0.898219696434944	0.850314645958414	0.898219696434944	0.886243433815812	0.898219696434944	0.898219696434944	0.814385858101016	0.922172221673209	0.934148484292342	0.802409595481884	0.975903614457831	0.814385858101016	1	0.668674698795181	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Ammoniphilus	0.742528282386221	0.718575757147955	0.778457070243618	0.718575757147955	0.742528282386221	0.826362120720149	0.742528282386221	0.850314645958414	0.706599494528823	0.706599494528823	0.634741918814027	0.730552019767088	0.692771084337349	0.946124746911475	0.668674698795181	1	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Aciditerrimonas	0.898219696434944	0.850314645958414	0.802409595481884	0.922172221673209	0.898219696434944	0.958101009530607	0.898219696434944	0.898219696434944	0.838338383339281	0.946124746911475	0.934148484292342	0.826362120720149	0.975903614457831	0.718575757147955	0.927710843373494	0.668674698795181	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.922172221673209	0.898219696434944	0.874267171196679	0.898219696434944	0.922172221673209	0.934148484292342	0.922172221673209	0.922172221673209	0.862290908577547	0.97007727214974	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Sneathiella	0.922172221673209	0.898219696434944	0.874267171196679	0.898219696434944	0.922172221673209	0.934148484292342	0.922172221673209	0.922172221673209	0.862290908577547	0.97007727214974	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Terrimonas	0.922172221673209	0.898219696434944	0.874267171196679	0.898219696434944	0.922172221673209	0.934148484292342	0.922172221673209	0.922172221673209	0.862290908577547	0.97007727214974	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
