Nocardioides	Gaiella	Phenylobacterium	Nitrobacter	Acholeplasma	g__Mortierella	Methylophilus	Aquihabitans	Haliangium	Rhizocola	Knoellia	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Panacagrimonas	Ramlibacter	Actinocorallia	Methyloceanibacter	Streptosporangium	Povalibacter	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Cohnella	Saccharomonospora	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma	Armatimonadetes_gp5
Knoellia	0.904761904761905	0.952380952380953	0.857142857142857	0.595238095238095	0.586836868337497	1	0.595238095238095	0.857142857142857	0.976190476190476	0.80952380952381	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.738095238095238	0.904761904761905	0.666666666666667	0.976190476190476	0.880952380952381	0.880952380952381	0.880952380952381	0.80952380952381	0.714285714285714	1	0.714285714285714	0.690476190476191	0.928571428571429	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974
Saccharothrix	0.880952380952381	0.904761904761905	0.904761904761905	0.690476190476191	0.766480807624486	0.904761904761905	0.785714285714286	0.857142857142857	0.880952380952381	0.80952380952381	0.904761904761905	1	0.80952380952381	0.904761904761905	0.833333333333333	0.976190476190476	0.833333333333333	0.928571428571429	0.642857142857143	0.880952380952381	0.833333333333333	0.976190476190476	0.833333333333333	0.80952380952381	0.80952380952381	0.904761904761905	0.714285714285714	0.666666666666667	0.904761904761905	0.922172221673209	0.898219696434944	0.922172221673209	0.97007727214974
Sporosarcina	0.928571428571429	0.904761904761905	0.904761904761905	0.690476190476191	0.718575757147955	0.904761904761905	0.738095238095238	0.80952380952381	0.928571428571429	0.714285714285714	0.904761904761905	0.80952380952381	1	0.904761904761905	0.976190476190476	0.833333333333333	0.833333333333333	0.880952380952381	0.785714285714286	0.928571428571429	0.976190476190476	0.833333333333333	0.976190476190476	0.714285714285714	0.714285714285714	0.904761904761905	0.80952380952381	0.857142857142857	0.904761904761905	0.754504545005353	0.682646969290558	0.754504545005353	0.850314645958414
Nitrospira	0.904761904761905	0.952380952380953	0.857142857142857	0.595238095238095	0.586836868337497	1	0.595238095238095	0.857142857142857	0.976190476190476	0.80952380952381	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.738095238095238	0.904761904761905	0.666666666666667	0.976190476190476	0.880952380952381	0.880952380952381	0.880952380952381	0.80952380952381	0.714285714285714	1	0.714285714285714	0.690476190476191	0.928571428571429	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974
Cellvibrio	0.904761904761905	0.928571428571429	0.880952380952381	0.642857142857143	0.658694444052292	0.952380952380953	0.642857142857143	0.880952380952381	0.976190476190476	0.785714285714286	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	1	0.857142857142857	0.785714285714286	0.904761904761905	0.714285714285714	0.976190476190476	0.928571428571429	0.857142857142857	0.928571428571429	0.785714285714286	0.738095238095238	0.952380952380953	0.738095238095238	0.761904761904762	0.952380952380953	0.814385858101016	0.742528282386221	0.814385858101016	0.886243433815812
Catellatospora	0.904761904761905	0.928571428571429	0.952380952380953	0.785714285714286	0.838338383339281	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.880952380952381	0.880952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.857142857142857	1	0.904761904761905	0.976190476190476	0.714285714285714	0.904761904761905	0.857142857142857	1	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.761904761904762	0.714285714285714	0.952380952380953	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209
Panacagrimonas	0.928571428571429	0.880952380952381	0.976190476190476	0.952380952380953	0.898219696434944	0.738095238095238	0.904761904761905	0.833333333333333	0.80952380952381	0.833333333333333	0.738095238095238	0.833333333333333	0.833333333333333	0.738095238095238	0.785714285714286	0.904761904761905	1	0.928571428571429	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.738095238095238	0.928571428571429	0.904761904761905	0.857142857142857	0.850314645958414	0.802409595481884	0.850314645958414	0.754504545005353
Ramlibacter	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	0.814385858101016	0.904761904761905	0.761904761904762	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	1	0.80952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.833333333333333	0.785714285714286	0.976190476190476	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Actinocorallia	0.904761904761905	0.833333333333333	0.880952380952381	0.904761904761905	0.754504545005353	0.666666666666667	0.738095238095238	0.666666666666667	0.738095238095238	0.738095238095238	0.666666666666667	0.642857142857143	0.785714285714286	0.666666666666667	0.714285714285714	0.714285714285714	0.904761904761905	0.80952380952381	1	0.738095238095238	0.880952380952381	0.714285714285714	0.880952380952381	0.738095238095238	0.785714285714286	0.666666666666667	0.976190476190476	0.952380952380953	0.714285714285714	0.622765656194895	0.550908080480099	0.622765656194895	0.622765656194895
Methyloceanibacter	0.928571428571429	0.976190476190476	0.904761904761905	0.690476190476191	0.658694444052292	0.976190476190476	0.619047619047619	0.928571428571429	1	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.80952380952381	0.952380952380953	0.738095238095238	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.761904761904762	0.738095238095238	0.976190476190476	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Streptosporangium	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.778457070243618	0.880952380952381	0.80952380952381	0.785714285714286	0.904761904761905	0.738095238095238	0.880952380952381	0.833333333333333	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	1	0.857142857142857	1	0.738095238095238	0.761904761904762	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.754504545005353	0.682646969290558	0.754504545005353	0.850314645958414
Povalibacter	0.904761904761905	0.928571428571429	0.952380952380953	0.785714285714286	0.838338383339281	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.880952380952381	0.880952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.857142857142857	1	0.904761904761905	0.976190476190476	0.714285714285714	0.904761904761905	0.857142857142857	1	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.761904761904762	0.714285714285714	0.952380952380953	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209
Lautropia	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.778457070243618	0.880952380952381	0.80952380952381	0.785714285714286	0.904761904761905	0.738095238095238	0.880952380952381	0.833333333333333	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	1	0.857142857142857	1	0.738095238095238	0.761904761904762	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.754504545005353	0.682646969290558	0.754504545005353	0.850314645958414
Thiomonas	0.833333333333333	0.904761904761905	0.857142857142857	0.833333333333333	0.64671818143316	0.80952380952381	0.595238095238095	0.952380952380953	0.880952380952381	1	0.80952380952381	0.80952380952381	0.714285714285714	0.80952380952381	0.785714285714286	0.880952380952381	0.833333333333333	0.928571428571429	0.738095238095238	0.880952380952381	0.738095238095238	0.880952380952381	0.738095238095238	1	0.952380952380953	0.80952380952381	0.761904761904762	0.666666666666667	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209	0.778457070243618
Halobacteriovorax	0.833333333333333	0.857142857142857	0.904761904761905	0.928571428571429	0.802409595481884	0.714285714285714	0.761904761904762	0.928571428571429	0.80952380952381	0.952380952380953	0.714285714285714	0.80952380952381	0.714285714285714	0.714285714285714	0.738095238095238	0.904761904761905	0.928571428571429	0.928571428571429	0.785714285714286	0.80952380952381	0.761904761904762	0.904761904761905	0.761904761904762	0.952380952380953	1	0.714285714285714	0.80952380952381	0.738095238095238	0.880952380952381	0.934148484292342	0.886243433815812	0.934148484292342	0.718575757147955
