Actinoplanes	Mesorhizobium	Steroidobacter	Umezawaea	Amycolatopsis	Galbitalea	Gaiella	Micromonospora	Dactylosporangium	Rudaibacter	Phenylobacterium	Nitrobacter	Polaromonas	Chryseolinea	Dongia	Aquihabitans	Rhizocola	g__Apodus	Kinneretia	Arenimonas	Catellatospora	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma
Phenylobacterium	0.761904761904762	0.904761904761905	0.857142857142857	0.928571428571429	0.904761904761905	0.714285714285714	0.952380952380953	0.738095238095238	0.833333333333333	0.738095238095238	1	0.880952380952381	0.666666666666667	0.714285714285714	0.833333333333333	0.880952380952381	0.857142857142857	0.790433332862751	0.690476190476191	0.714285714285714	0.952380952380953	0.976190476190476	0.833333333333333	0.976190476190476	0.785714285714286	0.952380952380953	0.80952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.886243433815812	0.838338383339281	0.886243433815812
Nitrobacter	0.880952380952381	0.952380952380953	0.833333333333333	0.857142857142857	0.928571428571429	0.666666666666667	0.785714285714286	0.714285714285714	0.904761904761905	0.714285714285714	0.880952380952381	1	0.80952380952381	0.666666666666667	0.785714285714286	0.761904761904762	0.833333333333333	0.718575757147955	0.857142857142857	0.666666666666667	0.785714285714286	0.952380952380953	0.785714285714286	0.833333333333333	0.714285714285714	0.785714285714286	0.857142857142857	0.833333333333333	0.928571428571429	0.738095238095238	0.766480807624486	0.69462323190969	0.766480807624486
Polaromonas	0.976190476190476	0.785714285714286	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.666666666666667	0.904761904761905	0.952380952380953	0.904761904761905	0.666666666666667	0.80952380952381	1	0.904761904761905	0.833333333333333	0.833333333333333	0.904761904761905	0.778457070243618	0.952380952380953	0.904761904761905	0.714285714285714	0.714285714285714	0.833333333333333	0.738095238095238	0.833333333333333	0.714285714285714	0.904761904761905	0.904761904761905	0.904761904761905	0.714285714285714	0.826362120720149	0.754504545005353	0.826362120720149
Chryseolinea	0.880952380952381	0.690476190476191	0.952380952380953	0.904761904761905	0.857142857142857	1	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.714285714285714	0.666666666666667	0.904761904761905	1	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	1	0.80952380952381	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.898219696434944	0.826362120720149	0.898219696434944
Dongia	0.857142857142857	0.785714285714286	0.976190476190476	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.833333333333333	0.785714285714286	0.833333333333333	0.928571428571429	1	0.904761904761905	0.976190476190476	0.97007727214974	0.880952380952381	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.833333333333333	0.738095238095238	0.976190476190476	0.880952380952381	0.880952380952381	0.850314645958414	0.754504545005353	0.850314645958414
Aquihabitans	0.880952380952381	0.833333333333333	0.952380952380953	0.976190476190476	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.761904761904762	0.833333333333333	0.928571428571429	0.904761904761905	1	0.952380952380953	0.898219696434944	0.761904761904762	0.928571428571429	0.928571428571429	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.97007727214974	0.922172221673209	0.97007727214974
Rhizocola	0.928571428571429	0.857142857142857	1	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.946124746911475	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.857142857142857	1	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209
g__Apodus	0.826362120720149	0.778457070243618	0.946124746911475	0.898219696434944	0.838338383339281	0.898219696434944	0.898219696434944	0.802409595481884	0.886243433815812	0.802409595481884	0.790433332862751	0.718575757147955	0.778457070243618	0.898219696434944	0.97007727214974	0.898219696434944	0.946124746911475	1	0.802409595481884	0.898219696434944	0.778457070243618	0.730552019767088	0.97007727214974	0.874267171196679	0.97007727214974	0.778457070243618	0.682646969290558	0.946124746911475	0.838338383339281	0.874267171196679	0.807228915662651	0.734939759036145	0.807228915662651
Kinneretia	0.928571428571429	0.785714285714286	0.904761904761905	0.833333333333333	0.880952380952381	0.857142857142857	0.714285714285714	0.880952380952381	0.952380952380953	0.880952380952381	0.690476190476191	0.857142857142857	0.952380952380953	0.857142857142857	0.880952380952381	0.761904761904762	0.904761904761905	0.802409595481884	1	0.857142857142857	0.690476190476191	0.738095238095238	0.880952380952381	0.738095238095238	0.785714285714286	0.690476190476191	0.80952380952381	0.904761904761905	0.880952380952381	0.666666666666667	0.754504545005353	0.658694444052292	0.754504545005353
Arenimonas	0.880952380952381	0.690476190476191	0.952380952380953	0.904761904761905	0.857142857142857	1	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.714285714285714	0.666666666666667	0.904761904761905	1	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	1	0.80952380952381	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.898219696434944	0.826362120720149	0.898219696434944
