Nocardioides	Aeromicrobium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Gaiella	Phenylobacterium	Aquihabitans	Haliangium	Catellatospora	Ramlibacter	Chitinimonas	Methyloceanibacter	Streptosporangium	Povalibacter	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sulfurisoma	Armatimonadetes_gp5
Methyloceanibacter	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.904761904761905	0.928571428571429	1	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Streptosporangium	0.976190476190476	0.880952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.952380952380953	0.785714285714286	0.904761904761905	0.857142857142857	0.904761904761905	0.690476190476191	0.904761904761905	1	0.857142857142857	1	0.738095238095238	0.761904761904762	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.754504545005353	0.682646969290558	0.754504545005353	0.850314645958414
Povalibacter	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.904761904761905	1	0.976190476190476	0.80952380952381	0.904761904761905	0.857142857142857	1	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209
Lautropia	0.976190476190476	0.880952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.952380952380953	0.785714285714286	0.904761904761905	0.857142857142857	0.904761904761905	0.690476190476191	0.904761904761905	1	0.857142857142857	1	0.738095238095238	0.761904761904762	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.754504545005353	0.682646969290558	0.754504545005353	0.850314645958414
Thiomonas	0.833333333333333	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.880952380952381	0.738095238095238	0.880952380952381	0.738095238095238	1	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.761904761904762	0.922172221673209	0.850314645958414	0.922172221673209	0.778457070243618
Halobacteriovorax	0.833333333333333	0.880952380952381	0.80952380952381	0.976190476190476	0.80952380952381	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.80952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.80952380952381	0.761904761904762	0.904761904761905	0.761904761904762	0.952380952380953	1	0.714285714285714	0.833333333333333	0.880952380952381	0.690476190476191	0.934148484292342	0.886243433815812	0.934148484292342	0.718575757147955
Tumebacillus	0.904761904761905	0.928571428571429	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.880952380952381	0.904761904761905	0.785714285714286	0.976190476190476	0.880952380952381	0.880952380952381	0.880952380952381	0.80952380952381	0.714285714285714	1	0.880952380952381	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974
Ardenticatena	0.80952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.785714285714286	0.928571428571429	0.928571428571429	0.80952380952381	0.880952380952381	0.952380952380953	0.928571428571429	0.738095238095238	0.80952380952381	0.738095238095238	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.80952380952381	0.850314645958414	0.754504545005353	0.850314645958414	0.802409595481884
Luteivirga	0.904761904761905	1	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	1	0.904761904761905	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Nakamurella	0.857142857142857	0.904761904761905	0.928571428571429	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.833333333333333	0.833333333333333	0.928571428571429	0.904761904761905	0.880952380952381	0.714285714285714	0.928571428571429	0.833333333333333	0.904761904761905	0.833333333333333	0.761904761904762	0.690476190476191	0.976190476190476	0.80952380952381	0.904761904761905	1	0.850314645958414	0.802409595481884	0.850314645958414	0.994029797388005
