Agromyces	Arthrobacter	Solirubrobacter	Bradyrhizobium	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Dactylosporangium	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	Phenylobacterium	g__Mortierella	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Niastella	Catellatospora	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Chitinimonas	Oscillochloris	Methyloceanibacter	Streptosporangium	Povalibacter	Labilithrix	Variibacter	Lautropia	Thiomonas	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Chelativorans	Luteivirga	Nakamurella	Roseiflexus	Acidiphilium	Armatimonadetes_gp5	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Saccharibacteria_genera_incertae_sedis	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.714285714285714	0.857142857142857	1	0.857142857142857	0.785714285714286	0.976190476190476	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.80952380952381	0.80952380952381	0.928571428571429	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.952380952380953	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.833333333333333	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.738095238095238	0.880952380952381	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Aquabacterium	0.857142857142857	0.904761904761905	0.857142857142857	0.928571428571429	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.80952380952381	0.80952380952381	0.857142857142857	1	0.80952380952381	0.80952380952381	0.738095238095238	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.928571428571429	0.761904761904762	0.857142857142857	0.857142857142857	0.934148484292342	0.80952380952381	0.761904761904762	0.880952380952381	0.880952380952381	0.80952380952381	0.785714285714286	0.738095238095238	0.857142857142857	0.714285714285714	0.738095238095238	0.857142857142857	0.928571428571429	0.833333333333333	0.826362120720149	0.833333333333333	0.898219696434944	0.857142857142857	0.80952380952381	0.714285714285714	0.880952380952381	0.952380952380953	0.80952380952381	0.857142857142857	0.80952380952381	0.714285714285714	0.880952380952381	0.833333333333333	0.928571428571429	0.785714285714286	0.690476190476191	0.874267171196679	0.898219696434944	0.718575757147955	0.802409595481884	0.874267171196679	0.874267171196679	0.874267171196679
Phenylobacterium	0.904761904761905	0.833333333333333	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.690476190476191	0.833333333333333	0.833333333333333	0.857142857142857	0.785714285714286	0.80952380952381	1	0.857142857142857	0.714285714285714	0.738095238095238	0.833333333333333	0.833333333333333	0.785714285714286	0.785714285714286	0.833333333333333	0.833333333333333	0.880952380952381	0.904761904761905	0.857142857142857	0.790433332862751	0.857142857142857	0.642857142857143	0.738095238095238	0.785714285714286	0.857142857142857	0.880952380952381	0.714285714285714	0.595238095238095	0.952380952380953	0.833333333333333	0.785714285714286	0.833333333333333	0.976190476190476	0.69462323190969	0.785714285714286	0.718575757147955	0.904761904761905	0.952380952380953	0.952380952380953	0.738095238095238	0.785714285714286	0.952380952380953	0.857142857142857	0.857142857142857	0.714285714285714	0.785714285714286	0.690476190476191	0.642857142857143	0.928571428571429	0.833333333333333	0.670670706671425	0.718575757147955	0.862290908577547	0.574860605718364	0.670670706671425	0.670670706671425	0.670670706671425
g__Mortierella	0.976190476190476	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.690476190476191	0.904761904761905	0.976190476190476	0.80952380952381	0.857142857142857	1	0.785714285714286	0.80952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.857142857142857	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.690476190476191	0.880952380952381	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.976190476190476	0.880952380952381	0.880952380952381	0.904761904761905	0.785714285714286	0.880952380952381	0.80952380952381	1	0.880952380952381	0.880952380952381	0.928571428571429	0.642857142857143	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Chryseolinea	0.833333333333333	0.80952380952381	0.833333333333333	0.928571428571429	0.80952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.904761904761905	0.690476190476191	0.833333333333333	0.738095238095238	0.714285714285714	0.785714285714286	1	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.785714285714286	0.928571428571429	0.833333333333333	0.952380952380953	0.785714285714286	0.738095238095238	1	0.833333333333333	0.80952380952381	0.690476190476191	0.833333333333333	0.928571428571429	0.833333333333333	0.706599494528823	0.928571428571429	0.802409595481884	0.833333333333333	0.595238095238095	0.80952380952381	0.833333333333333	0.857142857142857	0.595238095238095	0.952380952380953	0.785714285714286	0.80952380952381	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.761904761904762	0.874267171196679	0.802409595481884	0.754504545005353	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.857142857142857	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.666666666666667	0.880952380952381	0.857142857142857	0.738095238095238	0.80952380952381	0.952380952380953	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.833333333333333	0.952380952380953	0.922172221673209	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.80952380952381	0.714285714285714	0.952380952380953	0.928571428571429	0.785714285714286	0.690476190476191	0.880952380952381	0.976190476190476	0.833333333333333	0.730552019767088	0.880952380952381	0.850314645958414	0.833333333333333	0.642857142857143	0.785714285714286	0.857142857142857	0.952380952380953	0.642857142857143	0.952380952380953	0.80952380952381	0.880952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.80952380952381	0.761904761904762	0.898219696434944	0.850314645958414	0.778457070243618	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.714285714285714	0.857142857142857	1	0.857142857142857	0.785714285714286	0.976190476190476	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.80952380952381	0.80952380952381	0.928571428571429	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.952380952380953	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.833333333333333	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.738095238095238	0.880952380952381	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.928571428571429	0.880952380952381	0.785714285714286	0.880952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.880952380952381	0.928571428571429	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.80952380952381	0.80952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.862290908577547	0.952380952380953	0.934148484292342	0.928571428571429	0.738095238095238	0.80952380952381	0.952380952380953	0.928571428571429	0.738095238095238	0.952380952380953	0.880952380952381	0.80952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.958101009530607	0.934148484292342	0.802409595481884	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
