Steroidobacter	Arthrobacter	Umezawaea	Shinella	Lysobacter	Solirubrobacter	Cellulomonas	Bradyrhizobium	Amycolatopsis	Galbitalea	Gaiella	Conexibacter	Micromonospora	Terrabacter	Dactylosporangium	Rudaibacter	Aquabacterium	Phenylobacterium	Polaromonas	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Curtobacterium	Catellatospora	Aquimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Gaiella	0.904761904761905	0.952380952380953	0.928571428571429	0.761904761904762	0.619047619047619	0.976190476190476	0.952380952380953	0.928571428571429	0.857142857142857	0.80952380952381	1	0.976190476190476	0.785714285714286	0.952380952380953	0.833333333333333	0.785714285714286	0.904761904761905	0.952380952380953	0.666666666666667	0.80952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.898219696434944	0.80952380952381	0.714285714285714	0.904761904761905	0.80952380952381	0.666666666666667	0.928571428571429	0.666666666666667	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.880952380952381	0.714285714285714	0.904761904761905	0.857142857142857	0.904761904761905	0.761904761904762	0.952380952380953	0.814385858101016	0.874267171196679	0.802409595481884	0.874267171196679	0.682646969290558	0.742528282386221	0.814385858101016	0.814385858101016	0.814385858101016
Conexibacter	0.928571428571429	0.976190476190476	0.904761904761905	0.785714285714286	0.690476190476191	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	1	0.80952380952381	0.976190476190476	0.857142857142857	0.80952380952381	0.952380952380953	0.880952380952381	0.714285714285714	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.946124746911475	0.880952380952381	0.785714285714286	0.952380952380953	0.857142857142857	0.738095238095238	0.857142857142857	0.690476190476191	0.976190476190476	0.928571428571429	0.880952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.666666666666667	0.928571428571429	0.833333333333333	0.952380952380953	0.857142857142857	0.904761904761905	0.898219696434944	0.826362120720149	0.730552019767088	0.826362120720149	0.730552019767088	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
Micromonospora	0.928571428571429	0.785714285714286	0.904761904761905	0.738095238095238	0.833333333333333	0.761904761904762	0.80952380952381	0.880952380952381	0.880952380952381	0.952380952380953	0.785714285714286	0.80952380952381	1	0.785714285714286	0.904761904761905	1	0.666666666666667	0.738095238095238	0.904761904761905	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.802409595481884	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.738095238095238	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.761904761904762	0.857142857142857	0.80952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.714285714285714	0.80952380952381	0.730552019767088	0.922172221673209	0.874267171196679	0.922172221673209	0.97007727214974	0.778457070243618	0.730552019767088	0.730552019767088	0.730552019767088
Terrabacter	0.904761904761905	0.952380952380953	0.880952380952381	0.690476190476191	0.642857142857143	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.976190476190476	0.785714285714286	1	0.80952380952381	0.785714285714286	0.904761904761905	0.833333333333333	0.690476190476191	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.880952380952381	0.666666666666667	0.833333333333333	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.642857142857143	0.904761904761905	0.785714285714286	0.976190476190476	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.730552019767088	0.826362120720149	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dactylosporangium	0.976190476190476	0.761904761904762	0.952380952380953	0.928571428571429	0.928571428571429	0.785714285714286	0.833333333333333	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.857142857142857	0.904761904761905	0.80952380952381	1	0.904761904761905	0.80952380952381	0.833333333333333	0.952380952380953	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.785714285714286	0.976190476190476	0.886243433815812	0.761904761904762	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.833333333333333	0.928571428571429	0.880952380952381	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.833333333333333	0.802409595481884	0.886243433815812	0.814385858101016	0.886243433815812	0.838338383339281	0.778457070243618	0.802409595481884	0.802409595481884	0.802409595481884
Rudaibacter	0.928571428571429	0.785714285714286	0.904761904761905	0.738095238095238	0.833333333333333	0.761904761904762	0.80952380952381	0.880952380952381	0.880952380952381	0.952380952380953	0.785714285714286	0.80952380952381	1	0.785714285714286	0.904761904761905	1	0.666666666666667	0.738095238095238	0.904761904761905	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.802409595481884	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.738095238095238	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.761904761904762	0.857142857142857	0.80952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.714285714285714	0.80952380952381	0.730552019767088	0.922172221673209	0.874267171196679	0.922172221673209	0.97007727214974	0.778457070243618	0.730552019767088	0.730552019767088	0.730552019767088
Aquabacterium	0.857142857142857	0.904761904761905	0.80952380952381	0.80952380952381	0.666666666666667	0.857142857142857	0.785714285714286	0.928571428571429	0.761904761904762	0.738095238095238	0.904761904761905	0.952380952380953	0.666666666666667	0.904761904761905	0.80952380952381	0.666666666666667	1	0.80952380952381	0.642857142857143	0.738095238095238	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.761904761904762	0.857142857142857	0.857142857142857	0.934148484292342	0.761904761904762	0.761904761904762	0.880952380952381	0.738095238095238	0.80952380952381	0.714285714285714	0.523809523809524	0.928571428571429	0.833333333333333	0.833333333333333	0.857142857142857	0.714285714285714	0.952380952380953	0.547619047619048	0.857142857142857	0.761904761904762	0.880952380952381	0.928571428571429	0.785714285714286	0.874267171196679	0.670670706671425	0.574860605718364	0.670670706671425	0.59881313095663	0.802409595481884	0.874267171196679	0.874267171196679	0.874267171196679
Phenylobacterium	0.857142857142857	0.833333333333333	0.928571428571429	0.80952380952381	0.619047619047619	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.714285714285714	0.952380952380953	0.880952380952381	0.738095238095238	0.833333333333333	0.833333333333333	0.738095238095238	0.80952380952381	1	0.666666666666667	0.714285714285714	0.738095238095238	0.833333333333333	0.833333333333333	0.785714285714286	0.833333333333333	0.833333333333333	0.880952380952381	0.904761904761905	0.857142857142857	0.790433332862751	0.642857142857143	0.690476190476191	0.785714285714286	0.714285714285714	0.642857142857143	0.952380952380953	0.619047619047619	0.833333333333333	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.785714285714286	0.80952380952381	0.857142857142857	0.904761904761905	0.785714285714286	0.642857142857143	0.928571428571429	0.670670706671425	0.886243433815812	0.838338383339281	0.886243433815812	0.59881313095663	0.574860605718364	0.670670706671425	0.670670706671425	0.670670706671425
Polaromonas	0.904761904761905	0.619047619047619	0.857142857142857	0.857142857142857	0.976190476190476	0.642857142857143	0.714285714285714	0.833333333333333	0.904761904761905	0.904761904761905	0.666666666666667	0.714285714285714	0.904761904761905	0.690476190476191	0.952380952380953	0.904761904761905	0.642857142857143	0.666666666666667	1	0.904761904761905	0.857142857142857	0.690476190476191	0.690476190476191	0.80952380952381	0.690476190476191	0.833333333333333	0.833333333333333	0.642857142857143	0.904761904761905	0.778457070243618	0.738095238095238	0.952380952380953	0.80952380952381	0.904761904761905	0.857142857142857	0.714285714285714	0.904761904761905	0.833333333333333	0.738095238095238	0.833333333333333	0.642857142857143	0.714285714285714	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.738095238095238	0.714285714285714	0.754504545005353	0.826362120720149	0.754504545005353	0.826362120720149	0.874267171196679	0.778457070243618	0.754504545005353	0.754504545005353	0.754504545005353
Chryseolinea	0.952380952380953	0.80952380952381	0.904761904761905	0.714285714285714	0.833333333333333	0.833333333333333	0.857142857142857	0.928571428571429	0.857142857142857	1	0.80952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.738095238095238	0.714285714285714	0.904761904761905	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.952380952380953	1	0.761904761904762	0.80952380952381	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
