Aeromicrobium	Steroidobacter	Umezawaea	Cellulomonas	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Rhizomicrobium	Saccharothrix	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Catellatospora	Aquimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Luteivirga	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium
Ilumatobacter	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.880952380952381	0.642857142857143	0.761904761904762	1	0.880952380952381	0.857142857142857	0.952380952380953	0.80952380952381	0.833333333333333	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.80952380952381	0.714285714285714	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.850314645958414	0.754504545005353	0.670670706671425	0.850314645958414	0.80952380952381
Nitrospira	0.928571428571429	0.80952380952381	0.833333333333333	0.928571428571429	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.642857142857143	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.880952380952381	0.666666666666667	0.857142857142857	0.904761904761905	0.785714285714286	0.976190476190476	0.880952380952381	0.595238095238095	0.80952380952381	0.714285714285714	1	0.880952380952381	0.928571428571429	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238
Cellvibrio	0.952380952380953	0.785714285714286	0.833333333333333	0.952380952380953	0.880952380952381	0.976190476190476	0.785714285714286	0.814385858101016	0.952380952380953	0.738095238095238	0.833333333333333	0.857142857142857	0.952380952380953	1	0.738095238095238	0.857142857142857	0.642857142857143	0.80952380952381	0.904761904761905	0.80952380952381	0.976190476190476	0.857142857142857	0.642857142857143	0.785714285714286	0.738095238095238	0.952380952380953	0.857142857142857	0.952380952380953	0.814385858101016	0.742528282386221	0.874267171196679	0.814385858101016	0.857142857142857
Arenimonas	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.785714285714286	0.714285714285714	0.761904761904762	0.952380952380953	0.785714285714286	0.738095238095238	1	0.80952380952381	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.785714285714286	0.952380952380953	0.857142857142857	0.898219696434944	0.826362120720149	0.658694444052292	0.898219696434944	0.80952380952381
Catellatospora	0.952380952380953	0.880952380952381	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.880952380952381	0.778457070243618	0.880952380952381	0.80952380952381	0.976190476190476	0.80952380952381	0.880952380952381	0.857142857142857	0.80952380952381	1	0.761904761904762	0.833333333333333	0.976190476190476	0.80952380952381	0.904761904761905	1	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.952380952380953	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.80952380952381
Aquimonas	0.785714285714286	0.857142857142857	0.833333333333333	0.785714285714286	0.880952380952381	0.714285714285714	0.857142857142857	0.742528282386221	0.666666666666667	0.80952380952381	0.714285714285714	0.833333333333333	0.666666666666667	0.642857142857143	0.952380952380953	0.761904761904762	1	0.785714285714286	0.738095238095238	0.833333333333333	0.714285714285714	0.761904761904762	0.857142857142857	0.857142857142857	0.80952380952381	0.666666666666667	0.833333333333333	0.785714285714286	0.886243433815812	0.838338383339281	0.706599494528823	0.886243433815812	0.833333333333333
Pseudolabrys	0.880952380952381	0.976190476190476	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.571428571428572	0.785714285714286	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.738095238095238	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.880952380952381	0.850314645958414	0.754504545005353	0.610789393575762	0.850314645958414	0.738095238095238
Ramlibacter	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.928571428571429	0.874267171196679	0.904761904761905	0.761904761904762	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.738095238095238	0.904761904761905	1	0.880952380952381	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.946124746911475	0.898219696434944	0.826362120720149	0.946124746911475	0.833333333333333
Chitinimonas	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.952380952380953	0.97007727214974	0.785714285714286	0.738095238095238	0.714285714285714	0.952380952380953	0.785714285714286	0.80952380952381	0.928571428571429	0.80952380952381	0.833333333333333	0.928571428571429	0.880952380952381	1	0.880952380952381	0.80952380952381	0.785714285714286	0.952380952380953	0.880952380952381	0.785714285714286	0.952380952380953	0.904761904761905	0.874267171196679	0.826362120720149	0.69462323190969	0.874267171196679	0.857142857142857
Methyloceanibacter	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.714285714285714	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.714285714285714	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.690476190476191	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333
