Steroidobacter	Umezawaea	Bradyrhizobium	Amycolatopsis	Galbitalea	Dactylosporangium	Chryseolinea	Hyphomicrobium	Geobacter	Dongia	Aquihabitans	Rhizocola	Ilumatobacter	Arenimonas	Pseudolabrys	Chitinimonas	Thiomonas	Halobacteriovorax	Ardenticatena	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chitinimonas	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.952380952380953	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	1	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.874267171196679	0.874267171196679	0.826362120720149	0.874267171196679	0.826362120720149	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Thiomonas	1	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Halobacteriovorax	0.952380952380953	0.976190476190476	0.880952380952381	1	0.857142857142857	0.976190476190476	0.857142857142857	0.833333333333333	0.833333333333333	0.880952380952381	0.928571428571429	0.952380952380953	0.833333333333333	0.857142857142857	0.880952380952381	0.880952380952381	0.952380952380953	1	0.833333333333333	0.738095238095238	0.880952380952381	0.718575757147955	0.934148484292342	0.886243433815812	0.934148484292342	0.790433332862751	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Ardenticatena	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.880952380952381	0.952380952380953	0.952380952380953	1	0.976190476190476	0.928571428571429	0.952380952380953	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Chelativorans	0.857142857142857	0.761904761904762	0.904761904761905	0.738095238095238	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.857142857142857	0.904761904761905	0.714285714285714	0.857142857142857	0.857142857142857	0.785714285714286	0.904761904761905	0.857142857142857	0.857142857142857	0.738095238095238	0.857142857142857	1	0.666666666666667	0.850314645958414	0.622765656194895	0.550908080480099	0.622765656194895	0.718575757147955	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Luteivirga	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.857142857142857	0.833333333333333	0.857142857142857	0.80952380952381	0.904761904761905	0.880952380952381	0.976190476190476	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.666666666666667	1	0.790433332862751	0.946124746911475	0.898219696434944	0.946124746911475	0.730552019767088	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Roseiflexus	0.862290908577547	0.778457070243618	0.922172221673209	0.718575757147955	0.874267171196679	0.802409595481884	0.874267171196679	0.898219696434944	0.958101009530607	0.922172221673209	0.814385858101016	0.862290908577547	0.958101009530607	0.874267171196679	0.922172221673209	0.874267171196679	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	0.790433332862751	1	0.692771084337349	0.560240963855422	0.692771084337349	0.704819277108434	0.975903614457831	1	1	1
Sanguibacter	0.922172221673209	0.97007727214974	0.850314645958414	0.934148484292342	0.898219696434944	0.886243433815812	0.898219696434944	0.826362120720149	0.850314645958414	0.850314645958414	0.97007727214974	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.874267171196679	0.922172221673209	0.934148484292342	0.850314645958414	0.622765656194895	0.946124746911475	0.692771084337349	1	0.975903614457831	1	0.855421686746988	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Tahibacter	0.850314645958414	0.922172221673209	0.754504545005353	0.886243433815812	0.826362120720149	0.814385858101016	0.826362120720149	0.730552019767088	0.754504545005353	0.754504545005353	0.922172221673209	0.850314645958414	0.754504545005353	0.826362120720149	0.754504545005353	0.826362120720149	0.850314645958414	0.886243433815812	0.754504545005353	0.550908080480099	0.898219696434944	0.560240963855422	0.975903614457831	1	0.975903614457831	0.831325301204819	0.536144578313253	0.560240963855422	0.560240963855422	0.560240963855422
Sulfurisoma	0.922172221673209	0.97007727214974	0.850314645958414	0.934148484292342	0.898219696434944	0.886243433815812	0.898219696434944	0.826362120720149	0.850314645958414	0.850314645958414	0.97007727214974	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.874267171196679	0.922172221673209	0.934148484292342	0.850314645958414	0.622765656194895	0.946124746911475	0.692771084337349	1	0.975903614457831	1	0.855421686746988	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
