Promicromonospora	Phyllobacterium	Flavobacterium	Lentzea	Massilia	Bosea	Rhodopseudomonas	Nitrobacter	Microvirga	Kaistia	Reyranella	Haloactinopolyspora	Panacagrimonas	Actinocorallia	Gp6	Inquilinus	Luteolibacter	Cohnella	Pedobacter	Saccharomonospora	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Reyranella	0.80952380952381	0.80952380952381	0.857142857142857	0.80952380952381	0.833333333333333	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	1	0.761904761904762	0.761904761904762	0.80952380952381	0.785714285714286	0.833333333333333	0.80952380952381	0.833333333333333	0.738095238095238	0.761904761904762	0.80952380952381	0.802409595481884	0.934148484292342
Haloactinopolyspora	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.928571428571429	0.857142857142857	0.761904761904762	0.857142857142857	0.738095238095238	0.761904761904762	1	0.785714285714286	0.761904761904762	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.738095238095238	0.833333333333333	0.738095238095238	0.790433332862751	0.778457070243618
Panacagrimonas	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.833333333333333	0.761904761904762	0.785714285714286	1	0.904761904761905	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.714285714285714	0.904761904761905	0.761904761904762	0.658694444052292	0.742528282386221
Actinocorallia	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.761904761904762	0.904761904761905	0.80952380952381	0.761904761904762	0.904761904761905	1	0.785714285714286	0.880952380952381	0.761904761904762	0.976190476190476	0.785714285714286	0.952380952380953	0.904761904761905	0.826362120720149	0.838338383339281
Gp6	0.928571428571429	0.928571428571429	0.761904761904762	0.928571428571429	0.857142857142857	0.904761904761905	0.952380952380953	0.857142857142857	0.928571428571429	0.714285714285714	0.785714285714286	0.904761904761905	0.880952380952381	0.785714285714286	1	0.976190476190476	0.976190476190476	0.857142857142857	0.833333333333333	0.880952380952381	0.690476190476191	0.790433332862751	0.730552019767088
Inquilinus	0.976190476190476	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.833333333333333	0.880952380952381	0.904761904761905	0.880952380952381	0.976190476190476	1	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.80952380952381	0.874267171196679	0.814385858101016
Luteolibacter	0.904761904761905	0.904761904761905	0.714285714285714	0.904761904761905	0.80952380952381	0.880952380952381	0.976190476190476	0.80952380952381	0.904761904761905	0.666666666666667	0.80952380952381	0.880952380952381	0.80952380952381	0.761904761904762	0.976190476190476	0.952380952380953	1	0.80952380952381	0.80952380952381	0.833333333333333	0.642857142857143	0.814385858101016	0.706599494528823
Cohnella	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.880952380952381	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.857142857142857	0.928571428571429	0.80952380952381	1	0.833333333333333	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Pedobacter	0.928571428571429	0.928571428571429	0.80952380952381	0.928571428571429	0.833333333333333	0.857142857142857	0.880952380952381	0.761904761904762	0.714285714285714	0.761904761904762	0.738095238095238	0.738095238095238	0.714285714285714	0.785714285714286	0.833333333333333	0.904761904761905	0.80952380952381	0.833333333333333	1	0.904761904761905	0.857142857142857	0.946124746911475	0.814385858101016
Saccharomonospora	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.880952380952381	0.785714285714286	0.857142857142857	0.761904761904762	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.952380952380953	0.833333333333333	0.976190476190476	0.904761904761905	1	0.904761904761905	0.886243433815812	0.826362120720149
Thermoleophilum	0.880952380952381	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.833333333333333	0.690476190476191	0.952380952380953	0.80952380952381	0.738095238095238	0.761904761904762	0.904761904761905	0.690476190476191	0.80952380952381	0.642857142857143	0.928571428571429	0.857142857142857	0.904761904761905	1	0.886243433815812	0.946124746911475
Pseudenhygromyxa	0.934148484292342	0.934148484292342	0.850314645958414	0.934148484292342	0.850314645958414	0.898219696434944	0.898219696434944	0.730552019767088	0.69462323190969	0.790433332862751	0.802409595481884	0.790433332862751	0.658694444052292	0.826362120720149	0.790433332862751	0.874267171196679	0.814385858101016	0.850314645958414	0.946124746911475	0.886243433815812	0.886243433815812	1	0.86144578313253
Ammoniphilus	0.850314645958414	0.850314645958414	0.946124746911475	0.850314645958414	0.886243433815812	0.910195959054077	0.790433332862751	0.874267171196679	0.814385858101016	0.97007727214974	0.934148484292342	0.778457070243618	0.742528282386221	0.838338383339281	0.730552019767088	0.814385858101016	0.706599494528823	0.886243433815812	0.814385858101016	0.826362120720149	0.946124746911475	0.86144578313253	1
