Blastococcus	Paenibacillus	Sporosarcina	Cellvibrio	Peredibacter	Ohtaekwangia	Nannocystis	Amaricoccus	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Geodermatophilus	Tumebacillus	Gp22	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Roseiflexus	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Uliginosibacterium	0.904761904761905	0.833333333333333	0.80952380952381	0.857142857142857	0.904761904761905	0.922172221673209	0.904761904761905	0.904761904761905	0.904761904761905	0.814385858101016	1	0.886243433815812	0.738095238095238	0.761904761904762	0.880952380952381	0.952380952380953	0.833333333333333	0.714285714285714	0.857142857142857	0.838338383339281	0.802409595481884	0.898219696434944	0.802409595481884	0.802409595481884	0.802409595481884
Nitrincola	0.946124746911475	0.946124746911475	0.97007727214974	0.97007727214974	0.946124746911475	0.94578313253012	0.994029797388005	0.994029797388005	0.898219696434944	0.879518072289157	0.886243433815812	1	0.910195959054077	0.934148484292342	0.886243433815812	0.874267171196679	0.874267171196679	0.862290908577547	0.850314645958414	0.855421686746988	0.801204819277108	0.885542168674699	0.801204819277108	0.801204819277108	0.801204819277108
Lautropia	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.802409595481884	0.880952380952381	0.880952380952381	0.785714285714286	0.886243433815812	0.738095238095238	0.910195959054077	1	0.833333333333333	0.880952380952381	0.761904761904762	0.857142857142857	0.880952380952381	0.714285714285714	0.742528282386221	0.682646969290558	0.778457070243618	0.682646969290558	0.682646969290558	0.682646969290558
Geodermatophilus	0.785714285714286	0.80952380952381	0.880952380952381	0.833333333333333	0.785714285714286	0.898219696434944	0.904761904761905	0.904761904761905	0.785714285714286	0.718575757147955	0.761904761904762	0.934148484292342	0.833333333333333	1	0.690476190476191	0.738095238095238	0.690476190476191	0.690476190476191	0.738095238095238	0.766480807624486	0.730552019767088	0.802409595481884	0.730552019767088	0.730552019767088	0.730552019767088
Tumebacillus	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.850314645958414	0.904761904761905	0.904761904761905	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	0.690476190476191	1	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.802409595481884	0.874267171196679	0.802409595481884	0.802409595481884	0.802409595481884
Gp22	0.904761904761905	0.833333333333333	0.80952380952381	0.880952380952381	0.904761904761905	0.946124746911475	0.904761904761905	0.904761904761905	0.976190476190476	0.802409595481884	0.952380952380953	0.874267171196679	0.761904761904762	0.738095238095238	0.928571428571429	1	0.833333333333333	0.80952380952381	0.80952380952381	0.778457070243618	0.922172221673209	0.97007727214974	0.922172221673209	0.922172221673209	0.922172221673209
Rubrobacter	0.976190476190476	0.857142857142857	0.904761904761905	0.928571428571429	0.976190476190476	0.766480807624486	0.880952380952381	0.880952380952381	0.785714285714286	0.994029797388005	0.833333333333333	0.874267171196679	0.857142857142857	0.690476190476191	0.952380952380953	0.833333333333333	1	0.880952380952381	0.928571428571429	0.922172221673209	0.64671818143316	0.742528282386221	0.64671818143316	0.64671818143316	0.64671818143316
Luteivirga	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.790433332862751	0.880952380952381	0.880952380952381	0.857142857142857	0.862290908577547	0.714285714285714	0.862290908577547	0.880952380952381	0.690476190476191	0.928571428571429	0.80952380952381	0.880952380952381	1	0.714285714285714	0.69462323190969	0.790433332862751	0.814385858101016	0.790433332862751	0.790433332862751	0.790433332862751
Actinomycetospora	0.904761904761905	0.738095238095238	0.80952380952381	0.833333333333333	0.904761904761905	0.778457070243618	0.857142857142857	0.857142857142857	0.738095238095238	0.922172221673209	0.857142857142857	0.850314645958414	0.714285714285714	0.738095238095238	0.833333333333333	0.80952380952381	0.928571428571429	0.714285714285714	1	0.994029797388005	0.610789393575762	0.706599494528823	0.610789393575762	0.610789393575762	0.610789393575762
Oceanibacterium	0.898219696434944	0.730552019767088	0.826362120720149	0.826362120720149	0.898219696434944	0.765060240963855	0.850314645958414	0.850314645958414	0.706599494528823	0.927710843373494	0.838338383339281	0.855421686746988	0.742528282386221	0.766480807624486	0.814385858101016	0.778457070243618	0.922172221673209	0.69462323190969	0.994029797388005	1	0.572289156626506	0.680722891566265	0.572289156626506	0.572289156626506	0.572289156626506
