Galbitalea	Micromonospora	Dactylosporangium	Rudaibacter	Polaromonas	Chryseolinea	Hyphomicrobium	Pseudorhodoferax	Geobacter	Dongia	Aquihabitans	Rhizocola	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Methylotenera	Catellatospora	Aquimonas	Neptunomonas	Pseudolabrys	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Clavibacter	Ardenticatena	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Thiobacillus	g__Phaeosphaeria
Aquihabitans	0.928571428571429	0.880952380952381	0.904761904761905	0.880952380952381	0.833333333333333	0.928571428571429	0.857142857142857	0.785714285714286	0.928571428571429	0.904761904761905	1	0.952380952380953	0.80952380952381	0.761904761904762	0.928571428571429	0.928571428571429	0.761904761904762	0.928571428571429	0.880952380952381	0.833333333333333	0.904761904761905	0.928571428571429	0.880952380952381	0.952380952380953	0.928571428571429	0.738095238095238	0.928571428571429	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149	0.682646969290558	0.690476190476191
Rhizocola	0.952380952380953	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.761904761904762	0.952380952380953	0.976190476190476	0.952380952380953	1	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.880952380952381	0.857142857142857	0.761904761904762	0.976190476190476	0.880952380952381	0.857142857142857	1	0.952380952380953	0.785714285714286	0.952380952380953	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.670670706671425	0.714285714285714
Asticcacaulis	0.928571428571429	0.880952380952381	0.761904761904762	0.880952380952381	0.738095238095238	0.928571428571429	0.952380952380953	0.738095238095238	0.928571428571429	0.904761904761905	0.80952380952381	0.857142857142857	1	0.761904761904762	0.928571428571429	0.928571428571429	0.952380952380953	0.738095238095238	0.833333333333333	0.833333333333333	0.904761904761905	0.738095238095238	0.595238095238095	0.857142857142857	0.690476190476191	0.928571428571429	0.928571428571429	0.778457070243618	0.682646969290558	0.778457070243618	0.874267171196679	0.850314645958414	0.547619047619048
Kinneretia	0.857142857142857	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.642857142857143	0.80952380952381	0.880952380952381	0.761904761904762	0.904761904761905	0.761904761904762	1	0.80952380952381	0.857142857142857	0.785714285714286	0.690476190476191	0.785714285714286	0.571428571428572	0.880952380952381	0.690476190476191	0.80952380952381	0.904761904761905	0.880952380952381	0.690476190476191	0.80952380952381	0.754504545005353	0.658694444052292	0.754504545005353	0.826362120720149	0.634741918814027	0.738095238095238
Ilumatobacter	0.952380952380953	0.857142857142857	0.880952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.952380952380953	0.666666666666667	1	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.80952380952381	1	0.952380952380953	0.833333333333333	0.80952380952381	0.833333333333333	0.761904761904762	0.976190476190476	0.80952380952381	0.714285714285714	0.952380952380953	0.833333333333333	0.80952380952381	1	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.682646969290558	0.523809523809524
Arenimonas	1	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	1	0.952380952380953	0.785714285714286	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	0.952380952380953	1	0.880952380952381	0.80952380952381	0.952380952380953	0.80952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.814385858101016	0.690476190476191
Methylotenera	0.880952380952381	0.928571428571429	0.761904761904762	0.928571428571429	0.738095238095238	0.880952380952381	0.928571428571429	0.857142857142857	0.833333333333333	0.857142857142857	0.761904761904762	0.833333333333333	0.952380952380953	0.785714285714286	0.833333333333333	0.880952380952381	1	0.785714285714286	0.80952380952381	0.880952380952381	0.857142857142857	0.785714285714286	0.642857142857143	0.833333333333333	0.714285714285714	0.976190476190476	0.833333333333333	0.802409595481884	0.730552019767088	0.802409595481884	0.898219696434944	0.898219696434944	0.714285714285714
Catellatospora	0.80952380952381	0.857142857142857	0.833333333333333	0.857142857142857	0.714285714285714	0.80952380952381	0.785714285714286	0.880952380952381	0.80952380952381	0.833333333333333	0.928571428571429	0.880952380952381	0.738095238095238	0.690476190476191	0.80952380952381	0.80952380952381	0.785714285714286	1	0.761904761904762	0.904761904761905	0.833333333333333	1	0.857142857142857	0.880952380952381	0.904761904761905	0.80952380952381	0.80952380952381	0.97007727214974	0.946124746911475	0.97007727214974	0.754504545005353	0.682646969290558	0.785714285714286
Aquimonas	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.833333333333333	0.80952380952381	0.833333333333333	0.785714285714286	0.880952380952381	0.857142857142857	0.833333333333333	0.785714285714286	0.833333333333333	0.952380952380953	0.80952380952381	0.761904761904762	1	0.80952380952381	0.785714285714286	0.761904761904762	0.857142857142857	0.857142857142857	0.80952380952381	0.714285714285714	0.833333333333333	0.886243433815812	0.838338383339281	0.886243433815812	0.934148484292342	0.874267171196679	0.761904761904762
Neptunomonas	0.80952380952381	0.857142857142857	0.666666666666667	0.857142857142857	0.619047619047619	0.80952380952381	0.761904761904762	0.928571428571429	0.761904761904762	0.738095238095238	0.833333333333333	0.761904761904762	0.833333333333333	0.571428571428572	0.761904761904762	0.80952380952381	0.880952380952381	0.904761904761905	0.80952380952381	1	0.738095238095238	0.904761904761905	0.714285714285714	0.761904761904762	0.714285714285714	0.904761904761905	0.761904761904762	0.898219696434944	0.874267171196679	0.898219696434944	0.802409595481884	0.886243433815812	0.738095238095238
