Chondromyces	Solirubrobacter	Cellulomonas	Bradyrhizobium	Phycicoccus	Blastococcus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	g__Mortierella	Kibdelosporangium	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Actinokineospora	Selenomonas	Haliangium	g__Apodus	Knoellia	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Niastella	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ohtaekwangia	Chitinimonas	Oscillochloris	Nannocystis	Methyloceanibacter	Amaricoccus	Labilithrix	Variibacter	Uliginosibacterium	Nitrincola	Tumebacillus	Gp3	Ardenticatena	Gp22	Luteivirga	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Paenibacillus	0.880952380952381	0.952380952380953	0.928571428571429	0.785714285714286	0.880952380952381	0.928571428571429	0.904761904761905	0.857142857142857	0.833333333333333	0.904761904761905	1	0.857142857142857	0.80952380952381	0.904761904761905	0.730552019767088	0.666666666666667	0.904761904761905	0.904761904761905	0.857142857142857	0.833333333333333	0.904761904761905	0.785714285714286	0.80952380952381	0.690476190476191	0.952380952380953	0.838338383339281	0.904761904761905	0.666666666666667	0.880952380952381	0.833333333333333	0.904761904761905	0.976190476190476	0.571428571428572	0.928571428571429	0.857142857142857	0.785714285714286	0.874267171196679	0.833333333333333	0.850314645958414	0.952380952380953	0.952380952380953	0.952380952380953	0.880952380952381	0.714285714285714	0.833333333333333	0.946124746911475	0.904761904761905	0.690476190476191	0.833333333333333	0.833333333333333	0.928571428571429	0.778457070243618	0.850314645958414	0.658694444052292	0.778457070243618	0.778457070243618	0.778457070243618
Saccharibacteria_genera_incertae_sedis	0.952380952380953	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.857142857142857	1	0.857142857142857	0.976190476190476	0.790433332862751	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.785714285714286	0.761904761904762	0.952380952380953	0.874267171196679	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	1	0.904761904761905	0.886243433815812	0.80952380952381	0.934148484292342	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.976190476190476	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.886243433815812	0.934148484292342	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Aquabacterium	0.880952380952381	0.857142857142857	0.785714285714286	0.928571428571429	0.880952380952381	0.738095238095238	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.80952380952381	0.857142857142857	1	0.80952380952381	0.778457070243618	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.928571428571429	0.80952380952381	0.785714285714286	0.857142857142857	0.934148484292342	0.80952380952381	0.761904761904762	0.880952380952381	0.880952380952381	0.80952380952381	0.785714285714286	0.857142857142857	0.738095238095238	0.857142857142857	0.928571428571429	0.826362120720149	0.833333333333333	0.898219696434944	0.761904761904762	0.857142857142857	0.761904761904762	0.880952380952381	0.952380952380953	0.738095238095238	0.754504545005353	0.80952380952381	0.785714285714286	0.880952380952381	0.833333333333333	0.785714285714286	0.874267171196679	0.898219696434944	0.802409595481884	0.874267171196679	0.874267171196679	0.874267171196679
g__Mortierella	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	1	0.706599494528823	0.80952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.761904761904762	0.666666666666667	0.976190476190476	0.826362120720149	1	0.857142857142857	0.904761904761905	0.880952380952381	1	0.952380952380953	0.690476190476191	0.976190476190476	0.976190476190476	0.857142857142857	0.850314645958414	0.785714285714286	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.880952380952381	0.886243433815812	1	0.666666666666667	0.880952380952381	0.928571428571429	0.928571428571429	0.802409595481884	0.874267171196679	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Kibdelosporangium	0.922172221673209	0.778457070243618	0.742528282386221	0.850314645958414	0.922172221673209	0.682646969290558	0.718575757147955	0.802409595481884	0.850314645958414	0.862290908577547	0.730552019767088	0.790433332862751	0.778457070243618	0.706599494528823	1	0.826362120720149	0.862290908577547	0.862290908577547	0.790433332862751	0.910195959054077	0.862290908577547	0.850314645958414	0.814385858101016	0.994029797388005	0.778457070243618	0.86144578313253	0.706599494528823	0.814385858101016	0.922172221673209	0.910195959054077	0.706599494528823	0.754504545005353	0.886243433815812	0.682646969290558	0.790433332862751	0.850314645958414	0.903614457831325	0.850314645958414	0.927710843373494	0.814385858101016	0.778457070243618	0.814385858101016	0.922172221673209	0.850314645958414	0.730552019767088	0.77710843373494	0.706599494528823	0.994029797388005	0.910195959054077	0.850314645958414	0.742528282386221	0.975903614457831	0.927710843373494	0.951807228915663	0.975903614457831	0.975903614457831	0.975903614457831
Hyphomicrobium	0.857142857142857	0.833333333333333	0.80952380952381	0.976190476190476	0.857142857142857	0.690476190476191	0.857142857142857	0.928571428571429	0.833333333333333	0.904761904761905	0.666666666666667	0.880952380952381	0.857142857142857	0.80952380952381	0.826362120720149	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.619047619047619	0.80952380952381	0.833333333333333	0.922172221673209	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.80952380952381	0.714285714285714	0.928571428571429	0.690476190476191	0.880952380952381	0.976190476190476	0.730552019767088	0.880952380952381	0.850314645958414	0.666666666666667	0.833333333333333	0.666666666666667	0.857142857142857	0.952380952380953	0.642857142857143	0.622765656194895	0.80952380952381	0.80952380952381	0.952380952380953	0.833333333333333	0.80952380952381	0.898219696434944	0.850314645958414	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.862290908577547	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.80952380952381	0.833333333333333	0.976190476190476	0.946124746911475	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.862290908577547	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.80952380952381	0.833333333333333	0.976190476190476	0.946124746911475	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.952380952380953	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.857142857142857	1	0.857142857142857	0.976190476190476	0.790433332862751	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.785714285714286	0.761904761904762	0.952380952380953	0.874267171196679	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	1	0.904761904761905	0.886243433815812	0.80952380952381	0.934148484292342	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.976190476190476	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.886243433815812	0.934148484292342	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.928571428571429	0.880952380952381	0.880952380952381	0.910195959054077	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.738095238095238	0.880952380952381	0.928571428571429	0.97007727214974	0.880952380952381	0.928571428571429	0.952380952380953	1	0.880952380952381	0.857142857142857	0.880952380952381	0.80952380952381	0.928571428571429	0.976190476190476	0.862290908577547	0.952380952380953	0.934148484292342	0.833333333333333	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.880952380952381	0.880952380952381	1	0.904761904761905	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
