Steroidobacter	Bradyrhizobium	Galbitalea	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Sporichthya	Ilumatobacter	Arenimonas	Methylotenera	Niastella	Kineosporia	Rhodoligotrophos	Pseudolabrys	Chitinimonas	Oscillochloris	Labilithrix	Variibacter	Thiomonas	Clavibacter	Ardenticatena	Chelativorans	Roseiflexus	Acidiphilium	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Dongia	0.976190476190476	1	0.928571428571429	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	1	0.928571428571429	0.898219696434944	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.898219696434944	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Aquihabitans	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.904761904761905	1	0.952380952380953	0.898219696434944	0.80952380952381	0.761904761904762	0.833333333333333	0.928571428571429	0.928571428571429	0.761904761904762	0.690476190476191	0.571428571428572	0.833333333333333	0.904761904761905	0.952380952380953	0.790433332862751	0.833333333333333	0.80952380952381	0.952380952380953	0.738095238095238	0.928571428571429	0.714285714285714	0.814385858101016	0.790433332862751	0.826362120720149	0.766480807624486	0.814385858101016	0.814385858101016	0.814385858101016
Rhizocola	1	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.946124746911475	0.857142857142857	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.833333333333333	0.761904761904762	0.833333333333333	0.976190476190476	0.952380952380953	0.814385858101016	0.833333333333333	0.928571428571429	1	0.785714285714286	0.952380952380953	0.857142857142857	0.862290908577547	0.814385858101016	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.97007727214974	0.898219696434944	0.898219696434944	0.922172221673209	0.946124746911475	0.946124746911475	0.874267171196679	0.97007727214974	0.946124746911475	0.97007727214974	0.898219696434944	0.946124746911475	1	0.850314645958414	0.802409595481884	0.910195959054077	0.97007727214974	0.898219696434944	0.754504545005353	0.850314645958414	0.766480807624486	0.874267171196679	0.97007727214974	0.97007727214974	0.897590361445783	0.910195959054077	0.934148484292342	0.946124746911475	0.730552019767088	0.97007727214974	0.934148484292342	0.921686746987952	0.897590361445783	0.783132530120482	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Asticcacaulis	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.904761904761905	0.80952380952381	0.857142857142857	0.850314645958414	1	0.761904761904762	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.880952380952381	0.761904761904762	0.928571428571429	0.904761904761905	0.80952380952381	0.862290908577547	0.880952380952381	0.857142857142857	0.857142857142857	0.928571428571429	0.928571428571429	0.761904761904762	0.886243433815812	0.862290908577547	0.874267171196679	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Kinneretia	0.904761904761905	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.714285714285714	0.714285714285714	0.642857142857143	0.80952380952381	0.714285714285714	0.880952380952381	0.761904761904762	0.904761904761905	0.802409595481884	0.761904761904762	1	0.666666666666667	0.80952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.904761904761905	0.642857142857143	0.880952380952381	0.785714285714286	0.682646969290558	0.666666666666667	0.904761904761905	0.904761904761905	0.690476190476191	0.80952380952381	0.833333333333333	0.778457070243618	0.682646969290558	0.826362120720149	0.802409595481884	0.778457070243618	0.778457070243618	0.778457070243618
Sporichthya	0.833333333333333	0.904761904761905	0.833333333333333	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.833333333333333	0.910195959054077	0.880952380952381	0.666666666666667	1	0.952380952380953	0.833333333333333	0.738095238095238	0.857142857142857	0.690476190476191	0.952380952380953	0.904761904761905	0.857142857142857	0.994029797388005	1	0.880952380952381	0.833333333333333	0.761904761904762	0.952380952380953	0.785714285714286	0.97007727214974	0.994029797388005	0.64671818143316	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.928571428571429	0.80952380952381	0.952380952380953	1	0.952380952380953	0.833333333333333	0.880952380952381	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.934148484292342	0.952380952380953	0.928571428571429	0.952380952380953	0.80952380952381	1	0.857142857142857	0.958101009530607	0.934148484292342	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Arenimonas	0.952380952380953	0.928571428571429	1	1	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	1	0.880952380952381	0.833333333333333	0.761904761904762	0.833333333333333	0.928571428571429	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.952380952380953	0.80952380952381	0.952380952380953	0.785714285714286	0.874267171196679	0.802409595481884	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Methylotenera	0.833333333333333	0.857142857142857	0.880952380952381	0.880952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.857142857142857	0.833333333333333	0.80952380952381	0.857142857142857	0.761904761904762	0.833333333333333	0.754504545005353	0.952380952380953	0.785714285714286	0.738095238095238	0.833333333333333	0.880952380952381	1	0.80952380952381	0.714285714285714	0.857142857142857	0.857142857142857	0.714285714285714	0.718575757147955	0.738095238095238	0.80952380952381	0.833333333333333	0.976190476190476	0.833333333333333	0.690476190476191	0.742528282386221	0.718575757147955	0.898219696434944	0.814385858101016	0.742528282386221	0.742528282386221	0.742528282386221
