Sorangium	Agromyces	Solirubrobacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Aquihabitans	Haliangium	g__Apodus	Knoellia	Sporosarcina	Sporichthya	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Acidiphilium
Gemmatimonas	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.904761904761905	0.976190476190476	0.946124746911475	0.952380952380953	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.958101009530607
Aquihabitans	0.928571428571429	0.928571428571429	0.928571428571429	0.857142857142857	0.833333333333333	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.833333333333333	0.904761904761905	1	0.928571428571429	0.898219696434944	0.857142857142857	0.80952380952381	0.833333333333333	0.857142857142857	0.880952380952381	0.80952380952381	0.833333333333333	0.952380952380953	0.742528282386221	0.790433332862751	0.80952380952381	0.928571428571429	0.785714285714286	0.80952380952381	0.833333333333333	0.754504545005353	0.778457070243618	0.785714285714286	0.857142857142857	0.785714285714286	0.976190476190476	0.790433332862751
Haliangium	0.952380952380953	1	1	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	1	0.898219696434944	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944
g__Apodus	0.790433332862751	0.898219696434944	0.898219696434944	0.838338383339281	0.874267171196679	0.790433332862751	0.826362120720149	0.946124746911475	0.946124746911475	0.874267171196679	0.946124746911475	0.898219696434944	0.898219696434944	1	0.826362120720149	0.730552019767088	0.910195959054077	0.826362120720149	0.814385858101016	0.742528282386221	0.874267171196679	0.874267171196679	0.813253012048193	0.897590361445783	0.778457070243618	0.898219696434944	0.730552019767088	0.778457070243618	0.910195959054077	0.608433734939759	0.740963855421687	0.730552019767088	0.826362120720149	0.64671818143316	0.874267171196679	0.897590361445783
Knoellia	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	0.826362120720149	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.874267171196679
Sporosarcina	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.833333333333333	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.80952380952381	0.928571428571429	0.730552019767088	0.904761904761905	1	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.833333333333333	0.880952380952381	0.862290908577547	0.814385858101016	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.833333333333333	0.922172221673209	0.97007727214974	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.814385858101016
Sporichthya	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.952380952380953	0.738095238095238	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.910195959054077	0.904761904761905	0.833333333333333	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.80952380952381	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.785714285714286	0.928571428571429	1	0.754504545005353	0.898219696434944	0.785714285714286	0.904761904761905	0.785714285714286	0.857142857142857	0.994029797388005
Nitrospira	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	0.826362120720149	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.874267171196679
Cellvibrio	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.814385858101016	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	1	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.874267171196679	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.922172221673209	0.97007727214974	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.874267171196679
Peredibacter	0.928571428571429	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.80952380952381	0.952380952380953	0.742528282386221	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.857142857142857	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414
