Kribbella	Actinokineospora	Sporosarcina	Sporichthya	Ohtaekwangia	Oscillochloris	Nannocystis	Sulfuriferula	Amaricoccus	Labilithrix	Uliginosibacterium	Nitrincola	Geodermatophilus	Gp22	Microlunatus	Roseiflexus	Thermoleophilum	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Uliginosibacterium	0.785714285714286	0.857142857142857	0.80952380952381	0.904761904761905	0.922172221673209	0.898219696434944	0.904761904761905	0.785714285714286	0.904761904761905	0.904761904761905	1	0.886243433815812	0.761904761904762	0.952380952380953	0.857142857142857	0.802409595481884	0.619047619047619	0.898219696434944	0.802409595481884	0.802409595481884	0.802409595481884
Nitrincola	0.862290908577547	0.922172221673209	0.97007727214974	0.898219696434944	0.94578313253012	0.885542168674699	0.994029797388005	0.862290908577547	0.994029797388005	0.898219696434944	0.886243433815812	1	0.934148484292342	0.874267171196679	0.790433332862751	0.801204819277108	0.718575757147955	0.885542168674699	0.801204819277108	0.801204819277108	0.801204819277108
Geodermatophilus	0.904761904761905	0.952380952380953	0.880952380952381	0.785714285714286	0.898219696434944	0.802409595481884	0.904761904761905	0.904761904761905	0.904761904761905	0.785714285714286	0.761904761904762	0.934148484292342	1	0.738095238095238	0.785714285714286	0.730552019767088	0.785714285714286	0.802409595481884	0.730552019767088	0.730552019767088	0.730552019767088
Gp22	0.80952380952381	0.857142857142857	0.80952380952381	0.976190476190476	0.946124746911475	0.97007727214974	0.904761904761905	0.80952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.874267171196679	0.738095238095238	1	0.80952380952381	0.922172221673209	0.714285714285714	0.97007727214974	0.922172221673209	0.922172221673209	0.922172221673209
Microlunatus	0.928571428571429	0.904761904761905	0.761904761904762	0.761904761904762	0.826362120720149	0.802409595481884	0.761904761904762	0.928571428571429	0.761904761904762	0.761904761904762	0.857142857142857	0.790433332862751	0.785714285714286	0.80952380952381	1	0.682646969290558	0.833333333333333	0.802409595481884	0.682646969290558	0.682646969290558	0.682646969290558
Roseiflexus	0.802409595481884	0.838338383339281	0.718575757147955	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.802409595481884	0.838338383339281	0.97007727214974	0.802409595481884	0.801204819277108	0.730552019767088	0.922172221673209	0.682646969290558	1	0.790433332862751	0.975903614457831	1	1	1
Thermoleophilum	0.952380952380953	0.880952380952381	0.714285714285714	0.761904761904762	0.790433332862751	0.814385858101016	0.690476190476191	0.952380952380953	0.690476190476191	0.761904761904762	0.619047619047619	0.718575757147955	0.785714285714286	0.714285714285714	0.833333333333333	0.790433332862751	1	0.814385858101016	0.790433332862751	0.790433332862751	0.790433332862751
Acidiphilium	0.874267171196679	0.910195959054077	0.814385858101016	0.994029797388005	0.975903614457831	1	0.910195959054077	0.874267171196679	0.910195959054077	0.994029797388005	0.898219696434944	0.885542168674699	0.802409595481884	0.97007727214974	0.802409595481884	0.975903614457831	0.814385858101016	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.802409595481884	0.838338383339281	0.718575757147955	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.802409595481884	0.838338383339281	0.97007727214974	0.802409595481884	0.801204819277108	0.730552019767088	0.922172221673209	0.682646969290558	1	0.790433332862751	0.975903614457831	1	1	1
Sneathiella	0.802409595481884	0.838338383339281	0.718575757147955	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.802409595481884	0.838338383339281	0.97007727214974	0.802409595481884	0.801204819277108	0.730552019767088	0.922172221673209	0.682646969290558	1	0.790433332862751	0.975903614457831	1	1	1
Terrimonas	0.802409595481884	0.838338383339281	0.718575757147955	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.802409595481884	0.838338383339281	0.97007727214974	0.802409595481884	0.801204819277108	0.730552019767088	0.922172221673209	0.682646969290558	1	0.790433332862751	0.975903614457831	1	1	1
