Nocardioides	Massilia	Aeromicrobium	Sorangium	Agromyces	Arthrobacter	Umezawaea	Solirubrobacter	Bosea	Cellulomonas	Bradyrhizobium	Bacillus	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Dongia	Haliangium	Knoellia	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Panacagrimonas	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Actinocorallia	Methyloceanibacter	Streptosporangium	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Cohnella	Saccharomonospora	Luteivirga	Nakamurella	Armatimonadetes_gp5
Bradyrhizobium	0.857142857142857	0.785714285714286	0.880952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.690476190476191	0.880952380952381	1	0.714285714285714	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.785714285714286	0.904761904761905	0.928571428571429	0.833333333333333	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	1	0.904761904761905	0.857142857142857	0.785714285714286	0.738095238095238	0.857142857142857	0.80952380952381	0.833333333333333	0.761904761904762	0.785714285714286	0.904761904761905	1	0.904761904761905	0.761904761904762	0.904761904761905	0.761904761904762	0.833333333333333	0.658694444052292	0.730552019767088	0.761904761904762	0.857142857142857	0.785714285714286	0.690476190476191	0.880952380952381	0.785714285714286	0.802409595481884
Bacillus	0.904761904761905	0.785714285714286	0.928571428571429	0.976190476190476	0.904761904761905	0.738095238095238	0.833333333333333	0.904761904761905	0.690476190476191	0.928571428571429	0.714285714285714	1	0.904761904761905	0.880952380952381	0.785714285714286	0.80952380952381	0.928571428571429	0.761904761904762	0.690476190476191	0.928571428571429	0.857142857142857	0.80952380952381	0.80952380952381	0.761904761904762	0.80952380952381	0.714285714285714	0.904761904761905	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.880952380952381	0.761904761904762	0.714285714285714	0.904761904761905	0.761904761904762	0.904761904761905	0.952380952380953	0.880952380952381	0.898219696434944	0.922172221673209	0.952380952380953	0.857142857142857	0.785714285714286	0.833333333333333	0.928571428571429	0.833333333333333	0.826362120720149
Blastococcus	0.880952380952381	0.690476190476191	0.904761904761905	0.928571428571429	0.952380952380953	0.880952380952381	0.761904761904762	0.952380952380953	0.595238095238095	0.904761904761905	0.761904761904762	0.904761904761905	1	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.738095238095238	0.833333333333333	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.761904761904762	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.714285714285714	0.928571428571429	0.761904761904762	0.857142857142857	0.642857142857143	0.952380952380953	0.904761904761905	0.833333333333333	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.690476190476191	0.714285714285714	0.904761904761905	0.952380952380953	0.934148484292342
Gaiella	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.761904761904762	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	1	0.976190476190476	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.928571428571429	0.850314645958414	0.850314645958414	0.928571428571429	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.904761904761905	0.922172221673209
Conexibacter	0.928571428571429	0.833333333333333	0.904761904761905	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.738095238095238	0.904761904761905	0.976190476190476	0.785714285714286	0.857142857142857	0.976190476190476	1	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.80952380952381	0.952380952380953	0.976190476190476	0.928571428571429	0.80952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.766480807624486	0.814385858101016	0.857142857142857	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.857142857142857	0.874267171196679
Terrabacter	0.880952380952381	0.738095238095238	0.928571428571429	0.880952380952381	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.619047619047619	0.928571428571429	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.738095238095238	0.976190476190476	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.833333333333333	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.738095238095238	0.690476190476191	0.928571428571429	0.880952380952381	0.874267171196679
Paenibacillus	0.880952380952381	0.714285714285714	0.928571428571429	0.952380952380953	0.952380952380953	0.80952380952381	0.80952380952381	0.952380952380953	0.571428571428572	0.928571428571429	0.785714285714286	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.904761904761905	1	0.857142857142857	0.80952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.785714285714286	0.952380952380953	0.904761904761905	0.761904761904762	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.761904761904762	0.857142857142857	0.785714285714286	0.880952380952381	0.738095238095238	0.952380952380953	0.904761904761905	0.80952380952381	0.850314645958414	0.946124746911475	0.904761904761905	0.904761904761905	0.714285714285714	0.738095238095238	0.928571428571429	0.833333333333333	0.814385858101016
Saccharibacteria_genera_incertae_sedis	0.857142857142857	0.690476190476191	0.880952380952381	0.833333333333333	0.952380952380953	0.976190476190476	0.80952380952381	0.952380952380953	0.595238095238095	0.880952380952381	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.857142857142857	1	0.857142857142857	0.785714285714286	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	0.666666666666667	1	0.904761904761905	0.857142857142857	0.642857142857143	0.952380952380953	0.80952380952381	0.80952380952381	0.850314645958414	0.850314645958414	0.80952380952381	0.976190476190476	0.690476190476191	0.642857142857143	0.880952380952381	0.928571428571429	0.922172221673209
Aquabacterium	0.880952380952381	0.857142857142857	0.785714285714286	0.714285714285714	0.857142857142857	0.904761904761905	0.80952380952381	0.857142857142857	0.761904761904762	0.785714285714286	0.928571428571429	0.690476190476191	0.738095238095238	0.904761904761905	0.952380952380953	0.904761904761905	0.80952380952381	0.857142857142857	1	0.80952380952381	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.857142857142857	0.80952380952381	0.666666666666667	0.761904761904762	0.80952380952381	0.785714285714286	0.714285714285714	0.738095238095238	0.761904761904762	0.857142857142857	0.928571428571429	0.833333333333333	0.880952380952381	0.857142857142857	0.80952380952381	0.714285714285714	0.610789393575762	0.754504545005353	0.80952380952381	0.80952380952381	0.857142857142857	0.785714285714286	0.785714285714286	0.690476190476191	0.718575757147955
Phenylobacterium	0.976190476190476	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.833333333333333	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.952380952380953	0.880952380952381	0.833333333333333	0.857142857142857	0.785714285714286	0.80952380952381	1	0.857142857142857	0.833333333333333	0.833333333333333	0.785714285714286	0.833333333333333	0.833333333333333	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.952380952380953	0.833333333333333	0.976190476190476	0.785714285714286	0.833333333333333	0.976190476190476	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.826362120720149	0.802409595481884	0.952380952380953	0.857142857142857	0.904761904761905	0.880952380952381	0.928571428571429	0.833333333333333	0.862290908577547
