g__Lachnella	Agromyces	Arthrobacter	Chondromyces	Solirubrobacter	Phycicoccus	Blastococcus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Haliangium	Knoellia	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ohtaekwangia	Oscillochloris	Methyloceanibacter	Labilithrix	Uliginosibacterium	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Rubrobacter	Nakamurella	Acidiphilium	Armatimonadetes_gp5	g__Ustilago
Terrabacter	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.976190476190476	0.857142857142857	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.880952380952381	0.958101009530607	0.874267171196679	0.761904761904762
Saccharibacteria_genera_incertae_sedis	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.886243433815812	0.934148484292342	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.928571428571429	0.934148484292342	0.922172221673209	0.785714285714286
g__Mortierella	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.976190476190476	1	0.857142857142857	0.904761904761905	0.880952380952381	1	0.952380952380953	0.976190476190476	0.976190476190476	0.850314645958414	0.874267171196679	0.976190476190476	0.904761904761905	0.880952380952381	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.976190476190476	0.874267171196679	0.97007727214974	0.690476190476191
Ideonella	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.976190476190476	0.857142857142857	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.880952380952381	0.958101009530607	0.874267171196679	0.761904761904762
Marmoricola	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.976190476190476	0.857142857142857	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.880952380952381	0.958101009530607	0.874267171196679	0.761904761904762
Dissulfuribacter	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.886243433815812	0.934148484292342	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.928571428571429	0.934148484292342	0.922172221673209	0.785714285714286
Geobacter	0.857142857142857	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.928571428571429	0.880952380952381	0.928571428571429	0.952380952380953	1	0.880952380952381	0.857142857142857	0.80952380952381	0.928571428571429	0.862290908577547	0.934148484292342	0.928571428571429	0.952380952380953	0.761904761904762	0.880952380952381	0.80952380952381	1	0.904761904761905	0.738095238095238	0.80952380952381	0.934148484292342	0.802409595481884	0.714285714285714
Gemmatimonas	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.976190476190476	0.857142857142857	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.880952380952381	0.958101009530607	0.874267171196679	0.761904761904762
Haliangium	0.904761904761905	1	0.928571428571429	0.928571428571429	1	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	1	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	1	0.928571428571429	0.833333333333333	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.898219696434944	0.922172221673209	0.666666666666667
Knoellia	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.976190476190476	1	0.857142857142857	0.904761904761905	0.880952380952381	1	0.952380952380953	0.976190476190476	0.976190476190476	0.850314645958414	0.874267171196679	0.976190476190476	0.904761904761905	0.880952380952381	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.976190476190476	0.874267171196679	0.97007727214974	0.690476190476191
