Aeromicrobium	Sorangium	Agromyces	Solirubrobacter	Cellulomonas	Bacillus	Blastococcus	Paenibacillus	g__Mortierella	Haliangium	Knoellia	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Tumebacillus	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Acidiphilium	Sandaracinus	Polyangium	Armatimonadetes_gp5
Nitrospira	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.904761904761905	1	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.766480807624486	0.738095238095238	0.97007727214974
Cellvibrio	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	1	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.874267171196679	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.904761904761905	0.922172221673209	0.857142857142857	0.97007727214974	0.928571428571429	0.952380952380953	0.857142857142857	0.880952380952381	0.928571428571429	0.952380952380953	0.904761904761905	0.874267171196679	0.874267171196679	0.857142857142857	0.886243433815812
Catellatospora	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.80952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.857142857142857	1	0.833333333333333	0.80952380952381	0.976190476190476	0.622765656194895	0.670670706671425	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.714285714285714	0.850314645958414	0.571428571428572	0.730552019767088	0.857142857142857	0.880952380952381	0.80952380952381	0.690476190476191	0.857142857142857	0.952380952380953	0.904761904761905	0.670670706671425	0.850314645958414	0.80952380952381	0.922172221673209
Peredibacter	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	1	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.928571428571429	0.857142857142857	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.976190476190476	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.850314645958414	0.826362120720149	0.761904761904762	0.934148484292342
Rhodoligotrophos	0.880952380952381	0.833333333333333	0.952380952380953	0.952380952380953	0.880952380952381	0.761904761904762	0.928571428571429	0.857142857142857	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.80952380952381	0.952380952380953	0.850314645958414	0.904761904761905	0.850314645958414	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.934148484292342	0.658694444052292	0.690476190476191	0.922172221673209
Ramlibacter	0.976190476190476	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.952380952380953	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.857142857142857	1	0.730552019767088	0.778457070243618	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.976190476190476	0.80952380952381	0.826362120720149	0.642857142857143	0.802409595481884	0.904761904761905	0.904761904761905	0.880952380952381	0.761904761904762	0.833333333333333	0.976190476190476	0.880952380952381	0.778457070243618	0.826362120720149	0.833333333333333	0.898219696434944
Ohtaekwangia	0.790433332862751	0.814385858101016	0.874267171196679	0.874267171196679	0.790433332862751	0.778457070243618	0.874267171196679	0.874267171196679	0.850314645958414	0.874267171196679	0.850314645958414	0.862290908577547	0.850314645958414	0.898219696434944	0.622765656194895	0.874267171196679	0.886243433815812	0.730552019767088	1	0.975903614457831	0.958101009530607	0.874267171196679	0.802409595481884	0.958101009530607	0.622765656194895	0.97007727214974	0.753012048192771	0.922172221673209	0.94578313253012	0.802409595481884	0.850314645958414	0.862290908577547	0.946124746911475	0.766480807624486	0.790433332862751	0.742528282386221	0.975903614457831	0.668674698795181	0.742528282386221	0.716867469879518
Oscillochloris	0.814385858101016	0.790433332862751	0.898219696434944	0.898219696434944	0.814385858101016	0.730552019767088	0.850314645958414	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.814385858101016	0.874267171196679	0.874267171196679	0.670670706671425	0.850314645958414	0.934148484292342	0.778457070243618	0.975903614457831	1	0.910195959054077	0.898219696434944	0.778457070243618	0.910195959054077	0.670670706671425	0.994029797388005	0.716867469879518	0.898219696434944	0.885542168674699	0.778457070243618	0.874267171196679	0.934148484292342	0.97007727214974	0.742528282386221	0.814385858101016	0.766480807624486	1	0.608433734939759	0.718575757147955	0.753012048192771
Nannocystis	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.880952380952381	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.928571428571429	0.874267171196679	0.904761904761905	0.994029797388005	0.880952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.910195959054077	0.826362120720149	0.833333333333333	0.802409595481884
Methyloceanibacter	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.814385858101016	0.833333333333333	0.922172221673209
