Rhizobium	Chryseobacterium	Mycobacterium	Massilia	Devosia	Caulobacter	Rhodanobacter	Shinella	Bosea	Rhodopseudomonas	Nitrobacter	Microvirga	Kaistia	Nocardia	Iamia	Reyranella	Afipia	Gp6	g__Didymella	Inquilinus	Luteolibacter	Cohnella	Atopobium	Chthonomonas/Armatimonadetes_gp3	Ammoniphilus
Kaistia	0.857142857142857	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.928571428571429	0.714285714285714	0.976190476190476	0.904761904761905	0.761904761904762	0.928571428571429	0.80952380952381	1	0.666666666666667	0.785714285714286	0.904761904761905	0.714285714285714	0.714285714285714	0.880952380952381	0.80952380952381	0.666666666666667	0.928571428571429	0.80952380952381	0.634741918814027	0.97007727214974
Nocardia	0.904761904761905	0.833333333333333	0.904761904761905	0.619047619047619	0.761904761904762	0.785714285714286	0.976190476190476	0.761904761904762	0.714285714285714	0.785714285714286	0.785714285714286	0.928571428571429	0.666666666666667	1	0.857142857142857	0.880952380952381	0.976190476190476	0.80952380952381	0.80952380952381	0.761904761904762	0.833333333333333	0.619047619047619	0.761904761904762	0.898219696434944	0.730552019767088
Iamia	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.857142857142857	0.785714285714286	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.785714285714286	0.857142857142857	1	0.857142857142857	0.80952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.880952380952381	0.80952380952381	0.976190476190476	0.946124746911475	0.802409595481884
Reyranella	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.857142857142857	1	0.904761904761905	0.785714285714286	0.976190476190476	0.833333333333333	0.80952380952381	0.833333333333333	0.80952380952381	0.814385858101016	0.934148484292342
Afipia	0.928571428571429	0.857142857142857	0.928571428571429	0.690476190476191	0.785714285714286	0.833333333333333	0.952380952380953	0.785714285714286	0.785714285714286	0.80952380952381	0.80952380952381	0.952380952380953	0.714285714285714	0.976190476190476	0.80952380952381	0.904761904761905	1	0.833333333333333	0.833333333333333	0.785714285714286	0.857142857142857	0.690476190476191	0.714285714285714	0.862290908577547	0.766480807624486
Gp6	0.880952380952381	0.80952380952381	0.880952380952381	0.857142857142857	0.761904761904762	0.738095238095238	0.880952380952381	0.761904761904762	0.904761904761905	0.952380952380953	0.857142857142857	0.928571428571429	0.714285714285714	0.80952380952381	0.904761904761905	0.785714285714286	0.833333333333333	1	0.714285714285714	0.976190476190476	0.976190476190476	0.857142857142857	0.857142857142857	0.934148484292342	0.730552019767088
g__Didymella	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.857142857142857	0.904761904761905	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.880952380952381	0.80952380952381	0.80952380952381	0.976190476190476	0.833333333333333	0.714285714285714	1	0.785714285714286	0.761904761904762	0.80952380952381	0.785714285714286	0.766480807624486	0.886243433815812
Inquilinus	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.761904761904762	0.928571428571429	0.833333333333333	0.785714285714286	0.976190476190476	0.785714285714286	1	0.952380952380953	0.928571428571429	0.904761904761905	0.910195959054077	0.814385858101016
Luteolibacter	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.714285714285714	0.761904761904762	0.904761904761905	0.714285714285714	0.880952380952381	0.976190476190476	0.80952380952381	0.904761904761905	0.666666666666667	0.833333333333333	0.880952380952381	0.80952380952381	0.857142857142857	0.976190476190476	0.761904761904762	0.952380952380953	1	0.80952380952381	0.80952380952381	0.958101009530607	0.706599494528823
Cohnella	0.857142857142857	0.833333333333333	0.857142857142857	1	0.904761904761905	0.857142857142857	0.714285714285714	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.833333333333333	0.928571428571429	0.619047619047619	0.80952380952381	0.833333333333333	0.690476190476191	0.857142857142857	0.80952380952381	0.928571428571429	0.80952380952381	1	0.833333333333333	0.718575757147955	0.886243433815812
Atopobium	0.857142857142857	0.833333333333333	0.857142857142857	0.833333333333333	0.880952380952381	0.738095238095238	0.857142857142857	0.880952380952381	0.80952380952381	0.857142857142857	0.928571428571429	0.857142857142857	0.80952380952381	0.761904761904762	0.976190476190476	0.80952380952381	0.714285714285714	0.857142857142857	0.785714285714286	0.904761904761905	0.80952380952381	0.833333333333333	1	0.874267171196679	0.778457070243618
Chthonomonas/Armatimonadetes_gp3	0.898219696434944	0.850314645958414	0.898219696434944	0.718575757147955	0.718575757147955	0.730552019767088	0.958101009530607	0.718575757147955	0.790433332862751	0.934148484292342	0.802409595481884	0.898219696434944	0.634741918814027	0.898219696434944	0.946124746911475	0.814385858101016	0.862290908577547	0.934148484292342	0.766480807624486	0.910195959054077	0.958101009530607	0.718575757147955	0.874267171196679	1	0.686746987951807
Ammoniphilus	0.874267171196679	0.826362120720149	0.874267171196679	0.886243433815812	0.934148484292342	0.97007727214974	0.754504545005353	0.934148484292342	0.910195959054077	0.790433332862751	0.874267171196679	0.814385858101016	0.97007727214974	0.730552019767088	0.802409595481884	0.934148484292342	0.766480807624486	0.730552019767088	0.886243433815812	0.814385858101016	0.706599494528823	0.886243433815812	0.778457070243618	0.686746987951807	1
