g__Lachnella	Agromyces	Arthrobacter	Chondromyces	Solirubrobacter	Phycicoccus	Conexibacter	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Knoellia	Sporichthya	Nitrospira	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Amaricoccus	Labilithrix	Variibacter	Adhaeribacter	Uliginosibacterium	Nitrincola	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Roseiflexus	Acidiphilium	Armatimonadetes_gp5	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
g__Mortierella	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.934148484292342	0.880952380952381	0.886243433815812	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Ideonella	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.802409595481884	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.802409595481884	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.850314645958414	0.904761904761905	0.850314645958414	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Gemmatimonas	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.802409595481884	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Haliangium	0.904761904761905	1	0.928571428571429	0.928571428571429	1	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.928571428571429	0.928571428571429	0.833333333333333	0.886243433815812	0.833333333333333	0.910195959054077	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.850314645958414	0.898219696434944	0.922172221673209	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Knoellia	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.934148484292342	0.880952380952381	0.886243433815812	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Sporichthya	0.904761904761905	0.928571428571429	0.904761904761905	1	0.928571428571429	1	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	1	0.904761904761905	0.952380952380953	0.904761904761905	0.80952380952381	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.928571428571429	1	0.880952380952381	0.754504545005353	0.904761904761905	0.898219696434944	0.904761904761905	0.761904761904762	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.80952380952381	0.97007727214974	0.994029797388005	0.790433332862751	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Nitrospira	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.934148484292342	0.880952380952381	0.886243433815812	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Rhodoligotrophos	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.850314645958414	0.904761904761905	0.850314645958414	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Pseudolabrys	0.833333333333333	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	1	0.904761904761905	0.802409595481884	0.898219696434944	0.761904761904762	0.904761904761905	0.761904761904762	0.904761904761905	0.976190476190476	0.658694444052292	0.690476190476191	0.730552019767088	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.690476190476191	0.880952380952381	0.785714285714286	0.922172221673209	0.898219696434944	0.802409595481884	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Ramlibacter	0.785714285714286	0.952380952380953	0.880952380952381	0.80952380952381	0.952380952380953	0.80952380952381	0.928571428571429	0.761904761904762	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.904761904761905	1	0.730552019767088	0.778457070243618	0.80952380952381	0.952380952380953	0.80952380952381	0.80952380952381	0.833333333333333	0.826362120720149	0.642857142857143	0.802409595481884	0.904761904761905	0.785714285714286	0.880952380952381	0.761904761904762	0.833333333333333	0.976190476190476	0.880952380952381	0.754504545005353	0.778457070243618	0.898219696434944	0.682646969290558	0.754504545005353	0.754504545005353	0.754504545005353
Ohtaekwangia	0.838338383339281	0.874267171196679	0.826362120720149	0.97007727214974	0.874267171196679	0.97007727214974	0.850314645958414	0.946124746911475	0.910195959054077	0.886243433815812	0.850314645958414	0.910195959054077	0.910195959054077	0.886243433815812	0.910195959054077	0.874267171196679	0.850314645958414	0.97007727214974	0.850314645958414	0.886243433815812	0.802409595481884	0.730552019767088	1	0.975903614457831	0.958101009530607	0.874267171196679	0.958101009530607	0.97007727214974	0.802409595481884	0.753012048192771	0.922172221673209	0.94578313253012	0.850314645958414	0.64671818143316	0.862290908577547	0.946124746911475	0.766480807624486	0.790433332862751	0.742528282386221	0.927710843373494	0.975903614457831	0.716867469879518	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.886243433815812	0.898219696434944	0.898219696434944	0.994029797388005	0.898219696434944	0.994029797388005	0.922172221673209	0.97007727214974	0.958101009530607	0.934148484292342	0.874267171196679	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.874267171196679	0.994029797388005	0.874267171196679	0.934148484292342	0.898219696434944	0.778457070243618	0.975903614457831	1	0.910195959054077	0.898219696434944	0.910195959054077	0.994029797388005	0.898219696434944	0.716867469879518	0.898219696434944	0.885542168674699	0.874267171196679	0.742528282386221	0.934148484292342	0.97007727214974	0.742528282386221	0.814385858101016	0.766480807624486	0.975903614457831	1	0.753012048192771	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Nannocystis	0.833333333333333	0.928571428571429	0.80952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.880952380952381	0.761904761904762	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	1	0.928571428571429	0.714285714285714	0.874267171196679	0.904761904761905	0.994029797388005	0.904761904761905	0.642857142857143	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.838338383339281	0.910195959054077	0.802409595481884	0.742528282386221	0.838338383339281	0.838338383339281	0.838338383339281
Methyloceanibacter	0.904761904761905	1	0.928571428571429	0.928571428571429	1	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.928571428571429	0.928571428571429	0.833333333333333	0.886243433815812	0.833333333333333	0.910195959054077	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.850314645958414	0.898219696434944	0.922172221673209	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
