Kibdelosporangium	Chryseolinea	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Selenomonas	g__Apodus	Sporichthya	Ilumatobacter	Arenimonas	Niastella	Pseudolabrys	Ohtaekwangia	Chitinimonas	Oscillochloris	Labilithrix	Variibacter	Gp3	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	g__Olpidium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Gp3	0.994029797388005	0.80952380952381	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.833333333333333	1	0.838338383339281	0.904761904761905	0.880952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.898219696434944	0.80952380952381	0.922172221673209	0.904761904761905	0.857142857142857	1	0.880952380952381	0.833333333333333	0.97007727214974	0.922172221673209	0.850314645958414	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.910195959054077	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.880952380952381	0.97007727214974	0.952380952380953	1	0.952380952380953	0.880952380952381	0.976190476190476	0.862290908577547	0.952380952380953	0.934148484292342	0.952380952380953	0.928571428571429	0.880952380952381	1	0.904761904761905	0.958101009530607	0.934148484292342	0.742528282386221	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.850314645958414	0.785714285714286	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.833333333333333	0.838338383339281	0.976190476190476	0.904761904761905	0.785714285714286	0.833333333333333	0.857142857142857	0.946124746911475	0.761904761904762	0.97007727214974	0.976190476190476	0.833333333333333	0.833333333333333	0.904761904761905	1	0.922172221673209	0.97007727214974	0.802409595481884	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Roseiflexus	0.975903614457831	0.874267171196679	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.934148484292342	0.922172221673209	0.927710843373494	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Acidiphilium	0.927710843373494	0.802409595481884	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.922172221673209	0.897590361445783	0.994029797388005	0.934148484292342	0.802409595481884	0.886243433815812	0.898219696434944	0.975903614457831	0.826362120720149	1	0.994029797388005	0.898219696434944	0.922172221673209	0.934148484292342	0.97007727214974	0.975903614457831	1	0.783132530120482	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
g__Olpidium	0.855421686746988	0.754504545005353	0.69462323190969	0.69462323190969	0.742528282386221	0.69462323190969	0.658694444052292	0.850314645958414	0.608433734939759	0.778457070243618	0.742528282386221	0.754504545005353	0.814385858101016	0.658694444052292	0.759036144578313	0.586836868337497	0.783132530120482	0.778457070243618	0.658694444052292	0.850314645958414	0.742528282386221	0.802409595481884	0.831325301204819	0.783132530120482	1	0.903614457831325	0.831325301204819	0.831325301204819	0.831325301204819
Aciditerrimonas	0.951807228915663	0.898219696434944	0.886243433815812	0.886243433815812	0.934148484292342	0.886243433815812	0.898219696434944	0.946124746911475	0.873493975903614	0.922172221673209	0.934148484292342	0.898219696434944	0.958101009530607	0.898219696434944	0.855421686746988	0.826362120720149	0.927710843373494	0.922172221673209	0.898219696434944	0.946124746911475	0.934148484292342	0.898219696434944	0.975903614457831	0.927710843373494	0.903614457831325	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.975903614457831	0.874267171196679	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.934148484292342	0.922172221673209	0.927710843373494	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Sneathiella	0.975903614457831	0.874267171196679	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.934148484292342	0.922172221673209	0.927710843373494	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Terrimonas	0.975903614457831	0.874267171196679	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.934148484292342	0.922172221673209	0.927710843373494	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
