Steroidobacter	Bradyrhizobium	Conexibacter	Terrabacter	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Rhizocola	g__Apodus	Ilumatobacter	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Rhizocola	1	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.80952380952381	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.97007727214974	0.946124746911475	0.946124746911475	0.922172221673209	0.946124746911475	0.946124746911475	0.97007727214974	0.946124746911475	0.97007727214974	0.946124746911475	1	0.97007727214974	0.97007727214974	0.874267171196679	0.97007727214974	0.897590361445783	0.898219696434944	0.910195959054077	0.934148484292342	0.946124746911475	0.838338383339281	0.826362120720149	0.97007727214974	0.838338383339281	0.934148484292342	0.874267171196679	0.921686746987952	0.807228915662651	0.897590361445783	0.807228915662651	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Ilumatobacter	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	1	0.976190476190476	0.880952380952381	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Pseudolabrys	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.976190476190476	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Ramlibacter	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.874267171196679	0.880952380952381	0.904761904761905	1	0.880952380952381	0.778457070243618	0.952380952380953	0.80952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.761904761904762	0.714285714285714	0.976190476190476	0.754504545005353	0.946124746911475	0.778457070243618	0.946124746911475	0.682646969290558	0.754504545005353	0.754504545005353	0.754504545005353
Chitinimonas	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.97007727214974	0.952380952380953	0.928571428571429	0.880952380952381	1	0.826362120720149	0.880952380952381	0.857142857142857	0.857142857142857	0.952380952380953	0.880952380952381	0.785714285714286	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.874267171196679	0.874267171196679	0.826362120720149	0.874267171196679	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Oscillochloris	0.814385858101016	0.898219696434944	0.922172221673209	0.958101009530607	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.814385858101016	0.897590361445783	0.934148484292342	0.898219696434944	0.778457070243618	0.826362120720149	1	0.898219696434944	0.994029797388005	0.898219696434944	0.814385858101016	0.670670706671425	0.874267171196679	0.934148484292342	0.97007727214974	0.802409595481884	0.814385858101016	0.975903614457831	0.668674698795181	1	0.668674698795181	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Methyloceanibacter	0.880952380952381	0.904761904761905	0.952380952380953	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	0.898219696434944	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.898219696434944	1	0.928571428571429	0.833333333333333	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.714285714285714	0.976190476190476	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Labilithrix	0.833333333333333	0.904761904761905	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	0.952380952380953	0.904761904761905	0.80952380952381	0.857142857142857	0.994029797388005	0.928571428571429	1	0.880952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.934148484292342	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.898219696434944	0.833333333333333	0.880952380952381	1	0.928571428571429	0.833333333333333	0.785714285714286	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.922172221673209	0.742528282386221	0.898219696434944	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
