Chondromyces	Phycicoccus	g__Exophiala	Terrabacter	Ideonella	Marmoricola	Gemmatimonas	Sporichthya	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Sulfuriferula	Amaricoccus	Labilithrix	Variibacter	Uliginosibacterium	Nitrincola	Tumebacillus	Gp3	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Nannocystis	0.928571428571429	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.928571428571429	0.958101009530607	0.910195959054077	1	0.928571428571429	0.833333333333333	1	0.928571428571429	0.714285714285714	0.904761904761905	0.994029797388005	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.838338383339281	0.910195959054077	0.742528282386221	0.838338383339281	0.838338383339281	0.838338383339281
Methyloceanibacter	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	0.874267171196679	0.898219696434944	0.928571428571429	1	0.761904761904762	0.928571428571429	0.928571428571429	0.833333333333333	0.833333333333333	0.910195959054077	0.976190476190476	0.738095238095238	0.928571428571429	0.904761904761905	0.850314645958414	0.898219696434944	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Sulfuriferula	0.833333333333333	0.833333333333333	0.80952380952381	0.785714285714286	0.785714285714286	0.785714285714286	0.785714285714286	0.833333333333333	0.898219696434944	0.874267171196679	0.833333333333333	0.761904761904762	1	0.833333333333333	0.833333333333333	0.80952380952381	0.785714285714286	0.862290908577547	0.738095238095238	0.785714285714286	0.714285714285714	0.80952380952381	0.802409595481884	0.874267171196679	0.706599494528823	0.802409595481884	0.802409595481884	0.802409595481884
Amaricoccus	0.928571428571429	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.928571428571429	0.958101009530607	0.910195959054077	1	0.928571428571429	0.833333333333333	1	0.928571428571429	0.714285714285714	0.904761904761905	0.994029797388005	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.838338383339281	0.910195959054077	0.742528282386221	0.838338383339281	0.838338383339281	0.838338383339281
Labilithrix	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.880952380952381	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.802409595481884	0.898219696434944	0.714285714285714	0.833333333333333	0.80952380952381	0.714285714285714	0.880952380952381	1	0.666666666666667	0.69462323190969	0.785714285714286	0.857142857142857	0.928571428571429	0.833333333333333	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Uliginosibacterium	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.922172221673209	0.898219696434944	0.904761904761905	0.833333333333333	0.785714285714286	0.904761904761905	0.904761904761905	0.666666666666667	1	0.886243433815812	0.880952380952381	0.714285714285714	0.761904761904762	0.952380952380953	0.802409595481884	0.898219696434944	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Nitrincola	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679	0.874267171196679	0.874267171196679	0.898219696434944	0.94578313253012	0.885542168674699	0.994029797388005	0.910195959054077	0.862290908577547	0.994029797388005	0.898219696434944	0.69462323190969	0.886243433815812	1	0.886243433815812	0.754504545005353	0.790433332862751	0.874267171196679	0.801204819277108	0.885542168674699	0.692771084337349	0.801204819277108	0.801204819277108	0.801204819277108
Tumebacillus	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.738095238095238	0.904761904761905	0.904761904761905	0.785714285714286	0.880952380952381	0.886243433815812	1	0.666666666666667	0.880952380952381	0.928571428571429	0.802409595481884	0.874267171196679	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Gp3	0.904761904761905	0.904761904761905	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.904761904761905	0.898219696434944	0.922172221673209	0.785714285714286	0.738095238095238	0.785714285714286	0.785714285714286	0.904761904761905	0.857142857142857	0.714285714285714	0.754504545005353	0.666666666666667	1	0.880952380952381	0.833333333333333	0.97007727214974	0.922172221673209	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.862290908577547	0.934148484292342	0.833333333333333	0.928571428571429	0.714285714285714	0.833333333333333	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.880952380952381	0.880952380952381	1	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.976190476190476	0.976190476190476	1	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.946124746911475	0.97007727214974	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	1	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Roseiflexus	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.850314645958414	0.802409595481884	0.838338383339281	0.97007727214974	0.922172221673209	0.802409595481884	0.801204819277108	0.802409595481884	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
Acidiphilium	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.958101009530607	0.958101009530607	0.958101009530607	0.994029797388005	0.975903614457831	1	0.910195959054077	0.898219696434944	0.874267171196679	0.910195959054077	0.994029797388005	0.898219696434944	0.898219696434944	0.885542168674699	0.874267171196679	0.922172221673209	0.934148484292342	0.97007727214974	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Aciditerrimonas	0.922172221673209	0.922172221673209	0.898219696434944	0.886243433815812	0.886243433815812	0.886243433815812	0.886243433815812	0.922172221673209	0.855421686746988	0.927710843373494	0.742528282386221	0.778457070243618	0.706599494528823	0.742528282386221	0.922172221673209	0.898219696434944	0.754504545005353	0.692771084337349	0.754504545005353	0.946124746911475	0.934148484292342	0.898219696434944	0.975903614457831	0.927710843373494	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.850314645958414	0.802409595481884	0.838338383339281	0.97007727214974	0.922172221673209	0.802409595481884	0.801204819277108	0.802409595481884	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
Sneathiella	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.850314645958414	0.802409595481884	0.838338383339281	0.97007727214974	0.922172221673209	0.802409595481884	0.801204819277108	0.802409595481884	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
Terrimonas	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.838338383339281	0.850314645958414	0.802409595481884	0.838338383339281	0.97007727214974	0.922172221673209	0.802409595481884	0.801204819277108	0.802409595481884	0.97007727214974	0.958101009530607	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
