Devosia	Shinella	Lysobacter	Bosea	Amycolatopsis	Dactylosporangium	Nitrobacter	Microvirga	Chitinophaga	Polaromonas	Kaistia	Iamia	Reyranella	Rhizocola	Kinneretia	Curtobacterium	Panacagrimonas	Actinocorallia	Variibacter	g__Didymella	Thiomonas	Halobacteriovorax	Cohnella	Atopobium	Thermoleophilum	Ammoniphilus
Kaistia	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.833333333333333	0.880952380952381	0.928571428571429	0.80952380952381	0.833333333333333	0.785714285714286	1	0.785714285714286	0.904761904761905	0.833333333333333	0.904761904761905	0.857142857142857	0.833333333333333	0.904761904761905	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.80952380952381	0.952380952380953	0.97007727214974
Iamia	0.857142857142857	0.857142857142857	0.738095238095238	0.833333333333333	0.761904761904762	0.714285714285714	0.904761904761905	0.904761904761905	0.761904761904762	0.690476190476191	0.785714285714286	1	0.857142857142857	0.595238095238095	0.690476190476191	0.595238095238095	0.833333333333333	0.761904761904762	0.571428571428572	0.80952380952381	0.595238095238095	0.761904761904762	0.80952380952381	0.976190476190476	0.738095238095238	0.802409595481884
Reyranella	0.928571428571429	0.928571428571429	0.80952380952381	0.880952380952381	0.738095238095238	0.761904761904762	0.904761904761905	0.904761904761905	0.857142857142857	0.714285714285714	0.904761904761905	0.857142857142857	1	0.642857142857143	0.833333333333333	0.785714285714286	0.761904761904762	0.80952380952381	0.714285714285714	0.976190476190476	0.642857142857143	0.738095238095238	0.833333333333333	0.80952380952381	0.80952380952381	0.934148484292342
Rhizocola	0.857142857142857	0.857142857142857	0.857142857142857	0.666666666666667	0.952380952380953	0.976190476190476	0.833333333333333	0.690476190476191	0.761904761904762	0.904761904761905	0.833333333333333	0.595238095238095	0.642857142857143	1	0.904761904761905	0.857142857142857	0.833333333333333	0.738095238095238	0.928571428571429	0.619047619047619	1	0.952380952380953	0.761904761904762	0.690476190476191	0.714285714285714	0.706599494528823
Kinneretia	0.928571428571429	0.928571428571429	0.976190476190476	0.714285714285714	0.880952380952381	0.952380952380953	0.857142857142857	0.785714285714286	0.952380952380953	0.952380952380953	0.904761904761905	0.690476190476191	0.833333333333333	0.904761904761905	1	0.904761904761905	0.738095238095238	0.690476190476191	0.904761904761905	0.785714285714286	0.904761904761905	0.880952380952381	0.738095238095238	0.714285714285714	0.761904761904762	0.862290908577547
Curtobacterium	0.880952380952381	0.880952380952381	0.880952380952381	0.619047619047619	0.833333333333333	0.904761904761905	0.80952380952381	0.642857142857143	0.80952380952381	0.857142857142857	0.857142857142857	0.595238095238095	0.785714285714286	0.857142857142857	0.904761904761905	1	0.690476190476191	0.738095238095238	0.857142857142857	0.833333333333333	0.857142857142857	0.833333333333333	0.690476190476191	0.666666666666667	0.714285714285714	0.766480807624486
Panacagrimonas	0.880952380952381	0.880952380952381	0.690476190476191	0.880952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.880952380952381	0.642857142857143	0.714285714285714	0.833333333333333	0.833333333333333	0.761904761904762	0.833333333333333	0.738095238095238	0.690476190476191	1	0.904761904761905	0.761904761904762	0.738095238095238	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.761904761904762	0.742528282386221
Actinocorallia	0.880952380952381	0.880952380952381	0.619047619047619	0.928571428571429	0.785714285714286	0.761904761904762	0.904761904761905	0.761904761904762	0.571428571428572	0.571428571428572	0.904761904761905	0.761904761904762	0.80952380952381	0.738095238095238	0.690476190476191	0.738095238095238	0.904761904761905	1	0.80952380952381	0.833333333333333	0.738095238095238	0.785714285714286	0.976190476190476	0.80952380952381	0.904761904761905	0.838338383339281
Variibacter	0.880952380952381	0.880952380952381	0.833333333333333	0.761904761904762	0.833333333333333	0.904761904761905	0.80952380952381	0.642857142857143	0.761904761904762	0.80952380952381	0.928571428571429	0.571428571428572	0.714285714285714	0.928571428571429	0.904761904761905	0.857142857142857	0.761904761904762	0.80952380952381	1	0.690476190476191	0.928571428571429	0.833333333333333	0.833333333333333	0.642857142857143	0.880952380952381	0.850314645958414
g__Didymella	0.904761904761905	0.904761904761905	0.761904761904762	0.833333333333333	0.714285714285714	0.738095238095238	0.880952380952381	0.833333333333333	0.785714285714286	0.666666666666667	0.880952380952381	0.80952380952381	0.976190476190476	0.619047619047619	0.785714285714286	0.833333333333333	0.738095238095238	0.833333333333333	0.690476190476191	1	0.619047619047619	0.714285714285714	0.80952380952381	0.785714285714286	0.785714285714286	0.886243433815812
Thiomonas	0.857142857142857	0.857142857142857	0.857142857142857	0.666666666666667	0.952380952380953	0.976190476190476	0.833333333333333	0.690476190476191	0.761904761904762	0.904761904761905	0.833333333333333	0.595238095238095	0.642857142857143	1	0.904761904761905	0.857142857142857	0.833333333333333	0.738095238095238	0.928571428571429	0.619047619047619	1	0.952380952380953	0.761904761904762	0.690476190476191	0.714285714285714	0.706599494528823
Halobacteriovorax	0.904761904761905	0.904761904761905	0.857142857142857	0.738095238095238	1	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	0.904761904761905	0.833333333333333	0.761904761904762	0.738095238095238	0.952380952380953	0.880952380952381	0.833333333333333	0.928571428571429	0.785714285714286	0.833333333333333	0.714285714285714	0.952380952380953	1	0.80952380952381	0.833333333333333	0.690476190476191	0.718575757147955
Cohnella	0.904761904761905	0.904761904761905	0.666666666666667	0.976190476190476	0.80952380952381	0.785714285714286	0.928571428571429	0.833333333333333	0.642857142857143	0.619047619047619	0.928571428571429	0.80952380952381	0.833333333333333	0.761904761904762	0.738095238095238	0.690476190476191	0.928571428571429	0.976190476190476	0.833333333333333	0.80952380952381	0.761904761904762	0.80952380952381	1	0.833333333333333	0.928571428571429	0.886243433815812
Atopobium	0.880952380952381	0.880952380952381	0.761904761904762	0.80952380952381	0.833333333333333	0.785714285714286	0.928571428571429	0.857142857142857	0.738095238095238	0.738095238095238	0.80952380952381	0.976190476190476	0.80952380952381	0.690476190476191	0.714285714285714	0.666666666666667	0.880952380952381	0.80952380952381	0.642857142857143	0.785714285714286	0.690476190476191	0.833333333333333	0.833333333333333	1	0.761904761904762	0.778457070243618
Thermoleophilum	0.880952380952381	0.880952380952381	0.714285714285714	0.904761904761905	0.690476190476191	0.738095238095238	0.833333333333333	0.690476190476191	0.690476190476191	0.619047619047619	0.952380952380953	0.738095238095238	0.80952380952381	0.714285714285714	0.761904761904762	0.714285714285714	0.761904761904762	0.904761904761905	0.880952380952381	0.785714285714286	0.714285714285714	0.690476190476191	0.928571428571429	0.761904761904762	1	0.946124746911475
Ammoniphilus	0.934148484292342	0.934148484292342	0.826362120720149	0.910195959054077	0.718575757147955	0.778457070243618	0.874267171196679	0.814385858101016	0.850314645958414	0.718575757147955	0.97007727214974	0.802409595481884	0.934148484292342	0.706599494528823	0.862290908577547	0.766480807624486	0.742528282386221	0.838338383339281	0.850314645958414	0.886243433815812	0.706599494528823	0.718575757147955	0.886243433815812	0.778457070243618	0.946124746911475	1
