Mesorhizobium	Phenylobacterium	Nitrobacter	Panacagrimonas	Ramlibacter	Actinocorallia	Streptosporangium	Gp6	Povalibacter	Parachlamydia	Lautropia	Armatimonadetes_gp2	Inquilinus	Halobacteriovorax	Cohnella	Saccharomonospora	Luteivirga	Atopobium	Sanguibacter	Sulfurisoma
Lautropia	0.785714285714286	0.952380952380953	0.785714285714286	0.904761904761905	0.904761904761905	0.880952380952381	1	0.785714285714286	0.857142857142857	0.642857142857143	1	0.80952380952381	0.833333333333333	0.761904761904762	0.904761904761905	0.928571428571429	0.880952380952381	0.738095238095238	0.754504545005353	0.754504545005353
Armatimonadetes_gp2	0.880952380952381	0.80952380952381	0.880952380952381	0.880952380952381	0.714285714285714	0.880952380952381	0.80952380952381	0.833333333333333	0.642857142857143	0.714285714285714	0.80952380952381	1	0.904761904761905	0.761904761904762	0.857142857142857	0.904761904761905	0.666666666666667	0.952380952380953	0.59881313095663	0.59881313095663
Inquilinus	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.714285714285714	0.880952380952381	0.833333333333333	0.976190476190476	0.690476190476191	0.690476190476191	0.833333333333333	0.904761904761905	1	0.738095238095238	0.928571428571429	0.952380952380953	0.619047619047619	0.904761904761905	0.59881313095663	0.59881313095663
Halobacteriovorax	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.928571428571429	0.785714285714286	0.761904761904762	0.714285714285714	0.904761904761905	0.952380952380953	0.761904761904762	0.761904761904762	0.738095238095238	1	0.80952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.934148484292342	0.934148484292342
Cohnella	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	0.857142857142857	0.761904761904762	0.666666666666667	0.904761904761905	0.857142857142857	0.928571428571429	0.80952380952381	1	0.976190476190476	0.738095238095238	0.833333333333333	0.670670706671425	0.670670706671425
Saccharomonospora	0.80952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.785714285714286	0.952380952380953	0.928571428571429	0.880952380952381	0.714285714285714	0.619047619047619	0.928571428571429	0.904761904761905	0.952380952380953	0.738095238095238	0.976190476190476	1	0.714285714285714	0.857142857142857	0.610789393575762	0.610789393575762
Luteivirga	0.80952380952381	0.928571428571429	0.738095238095238	0.857142857142857	0.976190476190476	0.714285714285714	0.880952380952381	0.595238095238095	0.952380952380953	0.80952380952381	0.880952380952381	0.666666666666667	0.619047619047619	0.880952380952381	0.738095238095238	0.714285714285714	1	0.666666666666667	0.946124746911475	0.946124746911475
Atopobium	0.880952380952381	0.785714285714286	0.928571428571429	0.880952380952381	0.714285714285714	0.80952380952381	0.738095238095238	0.857142857142857	0.666666666666667	0.833333333333333	0.738095238095238	0.952380952380953	0.904761904761905	0.833333333333333	0.833333333333333	0.857142857142857	0.666666666666667	1	0.670670706671425	0.670670706671425
Sanguibacter	0.826362120720149	0.886243433815812	0.766480807624486	0.850314645958414	0.946124746911475	0.622765656194895	0.754504545005353	0.622765656194895	0.97007727214974	0.922172221673209	0.754504545005353	0.59881313095663	0.59881313095663	0.934148484292342	0.670670706671425	0.610789393575762	0.946124746911475	0.670670706671425	1	1
Sulfurisoma	0.826362120720149	0.886243433815812	0.766480807624486	0.850314645958414	0.946124746911475	0.622765656194895	0.754504545005353	0.622765656194895	0.97007727214974	0.922172221673209	0.754504545005353	0.59881313095663	0.59881313095663	0.934148484292342	0.670670706671425	0.610789393575762	0.946124746911475	0.670670706671425	1	1
