Streptomyces	Actinoplanes	Steroidobacter	Umezawaea	Lysobacter	Amycolatopsis	Galbitalea	Dactylosporangium	Kibdelosporangium	Polaromonas	Chryseolinea	Geobacter	Aquihabitans	Rhizocola	Kinneretia	Ilumatobacter	Arenimonas	Aquimonas	Chitinimonas	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Sanguibacter	Sulfurisoma	Polyangium
Chryseolinea	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	1	0.904761904761905	0.850314645958414	0.904761904761905	1	0.952380952380953	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	1	0.952380952380953	0.928571428571429	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.898219696434944	0.898219696434944	0.80952380952381
Geobacter	0.857142857142857	0.833333333333333	0.952380952380953	0.904761904761905	0.761904761904762	0.833333333333333	0.952380952380953	0.880952380952381	0.910195959054077	0.80952380952381	0.952380952380953	1	0.928571428571429	0.952380952380953	0.80952380952381	1	0.952380952380953	0.833333333333333	0.952380952380953	0.714285714285714	0.952380952380953	0.833333333333333	1	0.850314645958414	0.850314645958414	0.80952380952381
Aquihabitans	0.904761904761905	0.880952380952381	0.952380952380953	0.976190476190476	0.738095238095238	0.928571428571429	0.928571428571429	0.904761904761905	0.790433332862751	0.833333333333333	0.928571428571429	0.928571428571429	1	0.952380952380953	0.761904761904762	0.928571428571429	0.928571428571429	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.97007727214974	0.97007727214974	0.928571428571429
Rhizocola	0.904761904761905	0.928571428571429	1	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.976190476190476	0.814385858101016	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	1	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	1	0.952380952380953	0.952380952380953	0.922172221673209	0.922172221673209	0.80952380952381
Kinneretia	0.857142857142857	0.928571428571429	0.904761904761905	0.833333333333333	0.976190476190476	0.880952380952381	0.857142857142857	0.952380952380953	0.754504545005353	0.952380952380953	0.857142857142857	0.80952380952381	0.761904761904762	0.904761904761905	1	0.80952380952381	0.857142857142857	0.785714285714286	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.754504545005353	0.754504545005353	0.619047619047619
Ilumatobacter	0.857142857142857	0.833333333333333	0.952380952380953	0.904761904761905	0.761904761904762	0.833333333333333	0.952380952380953	0.880952380952381	0.910195959054077	0.80952380952381	0.952380952380953	1	0.928571428571429	0.952380952380953	0.80952380952381	1	0.952380952380953	0.833333333333333	0.952380952380953	0.714285714285714	0.952380952380953	0.833333333333333	1	0.850314645958414	0.850314645958414	0.80952380952381
Arenimonas	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	1	0.904761904761905	0.850314645958414	0.904761904761905	1	0.952380952380953	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	1	0.952380952380953	0.928571428571429	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.898219696434944	0.898219696434944	0.80952380952381
Aquimonas	0.904761904761905	0.857142857142857	0.857142857142857	0.833333333333333	0.80952380952381	0.80952380952381	0.952380952380953	0.833333333333333	0.766480807624486	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.857142857142857	0.785714285714286	0.833333333333333	0.952380952380953	1	0.833333333333333	0.857142857142857	0.857142857142857	0.80952380952381	0.833333333333333	0.886243433815812	0.886243433815812	0.833333333333333
Chitinimonas	0.904761904761905	0.880952380952381	0.952380952380953	0.928571428571429	0.761904761904762	0.880952380952381	0.928571428571429	0.904761904761905	0.850314645958414	0.833333333333333	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.785714285714286	0.952380952380953	0.928571428571429	0.833333333333333	1	0.785714285714286	0.952380952380953	0.880952380952381	0.952380952380953	0.874267171196679	0.874267171196679	0.857142857142857
Parachlamydia	0.904761904761905	0.928571428571429	0.857142857142857	0.904761904761905	0.833333333333333	0.952380952380953	0.80952380952381	0.904761904761905	0.610789393575762	0.904761904761905	0.80952380952381	0.714285714285714	0.880952380952381	0.857142857142857	0.80952380952381	0.714285714285714	0.80952380952381	0.857142857142857	0.785714285714286	1	0.857142857142857	0.952380952380953	0.714285714285714	0.922172221673209	0.922172221673209	0.857142857142857
