Mesorhizobium	Steroidobacter	Umezawaea	Shinella	Amycolatopsis	Dactylosporangium	Phenylobacterium	Nitrobacter	Acholeplasma	Rhizocola	Ochrobactrum	Panacagrimonas	Ramlibacter	Actinocorallia	Parachlamydia	Armatimonadetes_gp2	Thiomonas	Halobacteriovorax	Cohnella	Atopobium
Ochrobactrum	0.904761904761905	0.619047619047619	0.690476190476191	0.738095238095238	0.785714285714286	0.714285714285714	0.690476190476191	0.80952380952381	0.874267171196679	0.619047619047619	1	0.785714285714286	0.642857142857143	0.714285714285714	0.785714285714286	0.833333333333333	0.619047619047619	0.785714285714286	0.642857142857143	0.80952380952381
Panacagrimonas	0.952380952380953	0.833333333333333	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.976190476190476	0.952380952380953	0.898219696434944	0.833333333333333	0.785714285714286	1	0.928571428571429	0.904761904761905	0.857142857142857	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381
Ramlibacter	0.880952380952381	0.928571428571429	0.976190476190476	0.785714285714286	0.928571428571429	0.880952380952381	0.976190476190476	0.833333333333333	0.814385858101016	0.928571428571429	0.642857142857143	0.928571428571429	1	0.80952380952381	0.833333333333333	0.714285714285714	0.928571428571429	0.928571428571429	0.833333333333333	0.714285714285714
Actinocorallia	0.880952380952381	0.738095238095238	0.761904761904762	0.880952380952381	0.785714285714286	0.761904761904762	0.880952380952381	0.904761904761905	0.754504545005353	0.738095238095238	0.714285714285714	0.904761904761905	0.80952380952381	1	0.619047619047619	0.880952380952381	0.738095238095238	0.785714285714286	0.976190476190476	0.80952380952381
Parachlamydia	0.880952380952381	0.857142857142857	0.904761904761905	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.857142857142857	0.790433332862751	0.857142857142857	0.785714285714286	0.857142857142857	0.833333333333333	0.619047619047619	1	0.714285714285714	0.857142857142857	0.952380952380953	0.666666666666667	0.833333333333333
Armatimonadetes_gp2	0.880952380952381	0.619047619047619	0.690476190476191	0.80952380952381	0.761904761904762	0.690476190476191	0.80952380952381	0.880952380952381	0.814385858101016	0.619047619047619	0.833333333333333	0.880952380952381	0.714285714285714	0.880952380952381	0.714285714285714	1	0.619047619047619	0.761904761904762	0.857142857142857	0.952380952380953
Thiomonas	0.857142857142857	1	0.976190476190476	0.857142857142857	0.952380952380953	0.976190476190476	0.857142857142857	0.833333333333333	0.64671818143316	1	0.619047619047619	0.833333333333333	0.928571428571429	0.738095238095238	0.857142857142857	0.619047619047619	1	0.952380952380953	0.761904761904762	0.690476190476191
Halobacteriovorax	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	1	0.976190476190476	0.904761904761905	0.928571428571429	0.802409595481884	0.952380952380953	0.785714285714286	0.928571428571429	0.928571428571429	0.785714285714286	0.952380952380953	0.761904761904762	0.952380952380953	1	0.80952380952381	0.833333333333333
Cohnella	0.857142857142857	0.761904761904762	0.785714285714286	0.904761904761905	0.80952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.730552019767088	0.761904761904762	0.642857142857143	0.928571428571429	0.833333333333333	0.976190476190476	0.666666666666667	0.857142857142857	0.761904761904762	0.80952380952381	1	0.833333333333333
Atopobium	0.880952380952381	0.690476190476191	0.738095238095238	0.880952380952381	0.833333333333333	0.785714285714286	0.785714285714286	0.928571428571429	0.754504545005353	0.690476190476191	0.80952380952381	0.880952380952381	0.714285714285714	0.80952380952381	0.833333333333333	0.952380952380953	0.690476190476191	0.833333333333333	0.833333333333333	1
