Actinoplanes	Steroidobacter	Umezawaea	Amycolatopsis	Dactylosporangium	Rudaibacter	Nitrobacter	Chitinophaga	Polaromonas	Kaistia	Chryseolinea	Hyphomicrobium	Geobacter	Dongia	Aquihabitans	Rhizocola	g__Apodus	Kinneretia	Ilumatobacter	Arenimonas	Curtobacterium	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Sanguibacter	Sulfurisoma	Methylosinus
Chryseolinea	0.880952380952381	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.666666666666667	0.738095238095238	0.904761904761905	0.690476190476191	1	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.952380952380953	1	0.761904761904762	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.898219696434944	0.898219696434944	0.946124746911475
Hyphomicrobium	0.833333333333333	0.952380952380953	0.880952380952381	0.833333333333333	0.904761904761905	0.928571428571429	0.714285714285714	0.761904761904762	0.857142857142857	0.80952380952381	0.952380952380953	1	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.922172221673209	0.904761904761905	0.952380952380953	0.952380952380953	0.80952380952381	0.690476190476191	0.976190476190476	0.833333333333333	0.880952380952381	0.952380952380953	0.714285714285714	0.952380952380953	0.833333333333333	0.952380952380953	0.826362120720149	0.826362120720149	0.898219696434944
Geobacter	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.880952380952381	0.857142857142857	0.690476190476191	0.642857142857143	0.80952380952381	0.761904761904762	0.952380952380953	0.952380952380953	1	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.80952380952381	1	0.952380952380953	0.761904761904762	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.714285714285714	0.952380952380953	0.833333333333333	1	0.850314645958414	0.850314645958414	0.826362120720149
Dongia	0.857142857142857	0.976190476190476	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.785714285714286	0.714285714285714	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	1	0.904761904761905	0.976190476190476	0.97007727214974	0.880952380952381	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.976190476190476	0.850314645958414	0.850314645958414	0.826362120720149
Aquihabitans	0.880952380952381	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	0.761904761904762	0.619047619047619	0.833333333333333	0.690476190476191	0.928571428571429	0.857142857142857	0.928571428571429	0.904761904761905	1	0.952380952380953	0.898219696434944	0.761904761904762	0.928571428571429	0.928571428571429	0.714285714285714	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.80952380952381	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.97007727214974	0.97007727214974	0.826362120720149
Rhizocola	0.928571428571429	1	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.946124746911475	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.922172221673209	0.922172221673209	0.874267171196679
g__Apodus	0.826362120720149	0.946124746911475	0.898219696434944	0.838338383339281	0.886243433815812	0.802409595481884	0.718575757147955	0.610789393575762	0.778457070243618	0.790433332862751	0.898219696434944	0.922172221673209	0.97007727214974	0.97007727214974	0.898219696434944	0.946124746911475	1	0.802409595481884	0.97007727214974	0.898219696434944	0.850314645958414	0.730552019767088	0.97007727214974	0.874267171196679	0.97007727214974	0.934148484292342	0.682646969290558	0.946124746911475	0.838338383339281	0.97007727214974	0.807228915662651	0.807228915662651	0.783132530120482
Kinneretia	0.928571428571429	0.904761904761905	0.833333333333333	0.880952380952381	0.952380952380953	0.880952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.880952380952381	0.761904761904762	0.904761904761905	0.802409595481884	1	0.80952380952381	0.857142857142857	0.904761904761905	0.738095238095238	0.880952380952381	0.738095238095238	0.785714285714286	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.754504545005353	0.754504545005353	0.826362120720149
Ilumatobacter	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.880952380952381	0.857142857142857	0.690476190476191	0.642857142857143	0.80952380952381	0.761904761904762	0.952380952380953	0.952380952380953	1	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.80952380952381	1	0.952380952380953	0.761904761904762	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.714285714285714	0.952380952380953	0.833333333333333	1	0.850314645958414	0.850314645958414	0.826362120720149
Arenimonas	0.880952380952381	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.666666666666667	0.738095238095238	0.904761904761905	0.690476190476191	1	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.952380952380953	1	0.761904761904762	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.898219696434944	0.898219696434944	0.946124746911475
