Sorangium	Bacillus	Blastococcus	Gaiella	Paenibacillus	Phenylobacterium	g__Mortierella	Aquihabitans	Haliangium	Knoellia	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Panacagrimonas	Ramlibacter	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Sandaracinus	Polyangium
Sporosarcina	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	1	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.833333333333333	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.833333333333333	0.922172221673209	0.97007727214974	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.874267171196679	0.80952380952381
Nitrospira	0.904761904761905	0.857142857142857	0.976190476190476	0.952380952380953	0.904761904761905	0.857142857142857	1	0.857142857142857	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.766480807624486	0.738095238095238
Cellvibrio	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	1	0.857142857142857	0.976190476190476	0.785714285714286	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.922172221673209	0.97007727214974	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.874267171196679	0.857142857142857
Catellatospora	0.904761904761905	0.880952380952381	0.833333333333333	0.928571428571429	0.80952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.857142857142857	1	0.833333333333333	0.904761904761905	0.976190476190476	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.850314645958414	0.730552019767088	0.857142857142857	0.880952380952381	0.857142857142857	0.952380952380953	0.850314645958414	0.80952380952381
Peredibacter	0.928571428571429	0.904761904761905	1	0.904761904761905	0.928571428571429	0.833333333333333	0.976190476190476	0.80952380952381	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.714285714285714	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.826362120720149	0.761904761904762
Panacagrimonas	0.833333333333333	0.880952380952381	0.714285714285714	0.880952380952381	0.761904761904762	0.976190476190476	0.738095238095238	0.833333333333333	0.80952380952381	0.738095238095238	0.833333333333333	0.738095238095238	0.785714285714286	0.904761904761905	0.714285714285714	1	0.928571428571429	0.690476190476191	0.80952380952381	0.904761904761905	0.690476190476191	0.904761904761905	0.718575757147955	0.718575757147955	0.904761904761905	0.738095238095238	0.690476190476191	0.857142857142857	0.790433332862751	0.761904761904762
Ramlibacter	0.928571428571429	0.904761904761905	0.857142857142857	0.976190476190476	0.880952380952381	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.928571428571429	1	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.976190476190476	0.826362120720149	0.802409595481884	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.826362120720149	0.833333333333333
Nannocystis	0.928571428571429	0.904761904761905	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.690476190476191	0.80952380952381	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.826362120720149	0.833333333333333
Methyloceanibacter	0.952380952380953	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.814385858101016	0.833333333333333
Streptosporangium	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.785714285714286	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	1	0.880952380952381	0.857142857142857	0.886243433815812	0.910195959054077	1	0.880952380952381	0.857142857142857	0.880952380952381	0.814385858101016	0.738095238095238
Amaricoccus	0.928571428571429	0.904761904761905	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.690476190476191	0.80952380952381	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.826362120720149	0.833333333333333
Povalibacter	0.904761904761905	0.880952380952381	0.833333333333333	0.928571428571429	0.80952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.857142857142857	1	0.833333333333333	0.904761904761905	0.976190476190476	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.850314645958414	0.730552019767088	0.857142857142857	0.880952380952381	0.857142857142857	0.952380952380953	0.850314645958414	0.80952380952381
Adhaeribacter	0.898219696434944	0.898219696434944	0.97007727214974	0.850314645958414	0.850314645958414	0.826362120720149	0.934148484292342	0.754504545005353	0.886243433815812	0.934148484292342	0.922172221673209	0.934148484292342	0.922172221673209	0.850314645958414	0.97007727214974	0.718575757147955	0.826362120720149	0.874267171196679	0.886243433815812	0.886243433815812	0.874267171196679	0.850314645958414	1	0.879518072289157	0.886243433815812	0.934148484292342	0.994029797388005	0.862290908577547	0.855421686746988	0.718575757147955
Nitrincola	0.922172221673209	0.922172221673209	0.946124746911475	0.850314645958414	0.946124746911475	0.802409595481884	0.886243433815812	0.778457070243618	0.910195959054077	0.886243433815812	0.97007727214974	0.886243433815812	0.97007727214974	0.730552019767088	0.946124746911475	0.718575757147955	0.802409595481884	0.994029797388005	0.910195959054077	0.910195959054077	0.994029797388005	0.730552019767088	0.879518072289157	1	0.910195959054077	0.886243433815812	0.874267171196679	0.862290908577547	0.831325301204819	0.814385858101016
Lautropia	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.785714285714286	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	1	0.880952380952381	0.857142857142857	0.886243433815812	0.910195959054077	1	0.880952380952381	0.857142857142857	0.880952380952381	0.814385858101016	0.738095238095238
Tumebacillus	0.904761904761905	0.857142857142857	0.976190476190476	0.952380952380953	0.904761904761905	0.857142857142857	1	0.857142857142857	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.766480807624486	0.738095238095238
Rubrobacter	0.904761904761905	0.880952380952381	0.976190476190476	0.857142857142857	0.857142857142857	0.80952380952381	0.952380952380953	0.785714285714286	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.857142857142857	0.976190476190476	0.690476190476191	0.833333333333333	0.880952380952381	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.994029797388005	0.874267171196679	0.857142857142857	0.952380952380953	1	0.880952380952381	0.850314645958414	0.738095238095238
Luteivirga	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.880952380952381	1	0.886243433815812	0.904761904761905
Sandaracinus	0.946124746911475	0.946124746911475	0.826362120720149	0.754504545005353	0.826362120720149	0.826362120720149	0.766480807624486	0.850314645958414	0.814385858101016	0.766480807624486	0.874267171196679	0.766480807624486	0.874267171196679	0.850314645958414	0.826362120720149	0.790433332862751	0.826362120720149	0.826362120720149	0.814385858101016	0.814385858101016	0.826362120720149	0.850314645958414	0.855421686746988	0.831325301204819	0.814385858101016	0.766480807624486	0.850314645958414	0.886243433815812	1	0.934148484292342
Polyangium	0.928571428571429	0.880952380952381	0.761904761904762	0.761904761904762	0.833333333333333	0.785714285714286	0.738095238095238	0.928571428571429	0.833333333333333	0.738095238095238	0.80952380952381	0.738095238095238	0.857142857142857	0.80952380952381	0.761904761904762	0.761904761904762	0.833333333333333	0.833333333333333	0.833333333333333	0.738095238095238	0.833333333333333	0.80952380952381	0.718575757147955	0.814385858101016	0.738095238095238	0.738095238095238	0.738095238095238	0.904761904761905	0.934148484292342	1
