Aeromicrobium	Sorangium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Bacillus	Blastococcus	Pseudonocardia	Gaiella	Terrabacter	Paenibacillus	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Gemmatimonas	Aquihabitans	Haliangium	Knoellia	Rhizomicrobium	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Ramlibacter	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium	Armatimonadetes_gp5
Terrabacter	0.928571428571429	0.880952380952381	0.976190476190476	0.880952380952381	0.976190476190476	0.928571428571429	0.80952380952381	0.904761904761905	0.690476190476191	0.952380952380953	1	0.904761904761905	0.833333333333333	0.952380952380953	1	1	1	0.904761904761905	0.976190476190476	0.952380952380953	0.619047619047619	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.826362120720149	0.730552019767088	0.706599494528823	0.826362120720149	0.785714285714286	0.874267171196679
Paenibacillus	0.928571428571429	0.952380952380953	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	0.785714285714286	0.904761904761905	0.904761904761905	1	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.714285714285714	0.761904761904762	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.880952380952381	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.80952380952381	0.850314645958414	0.946124746911475	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.833333333333333	0.766480807624486	0.718575757147955	0.826362120720149	0.766480807624486	0.833333333333333	0.814385858101016
Phenylobacterium	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.833333333333333	0.619047619047619	0.952380952380953	0.833333333333333	0.857142857142857	1	0.857142857142857	0.833333333333333	0.833333333333333	0.833333333333333	0.880952380952381	0.904761904761905	0.857142857142857	0.714285714285714	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.952380952380953	0.833333333333333	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.785714285714286	0.952380952380953	0.826362120720149	0.802409595481884	0.952380952380953	0.857142857142857	0.80952380952381	0.928571428571429	0.833333333333333	0.886243433815812	0.838338383339281	0.826362120720149	0.886243433815812	0.785714285714286	0.862290908577547
g__Mortierella	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.690476190476191	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	1	0.952380952380953	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	1	0.642857142857143	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238	0.97007727214974
Ideonella	0.928571428571429	0.880952380952381	0.976190476190476	0.880952380952381	0.976190476190476	0.928571428571429	0.80952380952381	0.904761904761905	0.690476190476191	0.952380952380953	1	0.904761904761905	0.833333333333333	0.952380952380953	1	1	1	0.904761904761905	0.976190476190476	0.952380952380953	0.619047619047619	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.826362120720149	0.730552019767088	0.706599494528823	0.826362120720149	0.785714285714286	0.874267171196679
Marmoricola	0.928571428571429	0.880952380952381	0.976190476190476	0.880952380952381	0.976190476190476	0.928571428571429	0.80952380952381	0.904761904761905	0.690476190476191	0.952380952380953	1	0.904761904761905	0.833333333333333	0.952380952380953	1	1	1	0.904761904761905	0.976190476190476	0.952380952380953	0.619047619047619	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.826362120720149	0.730552019767088	0.706599494528823	0.826362120720149	0.785714285714286	0.874267171196679
Gemmatimonas	0.928571428571429	0.880952380952381	0.976190476190476	0.880952380952381	0.976190476190476	0.928571428571429	0.80952380952381	0.904761904761905	0.690476190476191	0.952380952380953	1	0.904761904761905	0.833333333333333	0.952380952380953	1	1	1	0.904761904761905	0.976190476190476	0.952380952380953	0.619047619047619	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.826362120720149	0.730552019767088	0.706599494528823	0.826362120720149	0.785714285714286	0.874267171196679
Aquihabitans	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.80952380952381	0.738095238095238	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	1	0.928571428571429	0.857142857142857	0.857142857142857	0.857142857142857	0.80952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	0.80952380952381	0.928571428571429	0.785714285714286	0.80952380952381	0.928571428571429	0.754504545005353	0.778457070243618	0.785714285714286	0.857142857142857	0.785714285714286	0.976190476190476	0.833333333333333	0.97007727214974	0.922172221673209	0.850314645958414	0.97007727214974	0.928571428571429	0.826362120720149
Haliangium	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.952380952380953	0.738095238095238	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.714285714285714	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Knoellia	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.690476190476191	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	1	0.952380952380953	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	1	0.642857142857143	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238	0.97007727214974
