Conexibacter	Aquabacterium	Kaistia	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Haliangium	Rhizocola	g__Apodus	Sporichthya	Ilumatobacter	Niastella	Rhodoligotrophos	Pseudolabrys	Actinocorallia	Oscillochloris	Methyloceanibacter	Sulfuriferula	Labilithrix	Variibacter	Thiomonas	Cohnella	Ardenticatena	Chelativorans	Roseiflexus	Thermoleophilum	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Haliangium	0.952380952380953	0.857142857142857	0.690476190476191	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	1	0.880952380952381	0.898219696434944	0.928571428571429	0.928571428571429	0.714285714285714	0.952380952380953	0.904761904761905	0.738095238095238	0.898219696434944	1	0.761904761904762	0.928571428571429	0.833333333333333	0.880952380952381	0.761904761904762	0.928571428571429	0.714285714285714	0.850314645958414	0.690476190476191	0.898219696434944	0.850314645958414	0.850314645958414	0.850314645958414
Rhizocola	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	1	0.946124746911475	0.833333333333333	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.738095238095238	0.814385858101016	0.880952380952381	0.642857142857143	0.833333333333333	0.928571428571429	1	0.761904761904762	0.952380952380953	0.857142857142857	0.862290908577547	0.714285714285714	0.814385858101016	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.934148484292342	0.790433332862751	0.922172221673209	0.946124746911475	0.946124746911475	0.874267171196679	0.97007727214974	0.946124746911475	0.97007727214974	0.898219696434944	0.946124746911475	1	0.910195959054077	0.97007727214974	0.850314645958414	0.874267171196679	0.97007727214974	0.742528282386221	0.897590361445783	0.898219696434944	0.706599494528823	0.910195959054077	0.934148484292342	0.946124746911475	0.718575757147955	0.97007727214974	0.934148484292342	0.921686746987952	0.730552019767088	0.897590361445783	0.921686746987952	0.921686746987952	0.921686746987952
Sporichthya	0.928571428571429	0.880952380952381	0.714285714285714	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.910195959054077	1	0.952380952380953	0.857142857142857	0.952380952380953	0.904761904761905	0.666666666666667	0.994029797388005	0.928571428571429	0.833333333333333	1	0.880952380952381	0.833333333333333	0.690476190476191	0.952380952380953	0.785714285714286	0.97007727214974	0.761904761904762	0.994029797388005	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.880952380952381	0.761904761904762	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.928571428571429	0.976190476190476	0.666666666666667	0.934148484292342	0.928571428571429	0.714285714285714	0.952380952380953	0.928571428571429	0.952380952380953	0.690476190476191	1	0.857142857142857	0.958101009530607	0.714285714285714	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Niastella	0.857142857142857	0.857142857142857	0.857142857142857	0.928571428571429	0.833333333333333	0.833333333333333	0.80952380952381	0.880952380952381	0.833333333333333	0.904761904761905	0.714285714285714	0.833333333333333	0.850314645958414	0.857142857142857	0.880952380952381	1	0.80952380952381	0.904761904761905	0.642857142857143	0.886243433815812	0.714285714285714	0.761904761904762	0.857142857142857	0.952380952380953	0.833333333333333	0.690476190476191	0.880952380952381	0.880952380952381	0.934148484292342	0.833333333333333	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Rhodoligotrophos	0.952380952380953	0.857142857142857	0.666666666666667	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.874267171196679	0.952380952380953	0.928571428571429	0.80952380952381	1	0.904761904761905	0.642857142857143	0.934148484292342	0.952380952380953	0.761904761904762	0.952380952380953	0.857142857142857	0.833333333333333	0.690476190476191	0.928571428571429	0.738095238095238	0.886243433815812	0.690476190476191	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Pseudolabrys	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	1	0.761904761904762	0.898219696434944	0.904761904761905	0.738095238095238	0.904761904761905	0.976190476190476	0.976190476190476	0.785714285714286	0.976190476190476	0.904761904761905	0.922172221673209	0.785714285714286	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Actinocorallia	0.80952380952381	0.880952380952381	0.904761904761905	0.642857142857143	0.714285714285714	0.714285714285714	0.642857142857143	0.666666666666667	0.714285714285714	0.761904761904762	0.738095238095238	0.738095238095238	0.742528282386221	0.666666666666667	0.666666666666667	0.642857142857143	0.642857142857143	0.761904761904762	1	0.69462323190969	0.738095238095238	0.857142857142857	0.666666666666667	0.80952380952381	0.738095238095238	0.976190476190476	0.666666666666667	0.738095238095238	0.64671818143316	0.904761904761905	0.69462323190969	0.64671818143316	0.64671818143316	0.64671818143316
Oscillochloris	0.922172221673209	0.898219696434944	0.754504545005353	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.898219696434944	0.898219696434944	0.814385858101016	0.897590361445783	0.994029797388005	0.934148484292342	0.886243433815812	0.934148484292342	0.898219696434944	0.69462323190969	1	0.898219696434944	0.874267171196679	0.994029797388005	0.898219696434944	0.814385858101016	0.718575757147955	0.934148484292342	0.802409595481884	0.975903614457831	0.814385858101016	1	0.975903614457831	0.975903614457831	0.975903614457831
