g__Lachnella	Agromyces	Arthrobacter	Solirubrobacter	Blastococcus	Gaiella	Terrabacter	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Knoellia	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Methyloceanibacter	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Acidiphilium	Armatimonadetes_gp5
Nitrospira	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	1	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.97007727214974
Cellvibrio	0.857142857142857	0.976190476190476	0.857142857142857	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	1	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.714285714285714	0.857142857142857	0.880952380952381	0.928571428571429	0.952380952380953	0.904761904761905	0.874267171196679	0.886243433815812
Peredibacter	0.904761904761905	0.952380952380953	0.880952380952381	0.952380952380953	1	0.904761904761905	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.952380952380953	0.976190476190476	0.785714285714286	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.850314645958414	0.934148484292342
Rhodoligotrophos	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.928571428571429	1	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.934148484292342	0.922172221673209
Methyloceanibacter	0.904761904761905	1	0.928571428571429	1	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	1	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.922172221673209
Tumebacillus	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	1	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	1	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.97007727214974
Clavibacter	0.880952380952381	0.80952380952381	0.928571428571429	0.80952380952381	0.785714285714286	0.833333333333333	0.833333333333333	0.904761904761905	0.880952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.833333333333333	0.80952380952381	0.880952380952381	0.880952380952381	0.714285714285714	0.785714285714286	0.904761904761905	0.80952380952381	0.880952380952381	1	0.80952380952381	0.833333333333333	0.80952380952381	0.761904761904762	0.904761904761905	0.742528282386221	0.922172221673209
Ardenticatena	0.857142857142857	0.928571428571429	0.904761904761905	0.928571428571429	0.80952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.80952380952381	1	0.904761904761905	0.738095238095238	0.904761904761905	0.80952380952381	0.934148484292342	0.802409595481884
Gp22	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	1	0.833333333333333	0.80952380952381	0.857142857142857	0.97007727214974	0.838338383339281
Rubrobacter	0.857142857142857	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	0.857142857142857	0.833333333333333	0.880952380952381	0.952380952380953	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.904761904761905	0.952380952380953	0.80952380952381	0.738095238095238	0.833333333333333	1	0.880952380952381	0.976190476190476	0.742528282386221	0.958101009530607
Luteivirga	0.80952380952381	0.976190476190476	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.761904761904762	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.814385858101016	0.898219696434944
Nakamurella	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.904761904761905	0.80952380952381	0.857142857142857	0.976190476190476	0.904761904761905	1	0.766480807624486	0.994029797388005
Acidiphilium	0.886243433815812	0.898219696434944	0.898219696434944	0.898219696434944	0.850314645958414	0.862290908577547	0.958101009530607	0.934148484292342	0.874267171196679	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679	0.850314645958414	0.934148484292342	0.898219696434944	0.874267171196679	0.742528282386221	0.934148484292342	0.97007727214974	0.742528282386221	0.814385858101016	0.766480807624486	1	0.753012048192771
Armatimonadetes_gp5	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209	0.934148484292342	0.922172221673209	0.874267171196679	0.922172221673209	0.97007727214974	0.874267171196679	0.874267171196679	0.922172221673209	0.874267171196679	0.922172221673209	0.97007727214974	0.97007727214974	0.886243433815812	0.934148484292342	0.922172221673209	0.922172221673209	0.97007727214974	0.922172221673209	0.802409595481884	0.838338383339281	0.958101009530607	0.898219696434944	0.994029797388005	0.753012048192771	1
