g__Lachnella	Chondromyces	Phycicoccus	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Sporichthya	Rhodoligotrophos	Oscillochloris	Labilithrix	Uliginosibacterium	Gp22	Nakamurella	Roseiflexus	Acidiphilium	Armatimonadetes_gp5	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Sporichthya	0.904761904761905	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.976190476190476	0.80952380952381	0.97007727214974	0.994029797388005	0.790433332862751	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Rhodoligotrophos	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	1	0.934148484292342	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Oscillochloris	0.886243433815812	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.934148484292342	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.994029797388005	0.934148484292342	1	0.994029797388005	0.898219696434944	0.97007727214974	0.766480807624486	0.975903614457831	1	0.753012048192771	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	0.904761904761905	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.976190476190476	0.80952380952381	0.97007727214974	0.994029797388005	0.790433332862751	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Uliginosibacterium	0.928571428571429	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.898219696434944	0.904761904761905	1	0.952380952380953	0.80952380952381	0.802409595481884	0.898219696434944	0.778457070243618	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Gp22	0.952380952380953	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.97007727214974	0.976190476190476	0.952380952380953	1	0.857142857142857	0.922172221673209	0.97007727214974	0.838338383339281	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Nakamurella	0.904761904761905	0.80952380952381	0.80952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.880952380952381	0.80952380952381	0.928571428571429	0.766480807624486	0.80952380952381	0.80952380952381	0.857142857142857	1	0.69462323190969	0.766480807624486	0.994029797388005	0.670670706671425	0.69462323190969	0.69462323190969	0.69462323190969
Roseiflexus	0.814385858101016	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.886243433815812	0.934148484292342	0.934148484292342	0.886243433815812	0.934148484292342	0.97007727214974	0.886243433815812	0.975903614457831	0.97007727214974	0.802409595481884	0.922172221673209	0.69462323190969	1	0.975903614457831	0.680722891566265	0.975903614457831	1	1	1
Acidiphilium	0.886243433815812	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.934148484292342	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.994029797388005	0.934148484292342	1	0.994029797388005	0.898219696434944	0.97007727214974	0.766480807624486	0.975903614457831	1	0.753012048192771	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Armatimonadetes_gp5	0.898219696434944	0.790433332862751	0.790433332862751	0.838338383339281	0.874267171196679	0.922172221673209	0.874267171196679	0.874267171196679	0.922172221673209	0.874267171196679	0.790433332862751	0.922172221673209	0.753012048192771	0.790433332862751	0.778457070243618	0.838338383339281	0.994029797388005	0.680722891566265	0.753012048192771	1	0.656626506024096	0.680722891566265	0.680722891566265	0.680722891566265
Aciditerrimonas	0.790433332862751	0.922172221673209	0.922172221673209	0.898219696434944	0.886243433815812	0.862290908577547	0.886243433815812	0.886243433815812	0.862290908577547	0.886243433815812	0.922172221673209	0.862290908577547	0.927710843373494	0.922172221673209	0.754504545005353	0.898219696434944	0.670670706671425	0.975903614457831	0.927710843373494	0.656626506024096	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.814385858101016	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.886243433815812	0.934148484292342	0.934148484292342	0.886243433815812	0.934148484292342	0.97007727214974	0.886243433815812	0.975903614457831	0.97007727214974	0.802409595481884	0.922172221673209	0.69462323190969	1	0.975903614457831	0.680722891566265	0.975903614457831	1	1	1
Sneathiella	0.814385858101016	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.886243433815812	0.934148484292342	0.934148484292342	0.886243433815812	0.934148484292342	0.97007727214974	0.886243433815812	0.975903614457831	0.97007727214974	0.802409595481884	0.922172221673209	0.69462323190969	1	0.975903614457831	0.680722891566265	0.975903614457831	1	1	1
