Aeromicrobium	Sorangium	Agromyces	Solirubrobacter	Cellulomonas	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Rhizocola	g__Apodus	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Chitinimonas	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Thiomonas	Tumebacillus	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Armatimonadetes_gp5	Skermanella	Sneathiella	Terrimonas
Saccharibacteria_genera_incertae_sedis	0.880952380952381	0.833333333333333	0.952380952380953	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.857142857142857	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.833333333333333	0.833333333333333	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.80952380952381	0.952380952380953	0.850314645958414	0.850314645958414	0.80952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.886243433815812	0.778457070243618	0.934148484292342	0.778457070243618	0.922172221673209	0.886243433815812	0.886243433815812	0.886243433815812
g__Mortierella	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.80952380952381	0.826362120720149	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	0.80952380952381	1	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.802409595481884	0.826362120720149	0.874267171196679	0.826362120720149	0.97007727214974	0.802409595481884	0.802409595481884	0.802409595481884
Ideonella	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.874267171196679	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.874267171196679	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.880952380952381	0.833333333333333	0.952380952380953	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.857142857142857	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.833333333333333	0.833333333333333	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.80952380952381	0.952380952380953	0.850314645958414	0.850314645958414	0.80952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.928571428571429	0.886243433815812	0.778457070243618	0.934148484292342	0.778457070243618	0.922172221673209	0.886243433815812	0.886243433815812	0.886243433815812
Gemmatimonas	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.874267171196679	0.934148484292342	0.934148484292342	0.934148484292342
Haliangium	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.922172221673209	0.850314645958414	0.850314645958414	0.850314645958414
Rhizocola	0.904761904761905	0.80952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.714285714285714	0.904761904761905	0.928571428571429	0.904761904761905	0.761904761904762	0.833333333333333	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.904761904761905	0.880952380952381	1	0.946124746911475	0.80952380952381	0.80952380952381	0.714285714285714	0.833333333333333	0.952380952380953	0.80952380952381	0.785714285714286	0.880952380952381	0.714285714285714	0.833333333333333	0.976190476190476	0.928571428571429	0.718575757147955	0.952380952380953	0.814385858101016	0.714285714285714	0.880952380952381	0.738095238095238	0.714285714285714	0.880952380952381	0.833333333333333	0.634741918814027	0.682646969290558	0.738095238095238	1	0.80952380952381	0.952380952380953	0.761904761904762	0.666666666666667	0.904761904761905	0.761904761904762	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.778457070243618	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.874267171196679	0.790433332862751	0.898219696434944	0.898219696434944	0.874267171196679	0.742528282386221	0.898219696434944	0.946124746911475	0.946124746911475	0.838338383339281	0.874267171196679	0.826362120720149	0.946124746911475	0.946124746911475	0.874267171196679	0.946124746911475	0.898219696434944	0.946124746911475	1	0.826362120720149	0.706599494528823	0.730552019767088	0.910195959054077	0.97007727214974	0.826362120720149	0.814385858101016	0.778457070243618	0.742528282386221	0.874267171196679	0.97007727214974	0.874267171196679	0.813253012048193	0.97007727214974	0.897590361445783	0.778457070243618	0.898219696434944	0.730552019767088	0.778457070243618	0.778457070243618	0.910195959054077	0.608433734939759	0.740963855421687	0.730552019767088	0.946124746911475	0.826362120720149	0.97007727214974	0.838338383339281	0.64671818143316	0.874267171196679	0.730552019767088	0.921686746987952	0.807228915662651	0.897590361445783	0.807228915662651	0.734939759036145	0.921686746987952	0.921686746987952	0.921686746987952
Knoellia	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.80952380952381	0.826362120720149	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	0.80952380952381	1	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.802409595481884	0.826362120720149	0.874267171196679	0.826362120720149	0.97007727214974	0.802409595481884	0.802409595481884	0.802409595481884
