Variovorax	Pseudoxanthomonas	Mycobacterium	Caulobacter	Rhodanobacter	Burkholderia	Luteimonas	Altererythrobacter	g__Chaetomium	g__Pseudogymnoascus	Actinosynnema	Microvirga	Chitinophaga	Nocardia	Reyranella	Sphingobacterium	Afipia	Methylobacterium	Pedomicrobium	g__Didymella	Chelatococcus	Oxalicibacterium
Actinosynnema	0.904761904761905	0.904761904761905	0.761904761904762	0.833333333333333	0.714285714285714	0.857142857142857	0.904761904761905	0.80952380952381	0.761904761904762	0.904761904761905	1	0.714285714285714	0.904761904761905	0.785714285714286	0.857142857142857	0.666666666666667	0.80952380952381	0.785714285714286	0.761904761904762	0.833333333333333	0.952380952380953	0.706599494528823
Microvirga	0.904761904761905	0.904761904761905	0.952380952380953	0.833333333333333	0.952380952380953	0.80952380952381	0.761904761904762	0.80952380952381	0.714285714285714	0.761904761904762	0.714285714285714	1	0.80952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.952380952380953	0.785714285714286	0.80952380952381	0.833333333333333	0.761904761904762	0.898219696434944
Chitinophaga	0.880952380952381	0.880952380952381	0.785714285714286	0.80952380952381	0.785714285714286	0.880952380952381	0.761904761904762	0.80952380952381	0.833333333333333	0.785714285714286	0.904761904761905	0.80952380952381	1	0.833333333333333	0.857142857142857	0.714285714285714	0.80952380952381	0.761904761904762	0.80952380952381	0.785714285714286	0.928571428571429	0.766480807624486
Nocardia	0.952380952380953	0.952380952380953	0.904761904761905	0.785714285714286	0.976190476190476	0.80952380952381	0.880952380952381	0.785714285714286	0.880952380952381	0.857142857142857	0.785714285714286	0.928571428571429	0.833333333333333	1	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.857142857142857	0.80952380952381	0.80952380952381	0.898219696434944
Reyranella	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.761904761904762	0.80952380952381	0.80952380952381	0.761904761904762	0.80952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.880952380952381	1	0.714285714285714	0.904761904761905	0.761904761904762	0.738095238095238	0.976190476190476	0.785714285714286	0.766480807624486
Sphingobacterium	0.880952380952381	0.880952380952381	0.738095238095238	0.642857142857143	0.857142857142857	0.80952380952381	0.80952380952381	0.80952380952381	0.904761904761905	0.857142857142857	0.666666666666667	0.80952380952381	0.714285714285714	0.928571428571429	0.714285714285714	1	0.904761904761905	0.952380952380953	0.928571428571429	0.595238095238095	0.738095238095238	0.934148484292342
Afipia	0.976190476190476	0.976190476190476	0.928571428571429	0.833333333333333	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.80952380952381	0.904761904761905	0.80952380952381	0.952380952380953	0.80952380952381	0.976190476190476	0.904761904761905	0.904761904761905	1	0.904761904761905	0.880952380952381	0.833333333333333	0.833333333333333	0.934148484292342
Methylobacterium	0.928571428571429	0.928571428571429	0.738095238095238	0.738095238095238	0.785714285714286	0.904761904761905	0.857142857142857	0.928571428571429	0.880952380952381	0.952380952380953	0.785714285714286	0.785714285714286	0.761904761904762	0.880952380952381	0.761904761904762	0.952380952380953	0.904761904761905	1	0.976190476190476	0.642857142857143	0.833333333333333	0.946124746911475
Pedomicrobium	0.904761904761905	0.904761904761905	0.714285714285714	0.714285714285714	0.761904761904762	0.952380952380953	0.785714285714286	0.952380952380953	0.857142857142857	0.904761904761905	0.761904761904762	0.80952380952381	0.80952380952381	0.857142857142857	0.738095238095238	0.928571428571429	0.880952380952381	0.976190476190476	1	0.595238095238095	0.857142857142857	0.97007727214974
g__Didymella	0.857142857142857	0.857142857142857	0.952380952380953	0.952380952380953	0.857142857142857	0.642857142857143	0.785714285714286	0.690476190476191	0.666666666666667	0.738095238095238	0.833333333333333	0.833333333333333	0.785714285714286	0.80952380952381	0.976190476190476	0.595238095238095	0.833333333333333	0.642857142857143	0.595238095238095	1	0.714285714285714	0.634741918814027
Chelatococcus	0.904761904761905	0.904761904761905	0.714285714285714	0.738095238095238	0.714285714285714	0.952380952380953	0.880952380952381	0.857142857142857	0.761904761904762	0.904761904761905	0.952380952380953	0.761904761904762	0.928571428571429	0.80952380952381	0.785714285714286	0.738095238095238	0.833333333333333	0.833333333333333	0.857142857142857	0.714285714285714	1	0.814385858101016
Oxalicibacterium	0.910195959054077	0.910195959054077	0.790433332862751	0.718575757147955	0.838338383339281	0.922172221673209	0.790433332862751	0.922172221673209	0.790433332862751	0.874267171196679	0.706599494528823	0.898219696434944	0.766480807624486	0.898219696434944	0.766480807624486	0.934148484292342	0.934148484292342	0.946124746911475	0.97007727214974	0.634741918814027	0.814385858101016	1
