#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_75	73	34	19	30	0	0	0	0	0	0	0	0	0	0	0	78	71	7	37	1	0	0	0	0	0	335	101	7	977	631	250	15	248	2138	457	2333	119	6	1028	455
OTU_302	140	1	0	41	66	3	0	16	7	7	0	0	24	0	0	147	3	0	32	44	3	12	5	26	2	10	28	0	2	6	5	7	134	50	0	1	33	0	0	2
OTU_174	246	468	40	516	50	657	26	94	236	82	24	11	19	42	45	231	635	51	517	32	78	126	14	15	72	79	111	12	175	42	75	47	5	79	9	137	112	18	261	32
OTU_779	39	2	20	8	18	0	0	0	1	0	0	0	0	0	0	45	1	29	7	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_2544	2	4	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_299	84	41	105	28	34	0	0	1	4	4	0	0	0	63	58	104	64	128	22	37	4	12	0	2	52	14	0	1	4	0	0	0	3	0	0	0	0	1	0	0
OTU_208	46	130	5	562	43	0	0	1	1	8	7	0	5	58	12	52	235	8	521	23	0	10	12	0	12	20	5	0	0	3	6	9	0	0	0	13	18	0	0	8
OTU_1972	78	9	1	1	1	1	2	16	0	18	19	1	48	46	2	79	10	0	1	0	0	39	18	55	5	95	8	37	0	0	65	15	7	1	0	0	10	50	1	0
OTU_613	31	17	42	26	39	0	1	0	0	2	0	0	0	1	1	10	20	31	23	25	2	1	0	0	0	0	3	2	13	0	0	3	1	0	0	1	0	0	6	0
OTU_86	1497	268	589	345	660	15	3	12	1	9	5	1	15	21	5	1532	348	726	342	430	9	7	0	14	10	215	0	50	28	0	177	37	14	0	3	10	2	43	22	2
OTU_243	73	41	117	103	280	0	0	1	1	8	0	0	5	0	5	82	54	141	115	204	4	3	0	3	6	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0
OTU_1225	25	0	0	4	0	0	0	0	0	0	0	0	0	0	0	33	1	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97	367	417	357	79	159	22	131	2	21	462	286	0	350	21	8	310	632	469	74	136	152	821	431	378	15	39	0	0	3	0	28	28	5	7	10	22	5	5	7	0
OTU_133	244	92	190	173	270	50	16	19	16	96	5	8	27	52	18	244	141	217	164	216	27	116	9	20	25	317	4	589	0	0	208	178	66	0	1	0	3	595	2	0
OTU_33	67	95	117	44	92	565	186	182	1197	380	97	71	3975	76	675	75	137	104	45	66	313	641	193	3694	783	782	1009	8	992	1896	719	53	218	217	47	1317	1256	14	1087	1595
OTU_183	495	72	250	68	181	3	0	1	0	0	0	0	1	103	1	461	89	310	71	108	1	1	0	1	0	3	0	3	7	0	2	5	11	0	0	15	0	3	11	6
OTU_82	533	514	300	547	2400	0	0	10	8	8	8	1	4	1	26	596	716	439	586	1927	0	17	18	1	34	161	104	27	6	5	136	26	42	22	0	4	137	17	4	4
OTU_182	9	22	1004	26	2	0	0	3	0	0	3	0	0	0	0	13	28	1249	36	0	0	0	0	0	0	0	4	0	3	4	0	0	5	0	10	1	4	0	9	8
OTU_2095	5	1	1	0	3	0	1	0	0	0	0	0	4	1	0	3	1	3	0	1	0	0	0	3	0	3	0	2	1	1	3	0	9	0	0	0	0	0	2	0
OTU_1106	23	2	12	4	4	9	0	1	0	0	0	0	0	0	0	28	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_1441	152	7	255	35	182	0	0	2	38	172	7	0	0	3	2	128	20	205	63	158	0	282	3	1	3	9	0	1231	0	0	13	348	10	0	0	0	0	1266	1	0
OTU_295	257	16	12	90	46	0	12	4	11	8	0	1	8	7	6	267	31	18	80	33	38	3	0	3	7	2	0	6	1	0	1	93	0	0	0	0	0	0	0	0
OTU_1277	966	7248	1033	1305	1091	305	219	165	209	210	1043	302	118	181	54	979	9121	1141	1294	796	212	374	1249	92	99	848	2	43	20	5	816	284	59	56	21	3	4	33	44	11
OTU_1941	7	4	3	8	7	0	0	0	0	0	0	0	0	0	0	4	4	11	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_226	186	81	146	150	320	1	0	0	0	2	0	0	0	6	4	137	109	152	137	220	15	3	0	0	0	55	0	11	1	0	62	11	9	0	0	0	0	3	0	1
OTU_2168	2	3	2	2	4	0	0	0	0	0	0	0	0	0	0	1	0	2	1	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26	732	6709	3336	1955	2380	2	4	15	11	64	31	1	86	99	5	644	8865	3697	2070	1851	14	130	42	100	16	290	23	29	66	2	214	103	21	3	13	15	29	31	60	2
OTU_2392	20	0	0	0	6	0	0	2	0	0	0	3	0	0	0	19	0	0	0	4	0	0	0	0	3	29	0	0	0	0	47	0	0	0	0	0	0	0	0	0
OTU_485	105	57	216	547	145	163	32	2	25	44	56	2	75	70	81	93	76	236	568	149	99	82	105	133	151	2808	116	4109	795	32	2211	4346	1378	11	262	66	136	3756	942	14
OTU_90	192	158	2477	380	452	0	0	0	0	2	2	0	0	2	53	162	245	2726	403	392	0	1	0	0	90	13	0	0	2	0	3	0	0	0	0	0	0	0	0	0
OTU_142	348	126	534	136	642	21	0	0	0	0	7	0	0	0	2	193	152	556	137	656	0	0	7	0	5	10	0	0	22	1	4	1	0	0	2	0	0	1	17	0
OTU_61	4	10	24	23	54	378	1	1373	1349	447	329	1745	516	356	327	15	23	22	16	28	7	673	442	521	477	1632	29	10	248	0	1329	381	184	26	24	1	53	18	256	0
OTU_276	163	44	116	58	173	0	6	0	0	3	4	0	3	3	3	163	62	151	63	108	7	3	0	1	1	15	15	7	6	0	11	0	4	0	0	0	13	0	1	0
OTU_1230	20	4	11	8	9	0	0	0	0	0	0	0	1	0	0	5	1	11	9	18	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0
OTU_390	102	0	53	18	53	3	0	0	3	0	0	0	0	0	0	126	3	79	16	49	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_684	54	54	87	50	134	0	0	0	0	0	0	0	0	0	0	37	47	81	93	138	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0
OTU_100	392	0	0	109	1	28	0	0	1	7	8	0	439	0	0	407	0	0	110	0	0	9	0	418	0	5	0	0	0	0	7	4540	0	0	0	0	0	0	0	0
OTU_756	10	23	5	30	6	1	0	1	0	0	0	0	1	1	0	9	58	5	21	2	0	1	2	0	4	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_1030	12	16	16	4	24	0	0	0	0	0	0	0	0	0	0	4	26	21	0	7	0	0	0	0	0	0	0	0	7	6	2	0	6	0	2	8	0	0	5	0
OTU_419	148	0	0	0	84	0	0	0	0	0	0	0	0	0	0	153	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1875	10	2	0	2	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	12	0	1	0	0	3	0	3	0	0	0	0	1	0	0
OTU_2878	4	2	3	0	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_412	84	0	0	18	71	3	0	0	0	0	0	0	3	0	0	118	0	0	30	72	0	0	0	7	0	9	0	10	2	0	11	0	0	0	0	0	0	3	1	0
OTU_151	59	835	93	66	15	0	0	0	3	2	0	0	2	1	2	62	1189	125	74	30	0	1	1	0	1	48	44	3	19	31	87	0	140	1	16	2	35	2	47	15
OTU_308	93	252	4	1058	15	0	0	0	0	0	0	0	0	1	0	113	432	6	1028	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_446	19	10	128	20	20	0	0	1	0	0	0	3	1	1	0	4	16	127	10	6	0	0	0	3	0	6	0	2	0	17	0	0	0	0	4	8	0	1	0	2
OTU_417	54	78	32	10	8	11	0	1	0	2	0	1	0	25	6	34	114	26	15	4	0	0	0	0	9	5	3	0	4	10	3	11	0	0	0	0	0	0	0	2
OTU_450	240	48	116	64	220	0	0	0	0	0	0	0	0	2	0	149	46	121	78	169	1	0	0	1	0	3	0	0	1	0	1	0	1	0	0	0	0	1	0	1
OTU_2618	3	2	4	2	9	0	0	0	0	0	0	0	0	0	0	3	3	7	5	6	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
