TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10
funOTU_12	0.0102094258414403	0.0753321200668638	1.37253487747777	0.442440466350215	0.00682906542779908	0.121078184276612	0.607060558117828	0.227716997219575	0.0966258083201118	0.542580719278156	0.00988442733177515	0.0907054725630303	0.221333714421037	0.0515423073122647	0.237107211308802	0.0704246529081394	0.0332498787523343	0.147815482747017	0.116211881328219	0.0337894036979081
funOTU_36	0.00821858780235942	0.0493555269403591	0.0477016291987178	0.0367487558399439	0.0456693750484063	0.0507489419245207	0.0121033880746234	0.0540098006225916	0.00355989820126728	0.0633670913025584	0.00618499254093533	0.00686856585109806	0.00447138817012195	0.000570879986053565	0	0.000145655952240206	0.00274540283276155	0.00192931854991086	0.00037292220241707	0.0188202009567393
funOTU_18	0.00816754067315222	0.0655908976444246	0.124660257639316	1.65624095627153	0.0231547999661312	0.196602200211529	0.0351754715918742	0.0124076568997846	0.0508556885895325	0.0628720359017571	0.00578036686068722	0.0143431816302342	0.0016259593345898	0.0176157252839386	0.00123764753155694	0.00422402261496596	0.00854125325748038	0.0411093260250238	0.00074584440483414	0.0159008958578391
funOTU_26	0.00816754067315222	0.00844239276611405	0.0928591715068374	0.0211032459278886	0.00576202395470547	0.0207790943312998	0.0476570905438295	0.469301375680087	0.0205965538787607	0.0123763850200309	0.0373989735886463	0.0365650123249632	0	0	0	0.000145655952240206	0.151607245320277	0	0.000466152753021337	0.180686351759586
funOTU_414	0.00535994856675614	0.00259765931265048	0.00954032583974357	0.0021830944063333	0.00469498248161187	0.00279718577536728	0.00226938526399188	0.0058388973646045	0.00533984730190092	0.00594066480961485	0.00572256319208035	0.00262621635483161	0.00995900092436253	0.00448548560470658	0.00345238521960619	0.00451533451944637	0.0155572827189821	0.000890454715343476	0.00316983872054509	0.00180127335889584
funOTU_35	0.00484947727468413	0.0175342003603907	0.0235328037380341	0.0138262645734442	0.00341453271389954	0.00399597967909612	0.0143727733386153	0.0255451759701447	0.0678923442670259	0.0648522575049621	0.00144509171517181	0.0123230152034406	0.0024389390018847	0.00154953139071682	0.00788186059570469	0.038962967224255	0.00945638753506757	0.0142472754454956	0.00936967033572888	0.0146586383689454
funOTU_313	0.00479843014547693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.28279761201028e-05	0	0	0	0
funOTU_80	0.00479843014547693	0.000649414828162619	0.00254408689059828	0.0818660402374987	0.0109905271728641	0	0.0427400891385138	0.00510903519402894	0.000762835328842988	0.00297033240480742	0.000462429348854978	0.00040403328535871	0.000609734750471175	0.000244662851165814	0.000455975406363081	0.000145655952240206	0.00122017903678291	0.000296818238447825	0	0.00062112874444684
funOTU_14	0.00474738301626973	0.140273602883126	0.345359795398717	0.0174647552506664	0.00362794100851826	1.01417964255459	0.587392552496565	0.43426799149246	0.0368703742274111	0.23614142618219	0.00179191372681304	0.0252520803349194	0.165441362294512	0.0747037238892951	0.0116599425341417	0.00932198094337316	0.034775102548313	0.0623318300740433	0.00685244546941366	0.0111182045255984
funOTU_83	0.0036753933029185	0.0175342003603907	0.144376931041453	0.00509388694811103	0.000960337325784245	0.0423573845984188	0.325656785382835	0.0751758035692829	0.0139853143621214	0.0287132132464718	0.0186705849600197	0	0.000203244916823725	8.15542837219379e-05	0	0	0.00335549235115301	0	0	0.0144101868711667
