"TAD1"	"TAD2"	"TAD3"	"TAD4"	"TAD5"	"TAD6"	"TAD7"	"TAD8"	"TAD9"	"TAD10"	"TAH1"	"TAH2"	"TAH3"	"TAH4"	"TAH5"	"TAH6"	"TAH7"	"TAH8"	"TAH9"	"TAH10"	"TABS1"	"TABS2"	"TABS3"	"TABS4"	"TABS5"	"TAE0BS1"	"TAE0BS2"	"TAE0BS3"	"TAE0BS4"	"TAE0BS5"	"TAE0D1"	"TAE0D4"	"TAE0D5"	"TAE0D7"	"TAE0D9"	"TAE0H6"	"TAE0H7"	"TAE0H8"	"TAE0H9"	"TAE0H10"
"bacOTU_7"	0.0169491525423729	0.349703640982218	0.0373789687007431	0.123731679819617	0.113933795227098	0.176062091503268	0.26962962962963	0.439746300211416	0.135857461024499	0.0341443467593539	0.0201543739279588	0.66789667896679	0.0851859138304151	0.037261698440208	0.0436380339917317	0.057804674457429	0.0850556438791733	0.758508914100486	0.0160320641282565	0.23841059602649	0.00955109837631328	0.00635930047694754	0.0130232558139535	0.0260869565217391	0.0051440329218107	4	10	5	14	2	32	483	94	367	471	261	173	886	259	143
"bacOTU_29"	0.0159806295399516	0.0914479254868755	0.115964872776402	0.0239571589627959	0.00846805234795997	0.0735294117647059	0.12	0.0761099365750529	0.0244988864142539	0.0110406869760785	0.00214408233276158	0.0479704797047971	0.0114105843006099	0.0160311958405546	0.00444036135354463	0.00521702838063439	0	0.0623987034035656	0.00250501002004008	0.011037527593819	0.00286532951289398	0	0	0.00217391304347826	0.00102880658436214	1	3	0.5	0	0.5	14.5	67	11	146	133	11	7	97	38	13
"bacOTU_14"	0.0145278450363196	0.065198983911939	0.0252195451474893	0.0180383314543405	0.0100076982294072	0.00776143790849673	0.160740740740741	0.03276955602537	0.0111358574610245	0.0337354324269066	0.0840480274442539	0.421894218942189	0.0180995475113122	0.00389948006932409	0.0033685499923442	0.0250417362270451	0.247615262321145	0.317666126418152	0.00220440881763527	0.5	0.00286532951289398	0.027027027027027	0.000930232558139535	0.05	0	3	16	1.5	14	1	15	52	28	181	50	108	573	395	56	297
"bacOTU_25"	0.0145278450363196	0.0635055038103302	0.00788110785859041	0.02423900789177	0.0130869899923018	0.0130718954248366	0.13037037037037	0.18816067653277	0.0178173719376392	0.0161521161316704	0.102487135506003	0.198031980319803	0.00373795002951013	0.0101819757365685	0.00229673863114378	0.00542570951585977	0.100158982511924	0.0210696920583468	0.00340681362725451	0.120309050772627	0.0257879656160458	0.0302066772655008	0.00744186046511628	0.0326086956521739	0.0226337448559671	42	27	8.5	19	9	8.5	76	7	183	81	41	254	28	56	114
"bacOTU_15"	0.014043583535109	0.328535139712108	0.0319747804548525	0.0541149943630214	0.0123171670515781	0.0314542483660131	0.215555555555556	0.170190274841438	0.076961148230636	0.0169699447965651	0.0561749571183533	0.170971709717097	0.0127877237851662	0.00584922010398614	0.0173020976879498	0.0292153589315526	0.0294117647058824	0.306320907617504	0.00450901803607214	0.11037527593819	0.00286532951289398	0.0174880763116057	0.00186046511627907	0.0195652173913043	0.00617283950617284	0	4	1.5	8	4	17	204	26	246	280	127	51	337	53	64
"bacOTU_4"	0.014043583535109	0.236240474174428	0.0803873001576222	0.0958286358511838	0.0816012317167052	0.236519607843137	0.14	0.236786469344609	0.0821578817124474	0.122060928235535	0.134219554030875	0.776137761377614	0.778280542986425	0.122183708838821	0.0199050681365794	0.0924457429048414	0.0850556438791733	0.589951377633712	0.00991983967935872	0.21523178807947	0.0286532951289398	0.0508744038155803	0.0186046511627907	0.0695652173913043	0.0236625514403292	35	46	15.5	55	12	19	419	91	242	527	675	279	846	218	275
"bacOTU_368"	0.0135593220338983	0.0160880609652837	0.00045034902049088	0.00028184892897407	0	0	0.0118518518518519	0.00845665961945032	0.00197970799307102	0	0.000428816466552316	0.001230012300123	0	0	0.000306231817485837	0.000208681135225376	0.000794912559618442	0	0	0.0033112582781457	0	0.00158982511923688	0.00186046511627907	0.00434782608695652	0	0	2	0.5	1	0.5	13.5	1	1	10	5	0	2	0	0	0
"bacOTU_46"	0.0135593220338983	0.052497883149873	0.018914658860617	0.0205749718151071	0.0130869899923018	0.00490196078431373	0.0962962962962963	0.0792811839323467	0.0197970799307102	0.00695154365160499	0.0188679245283019	0.142681426814268	0.00786936848317923	0.00649913344887348	0.00199050681365794	0.00751252086811352	0.0174880763116057	0.080226904376013	0.00410821643286573	0.0474613686534216	0.0152817574021012	0.0540540540540541	0.00558139534883721	0.0195652173913043	0.00720164609053498	15	30	8	20	10.5	10	120	23	155	118	54	72	129	74	61
"bacOTU_37"	0.0130750605326877	0.0431837425910246	0.00607971177662689	0.0129650507328072	0.00307929176289453	0.00612745098039216	0.105925925925926	0.190274841437632	0.0126206384558278	0.00327131465957882	0.108490566037736	0.0627306273062731	0.00452488687782805	0.00563258232235702	0.00321543408360129	0.00584307178631052	0.0329888712241653	0.0453808752025932	0.00110220440881764	0.109271523178808	0.0181470869149952	0.0095389507154213	0.0316279069767442	0.0239130434782609	0.0174897119341564	26	7	14	12	12	21.5	114	18	221	94	54	161	83	59	165
"bacOTU_266"	0.011138014527845	0.00508044030482642	0.0022517451024544	0.0149379932356257	0.0023094688221709	0.00204248366013072	0.00296296296296296	0.00845665961945032	0.000494926998267755	0.000204457166223676	0	0.01230012300123	0.000590202636238442	0.000649913344887348	0	0.000626043405676127	0	0.0113452188006483	0.00260521042084168	0	0	0	0	0	0	0	0	0	0	0	20.5	63	4	15	3	8	0	11	60	0
"bacOTU_107"	0.0106537530266344	0.0262489415749365	0.00765593334834497	0.00704622322435175	0.00846805234795997	0.00735294117647059	0.0266666666666667	0.0348837209302326	0.0138579559514972	0.00592925782048661	0.00643224699828473	0.00861008610086101	0.000196734212079481	0	0.00137804317868627	0.00104340567612688	0.0174880763116057	0.00162074554294976	0.000100200400801603	0.0165562913907285	0.106017191977077	0.187599364069952	0.0995348837209302	0.221739130434783	0.106995884773663	159	122	50	92	62	14	32	4	64	83	7	49	3	8	21
"bacOTU_58"	0.0106537530266344	0.0304826418289585	0.0033776176536816	0.0143742953776776	0.00153964588144727	0.00122549019607843	0.0622222222222222	0.0919661733615222	0.00593912397921307	0.00960948681251278	0.0107204116638079	0.0836408364083641	0.00177060790871533	0.00433275563258232	0.00275608635737253	0.00375626043405676	0.0596184419713831	0.0405186385737439	0.000400801603206413	0.0286975717439294	0.000955109837631328	0	0	0.0282608695652174	0.00308641975308642	3	1	1	10	0.5	8	112	4	107	48	49	309	81	18	54
