funOTUID	Kindom	Phylum	Class	Order	Family	Genus	Species
funOTU_1090	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1091	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1096	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1079	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_terricola_SH434798.07FU
funOTU_1092	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1097	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1093	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1100	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1073	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1109	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1114	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1115	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1101	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1086	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1116	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1113	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1104	Fungi	Aphelidiomycota	Aphelidiomycetes	GS16	Unassigned	Unassigned	Unassigned
funOTU_1089	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina_phaseolina_SH182425.07FU
funOTU_1094	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1099	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1117	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1106	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1105	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1119	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1084	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Unassigned
funOTU_1108	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius_rotalis_SH631583.07FU
funOTU_1123	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1121	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1120	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1118	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_alcalophilum_SH206001.07FU
funOTU_1131	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1125	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1128	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1133	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1098	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unassigned	Unassigned	Unassigned
funOTU_1138	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1139	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1136	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1129	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1145	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1144	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1146	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1142	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_1150	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
