Sample,AA,OTUS,Treatment
BacWMH6313,0.517,OTU_16,Wet
BacWMH6314,0.366,OTU_16,Wet
BacWMH6315,0.146,OTU_16,Wet
BacDWYJ01,11.095,OTU_13,Dry
BacDWYJ03,3.468,OTU_13,Dry
BacDWYJ04,4.581,OTU_13,Dry
BacDWYJ06,13.291,OTU_13,Dry
BacDWYJ08,7.677,OTU_13,Dry
BacDWYJ09,5.843,OTU_13,Dry
BacDWYJ11,12.73,OTU_13,Dry
BacDWYJ12,5.063,OTU_13,Dry
BacDWYJ13,10.069,OTU_13,Dry
BacDWYJ14,3.149,OTU_13,Dry
BacDWYJ15,7.296,OTU_13,Dry
BacWWYJ01,5.981,OTU_13,Wet
BacWWYJ02,4.351,OTU_13,Wet
BacWWYJ03,2.665,OTU_13,Wet
BacWWYJ04,3.419,OTU_13,Wet
BacWWYJ05,4.415,OTU_13,Wet
BacWWYJ06,3.913,OTU_13,Wet
BacWWYJ08,2.264,OTU_13,Wet
BacWWYJ09,3.777,OTU_13,Wet
BacWWYJ10,2.758,OTU_13,Wet
BacWWYJ11,3.168,OTU_13,Wet
BacWWYJ12,2.282,OTU_13,Wet
BacWWYJ13,4.022,OTU_13,Wet
BacWWYJ15,2.519,OTU_13,Wet
BacDMH6301,0.088,OTU_12,Dry
BacDMH6302,8.298,OTU_12,Dry
BacDMH6303,3.956,OTU_12,Dry
BacDMH6304,1.403,OTU_12,Dry
BacDMH6305,3.31,OTU_12,Dry
BacDMH6306,0.502,OTU_12,Dry
BacDMH6307,1.044,OTU_12,Dry
BacDMH6308,0.038,OTU_12,Dry
BacDMH6309,1.378,OTU_12,Dry
BacDMH6310,0.238,OTU_12,Dry
BacDMH6311,1.408,OTU_12,Dry
BacDMH6312,0.587,OTU_12,Dry
BacDMH6313,6.625,OTU_12,Dry
BacDMH6314,0.651,OTU_12,Dry
BacDMH6315,0.312,OTU_12,Dry
BacWMH6302,1.996,OTU_12,Wet
BacWMH6303,0.444,OTU_12,Wet
BacWMH6304,1.072,OTU_12,Wet
BacWMH6305,4.727,OTU_12,Wet
BacWMH6306,2.896,OTU_12,Wet
BacWMH6308,1.048,OTU_12,Wet
BacWMH6309,2.546,OTU_12,Wet
BacWMH6310,0.56,OTU_12,Wet
BacWMH6311,4.611,OTU_12,Wet
BacWMH6312,0.986,OTU_12,Wet
BacWMH6313,3.161,OTU_12,Wet
BacWMH6314,4.25,OTU_12,Wet
BacWMH6315,1.298,OTU_12,Wet
BacDMH6301,1.162,OTU_20,Dry
BacDMH6302,3.116,OTU_20,Dry
BacDMH6303,2.376,OTU_20,Dry
BacDMH6304,0.793,OTU_20,Dry
BacDMH6305,0.905,OTU_20,Dry
BacDMH6306,3.178,OTU_20,Dry
BacDMH6307,1.129,OTU_20,Dry
BacDMH6308,5.075,OTU_20,Dry
BacDMH6309,1.857,OTU_20,Dry
BacDMH6310,1.691,OTU_20,Dry
BacDMH6311,0.921,OTU_20,Dry
BacDMH6312,0.644,OTU_20,Dry
BacDMH6313,1.8,OTU_20,Dry
BacDMH6314,2.951,OTU_20,Dry
BacDMH6315,1.941,OTU_20,Dry
BacWMH6302,0.815,OTU_20,Wet
BacWMH6303,1.261,OTU_20,Wet
