ZH11BacBI05501	ZH11BacBI05502	ZH11BacBI05503	ZH11BacBI05504	ZH11BacBI05505	ZH11BacBI05506	ZH11BacBI05507	ZH11BacBI05508	ZH11BacBI05509	ZH11BacBI0401	ZH11BacBI0402	ZH11BacBI0403	ZH11BacBI0404	ZH11BacBI0405	ZH11BacBI0406	ZH11BacBI0407	ZH11BacBI0408	ZH11BacBI0409	ZH11BacBI0301	ZH11BacBI0302	ZH11BacBI0303	ZH11BacBI0304	ZH11BacBI0305	ZH11BacBI0306	ZH11BacBI0307	ZH11BacBI0308	ZH11BacBI0309	ZH11BacBI0001	ZH11BacBI0002	ZH11BacBI0003	ZH11BacBI0004	ZH11BacBI0005	ZH11BacBI0006	ZH11BacBI0007	ZH11BacBI0008	ZH11BacBI0009
OTU_13	0.0156962018150728	0.0170773453994748	0.0173387768634745	0.00836320273794441	0.00909515023713675	0.00952215179774343	0.0125183714815277	0.0158174524179328	0.0125315968220747	0.0690968160186023	0.0567088291423802	0.0507393502681774	0.0281266443957944	0.0479525597284872	0.0449724921030377	0.0342235055346251	0.0416367170796429	0.0317760884716636	0.0630894409702678	0.0525681220118228	0.0412040314805373	0.0329786061831303	0.0526394521426042	0.0513397104357302	0.0500765893757089	0.0700431933025366	0.0352543972164477	0	0	0	0	0	0	0	0	0
OTU_17	0.0154388870312191	0.0165572232045669	0.0180999914574807	0.00881526775080627	0.00794677268194272	0.00721094990508726	0.0148104676682863	0.014272069135721	0.015423503781015	0.0741941221183352	0.0509574265924431	0.0468938416162734	0.033122374422298	0.0381361842768223	0.0335880730967032	0.0390960046276903	0.0352954929267087	0.0351882858914396	0.0651137011083513	0.0581067226674123	0.0431774046357355	0.0347644512832998	0.037203823318833	0.0395541794237544	0.0465242455069515	0.0642840862976613	0.0463315985276267	0	0	0	0	0	0	0	0	0
OTU_14	0.0128657391926826	0.0169039713345055	0.0135327038934435	0.0070974207019312	0.00794677268194272	0.00832032681356222	0.0111960082968593	0.0100904437838537	0.0108665594820787	0.0574862854580994	0.0452060240425059	0.0402710211602166	0.024294303553545	0.0376149608015126	0.0324577052521026	0.0312071965722513	0.0300310804223861	0.0286837845599917	0.0489196200036836	0.0469323529236792	0.0343366929004478	0.0285139934327065	0.0421115617140834	0.0414108041722164	0.0432010851135978	0.0560345546420293	0.0342911623198235	0	0	0	0	0	0	0	0	0
OTU_20	0.0120080232465037	0.0153436047497819	0.0140401802894476	0.00750427921350688	0.00794677268194272	0.00697982971582164	0.0113723233881484	0.0136357348430455	0.012619230366285	0.0528137548666776	0.0421002666655399	0.0352504959757864	0.0255945620535939	0.0346613611080913	0.0354451059842613	0.0343395174177933	0.0332615153682204	0.0265511611726317	0.0605028863493834	0.0480012056817754	0.0385991789156757	0.0310737047429495	0.0393410642328937	0.0473842924933548	0.0409092503595608	0.064128434756989	0.0364102790923968	0	0	0	0	0	0	0	0	0
OTU_12	0.0119222516518859	0.0168172843020208	0.0148859742827878	0.00763989871736543	0.00831425349960481	0.00864389507853409	0.0137525771205515	0.014272069135721	0.0113923607473406	0.067822489493669	0.0513025107454393	0.0448642676055463	0.0301112494748164	0.04630201872334	0.0415813885692359	0.0332954104692793	0.0337400983231589	0.0292169404068316	0.0614025575218649	0.0465436791934623	0.0419144458164086	0.0297640850028252	0.0459902581877489	0.0473035696782043	0.0405654751464553	0.0566571608047185	0.0333279274231992	0	0	0	0	0	0	0	0	0
OTU_22	0.011836480057268	0.0130897419051812	0.00947289272541044	0.00519874764791139	0.00610936859363226	0.00628646914802479	0.00908022720138979	0.00845415560268823	0.00858808733261062	0.0396457141090341	0.035773723860609	0.0302299707913562	0.0179983150269925	0.0273642324537563	0.0255140170638418	0.0245945192316628	0.0275185199089594	0.0202599221799198	0.0421720862100721	0.0379928571286927	0.0304688815162594	0.0242279651922997	0.0359373101845749	0.0385047828267977	0.0312835443926053	0.045138946794968	0.0301492522643392	0	0	0	0	0	0	0	0	0
OTU_19	0.0112360788949428	0.00892876434591828	0.00938831332607642	0.00474668263504953	0.00509879634506151	0.00471485186101859	0.00872759701881154	0.00881777519850278	0.0109541930262891	0.0342652243370938	0.0291020969026819	0.0260640030851269	0.0167664911848409	0.0202408449578578	0.017762923272295	0.0225063053346348	0.0239291477469212	0.0175941429457198	0.0381235659339052	0.0281788454407183	0.0245487620506649	0.019584767931859	0.0187602258011988	0.0205843178633824	0.0250955905567054	0.0368894151393359	0.0265852831468294	0	0	0	0	0	0	0	0	0
OTU_15	0.0105499061379997	0.0140432992625122	0.011756536507429	0.0042042046196153	0.00473131552739942	0.00323568264971864	0.01004996020348	0.0118176368639728	0.0132326651757572	0.0441766528643523	0.0271466200357033	0.0307640692152318	0.0260051700009778	0.0231944446512792	0.025271795382856	0.0288869589088869	0.0301507261611207	0.0312429326248236	0.0507189623486467	0.0434342893517279	0.0385991789156757	0.0272043736925822	0.0288131738043728	0.0317240663541541	0.0406800668841571	0.0446719921729511	0.0423823354514672	0	0	0	0	0	0	0	0	0
OTU_18	0.00883447424564204	0.0104891309306419	0.00896541632940631	0.00424941112090148	0.00496099103843823	0.00522331627740295	0.00899206965574523	0.00799963110792005	0.007010683536825	0.0413448161422784	0.0294471810556782	0.0286276755197295	0.0189564002375549	0.0269298795576649	0.0247873520208843	0.021578210269289	0.0218951701884329	0.0174875117763518	0.0351996346233402	0.0327457617707658	0.0243119572720412	0.0198228806118816	0.0264384616776388	0.0272843115208755	0.0253247740321091	0.0398467944121097	0.0213838147050585	0	0	0	0	0	0	0	0	0
OTU_26	0.00823407308331685	0.00892876434591828	0.00828878113473414	0.00384255260932581	0.00477725062960718	0.00522331627740295	0.00573024046689647	0.00627243802780095	0.00674778290419406	0.0346899998454048	0.0265714797807096	0.0230730519114238	0.0147134514479216	0.0242368916018984	0.0194584750391958	0.0190259488395882	0.0239291477469212	0.0166344624214078	0.0308137376574927	0.0267213189524053	0.0250223716079125	0.0189299580617968	0.0193143252974367	0.0242168445451558	0.0222307971141591	0.02972944426841	0.0178198455875487	0	0	0	0	0	0	0	0	0
