TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAH6	TAH8	TAH10	species	ID
bacOTU_32	35.3509157456281	8.91913821105499	8.08309202789072	38.2511231475259	23.0773255015426	4.15253096544591	7.27034217176674	6.67168611371575	26.3402877936186	13.2539508666574	0.552443873198575	2.43660315346482	5.63372327994761	8.86220170945511	bac	bacOTU_32
bacOTU_53	14.481157052426	6.91235461356762	5.16791457520882	3.23258082936838	9.6505761188269	4.93111177146702	3.79326982874787	1.98175924169775	0.192364144478968	0.0993797817727146	0.184214624399525	0.524885294592423	0.420519647757284	2.61328383740343	bac	bacOTU_53
bacOTU_26	70.7017314912563	7.80425843467312	6.36048716948778	6.1956882562894	26.4340128472215	5.8827105343817	8.21863462895371	15.6552080094122	7.88292992363768	3.02813334406779	0.789162675997964	2.32414916176645	4.54063219577867	27.2681052598619	bac	bacOTU_26
bacOTU_11	27.6844737766967	13.6016332718589	4.63788231108484	3.23258082936838	24.5458762152771	2.24933343961653	12.4859506862951	6.40746488148938	5.960288478848	1.19145738127258	1.551923262796	3.48617374264967	18.7508162899749	29.6540557200998	bac	bacOTU_11
bacOTU_48	27.6844737766967	14.270561137688	6.09547103742579	15.3543839394998	13.8464353009256	4.84460279302023	4.42546480020584	1.5854273933582	11.0552883075406	5.75832734281745	0.920673121997625	2.13672584226915	7.23131794142529	4.77200092047583	bac	bacOTU_48
bacOTU_16	24.7030796776679	52.3994494899481	16.4311001878434	22.6274658055787	5.24492397762332	19.7241470858681	12.0118044577016	0.330376540282958	46.3357588194312	3.27633279849958	0.236818802799389	1.19960924478268	8.15624116649131	1.13626688582758	bac	bacOTU_16
bacOTU_25	23.4253393495126	6.02045079246212	4.50537424505384	14.2768903297104	18.2520874421291	2.59536935340369	7.42839091463124	8.78545597152668	5.19123190093213	3.97129127090858	2.44619429559369	2.88641912025833	13.8739483759904	8.63496833228959	bac	bacOTU_25
bacOTU_139	4.25923442718411	0.223075955276375	0.132608066030995	0.269473402447365	1.88823663194439	0.346135913787159	1e-04	0.0661553080565915	1e-04	1e-04	0.0264020891999321	1e-04	1e-04	0.113716688582758	bac	bacOTU_139
bacOTU_50	17.0366377087365	4.01366719497475	4.10785004696086	4.84882124405257	17.2031226466045	2.5088603749569	6.63814720030876	8.91756658763986	2.88406216718452	2.03533552634065	0.710256408398168	1.42451722817943	8.24032509604277	3.63583403464825	bac	bacOTU_50
bacOTU_206	11.0738495106787	2.6758114633165	2.7827693866509	33.6717753059206	15.3149860146601	1.47075263359543	2.05473365723843	0.726708388622507	0.192364144478968	0.347579236204501	0.131610445999661	0.712308614089717	6.30639471635926	1.24988357441034	bac	bacOTU_206
