Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mesorhizobium	Mycobacterium	Caulobacter	Umezawaea	Microbacterium	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	Lysobacter	Kineosporia	Cellulomonas	Burkholderia	Phycicoccus	g__Acremonium	g__Lachnella	g__Scytalidium	g__Magnaporthiopsis	g__Podospora	g__Ophiosphaerella	g__Gibberella	g__Cladosporium	g__Pyrenochaetopsis	g__Mycosphaerella	g__Sarocladium	g__Mortierella	g__Bipolaris
Kribbella	0.132548902627589	0.23168960494058	0.492020962904892	0.171013148869103	0.0433144165099354	0.333170135915476	0.358171399916303	0.22010439650727	0.0433144165099354	0.504149546055297	0.0387210488787062	0.000525730789939475	0.368459654854376	0.00499139592987034	0.98510295927032	0.00130725178033784	0	0.00138239120269041	0.339918057495662	0.0593487084259939	0.213826426862526	0.90991798962012	0.00737796534757995	0.436358619835112	0.475211028229305	0.647790648924538	0.927372186087973	0.103310710869011	0.702758681164876	0.690467726104697	0.718933156156758	0.0135774649255498	0.42735288548199	0.608687954532124	0.0102220864809906	0.0488287720253743	0.581197334890361	0.577086891651346	0.335764438262309	0.344034394420671	0.160629133853013	0.54630702958244	0.00166767766951772	0.100540179430096	0.0345076988320426	0.129863425822574	0.43355523082632	0.0983311879496131	0.119771408617503	0.673758737037941	0.955327485542882	0.673758737037941	0.686678634779435	0.736849664565559	0.000923646534614136	0.484119467774241
Mesorhizobium	0.729235337448989	0.0961571099142059	0.39488908833634	0.566830730716329	0.22010439650727	0.560415506280904	0.541361632626163	0.851794399000938	0.0983311879496131	0.925607776019925	0.277430325791221	4.85755334493471e-05	0.918190900918974	0.0858010189515453	0.235635841277305	0.00499139592987034	0.0364274805951236	0	0.895314081037148	0.0867225713554143	0.109276082697822	0.327991493121895	0.0373592259732144	0.673758737037941	0.150333182629904	0.851054728885482	0.95690776230211	0.312507117980813	0.335764438262309	0.46260709361951	0.634963013122478	0.219928689154589	0.470496692073796	0.698809001571321	0.010425976758405	0.285084102425222	0.256861417369617	0.891601793572544	0.854675526887732	0.126535902743333	0.563945815927218	0.621611556166658	0.0298454950125677	0.947890881823222	0.304542220005761	0.516417623083982	0.873843532782525	0.743395026137277	0.617327063014741	0.851054728885482	0.659750043107423	0.378602616408569	0.678373705495856	0.363370498096685	0.00436797854042077	0.88104386229828
Mycobacterium	0.0858010189515453	0.486009775519929	0.129863425822574	0.251844416752926	0.547680584702937	0.504149546055297	0.444950543678808	0.338087647858881	0.338087647858881	0.98510295927032	0.0898416849718557	0.201636943552964	0.368459654854376	0.743395026137277	0.98510295927032	0.444950543678808	0.107379242778117	0.76477988313521	0	0.605966363012461	0.599369052164823	0.373664866717298	0.339918057495662	0.416749848551334	0.639378272107459	0.779127287251723	0.757632908692156	0.581197334890361	0.851054728885482	0.944405475655469	0.498067657323734	0.518944908876239	0.398530284757962	0.128766853567821	0.715494450915152	0.256861417369617	0.740716344774294	0.947323842899044	0.944405475655469	0.924049825605554	0.145602196990744	0.54630702958244	0.599461752079176	0.158463989982369	0.0799888724598652	0.0565941087969963	0.0297444194091824	0.687265838956656	0.0551444817999355	0.487781043557679	0.970210571395858	0.528357287462286	0.639378272107459	0.170871290994842	0.522603153588037	0.500891672462632
Caulobacter	0.970210571395858	0.0134789952898069	0.146554291784015	0.0172267385253585	0.368459654854376	0.32346003406511	0.405740688633927	0.416749848551334	0.149472369651657	0.353088659052	0.851794399000938	0.0726918417890812	0.0297444194091824	0.0002620675462425	0.462326120624514	0.0112210900834503	0.00363634895773983	0.0076069102745941	0.806791883307869	0	0.0217465796864236	0.888592867568345	0.305368730864435	0.422312981800965	0.0799888724598652	0.646142698586307	0.736305151542122	0.46260709361951	0.963563223221785	0.267225534003458	0.977655893023622	0.643952709789465	0.581197334890361	0.431914614640121	0.0303169826586486	0.802627644973487	0.643952709789465	0.902219380683168	0.202048020572519	0.160629133853013	0.990442203747588	0.771424627617092	0.128766853567821	0.468192284279852	0.273059897379955	0.498067657323734	0.411225678209065	0.32346003406511	0.305368730864435	0.706450634991619	0.277430325791221	0.950515375629611	0.00154335310856053	0.888036212256756	0.00398857681268207	0.0954378952830919
Umezawaea	0.290795938504419	0.0470210969967303	0.427914853142708	0.736305151542122	0.786326661978121	0.114541775611076	0.566830730716329	0.708151309718605	0.000818701045408342	0.612592598367419	0.0709464396376372	0.0116467313805442	0.859133376284092	0.00477608566555708	0.560415506280904	0.149472369651657	0.0445245262088991	0.0120850762092863	0.802627644973487	0.14788993160517	0	0.586038218240195	0.274420593764129	0.223923936072404	0.010425976758405	0.207660245048697	0.402294513854827	0.031436572036516	0.190086266490592	0.0395734025162913	0.835994883723102	0.484119467774241	0.782756274174128	0.782756274174128	0.083124201557579	0.315951815868209	0.0536547615363935	0.736849664565559	0.604557429521292	0.00544903023702227	0.386808044484035	0.940909648523675	0.145602196990744	0.586262862651232	0.592801081886075	0.79354244291606	0.480034401339913	0.612592598367419	0.953726999077232	0.913887109836366	0.0271397758044596	0.866331694194906	0.117669807054145	0.969624626395423	0.00330981324288434	0.351943538351153
Microbacterium	0.00330981324288434	0.786326661978121	0.722186091025371	0.030654016087949	0.161540912357608	0.158463989982369	0.194542528266613	0.243655337594556	0.522603153588037	0.000349610950046986	0.743395026137277	0.0961571099142059	0.0184349895156923	0.673458997542294	0.837151446108293	0.277430325791221	0.79354244291606	0.100540179430096	0.643952709789465	0.953726999077232	0.309208659898238	0	0.599461752079176	0.0076069102745941	0.112117908825948	0.698809001571321	0.940909648523675	0.866331694194906	0.031436572036516	0.639355264449211	0.23168960494058	0.791224256692379	0.950515375629611	0.959907438438384	0.740716344774294	0.873739813210945	0.386808044484035	0.541819034542478	0.140551626860185	0.359331768406845	0.745284267357605	0.394795058937824	0.827235410472221	0.0059324373230873	0.0537227308401887	0.0178228445091595	0.338087647858881	0.708151309718605	0.514710470451313	0.00919160322852842	1	0.00455531090065803	0.955327485542882	0.101181039939488	0.273059897379955	0.497006587319681
Aeromicrobium	0.456496928548754	0.895980810455174	0.358171399916303	0.925607776019925	0.117002321602297	0.535075506276651	0.2560026072263	0.0626776221113285	0.0190634654032002	0.98510295927032	0.000770053379280218	5.34635170114489e-05	0.625930150846739	0.102784346815144	0.903376844718889	0.000561238152431941	5.34635170114489e-05	0.00146104977384656	0.107379242778117	0.0878045742079767	0.0709464396376372	0.32346003406511	0	0.102784346815144	0.0315848269163221	0.117002321602297	0.592801081886075	0.202048020572519	0.54630702958244	0.581197334890361	0.474095139944086	0.0135774649255498	0.28814331499093	0.643952709789465	0.0164050158496169	0.0218960024527683	0.168240773004657	0.723171640189954	0.93040543719116	0.226562095658723	0.0817502176870327	0.643952709789465	0.00206412025606001	0.373664866717298	0.102784346815144	0.201636943552964	0.127215995315987	0.486009775519929	0.100540179430096	0.944405475655469	0.646142698586307	0.431914614640121	0.566830730716329	0.71093402036926	0.000349610950046986	0.88104386229828
Stenotrophomonas	0.10506394931044	0.286298378658792	0.0551444817999355	0.2560026072263	0.045759980280991	0.0858010189515453	0.0421293326577055	0.0190634654032002	0.0781167127530595	0.0483081942842584	0.17425156925857	0.149472369651657	0.112117908825948	0.450704980881877	0.0325371669917594	0.0919126286128184	0.17425156925857	0.411225678209065	0.678373705495856	0.682745187096299	0.497006587319681	0.0867225713554143	0.331765236031609	0	0.339918057495662	0.678373705495856	0.978725649786392	0.536853239517561	0.0417732005199484	0.475211028229305	0.590346961891325	0.88104386229828	0.715494450915152	0.694382775716275	0.378602616408569	0.740716344774294	0.335764438262309	0.184596431273543	0.398530284757962	0.312507117980813	0.818566870969997	0.536853239517561	0.568485652598866	0.155427040254569	0.184211882852102	0.304542220005761	0.450704980881877	0.2560026072263	0.706450634991619	0.212566231349723	0.592801081886075	0.19614630758639	0.630553748086284	0.590346961891325	0.0878045742079767	0.866331694194906
Galbitalea	0.0433144165099354	0.405740688633927	0.251844416752926	0.427914853142708	0.98510295927032	0.102784346815144	0.592801081886075	0.98510295927032	3.99231105590534e-05	0.666592049963725	0.0108078897524504	0.00701134569659579	0.373664866717298	0.0818934520336592	0.605966363012461	0.0263119019523056	0.205246662827868	0.0224611517681826	0.827235410472221	0.291216895025972	0.000109735338171724	0.348016347902539	0.178320680664281	0.107379242778117	0	0.0653884637976874	0.173341633381215	0.0669576242063976	0.274420593764129	0.0097940392846791	0.264446347071011	0.736849664565559	0.953726999077232	0.431914614640121	0.11379019093141	0.398530284757962	9.10732816163968e-05	0.990442203747588	0.847636721470172	7.21632197002737e-05	0.484119467774241	0.906343984727165	0.210722592523116	0.295335799471405	0.239624406310444	0.652933439953992	0.903376844718889	0.107379242778117	0.690467726104697	0.532202725624492	0.000225698556484369	0.782756274174128	0.0669576242063976	0.88104386229828	0.00138239120269041	0.608687954532124
Arthrobacter	0.680350418048162	0.450704980881877	0.829848583535362	0.171013148869103	0.829848583535362	0.378910588269484	0.124606393508405	0.815282850275457	0.00891949507827314	0.708151309718605	0.000723824670499067	0.227785653323252	0.605966363012461	0.146554291784015	0.318667647645399	0.107379242778117	0.378910588269484	0.680350418048162	0.902219380683168	0.831597223128898	0.0421293326577055	0.444950543678808	0.35568582482389	0.416749848551334	0.00436797854042077	0	0.0298454950125677	0.0623519240323425	0.898845386007271	0.0476717127847206	0.0626776221113285	0.532596573619981	0.62625168499554	0.802627644973487	0.518944908876239	0.419252932077931	0.0364274805951236	0.806791883307869	0.959907438438384	0.0686122492313373	0.331765236031609	0.673758737037941	0.45407658446304	0.605966363012461	0.358171399916303	0.566830730716329	0.873843532782525	0.216326971668755	0.806791883307869	0.594890488944688	0.00824232891210193	0.767657306162651	0.0692319858533618	0.814918665792105	0.00824232891210193	0.767657306162651
