Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	g__Acremonium	Mycobacterium	Microbacterium	g__Ophiosphaerella	g__Gibberella	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	g__Pseudogymnoascus	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	g__Didymella	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus
Lysobacter	0.862745098039216	0.845588235294118	0.921568627450981	0.926470588235294	0.901960784313726	0.715686274509804	0.791666666666667	0.674019607843137	0.857843137254902	0.574940310358584	1	0.54656862745098	0.813725490196079	0.806372549019608	0.816176470588235	0.700980392156863	0.926470588235294	0.848039215686275	0.830882352941177	0.843137254901961	0.897058823529412	0.855392156862745	0.918455108253823	0.821078431372549	0.921568627450981	0.924019607843137	0.713235294117647	0.784313725490196	0.766401125044912	0.860294117647059	0.899509803921569	0.875	0.898835239452673	0.598038492844531	0.781862745098039	0.664623055638948	0.862745098039216	0.853283787728692	0.767156862745098	0.872549019607843	0.827713215048505	0.860294117647059	0.869338421302909
g__Pyrenochaetopsis	0.639705882352941	0.377450980392157	0.598039215686275	0.66421568627451	0.644607843137255	0.752450980392157	0.357843137254902	0.838235294117647	0.575980392156863	0.808356248324675	0.54656862745098	1	0.431372549019608	0.377450980392157	0.372549019607843	0.688725490196079	0.705882352941177	0.676470588235294	0.42156862745098	0.651960784313726	0.365196078431373	0.740196078431373	0.47455557662781	0.583333333333333	0.357843137254902	0.595588235294118	0.732843137254902	0.370098039215686	0.716125211241966	0.512254901960784	0.495098039215686	0.446078431372549	0.405886035823786	0.664624221944747	0.46078431372549	0.463519400427163	0.517156862745098	0.456235551242219	0.752450980392157	0.281862745098039	0.445125773426085	0.33578431372549	0.4183847733648
Burkholderia	0.821078431372549	0.642156862745098	0.78921568627451	0.799019607843137	0.637254901960784	0.53921568627451	0.882352941176471	0.529411764705882	0.754901960784314	0.567569280738602	0.813725490196079	0.431372549019608	1	0.862745098039216	0.808823529411765	0.642156862745098	0.825980392156863	0.779411764705882	0.909313725490196	0.799019607843137	0.740196078431373	0.737745098039216	0.898835239452673	0.83578431372549	0.884803921568628	0.779411764705882	0.384803921568628	0.882352941176471	0.608215932835642	0.825980392156863	0.941176470588235	0.865196078431373	0.864500469050661	0.452536344069985	0.522058823529412	0.851011809249871	0.860294117647059	0.81629171600635	0.654411764705882	0.843137254901961	0.714898969441894	0.889705882352941	0.924454978273122
Bacillus	0.892156862745098	0.642156862745098	0.794117647058824	0.821078431372549	0.713235294117647	0.693627450980392	0.862745098039216	0.602941176470588	0.911764705882353	0.64127957693842	0.806372549019608	0.377450980392157	0.862745098039216	1	0.872549019607843	0.58578431372549	0.74264705882353	0.808823529411765	0.860294117647059	0.813725490196079	0.723039215686275	0.737745098039216	0.846106842049583	0.740196078431373	0.862745098039216	0.845588235294118	0.416666666666667	0.931372549019608	0.681790440839954	0.823529411764706	0.875	0.781862745098039	0.928265042654398	0.659691945715101	0.558823529411765	0.798283411846781	0.857843137254902	0.902606550025148	0.651960784313726	0.865196078431373	0.839975633049224	0.850490196078431	0.784158287803488
Amycolatopsis	0.794117647058824	0.66421568627451	0.781862745098039	0.825980392156863	0.754901960784314	0.713235294117647	0.875	0.563725490196079	0.83578431372549	0.542999182005329	0.816176470588235	0.372549019607843	0.808823529411765	0.872549019607843	1	0.588235294117647	0.774509803921569	0.781862745098039	0.892156862745098	0.786764705882353	0.79656862745098	0.786764705882353	0.832618182248793	0.862745098039216	0.862745098039216	0.786764705882353	0.455882352941177	0.830882352941177	0.763948641444768	0.79656862745098	0.855392156862745	0.762254901960784	0.900061481252745	0.668323429116981	0.61764705882353	0.7320663546429	0.850490196078431	0.763269746537659	0.74264705882353	0.875	0.767627366844984	0.875	0.848043387928053
Sphingobium	0.720588235294118	0.495098039215686	0.752450980392157	0.752450980392157	0.79656862745098	0.688725490196079	0.593137254901961	0.74264705882353	0.754901960784314	0.638822567065093	0.700980392156863	0.688725490196079	0.642156862745098	0.58578431372549	0.588235294117647	1	0.830882352941177	0.882352941176471	0.575980392156863	0.897058823529412	0.544117647058824	0.757352941176471	0.686695408040241	0.715686274509804	0.590686274509804	0.681372549019608	0.649509803921569	0.531862745098039	0.770079850445128	0.767156862745098	0.656862745098039	0.639705882352941	0.616799625436145	0.552414937720309	0.482843137254902	0.71244648584175	0.688725490196079	0.614068390590879	0.759803921568628	0.519607843137255	0.555487535432552	0.53921568627451	0.642608948311804
Luteimonas	0.879901960784314	0.767156862745098	0.950980392156863	0.941176470588235	0.911764705882353	0.723039215686275	0.772058823529412	0.764705882352941	0.843137254901961	0.660935655925039	0.926470588235294	0.705882352941177	0.825980392156863	0.74264705882353	0.774509803921569	0.830882352941177	1	0.879901960784314	0.806372549019608	0.897058823529412	0.803921568627451	0.904411764705882	0.896382755852529	0.882352941176471	0.823529411764706	0.887254901960784	0.745098039215686	0.727941176470588	0.809319588047427	0.884803921568628	0.906862745098039	0.884803921568628	0.826486973248433	0.586940871327828	0.740196078431373	0.746781256243762	0.875	0.79902874920259	0.823529411764706	0.732843137254902	0.73819756364326	0.799019607843137	0.865580474236758
Achromobacter	0.843137254901961	0.58578431372549	0.843137254901961	0.901960784313726	0.857843137254902	0.808823529411765	0.791666666666667	0.823529411764706	0.909313725490196	0.710075853391584	0.848039215686275	0.676470588235294	0.779411764705882	0.808823529411765	0.781862745098039	0.882352941176471	0.879901960784314	1	0.786764705882353	0.931372549019608	0.683823529411765	0.799019607843137	0.826486973248433	0.816176470588235	0.757352941176471	0.875	0.61764705882353	0.700980392156863	0.848559325649727	0.882352941176471	0.803921568627451	0.779411764705882	0.800735895446924	0.669556498174392	0.54656862745098	0.71244648584175	0.843137254901961	0.786698058628476	0.82843137254902	0.727941176470588	0.773758575845343	0.681372549019608	0.760357956384532
Microvirga	0.794117647058824	0.691176470588235	0.823529411764706	0.850490196078431	0.723039215686275	0.58578431372549	0.933823529411765	0.551470588235294	0.784313725490196	0.528257122765365	0.830882352941177	0.42156862745098	0.909313725490196	0.860294117647059	0.892156862745098	0.575980392156863	0.806372549019608	0.786764705882353	1	0.767156862745098	0.83578431372549	0.791666666666667	0.871857919851092	0.830882352941177	0.840686274509804	0.852941176470588	0.41421568627451	0.779411764705882	0.669528022839235	0.813725490196079	0.933823529411765	0.892156862745098	0.897608997652601	0.489528415792327	0.67156862745098	0.750459981643978	0.843137254901961	0.8434192352694	0.637254901960784	0.875	0.779889784845703	0.82843137254902	0.943244713603876
Novosphingobium	0.909313725490196	0.71078431372549	0.877450980392157	0.901960784313726	0.887254901960784	0.772058823529412	0.799019607843137	0.83578431372549	0.86764705882353	0.69533379415162	0.843137254901961	0.651960784313726	0.799019607843137	0.813725490196079	0.786764705882353	0.897058823529412	0.897058823529412	0.931372549019608	0.767156862745098	1	0.767156862745098	0.848039215686275	0.827713215048505	0.884803921568628	0.794117647058824	0.852941176470588	0.639705882352941	0.772058823529412	0.87676288705138	0.892156862745098	0.852941176470588	0.803921568627451	0.816677038847858	0.639962840796519	0.607843137254902	0.815450797047787	0.86764705882353	0.785464989571064	0.872549019607843	0.759803921568628	0.821582006048146	0.75	0.774137095627086
