Promicromonospora	Nocardioides	Massilia	Umezawaea	Galbitalea	Sphingomonas	Caulobacter	Kribbella	Arthrobacter	Shinella	g__Cladosporium	Chondromyces	g__Mycosphaerella	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Dactylosporangium	Piscinibacter	Lysobacter	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	Terrabacter	Kinneretia	Knoellia	Geobacter	Arenimonas	Kaistia	g__Ophiosphaerella	g__Exophiala	Roseiflexus	Iamia	g__Didymella	Thiomonas	g__Bipolaris	Gp6	Rhodoligotrophos	Reyranella	Actinokineospora	Skermanella	Cellvibrio	Nitrospira	Pseudolabrys	Rhizocola	Geodermatophilus	Algoriphagus	g__Knufia	Haliangium	Methylosinus	Aciditerrimonas	Microlunatus	Variibacter	Tahibacter	g__Claussenomyces	Gp7	Flavitalea	Pedobacter	Terrimonas	Opitutus	Nakamurella	Acidiphilium	Gp22	g__Guehomyces
g__Cladosporium	0.733333333333333	0.806060606060606	0.793939393939394	0.709090909090909	0.624242424242424	0.76969696969697	0.672727272727273	0.696969696969697	0.842424242424242	0.745454545454545	1	0.781818181818182	0.83030303030303	0.636363636363636	0.684848484848485	0.76969696969697	0.696969696969697	0.672727272727273	0.660606060606061	0.76969696969697	0.709090909090909	0.696969696969697	0.733333333333333	0.793939393939394	0.76969696969697	0.745454545454545	0.709090909090909	0.757575757575757	0.878787878787879	0.721212121212121	0.660606060606061	0.890909090909091	0.806060606060606	0.76969696969697	0.899700204646495	0.672727272727273	0.709090909090909	0.539393939393939	0.624242424242424	0.660606060606061	0.587878787878788	0.539393939393939	0.527272727272727	0.680854208921672	0.696969696969697	0.890909090909091	0.745454545454545	0.721212121212121	0.648484848484848	0.721212121212121	0.733333333333333	0.672727272727273	0.745454545454545	0.553194044748859	0.587878787878788	0.866666666666667	0.778119095910483	0.806060606060606	0.75380287416328	0.838909650278489	0.717328541542476	0.802435317657685	0.866666666666667
Chondromyces	0.939393939393939	0.878787878787879	0.963636363636364	0.975757575757576	0.927272727272727	0.939393939393939	0.890909090909091	0.975757575757576	0.781818181818182	0.903030303030303	0.781818181818182	1	0.83030303030303	0.927272727272727	0.939393939393939	0.878787878787879	0.975757575757576	0.951515151515151	0.951515151515151	0.927272727272727	0.890909090909091	0.927272727272727	0.903030303030303	0.963636363636364	0.927272727272727	0.951515151515151	0.890909090909091	0.915151515151515	0.842424242424242	0.866666666666667	0.951515151515151	0.963636363636364	0.806060606060606	0.951515151515151	0.899700204646495	0.963636363636364	0.975757575757576	0.927272727272727	0.927272727272727	0.878787878787879	0.939393939393939	0.890909090909091	0.890909090909091	0.863225872025692	0.866666666666667	0.866666666666667	0.939393939393939	0.866666666666667	0.696969696969697	0.951515151515151	0.866666666666667	0.842424242424242	0.903030303030303	0.924016426393698	0.915151515151515	0.939393939393939	0.948332648140901	0.927272727272727	0.924016426393698	0.954411703577701	0.857146816588891	0.966569814451303	0.854545454545454
g__Mycosphaerella	0.76969696969697	0.709090909090909	0.866666666666667	0.793939393939394	0.733333333333333	0.806060606060606	0.842424242424242	0.781818181818182	0.915151515151515	0.903030303030303	0.83030303030303	0.83030303030303	1	0.793939393939394	0.745454545454545	0.915151515151515	0.781818181818182	0.793939393939394	0.781818181818182	0.890909090909091	0.903030303030303	0.854545454545454	0.806060606060606	0.866666666666667	0.696969696969697	0.76969696969697	0.878787878787879	0.890909090909091	0.915151515151515	0.890909090909091	0.806060606060606	0.83030303030303	0.963636363636364	0.709090909090909	0.893621149209695	0.806060606060606	0.793939393939394	0.684848484848485	0.733333333333333	0.709090909090909	0.721212121212121	0.684848484848485	0.648484848484848	0.820672483968087	0.539393939393939	0.83030303030303	0.842424242424242	0.793939393939394	0.781818181818182	0.806060606060606	0.672727272727273	0.733333333333333	0.866666666666667	0.693012319795274	0.648484848484848	0.76969696969697	0.869304927462492	0.757575757575757	0.881463038336094	0.802435317657685	0.680854208921672	0.85106776115209	0.696969696969697
Bradyrhizobium	0.903030303030303	0.793939393939394	0.939393939393939	0.951515151515151	0.963636363636364	0.903030303030303	0.951515151515151	0.963636363636364	0.745454545454545	0.939393939393939	0.636363636363636	0.927272727272727	0.793939393939394	1	0.951515151515151	0.890909090909091	0.963636363636364	0.975757575757576	0.987878787878788	0.927272727272727	0.890909090909091	0.975757575757576	0.890909090909091	0.939393939393939	0.842424242424242	0.878787878787879	0.915151515151515	0.915151515151515	0.806060606060606	0.915151515151515	0.927272727272727	0.878787878787879	0.757575757575757	0.866666666666667	0.863225872025692	0.975757575757576	0.951515151515151	0.963636363636364	0.963636363636364	0.878787878787879	0.903030303030303	0.939393939393939	0.951515151515151	0.936174537267299	0.733333333333333	0.793939393939394	0.903030303030303	0.721212121212121	0.806060606060606	0.854545454545454	0.854545454545454	0.854545454545454	0.927272727272727	0.972648869888103	0.903030303030303	0.842424242424242	0.924016426393698	0.854545454545454	0.936174537267299	0.84498870571529	0.820672483968087	0.893621149209695	0.672727272727273
Phycicoccus	0.878787878787879	0.915151515151515	0.903030303030303	0.951515151515151	0.987878787878788	0.866666666666667	0.939393939393939	0.975757575757576	0.76969696969697	0.854545454545454	0.684848484848485	0.939393939393939	0.745454545454545	0.951515151515151	1	0.806060606060606	0.975757575757576	0.951515151515151	0.975757575757576	0.878787878787879	0.866666666666667	0.890909090909091	0.963636363636364	0.903030303030303	0.951515151515151	0.951515151515151	0.866666666666667	0.903030303030303	0.83030303030303	0.903030303030303	0.915151515151515	0.890909090909091	0.733333333333333	0.951515151515151	0.893621149209695	0.951515151515151	0.951515151515151	0.939393939393939	0.987878787878788	0.866666666666667	0.939393939393939	0.963636363636364	0.963636363636364	0.930095481830499	0.842424242424242	0.793939393939394	0.939393939393939	0.806060606060606	0.76969696969697	0.866666666666667	0.83030303030303	0.903030303030303	0.927272727272727	0.948332648140901	0.890909090909091	0.854545454545454	0.9422535927041	0.842424242424242	0.917937370956898	0.911858315520097	0.838909650278489	0.936174537267299	0.684848484848485
Chryseobacterium	0.890909090909091	0.660606060606061	0.963636363636364	0.878787878787879	0.83030303030303	0.939393939393939	0.878787878787879	0.83030303030303	0.818181818181818	0.987878787878788	0.76969696969697	0.878787878787879	0.915151515151515	0.890909090909091	0.806060606060606	1	0.83030303030303	0.842424242424242	0.878787878787879	0.975757575757576	0.915151515151515	0.951515151515151	0.757575757575757	0.963636363636364	0.757575757575757	0.83030303030303	0.939393939393939	0.927272727272727	0.842424242424242	0.83030303030303	0.866666666666667	0.890909090909091	0.915151515151515	0.757575757575757	0.875383982899293	0.903030303030303	0.878787878787879	0.806060606060606	0.83030303030303	0.696969696969697	0.806060606060606	0.76969696969697	0.781818181818182	0.802435317657685	0.6	0.76969696969697	0.781818181818182	0.757575757575757	0.745454545454545	0.890909090909091	0.721212121212121	0.672727272727273	0.903030303030303	0.820672483968087	0.806060606060606	0.866666666666667	0.85106776115209	0.890909090909091	0.863225872025692	0.765960985036881	0.644379876300868	0.814593428531287	0.757575757575757
Agromyces	0.915151515151515	0.890909090909091	0.927272727272727	0.975757575757576	0.963636363636364	0.890909090909091	0.915151515151515	1	0.757575757575757	0.878787878787879	0.696969696969697	0.975757575757576	0.781818181818182	0.963636363636364	0.975757575757576	0.83030303030303	1	0.987878787878788	0.975757575757576	0.890909090909091	0.866666666666667	0.927272727272727	0.939393939393939	0.927272727272727	0.915151515151515	0.927272727272727	0.878787878787879	0.890909090909091	0.818181818181818	0.903030303030303	0.951515151515151	0.915151515151515	0.745454545454545	0.951515151515151	0.887542093772894	0.963636363636364	0.975757575757576	0.963636363636364	0.963636363636364	0.927272727272727	0.939393939393939	0.951515151515151	0.939393939393939	0.924016426393698	0.854545454545454	0.854545454545454	0.963636363636364	0.818181818181818	0.733333333333333	0.890909090909091	0.890909090909091	0.890909090909091	0.903030303030303	0.960490759014502	0.915151515151515	0.878787878787879	0.948332648140901	0.866666666666667	0.936174537267299	0.9422535927041	0.893621149209695	0.966569814451303	0.757575757575757
Dactylosporangium	0.890909090909091	0.842424242424242	0.915151515151515	0.951515151515151	0.939393939393939	0.866666666666667	0.903030303030303	0.987878787878788	0.733333333333333	0.890909090909091	0.672727272727273	0.951515151515151	0.793939393939394	0.975757575757576	0.951515151515151	0.842424242424242	0.987878787878788	1	0.963636363636364	0.878787878787879	0.842424242424242	0.951515151515151	0.915151515151515	0.915151515151515	0.854545454545454	0.878787878787879	0.866666666666667	0.866666666666667	0.793939393939394	0.915151515151515	0.927272727272727	0.890909090909091	0.733333333333333	0.903030303030303	0.875383982899293	0.951515151515151	0.951515151515151	0.951515151515151	0.939393939393939	0.951515151515151	0.903030303030303	0.939393939393939	0.915151515151515	0.948332648140901	0.781818181818182	0.866666666666667	0.951515151515151	0.76969696969697	0.745454545454545	0.854545454545454	0.915151515151515	0.878787878787879	0.878787878787879	0.948332648140901	0.878787878787879	0.842424242424242	0.936174537267299	0.83030303030303	0.948332648140901	0.905779260083296	0.905779260083296	0.9422535927041	0.721212121212121
Piscinibacter	0.927272727272727	0.842424242424242	0.951515151515151	0.975757575757576	0.987878787878788	0.927272727272727	0.963636363636364	0.975757575757576	0.76969696969697	0.927272727272727	0.660606060606061	0.951515151515151	0.781818181818182	0.987878787878788	0.975757575757576	0.878787878787879	0.975757575757576	0.963636363636364	1	0.939393939393939	0.915151515151515	0.951515151515151	0.915151515151515	0.951515151515151	0.903030303030303	0.927272727272727	0.927272727272727	0.939393939393939	0.83030303030303	0.903030303030303	0.951515151515151	0.903030303030303	0.76969696969697	0.915151515151515	0.875383982899293	0.987878787878788	0.975757575757576	0.975757575757576	0.987878787878788	0.854545454545454	0.939393939393939	0.951515151515151	0.975757575757576	0.911858315520097	0.806060606060606	0.781818181818182	0.915151515151515	0.76969696969697	0.793939393939394	0.890909090909091	0.83030303030303	0.866666666666667	0.951515151515151	0.984806980761705	0.939393939393939	0.878787878787879	0.936174537267299	0.890909090909091	0.924016426393698	0.881463038336094	0.808514373094486	0.917937370956898	0.709090909090909
Lysobacter	0.939393939393939	0.757575757575757	0.987878787878788	0.939393939393939	0.903030303030303	0.975757575757576	0.939393939393939	0.890909090909091	0.854545454545454	0.987878787878788	0.76969696969697	0.927272727272727	0.890909090909091	0.927272727272727	0.878787878787879	0.975757575757576	0.890909090909091	0.878787878787879	0.939393939393939	1	0.963636363636364	0.951515151515151	0.83030303030303	0.987878787878788	0.842424242424242	0.890909090909091	0.975757575757576	0.975757575757576	0.890909090909091	0.866666666666667	0.927272727272727	0.927272727272727	0.903030303030303	0.842424242424242	0.899700204646495	0.951515151515151	0.939393939393939	0.878787878787879	0.903030303030303	0.733333333333333	0.866666666666667	0.83030303030303	0.866666666666667	0.826751539404888	0.721212121212121	0.781818181818182	0.842424242424242	0.781818181818182	0.793939393939394	0.915151515151515	0.745454545454545	0.757575757575757	0.963636363636364	0.893621149209695	0.890909090909091	0.915151515151515	0.899700204646495	0.939393939393939	0.887542093772894	0.838909650278489	0.693012319795274	0.875383982899293	0.781818181818182
