Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	g__Acremonium	Mycobacterium	Microbacterium	g__Ophiosphaerella	g__Gibberella	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	g__Pseudogymnoascus	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	g__Didymella	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter
Lysobacter	8.31712531832754e-06	1.90947257374294e-05	1.49208187981271e-07	9.32988232363828e-08	7.50399890111985e-07	0.00123550880078635	0.000152775345373964	0.003007537803846	1.06611261857741e-05	0.0157632060576827	0	0.0670951932047528	0.00139912477464872	0.00165384375944881	0.0013141714068705	0.0110474328433542	2.78963481476785e-05	0.000580187228758013	0.000925992216032467	0.000660611392263069	0.000108929785270815	0.000465645609735888	4.11051215817933e-05	0.00117253728017774	3.5786027973048e-05	3.10669011206555e-05	0.00914668367365871	0.00262951141274441	0.00372468415444441	0.000406947220049863	9.95227980548239e-05	0.000239953979766976	0.000102405340846464	0.0402520545011082	0.0027509990979022	0.0184800946675902	0.00037452115514758	0.000500366108482196	0.00367882558066406	0.000264609329083089	0.00100133116590656	0.000406947220049863	0.000302029194789214	0.0738649597129918
g__Pyrenochaetopsis	0.00568479008886398	0.135272639034476	0.0112210900834503	0.00363634895773983	0.00521447933995862	0.000492110824356531	0.158463989982369	2.64641407093272e-05	0.0155317656191702	8.60351409711357e-05	0.0231938433767333	0	0.168036140770807	0.238904424520427	0.245873185164815	0.0132543576489425	0.0102532049946585	0.0156953846781498	0.179502782202696	0.0216174646625424	0.256920851526342	0.00589947917816691	0.12287974106554	0.046921650633767	0.268061326545817	0.0412702556666904	0.00667007118738677	0.249645318145946	0.00878897576506145	0.0907693179128723	0.104253063243029	0.151702066178414	0.199869900591686	0.0184800946675902	0.136077614081377	0.133709438147859	0.0870588590957592	0.140980616617265	0.00478248547614094	0.39895982811894	0.152868117432629	0.303017508253253	0.18358510927274	0.864395377676989
Burkholderia	5.34635170114489e-05	0.00544554125241379	0.000165507060078119	0.000119397063843866	0.0059324373230873	0.0255036803158819	2.77727033795856e-06	0.0288557225862862	0.000460298412542638	0.0174821485555672	7.06893364404458e-05	0.0838307391247892	0	0.00037452115514758	0.00156138816996482	0.0244648427497504	0.00104083834621246	0.00289713230060788	6.39025448309949e-05	0.00195365133651856	0.00589947917816691	0.0061694292040827	0.000102405340846464	0.000813990936641598	0.00017172120944226	0.00289713230060788	0.228143363985846	0.000187874169920726	0.0362336711488777	0.00104083834621246	1.06449290200983e-05	0.000347779184025321	0.000358049618055549	0.144845045598752	0.0835592218012768	0.000535710019872797	0.000406947220049863	0.0013141714068705	0.0209433223795031	0.000660611392263069	0.00892454144518109	0.000142692908583169	3.10669011206555e-05	0.0831287321030848
Bacillus	1.48935156613795e-06	0.00544554125241379	0.000140875554629218	5.34635170114489e-05	0.00130725178033784	0.0020141439758998	8.31712531832754e-06	0.0104068703955598	3.50590397951995e-07	0.00553022453182985	9.23718755277427e-05	0.135272639034476	8.31712531832754e-06	0	0.000264609329083089	0.0457702103836947	0.00565606878059174	0.00156138816996482	0.000406947220049863	0.00139912477464872	0.00785120180703154	0.0061694292040827	0.000618785006736784	0.00589947917816691	0.00037452115514758	0.000618785006736784	0.185712191636597	2.05728959067365e-05	0.014627927900464	0.00111040401386504	0.000239953979766976	0.0027509990979022	2.62792369266779e-05	0.0196619729093161	0.0597976715819041	0.00199173301627724	0.000435078716498605	8.93866252894554e-05	0.0216174646625424	0.000347779184025321	0.000726741168094007	0.000535710019872797	0.00263687898050627	0.203337795823635
Amycolatopsis	0.000140875554629218	0.00363634895773983	0.000209161804322107	4.40702791406345e-05	0.000460298412542638	0.00130725178033784	4.28011558112778e-06	0.0184349895156923	2.94016793168203e-05	0.0242939221868785	6.44925588968109e-05	0.140835721892622	8.45969510148163e-05	4.9145946739401e-06	0	0.0446130168173068	0.00318615599050587	0.0027509990979022	0.000129956065644528	0.00251093273377094	0.00205764520921946	0.00251093273377094	0.000889606509657845	0.00037452115514758	0.00037452115514758	0.00251093273377094	0.14110858525264	0.000925992216032467	0.00388649719570871	0.00205764520921946	0.000465645609735888	0.00400577344799628	9.95227980548239e-05	0.0175477575577849	0.0325154764454017	0.00677143960331921	0.000535710019872797	0.00395013132704839	0.00565606878059174	0.000239953979766976	0.00367882558066406	0.000239953979766976	0.000580187228758013	0.101339037028898
Sphingobium	0.00110173575409102	0.0433144165099354	0.000492110824356531	0.000492110824356531	0.000129763581946097	0.00223270171767582	0.0120850762092863	0.000638246691161088	0.000460298412542638	0.00577306122603	0.00171941119897264	0.00223270171767582	0.00544554125241379	0.0134789952898069	0.01300093934899	0	0.000925992216032467	0.000187874169920726	0.0506581112660738	0.000108929785270815	0.0686311936642255	0.00438826312027971	0.0136902583898738	0.00880123407167532	0.0435244491824382	0.0146358741532333	0.0223365424504938	0.0766514660104878	0.00351359537777537	0.00367882558066406	0.020292529477274	0.0251690854378627	0.0328958653303111	0.0636700133231582	0.115204901928527	0.0092713057296182	0.0132543576489425	0.0338886623584576	0.00418685670911299	0.0853037902367692	0.0618415441614408	0.0718086547910918	0.0244648427497504	0.68248107653741
Luteimonas	3.21790259657274e-06	0.000325721658435161	4.79175684831827e-09	1.82755749063004e-08	3.50590397951995e-07	0.00103947461159762	0.000282012647046926	0.000349610950046986	2.13281002451934e-05	0.00386909952991776	9.32988232363828e-08	0.00154335310856053	4.40702791406345e-05	0.000638246691161088	0.0002620675462425	3.6110599461333e-05	0	0.000204713377952181	0.00165384375944881	0.000108929785270815	0.00174513797782845	7.8762015460858e-05	0.000112136439854611	0.000187874169920726	0.00111040401386504	0.000156769178068079	0.00541924856404425	0.00724983323021421	0.00156138816996482	0.00017172120944226	7.24149009623784e-05	0.00017172120944226	0.00104083834621246	0.0453175214115659	0.00589947917816691	0.00528145875404649	0.000239953979766976	0.00195365133651856	0.00111040401386504	0.00667007118738677	0.00615030733949511	0.00195365133651856	0.000347779184025321	0.122427045782087
Achromobacter	2.13281002451934e-05	0.0134789952898069	2.13281002451934e-05	7.50399890111985e-07	1.06611261857741e-05	8.45969510148163e-05	0.000152775345373964	4.85755334493471e-05	4.27441771444782e-07	0.00140476052068838	1.70628083552245e-05	0.00286506386532915	0.000225698556484369	8.45969510148163e-05	0.000209161804322107	2.77727033795856e-06	3.21790259657274e-06	0	0.00251093273377094	2.05728959067365e-05	0.0141769013084548	0.00195365133651856	0.00104083834621246	0.0013141714068705	0.00438826312027971	0.000239953979766976	0.0325154764454017	0.0110474328433542	0.000580187228758013	0.000187874169920726	0.00174513797782845	0.00289713230060788	0.00188933761085013	0.0173258016783089	0.0670951932047528	0.0092713057296182	0.000660611392263069	0.00251093273377094	0.000982200498394705	0.00724983323021421	0.00323781754750221	0.0146358741532333	0.00418685670911299	0.360930670608525
Microvirga	0.000140875554629218	0.00212111925819105	4.85755334493471e-05	1.521727012972e-05	0.00103947461159762	0.0134789952898069	4.3263269874737e-08	0.0217465796864236	0.000193651643172682	0.0292717984190767	3.6110599461333e-05	0.0919126286128184	4.27441771444782e-07	9.42738375990652e-06	1.48935156613795e-06	0.0155317656191702	9.23718755277427e-05	0.000179116588092182	0	0.00367882558066406	0.000813990936641598	0.0022720341333066	0.000273672743228348	0.000925992216032467	0.000709570694760257	0.000500366108482196	0.188904042642857	0.00289713230060788	0.0173258016783089	0.00139912477464872	1.76396150352905e-05	0.000129956065644528	0.000108929785270815	0.109201861900958	0.0168133184087857	0.0049797309247699	0.000660611392263069	0.000660611392263069	0.0259428445729783	0.000239953979766976	0.00289713230060788	0.000982200498394705	9.27206663822613e-06	0.0333984441834028
Novosphingobium	4.27441771444782e-07	0.00138239120269041	3.71678490515902e-06	7.50399890111985e-07	2.04831077698761e-06	0.000282012647046926	0.000119397063843866	2.94016793168203e-05	6.42647355423362e-06	0.001942311425918	2.13281002451934e-05	0.00456834626692479	0.000119397063843866	7.06893364404458e-05	0.000179116588092182	1.06622465404432e-06	1.06622465404432e-06	5.64206509816855e-08	0.000325721658435161	0	0.00367882558066406	0.000580187228758013	0.00100133116590656	0.00017172120944226	0.00216828711429609	0.000500366108482196	0.0251690854378627	0.00335053436292838	0.000229479496357672	0.000129956065644528	0.000500366108482196	0.00174513797782845	0.0013141714068705	0.0251690854378627	0.0362513285769308	0.00134504461755217	0.000319897157499864	0.00259812622376631	0.000264609329083089	0.00418685670911299	0.00117253728017774	0.0049797309247699	0.0032081627721808	0.318701431674793
Kaistia	0.000179116588092182	4.3263269874737e-08	5.62745160630644e-06	2.37789242859457e-05	1.521727012972e-05	0.0335113521388893	3.26104938539924e-05	0.0217465796864236	0.00146104977384656	0.128842949199481	1.06622465404432e-06	0.149472369651657	0.000679919907958634	0.00103947461159762	0.000129763581946097	0.0239449582902576	0.000100739403001067	0.00247028949220901	2.94016793168203e-05	0.000325721658435161	0	0.0035175827756176	0.00134504461755217	0.00184888810855302	0.000660611392263069	0.000319897157499864	0.0571119209628237	0.0137162459646182	0.0170118238611476	0.00205764520921946	0.000204713377952181	0.000290773277123092	0.00156138816996482	0.175201686026404	0.000618785006736784	0.0262491687027596	0.00251093273377094	0.00594303605679664	0.020292529477274	0.00037452115514758	0.000290763415262796	0.00139912477464872	0.000879253971105937	0.00985384697098016
g__Bipolaris	7.32003455339806e-06	0.00138239120269041	7.32003455339806e-06	9.42738375990652e-06	3.21790259657274e-06	0.000152775345373964	0.000723824670499067	0.000869865321967388	2.94016793168203e-05	0.000355430234137609	1.20293791672691e-05	0.000679919907958634	0.000723824670499067	0.000723824670499067	0.000179116588092182	0.000430216119060645	6.25178985597892e-07	0.000119397063843866	0.000152775345373964	1.70628083552245e-05	0.000303210145162489	0	0.00178369637841546	0.00156138816996482	0.00478248547614094	0.000870583719852118	0.00985384697098016	0.00949904174056454	0.000709570694760257	0.00642188435491219	0.000580187228758013	0.00541924856404425	0.000889606509657845	0.008222927164667	0.00457949951254156	0.00667007118738677	0.00216828711429609	0.00336181939136292	0.00205764520921946	0.00565606878059174	0.0085971076695937	0.00289713230060788	0.0015179925445281	0.203337795823635
Chitinophaga	2.20141072068138e-05	0.00238833171260016	9.76599372267247e-06	1.03853428914291e-05	0.000214088749089267	0.0017967004445877	5.24267543319524e-05	0.00802977000633759	3.71920703815108e-05	0.00865416053762384	1.97964465143085e-07	0.0542616114114385	9.40713498968631e-07	1.86485070372569e-05	3.36007453146129e-05	0.00232871753079927	1.11761401594227e-06	4.31845545214986e-05	5.10733748232167e-06	4.1102579184704e-05	6.62775608648894e-05	0.000103362918338947	0	0.000514934629002886	0.000248300236429738	0.000580187228758013	0.0954314270430841	0.00106112024809513	0.00384776378899071	0.000889606509657845	1.86138314480935e-05	4.72444286241595e-05	5.69709396671992e-05	0.0457538039344489	0.0266955078474376	0.00687834134801877	0.00110940605733269	0.00107797364127477	0.00457949951254156	0.00113253329955595	0.00303805473225217	0.000465645609735888	0.000103142970933943	0.0736602284133621
g__Pseudogymnoascus	6.44925588968109e-05	0.00146104977384656	5.34635170114489e-05	5.62745160630644e-06	0.000165507060078119	0.00171941119897264	3.26104938539924e-05	0.000492110824356531	0.00110173575409102	0.00905567046252114	5.34635170114489e-05	0.0139708299345223	2.94016793168203e-05	0.000679919907958634	8.31712531832754e-06	0.00123550880078635	2.77727033795856e-06	6.44925588968109e-05	3.6110599461333e-05	2.38916465310971e-06	0.000109735338171724	8.45969510148163e-05	1.4007140409889e-05	0	0.00104083834621246	0.00335053436292838	0.0718086547910918	0.00335053436292838	0.000406947220049863	0.0013141714068705	0.000187874169920726	0.000982200498394705	0.0013141714068705	0.0566924380692618	0.0493805607467188	0.00465038952364104	0.000221672610367529	0.0138759481161885	0.000142692908583169	0.00251093273377094	0.00589947917816691	0.0013141714068705	0.000435078716498605	0.110390627061822
Hyphomicrobium	7.06893364404458e-05	9.23718755277427e-05	6.44925588968109e-05	2.13281002451934e-05	0.00059871519810121	0.0100177746331803	7.73803618060897e-05	0.0271397758044596	0.000193651643172682	0.0503121505484441	1.49208187981271e-07	0.158463989982369	2.38916465310971e-06	8.31712531832754e-06	8.31712531832754e-06	0.01253638966857	4.85755334493471e-05	0.000430216119060645	2.37789242859457e-05	0.000140875554629218	2.13281002451934e-05	0.000492110824356531	4.45113467312173e-06	4.40702791406345e-05	0	0.00165384375944881	0.0544980759584066	5.69709396671992e-05	0.0209257682854868	0.00117253728017774	0.000156769178068079	0.00117253728017774	2.05728959067365e-05	0.09623461917092	0.020292529477274	0.00796674587347331	0.000187874169920726	0.000406947220049863	0.0132543576489425	4.75264565380302e-06	0.00382907231003841	4.75264565380302e-06	0.000109919208492258	0.0812963556802479
