Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mesorhizobium	Mycobacterium	g__Magnaporthiopsis	Caulobacter	Umezawaea	g__Podospora	Microbacterium	g__Ophiosphaerella	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	g__Gibberella	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	g__Cladosporium	Lysobacter	g__Pyrenochaetopsis	Kineosporia	Cellulomonas	g__Bipolaris	Reyranella	Mucilaginibacter	g__Didymella
Nocardioides	0.00436797854042077	0.00110173575409102	0.127215995315987	0.00730426276898994	0.977655893023622	0.0509616000523244	0.0116467313805442	0.0919126286128184	0.00171941119897264	0.00456834626692479	0	0.00289713230060788	0.0656147109231413	0.00216828711429609	0.0584783609433618	0.00642188435491219	0.28353627321649	0.000465645609735888	0.0299448066900548	0.198580560772609	0.00949904174056454	0.0027509990979022	0.28353627321649	0.00667007118738677	0.00205764520921946	0.501867734922614	0.264289610078004	0.030763744437831	0.00156138816996482	0.68585911479247	0.028282654750661	0.00251093273377094	0.00382907231003841	0.00289713230060788	0.713341331297642	0.0137162459646182	0.680889152117935	0.000435078716498605	0.00694313217480643	0.205110111368996	0.339854613308737	0.00318615599050587	0.000118231333908105	0.096565783041035	0.162551016303804	0.188904042642857	0.0251690854378627	0.641366847405212	0.128994395105654	5.69709396671992e-05	0.0853037902367692	0.0132543576489425	0.103392564356831	0.0334214866260904
Streptomyces	0.00618869746669551	0.00171941119897264	0.0345076988320426	0.00398857681268207	0.722186091025371	0.0149969368546501	0.0675481801337168	0.020370586624519	4.9145946739401e-06	0.00259660313572526	0.000225698556484369	0	0.0656147109231413	0.00251093273377094	0.0146358741532333	4.5381081886602e-05	0.195416615288648	5.10851071794644e-05	0.0584783609433618	0.332521898507836	4.75264565380302e-06	0.00478248547614094	0.173772621711577	0.000982200498394705	0.000465645609735888	0.185712191636597	0.3848475043079	0.020292529477274	1.06449290200983e-05	0.68585911479247	0.00289713230060788	0.0173457728375044	0.00195365133651856	0.00117253728017774	0.60921012945972	0.00251093273377094	0.975645663070701	0.000239953979766976	0.00880123407167532	0.0137162459646182	0.445840665599881	5.51052037556601e-06	5.69709396671992e-05	0.0412702556666904	0.131370902583534	0.702379437470021	0.0035175827756176	0.8537094836602	0.0316170693100201	0.0049797309247699	0.102350932760852	0.00318615599050587	0.0130460845953485	0.0352473556462596
Chryseobacterium	7.32003455339806e-06	3.26104938539924e-05	0.00363634895773983	9.65394243481922e-09	0.0421293326577055	0.000679919907958634	0.000282012647046926	0.000243315331064655	0.0537227308401887	9.32988232363828e-08	0.0224611517681826	0.0224611517681826	0	0.00251093273377094	0.00565606878059174	0.00755449817065484	0.00541924856404425	0.0184985518802278	0.0237648001622949	0.0392147767492437	0.0372489796300892	0.00589947917816691	0.0352473556462596	0.00438826312027971	0.124320398548663	0.52825383447335	0.00205764520921946	0.000347779184025321	0.0627382140675164	0.0372489796300892	0.533587552346694	0.0749934658881162	0.00785120180703154	0.188904042642857	0.00303805473225217	0.0114681925285307	0.205110111368996	0.0209433223795031	0.0818693873366588	0.0656147109231413	0.0417612336089344	0.020292529477274	0.0656147109231413	0.95677379884378	0.00382907231003841	0.486861260380245	8.97478268573934e-05	0.0237648001622949	0.745741122789394	0.104253063243029	0.000204713377952181	0.00148502748267143	0.154771499464965	0.00148502748267143
Massilia	0.000561238152431941	6.85959526170087e-09	0.00346996024341039	3.99231105590534e-05	0.605966363012461	0.00857557342459417	6.44925588968109e-05	0.00116704244432829	0.0002620675462425	0.000129763581946097	0.000140875554629218	0.000179116588092182	0.000179116588092182	0	0.0259428445729783	0.000264609329083089	0.159869247865604	7.8762015460858e-05	0.143688857854164	0.311237511334721	0.000925992216032467	0.00914668367365871	0.466876993856482	5.69709396671992e-05	0.00174513797782845	0.299064213005542	0.0983868596707905	0.0196774469308977	0.00541924856404425	0.412890520043951	0.0381923031863887	0.00262951141274441	0.00318615599050587	0.00289713230060788	0.315170353874775	2.05728959067365e-05	0.6310962688622	0.00174513797782845	0.0749934658881162	0.0412702556666904	0.402481884348504	0.000535710019872797	0.00785120180703154	0.128994395105654	0.0110474328433542	0.124320398548663	0.00174513797782845	0.371506024670446	0.0627382140675164	0.028282654750661	0.0196774469308977	0.00289713230060788	0.018096718493284	0.000187874169920726
Herbaspirillum	0.000165507060078119	0.0016294297517689	0.000193651643172682	3.71678490515902e-06	0.0092743376584506	3.26104938539924e-05	0.00964034773549731	2.37789242859457e-05	0.0537227308401887	4.40702791406345e-05	0.0190634654032002	0.00259660313572526	0.000638246691161088	0.0059324373230873	0	0.00367882558066406	0.121961149938371	0.0259428445729783	0.0156953846781498	0.28353627321649	0.00478248547614094	0.00195365133651856	0.0027509990979022	0.00815528116372047	0.0718086547910918	0.471764093812786	0.0766514660104878	0.00400577344799628	0.0184985518802278	0.0457702103836947	0.242313309795569	0.11300972843986	0.00565606878059174	0.260487923876145	0.0412702556666904	0.020292529477274	0.745741122789394	0.0162476596606231	0.00418685670911299	0.0818693873366588	0.227108810255843	0.00815528116372047	0.0184985518802278	0.56632569633666	0.000925992216032467	0.827558749800366	0.00124310931168237	0.275546065566259	0.669585964949732	0.100402036753142	0.0173457728375044	0.000264609329083089	0.154771499464965	0.0493805607467188
Devosia	0.00123550880078635	8.45969510148163e-05	0.0144767180850721	0.000140875554629218	0.353088659052	0.00154335310856053	0.0239449582902576	0.00286506386532915	5.87601279992557e-05	0.000243315331064655	0.000770053379280218	2.31711655563698e-07	0.000980147711372141	4.9145946739401e-06	0.000325721658435161	0	0.14110858525264	3.5786027973048e-05	0.0506581112660738	0.315170353874775	7.465160658649e-06	0.000709570694760257	0.138591659817987	1.76396150352905e-05	0.00589947917816691	0.162551016303804	0.188904042642857	0.00880123407167532	0.000108929785270815	0.571707321364591	0.0251690854378627	0.0137162459646182	0.00303805473225217	0.0106701597849081	0.264289610078004	0.000204713377952181	0.788964338756252	0.00165384375944881	0.0362513285769308	0.00262951141274441	0.425486821053615	2.05728959067365e-05	0.00184888810855302	0.14110858525264	0.0299448066900548	0.394314783964136	0.000761820738647834	0.68585911479247	0.0686311936642255	0.0316170693100201	0.0290923170036378	0.000406947220049863	0.00470016492190305	0.00755449817065484
g__Acremonium	0.000282012647046926	0.0762766829231364	0.239624406310444	0.00330981324288434	0.273059897379955	0.00544554125241379	0.100540179430096	0.0692319858533618	0.155427040254569	0.0002620675462425	0.171013148869103	0.102784346815144	0.00059871519810121	0.0781167127530595	0.0537227308401887	0.0658947203908874	0	0.128994395105654	0.00914668367365871	0.00438826312027971	0.295155138486117	0.0818693873366588	0.0209433223795031	0.238904424520427	0.52825383447335	0.481587031550717	0.000580187228758013	0.00156138816996482	0.121961149938371	0.028282654750661	0.947187292274443	0.44174148764264	0.151702066178414	0.39895982811894	0.00148502748267143	0.408237496407323	0.3848475043079	0.0412702556666904	0.168036140770807	0.162551016303804	0.00198237470763996	0.108572903985957	0.0888495489188306	0.751104565044027	0.188904042642857	0.745741122789394	0.00880123407167532	0.00478248547614094	0.788964338756252	0.0801416082243079	0.0022720341333066	0.0343381419966138	0.891425769312684	0.14110858525264
Kribbella	0.000325721658435161	2.64641407093272e-05	0.0376328810248356	0.000679919907958634	0.970210571395858	0.00417478638766571	0.00964034773549731	0.0144767180850721	0.000129763581946097	0.00059871519810121	1.20293791672691e-05	2.85894356790313e-07	0.00363634895773983	6.25178985597892e-07	0.0059324373230873	1.49208187981271e-07	0.0580719248958362	0	0.0299448066900548	0.168036140770807	0.000187874169920726	0.0013141714068705	0.249645318145946	0.00017172120944226	0.00367882558066406	0.149087654145097	0.159869247865604	0.0118962920175195	0.000156769178068079	0.603761824507	0.0372489796300892	0.0123424453230094	0.00438826312027971	0.00174513797782845	0.446618668069627	0.00184888810855302	0.975645663070701	0.000118231333908105	0.0146358741532333	0.0216174646625424	0.318091404627759	3.10669011206555e-05	0.000129956065644528	0.151702066178414	0.0597976715819041	0.436842701330435	0.0022720341333066	0.59283688112507	0.0766514660104878	0.00418685670911299	0.0352473556462596	0.000982200498394705	0.0151206236549054	0.0141769013084548
g__Lachnella	6.44925588968109e-05	0.0365681455312163	0.235635841277305	0.00363634895773983	0.498067657323734	0.000179116588092182	0.187614117874796	0.0858010189515453	0.32346003406511	0.00110173575409102	0.00730426276898994	0.0190634654032002	0.00521447933995862	0.0675481801337168	0.00286506386532915	0.0155317656191702	0.00130725178033784	0.00730426276898994	0	0.00195365133651856	0.121961149938371	0.00303805473225217	0.00239915696331727	0.0946162743459594	0.403620362655126	0.42686336498798	0.0156953846781498	0.00165384375944881	0.017935659434938	0.0946162743459594	0.761777768433879	0.287312337092271	0.046921650633767	0.307108256987449	0.030763744437831	0.39895982811894	0.83782065849082	0.0049797309247699	0.00914668367365871	0.3848475043079	0.00858770210049203	0.0259428445729783	0.00418685670911299	0.767706284052762	0.102350932760852	0.788964338756252	0.00985384697098016	0.14110858525264	0.783765500868581	0.00985384697098016	0.0102532049946585	0.00478248547614094	0.599233645601123	0.315170353874775
g__Scytalidium	0.00315573053211054	0.119499784613816	0.516417623083982	0.0271397758044596	0.743395026137277	0.0263119019523056	0.251844416752926	0.2560026072263	0.639378272107459	0.0079195205707627	0.10506394931044	0.212591592370428	0.0108078897524504	0.194542528266613	0.171013148869103	0.198068931868772	0.000430216119060645	0.0838307391247892	0.000119397063843866	0	0.436842701330435	0.0435244491824382	0.0686311936642255	0.349577986917075	0.68585911479247	0.931337292061674	0.00400577344799628	0.0244648427497504	0.228143363985846	0.0946162743459594	0.880072645756725	0.794511225537947	0.268061326545817	0.56632569633666	0.0392147767492437	0.691358754259017	0.636125525825778	0.0627382140675164	0.138591659817987	0.436842701330435	0.0038720053439572	0.198580560772609	0.0888495489188306	0.533587552346694	0.295155138486117	0.708161082582916	0.064145616503525	0.0244648427497504	0.663913568947692	0.0424297604779603	0.0114681925285307	0.0571119209628237	0.664283475582669	0.446618668069627
