Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mesorhizobium	Mycobacterium	g__Magnaporthiopsis	Caulobacter	Umezawaea	g__Podospora	Microbacterium	g__Ophiosphaerella	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	g__Gibberella	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	g__Cladosporium	Lysobacter	g__Pyrenochaetopsis	Kineosporia	Cellulomonas	g__Bipolaris	Reyranella	Mucilaginibacter	g__Didymella
Nocardioides	0.654411764705882	0.720588235294118	0.384803921568628	0.625	-0.00735294117647059	0.480392156862745	0.595588235294118	0.42156862745098	0.700980392156863	0.651960784313726	1	0.779411764705882	0.549019607843137	0.794117647058824	0.561274509803922	0.735294117647059	0.348039215686275	0.855392156862745	0.625	0.406862745098039	0.71078431372549	0.781862745098039	0.348039215686275	0.732843137254902	0.79656862745098	-0.230392156862745	0.360294117647059	0.622549019607843	0.808823529411765	0.147058823529412	0.629901960784314	0.786764705882353	0.764705882352941	0.779411764705882	0.134803921568627	0.686274509803922	0.149509803921569	0.857843137254902	0.730392156862745	0.401960784313726	0.314497263785892	0.774509803921569	0.894607843137255	0.504901960784314	0.436274509803922	0.41421568627451	0.639705882352941	0.166666666666667	0.468137254901961	0.911764705882353	0.519607843137255	0.688725490196079	0.496274434336734	0.615196078431373
Streptomyces	0.634803921568628	0.700980392156863	0.514705882352941	0.659313725490196	0.0931372549019608	0.57843137254902	0.45343137254902	0.556372549019608	0.872549019607843	0.681372549019608	0.779411764705882	1	0.549019607843137	0.786764705882353	0.681372549019608	0.916666666666667	0.409313725490196	0.91421568627451	0.561274509803922	0.318627450980392	0.95343137254902	0.752450980392157	0.426470588235294	0.82843137254902	0.855392156862745	-0.416666666666667	0.28921568627451	0.656862745098039	0.941176470588235	0.147058823529412	0.779411764705882	0.669117647058824	0.799019607843137	0.821078431372549	0.181372549019608	0.786764705882353	-0.0122549019607843	0.875	0.715686274509804	0.686274509803922	0.257986036699364	0.950980392156863	0.911764705882353	0.595588235294118	0.465686274509804	0.139705882352941	0.769607843137255	0.071078431372549	0.620098039215686	0.75	0.497549019607843	0.774509803921569	0.690007234906689	0.610294117647059
Chryseobacterium	0.865196078431373	0.833333333333333	0.66421568627451	0.946078431372549	0.497549019607843	0.740196078431373	0.772058823529412	0.776960784313726	0.475490196078431	0.926470588235294	0.549019607843137	0.549019607843137	1	0.786764705882353	0.74264705882353	0.725490196078431	0.745098039215686	0.66421568627451	0.644607843137255	0.600490196078431	0.605392156862745	0.740196078431373	0.610294117647059	0.757352941176471	0.473039215686275	-0.218137254901961	0.79656862745098	0.865196078431373	0.553921568627451	0.605392156862745	0.215686274509804	0.534313725490196	0.723039215686275	0.41421568627451	0.776960784313726	0.698529411764706	0.401960784313726	0.654411764705882	0.524509803921569	0.549019607843137	0.594596389345202	0.656862745098039	0.549019607843137	0.0220588235294118	0.764705882352941	0.237745098039216	0.901960784313726	0.644607843137255	0.120098039215686	0.495098039215686	0.879901960784314	0.811274509803922	0.443196954728527	0.811274509803922
Massilia	0.747549019607843	0.948529411764706	0.666666666666667	0.82843137254902	0.134803921568627	0.615196078431373	0.816176470588235	0.718137254901961	0.774509803921569	0.79656862745098	0.794117647058824	0.786764705882353	0.786764705882353	1	0.637254901960784	0.872549019607843	0.438725490196078	0.904411764705882	0.45343137254902	0.330882352941177	0.830882352941177	0.713235294117647	0.247549019607843	0.911764705882353	0.803921568627451	-0.338235294117647	0.502450980392157	0.659313725490196	0.745098039215686	0.274509803921569	0.602941176470588	0.784313725490196	0.774509803921569	0.779411764705882	0.32843137254902	0.931372549019608	0.17156862745098	0.803921568627451	0.534313725490196	0.595588235294118	0.28009912555931	0.850490196078431	0.723039215686275	0.468137254901961	0.700980392156863	0.473039215686275	0.803921568627451	0.29656862745098	0.553921568627451	0.629901960784314	0.659313725490196	0.779411764705882	0.666122369082996	0.882352941176471
Herbaspirillum	0.78921568627451	0.70343137254902	0.784313725490196	0.877450980392157	0.610294117647059	0.833333333333333	0.607843137254902	0.840686274509804	0.475490196078431	0.825980392156863	0.561274509803922	0.681372549019608	0.74264705882353	0.637254901960784	1	0.767156862745098	0.475490196078431	0.637254901960784	0.676470588235294	0.348039215686275	0.752450980392157	0.799019607843137	0.781862745098039	0.720588235294118	0.53921568627451	-0.245098039215686	0.531862745098039	0.762254901960784	0.66421568627451	0.58578431372549	0.375	0.485294117647059	0.74264705882353	0.362745098039216	0.595588235294118	0.656862745098039	0.120098039215686	0.674019607843137	0.759803921568628	0.524509803921569	0.385750550112383	0.720588235294118	0.66421568627451	0.200980392156863	0.830882352941177	0.0833333333333333	0.818627450980392	0.352941176470588	0.154411764705882	0.5	0.669117647058824	0.872549019607843	0.443196954728527	0.57843137254902
Devosia	0.715686274509804	0.808823529411765	0.580882352941177	0.794117647058824	0.240196078431373	0.705882352941177	0.544117647058824	0.676470588235294	0.818627450980392	0.776960784313726	0.735294117647059	0.916666666666667	0.725490196078431	0.872549019607843	0.767156862745098	1	0.455882352941177	0.921568627450981	0.575980392156863	0.32843137254902	0.946078431372549	0.840686274509804	0.458333333333333	0.933823529411765	0.740196078431373	-0.436274509803922	0.41421568627451	0.715686274509804	0.897058823529412	0.198529411764706	0.639705882352941	0.686274509803922	0.776960784313726	0.70343137254902	0.360294117647059	0.879901960784314	0.100490196078431	0.806372549019608	0.607843137254902	0.784313725490196	0.267814076192674	0.931372549019608	0.801470588235294	0.455882352941177	0.625	0.284313725490196	0.838235294117647	0.147058823529412	0.544117647058824	0.620098039215686	0.627450980392157	0.860294117647059	0.753700210436537	0.725490196078431
g__Acremonium	0.772058823529412	0.441176470588235	0.301470588235294	0.669117647058824	0.281862745098039	0.642156862745098	0.411764705882353	0.450980392156863	0.360294117647059	0.774509803921569	0.348039215686275	0.409313725490196	0.745098039215686	0.438725490196078	0.475490196078431	0.455882352941177	1	0.468137254901961	0.713235294117647	0.757352941176471	0.340686274509804	0.524509803921569	0.654411764705882	0.377450980392157	0.218137254901961	-0.240196078431373	0.848039215686275	0.808823529411765	0.475490196078431	0.629901960784314	0.0269607843137255	0.259803921568627	0.446078431372549	0.281862745098039	0.811274509803922	0.276960784313726	0.28921568627451	0.595588235294118	0.431372549019608	0.436274509803922	0.798528208831366	0.490196078431373	0.514705882352941	-0.117647058823529	0.41421568627451	-0.120098039215686	0.715686274509804	0.752450980392157	-0.100490196078431	0.526960784313726	0.791666666666667	0.612745098039216	0.0530774796082068	0.455882352941177
Kribbella	0.767156862745098	0.838235294117647	0.507352941176471	0.740196078431373	-0.00980392156862745	0.656862745098039	0.607843137254902	0.580882352941177	0.79656862745098	0.745098039215686	0.855392156862745	0.91421568627451	0.66421568627451	0.904411764705882	0.637254901960784	0.921568627450981	0.468137254901961	1	0.625	0.431372549019608	0.882352941176471	0.816176470588235	0.370098039215686	0.884803921568628	0.767156862745098	-0.448529411764706	0.438725490196078	0.696078431372549	0.887254901960784	0.183823529411765	0.605392156862745	0.693627450980392	0.757352941176471	0.803921568627451	0.257352941176471	0.801470588235294	0.0122549019607843	0.894607843137255	0.681372549019608	0.651960784313726	0.326782313152528	0.924019607843137	0.892156862745098	0.446078431372549	0.558823529411765	0.262254901960784	0.791666666666667	0.188725490196078	0.531862745098039	0.759803921568628	0.610294117647059	0.82843137254902	0.679391738985047	0.683823529411765
g__Lachnella	0.816176470588235	0.509803921568628	0.303921568627451	0.66421568627451	0.176470588235294	0.786764705882353	0.33578431372549	0.428921568627451	0.254901960784314	0.720588235294118	0.625	0.561274509803922	0.644607843137255	0.45343137254902	0.676470588235294	0.575980392156863	0.713235294117647	0.625	1	0.799019607843137	0.475490196078431	0.776960784313726	0.78921568627451	0.507352941176471	0.279411764705882	-0.267156862745098	0.676470588235294	0.806372549019608	0.666666666666667	0.507352941176471	0.112745098039216	0.345588235294118	0.583333333333333	0.333333333333333	0.622549019607843	0.281862745098039	0.0784313725490196	0.75	0.713235294117647	0.28921568627451	0.717446883011566	0.637254901960784	0.759803921568628	-0.110294117647059	0.497549019607843	-0.100490196078431	0.708333333333333	0.455882352941177	-0.102941176470588	0.708333333333333	0.705882352941177	0.752450980392157	0.185771178628724	0.32843137254902
g__Scytalidium	0.67156862745098	0.392156862745098	0.169117647058824	0.534313725490196	0.0857843137254902	0.536764705882353	0.294117647058824	0.291666666666667	0.122549019607843	0.620098039215686	0.406862745098039	0.318627450980392	0.600490196078431	0.330882352941177	0.348039215686275	0.32843137254902	0.757352941176471	0.431372549019608	0.799019607843137	1	0.262254901960784	0.590686274509804	0.544117647058824	0.308823529411765	0.147058823529412	-0.0343137254901961	0.762254901960784	0.642156862745098	0.384803921568628	0.507352941176471	-0.0588235294117647	0.0980392156862745	0.357843137254902	0.200980392156863	0.600490196078431	0.144607843137255	0.169117647058824	0.553921568627451	0.458333333333333	0.262254901960784	0.764130070604784	0.406862745098039	0.514705882352941	-0.215686274509804	0.340686274509804	-0.137254901960784	0.551470588235294	0.642156862745098	-0.156862745098039	0.593137254901961	0.698529411764706	0.563725490196079	0.15657856484421	0.257352941176471
