TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10	species	ID
bacOTU_48	14.722536806342	70.4377980060685	83.2249674902471	56.7131056589816	5.43537341015328	65.8654957245205	72.0681371478489	45.7787714255297	71.0119198579762	37.5687642560043	27.5766976904516	75.5640698169434	154.715458092291	152.531229454306	52.2856289214222	75.6871597397424	92.0638620207435	93.3058478897689	91.7614203072013	44.7379633574776	bac	bacOTU_48
bacOTU_16	12.4575311438279	62.8521889900303	305.591677503251	152.878806558994	31.525165778889	97.0649410677143	27.2985367984276	91.5575428510593	289.11995942176	101.97236012344	5.74514535217741	52.1498510004257	648.459572178125	86.7850098619329	13.4448760083657	42.4910370468729	1.16536534203473	105.240316805902	77.7977259126272	10.6518960374947	bac	bacOTU_16
bacOTU_25	12.4575311438279	59.6012136974426	35.110533159948	41.9183824435951	7.60952277421459	61.2433556736769	94.9989080585281	53.2311295645694	38.0420999239158	63.0618542868644	152.820866367919	168.156662409536	72.6489977129019	105.193951347798	138.930385419779	102.244057894038	144.505302412306	179.017033741998	147.616197885498	80.9544098849595	bac	bacOTU_25
bacOTU_139	11.3250283125708	10.8365843086259	1.30039011703511	1.23289360128221	0	1.15553501271089	9.82747324743394	5.32311295645694	5.07227998985544	0	1.14902907043548	0	0	0	1.49387511204063	0	2.33073068406946	0	0	1.06518960374947	bac	bacOTU_139
bacOTU_50	11.3250283125708	43.3463372345037	23.407022106632	38.2197016397485	6.52244809218393	20.7996302287959	89.5392006988425	51.1018843819866	36.7740299264519	56.3531463840064	155.11892450879	87.2711792252022	40.3605542849455	53.9119000657462	40.3346280250971	50.4581064931616	72.2526512061531	106.325268525551	75.802912427688	34.086067319983	bac	bacOTU_50
bacOTU_206	10.1925254813137	28.1751192024274	15.6046814044213	25.8907656269264	4.34829872812262	144.441876588861	79.7117274514086	36.1971681039072	21.5571899568856	17.4426405474306	12.6393197747903	44.6998722860792	2.69070361899637	9.20447074293228	7.46937556020317	25.2290532465808	9.32292273627782	81.3713789736357	71.8132854578097	11.7170856412441	bac	bacOTU_206
bacOTU_44	10.1925254813137	68.2704811443433	24.7074122236671	59.1788928615461	9.7836721382759	49.6880055465681	58.9648394846036	55.3603747471521	120.466649759067	53.6696632228633	110.306790761806	50.0212856534696	36.324498856451	139.381985535832	28.383627128772	38.5075023237286	43.1185176552849	30.3786481501573	57.8495910632356	27.6949296974862	bac	bacOTU_44
bacOTU_12	7.92751981879955	63.9358474208929	200.260078023407	170.139316976945	14.1319708663985	262.306447885371	54.5970735968552	51.1018843819866	207.963479584073	116.731517509728	52.8553372400322	77.6926351638995	24.2163325709673	46.0223537146614	70.2121302659098	124.817421325189	5.82682671017364	135.618964956059	243.367245162577	13.8474648487431	bac	bacOTU_12
bacOTU_208	7.92751981879955	20.5895101863892	22.1066319895969	12.3289360128221	3.26122404609197	6.93321007626531	53.5051321249181	19.163206643245	25.3613999492772	9.39219106400107	17.2354360565322	7.44997871434653	4.03605542849455	13.1492439184747	25.3958769046908	46.4745717700173	10.4882880783126	19.5291309536726	5.98444045481747	10.6518960374947	bac	bacOTU_208
bacOTU_23	7.92751981879955	80.1907238838318	204.161248374512	96.1657009000123	9.7836721382759	23.1107002542177	63.332605372352	86.2344298946024	135.683489728633	195.894270763451	18.3844651269677	9.57854406130268	1.34535180949818	5.25969756738987	7.46937556020317	13.2784490771478	26.8034028667987	16.2742757947271	9.97406742469579	11.7170856412441	bac	bacOTU_23
bacOTU_29	7.92751981879955	17.3385348938015	5.20156046814044	2.46578720256442	68.4857049679313	12.7108851398197	2.18388294387421	259.767912275098	8.87648998224702	419.965114718905	2.29805814087096	154.320987654321	5.38140723799274	357.659434582512	115.028383627129	172.619838002921	1.16536534203473	83.5412824129326	5.98444045481747	10.6518960374947	bac	bacOTU_29
bacOTU_40	7.92751981879955	49.8482878196792	31.2093628088427	57.9459992602638	6.52244809218393	19.644095216085	74.2520200917231	69.2004684339402	38.0420999239158	80.5044948342949	128.691255888774	73.4355044699872	20.1802771424728	35.5029585798817	38.8407529130565	49.1302615854468	101.386784757021	32.5485515894543	61.8392180331139	57.5202386024712	bac	bacOTU_40
bacOTU_35	6.79501698754247	80.1907238838318	45.5136540962289	54.2473184564172	3.26122404609197	21.9551652415068	42.5857174055471	38.3264132864899	136.951559726097	18.7843821280021	6.89417442261289	6.38569604086845	18.8349253329746	34.1880341880342	34.3591275769346	26.5568981542956	1.16536534203473	15.1893240750787	35.9066427289048	21.3037920749893	bac	bacOTU_35
bacOTU_102	5.66251415628539	8.66926744690074	2.60078023407022	2.46578720256442	1.08707468203066	1.15553501271089	6.55164883162263	3.19386777387416	13.9487699721025	17.4426405474306	22.9805814087096	6.38569604086845	6.72675904749092	1.31492439184747	0	0	10.4882880783126	1.08495171964848	1.99481348493916	8.52151682999574	bac	bacOTU_102
bacOTU_14	5.66251415628539	61.7685305591678	23.407022106632	65.3433608679571	14.1319708663985	122.486711347354	122.297444856956	36.1971681039072	48.1866599036267	143.566349121159	124.095139607032	203.277990634312	12.1081662854837	17.0940170940171	4.4816253361219	15.9341388925773	320.47546905955	80.2864272539872	13.9636943945741	111.844908393694	bac	bacOTU_14
