Promicromonospora	Phyllobacterium	Pseudomonas	Rhizobium	Flavobacterium	Sphingomonas	Variovorax	Pseudoxanthomonas	Streptomyces	Chryseobacterium	Lentzea	Nocardioides	Actinoplanes	Herbaspirillum	Mycobacterium	Kribbella	Massilia	Devosia	Microbacterium	Sphingopyxis	Stenotrophomonas	Mesorhizobium	Caulobacter	Aeromicrobium	Sorangium	Agromyces	Steroidobacter	Arthrobacter	Chondromyces	Umezawaea	Pantoea	Rhodanobacter	Shinella	Lysobacter	Solirubrobacter	Bosea	Glycomyces	Cellulomonas	Bradyrhizobium	Burkholderia	Rhodopseudomonas	Bacillus	Actinosynnema	Reyranella	Haliangium	g__Acremonium	g__Lachnella	g__Scytalidium	g__Magnaporthiopsis	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Sarocladium	g__Mycosphaerella	g__Didymella	g__Bipolaris
Kribbella	0.0855588910126731	0.182720750539715	0.735764859879812	0.735764859879812	0.138959957160707	0.910849168519584	0.955374011815881	0.822505430203611	0.00026040002438725	0.610344415645267	0.160025642538896	0.0149026676862301	0.0855588910126731	0.866526270675909	0.69710669304468	0	0.0365527610528608	0.0222573972064238	0.77888572605238	0.918466893132046	0.918466893132046	0.209384078745506	0.52943033452252	0.0222573972064238	0.0438291355998331	0.209384078745506	0.259228722726075	0.159154262521075	0.0222573972064238	0.467200618249921	0.792481427045816	0.967761485066497	0.366194151399936	0.503138854146027	0.209384078745506	0.583924207000872	0.391951032534517	0.259228722726075	0.31541353887849	0.951822830796759	0.61315738849696	0.284057606808134	0.938653887925052	0.69710669304468	0.209384078745506	0.232935534650098	0.0579903181645727	0.492726245016957	0.28940322484679	0.160025642538896	0.822505430203611	0.750376677210764	0.792481427045816	0.900459293359297	0.951822830796759	0.883544535819056
Massilia	0.101733037454265	0.00200827550542945	0.693238811728395	0.385120643556256	0.0101755401234568	0.910849168519584	0.955374011815881	0.955374011815881	0.160025642538896	0.319888641228816	0.101733037454265	0.182720750539715	0.822505430203611	0.735764859879812	0.583924207000872	0.234793344170654	0	0.366194151399936	0.77888572605238	0.951822830796759	0.900459293359297	0.391951032534517	0.366194151399936	0.259228722726075	0.366194151399936	0.345091278433391	0.583924207000872	0.391951032534517	0.417134937482782	0.72608969823851	1	0.918466893132046	0.284057606808134	0.817491611258206	0.417134937482782	0.159154262521075	0.69710669304468	0.442419591696345	0.52943033452252	0.951822830796759	0.284057606808134	0.52943033452252	0.750376677210764	0.442419591696345	0.284057606808134	0.910849168519584	0.0709876543209876	0.28940322484679	0.955374011815881	0.419753086419753	0.77888572605238	0.951822830796759	0.918466893132046	0.467200618249921	0.503138854146027	0.673659049278275
Devosia	0.232935534650098	0.319888641228816	0.955374011815881	0.570156320815768	0.20703125	0.910849168519584	0.651401495702482	0.910849168519584	0.00026040002438725	0.492726245016957	0.182720750539715	0.0579903181645727	0.0280049391530719	0.735764859879812	0.750376677210764	0.00026040002438725	0.101733037454265	0	0.910849168519584	0.951822830796759	0.967761485066497	0.209384078745506	0.467200618249921	0.115994100851137	0.115994100851137	0.391951032534517	0.234793344170654	0.31541353887849	0.0885212851882095	0.442419591696345	0.69710669304468	0.967761485066497	0.345091278433391	0.31541353887849	0.345091278433391	0.750376677210764	0.467200618249921	0.442419591696345	0.284057606808134	0.836580812055786	0.750376677210764	0.259228722726075	0.951822830796759	0.559613609285521	0.345091278433391	0.182720750539715	0.160025642538896	0.455644890737582	0.182720750539715	0.160025642538896	0.492726245016957	0.836580812055786	0.883544535819056	0.883544535819056	0.951822830796759	0.72608969823851
Microbacterium	0.419753086419753	0.351812553117565	0.119529806138793	0.232935534650098	0.910849168519584	0.28940322484679	0.0465282322841672	0.0149026676862301	0.651401495702482	0.419753086419753	0.119529806138793	1	0.651401495702482	0.138959957160707	0.72608969823851	0.900459293359297	0.900459293359297	0.951822830796759	0	0.0438291355998331	0.234793344170654	0.792481427045816	0.938653887925052	0.817491611258206	0.900459293359297	0.967761485066497	0.792481427045816	0.836580812055786	0.883544535819056	0.817491611258206	0.673659049278275	0.467200618249921	0.967761485066497	0.883544535819056	0.951822830796759	0.673659049278275	0.642375417977446	0.817491611258206	0.836580812055786	0.391951032534517	0.69710669304468	0.817491611258206	0.583924207000872	0.559613609285521	0.7740442598996	0.570156320815768	0.651401495702482	0.693238811728395	0.385120643556256	0.822505430203611	0.0280049391530719	0.0885212851882095	0.135734733424969	0.673659049278275	0.583924207000872	0.442419591696345
Sphingopyxis	0.651401495702482	0.530922861565801	0.0579903181645727	0.182720750539715	0.822505430203611	0.28940322484679	0.0038503204637324	0.00026040002438725	0.77888572605238	0.260404767436885	0.182720750539715	0.910849168519584	0.419753086419753	0.0465282322841672	0.419753086419753	0.822505430203611	0.910849168519584	0.910849168519584	0.000862968182899978	0	0.0855588910126731	0.900459293359297	0.750376677210764	0.792481427045816	0.836580812055786	0.86214658000047	0.951822830796759	0.836580812055786	0.883544535819056	0.900459293359297	0.391951032534517	0.442419591696345	0.86214658000047	0.72608969823851	0.967761485066497	0.69710669304468	0.817491611258206	0.792481427045816	0.967761485066497	0.259228722726075	0.817491611258206	0.918466893132046	0.442419591696345	0.345091278433391	0.750376677210764	0.492726245016957	0.570156320815768	0.651401495702482	0.419753086419753	0.955374011815881	0.0038503204637324	0.0625190436848857	0.0885212851882095	0.52943033452252	0.467200618249921	0.259228722726075
Stenotrophomonas	0.610344415645267	0.910849168519584	0.101733037454265	0.693238811728395	1	0.0101755401234568	0.0855588910126731	0.182720750539715	0.955374011815881	1	0.385120643556256	0.610344415645267	0.492726245016957	0.0579903181645727	0.866526270675909	0.822505430203611	0.77888572605238	0.955374011815881	0.0365527610528608	0.345091278433391	0	0.967761485066497	0.918466893132046	0.967761485066497	0.938653887925052	0.792481427045816	0.967761485066497	0.951822830796759	0.967761485066497	0.883544535819056	0.817491611258206	0.7740442598996	0.792481427045816	0.559613609285521	0.750376677210764	0.951822830796759	0.467200618249921	0.938653887925052	0.918466893132046	0.187175911530876	0.951822830796759	0.52943033452252	0.69710669304468	0.951822830796759	0.967761485066497	0.319888641228816	0.77888572605238	0.232935534650098	0.160025642538896	0.693238811728395	0.0709876543209876	0.284057606808134	0.366194151399936	0.938653887925052	0.86214658000047	0.817491611258206
Mesorhizobium	0.570156320815768	0.530922861565801	0.866526270675909	0.693238811728395	0.0208151272535253	0.351812553117565	0.651401495702482	0.866526270675909	0.0149026676862301	0.492726245016957	0.610344415645267	0.101733037454265	0.28940322484679	0.570156320815768	0.77888572605238	0.0280049391530719	0.119529806138793	0.0280049391530719	0.570156320815768	0.77888572605238	0.955374011815881	0	0.234793344170654	0.135734733424969	0.284057606808134	0.345091278433391	0.0222573972064238	0.187175911530876	0.259228722726075	0.135734733424969	0.792481427045816	0.938653887925052	0.234793344170654	0.209384078745506	0.345091278433391	0.72608969823851	0.817491611258206	0.209384078745506	0.00606757081482946	0.72608969823851	0.883544535819056	0.442419591696345	0.673659049278275	0.61315738849696	0.0625190436848857	0.570156320815768	0.00653001725471527	0.0365527610528608	0.651401495702482	0.385120643556256	0.651401495702482	0.86214658000047	0.836580812055786	0.61315738849696	0.673659049278275	0.750376677210764
Caulobacter	0.822505430203611	0.232935534650098	0.492726245016957	0.182720750539715	0.0101755401234568	0.570156320815768	0.260404767436885	0.351812553117565	0.260404767436885	0.0579903181645727	0.570156320815768	0.610344415645267	0.570156320815768	0.351812553117565	0.28940322484679	0.232935534650098	0.101733037454265	0.182720750539715	0.866526270675909	0.492726245016957	0.822505430203611	0.0365527610528608	0	0.583924207000872	0.792481427045816	0.836580812055786	0.234793344170654	0.583924207000872	0.72608969823851	0.417134937482782	0.503138854146027	0.750376677210764	0.0222573972064238	0.442419591696345	0.792481427045816	0.366194151399936	0.86214658000047	0.61315738849696	0.209384078745506	0.69710669304468	0.673659049278275	0.918466893132046	0.234793344170654	0.115994100851137	0.442419591696345	1	0.20703125	0.119529806138793	0.822505430203611	0.735764859879812	0.319888641228816	0.570156320815768	0.817491611258206	0.115994100851137	0.159154262521075	0.234793344170654
Aeromicrobium	0.101733037454265	0.260404767436885	0.693238811728395	0.910849168519584	0.101733037454265	0.822505430203611	0.866526270675909	0.570156320815768	0.000862968182899978	0.77888572605238	0.28940322484679	0.00653001725471527	0.182720750539715	0.822505430203611	0.570156320815768	0.00026040002438725	0.0465282322841672	0.00653001725471527	0.610344415645267	0.570156320815768	0.955374011815881	0.0101755401234568	0.28940322484679	0	0.0222573972064238	0.0885212851882095	0.209384078745506	0.0625190436848857	0.0222573972064238	0.345091278433391	0.77888572605238	0.938653887925052	0.442419591696345	0.503138854146027	0.135734733424969	0.642375417977446	0.391951032534517	0.115994100851137	0.234793344170654	0.951822830796759	0.673659049278275	0.259228722726075	0.967761485066497	0.86214658000047	0.0625190436848857	0.28940322484679	0.00653001725471527	0.28940322484679	0.351812553117565	0.160025642538896	0.955374011815881	0.419753086419753	0.455644890737582	0.918466893132046	0.951822830796759	1
Sorangium	0.101733037454265	0.28940322484679	0.866526270675909	0.77888572605238	0.319888641228816	0.822505430203611	0.77888572605238	0.610344415645267	0.000862968182899978	0.77888572605238	0.28940322484679	0.0149026676862301	0.101733037454265	0.910849168519584	0.492726245016957	0.000862968182899978	0.101733037454265	0.00653001725471527	0.77888572605238	0.651401495702482	0.866526270675909	0.0579903181645727	0.570156320815768	0.00026040002438725	0	0.0101755401234568	0.101733037454265	0.187175911530876	0.0222573972064238	0.391951032534517	0.822505430203611	1	0.61315738849696	0.559613609285521	0.209384078745506	0.792481427045816	0.259228722726075	0.234793344170654	0.417134937482782	1	0.61315738849696	0.159154262521075	0.836580812055786	0.938653887925052	0.187175911530876	0.138959957160707	0.0465282322841672	0.492726245016957	0.119529806138793	0.0465282322841672	0.955374011815881	0.492726245016957	0.570156320815768	0.951822830796759	0.900459293359297	0.967761485066497
