Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	Mycobacterium	Microbacterium	Lysobacter	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter	g__Acremonium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Pseudogymnoascus	g__Didymella	g__Bipolaris
Amycolatopsis	0.045759980280991	0.444950543678808	0.0496215896422583	0.102784346815144	0.0565941087969963	0.0580719248958362	0.480034401339913	0.129863425822574	0.132548902627589	0.00499139592987034	0	0.579754799279412	0.319857279732638	0.181571723227624	0.811039616152402	0.634963013122478	0.950515375629611	0.0439369442213551	0.718933156156758	0.877100616390548	0.651685444173902	0.26037105343278	0.308671638653878	0.291216895025972	0.0849155601345504	0.115790255509453	0.00653705913629068	0.251907499665624	0.891601793572544	0.46260709361951	0.113162895077294	0.0623519240323425	0.281540235130897	0.417263392467591	0.45407658446304	0.0203107294103894	0.293095488638217	0.00154335310856053	5.34635170114489e-05	0.0530539416540848	0.547680584702937	0.0280295739592093	0.612878663209685	0.390557232850064
Sphingobium	0.0255036803158819	0.895980810455174	0.0818934520336592	0.0483081942842584	0.0116467313805442	0.586262862651232	0.00223270171767582	0.0409689559558362	0.227785653323252	0.560415506280904	0.791224256692379	0	0.00700518545081421	0.0334851087801532	0.963563223221785	0.00392238255929852	0.698809001571321	0.571143597448338	0.599461752079176	0.363370498096685	0.131041252181535	0.959907438438384	0.190086266490592	0.181571723227624	0.617327063014741	0.775129773818029	0.793751369502563	0.11669853662435	0.312507117980813	0.736849664565559	0.668356218443955	0.226562095658723	0.806791883307869	0.725256945012204	0.749788373955232	0.617327063014741	0.771424627617092	0.0595782421081178	0.100540179430096	0.0193446730931208	0.0178228445091595	0.978725649786392	0.940909648523675	0.563945815927218
Luteimonas	0.0365681455312163	0.680350418048162	0.000430216119060645	0.0224611517681826	0.000109735338171724	0.405740688633927	0.0139708299345223	0.00618869746669551	0.187614117874796	0.264446347071011	0.0961571099142059	4.85755334493471e-05	0	0.0355119578123273	0.599369052164823	0.0640133912775408	0.46260709361951	0.173341633381215	0.877100616390548	0.46260709361951	0.0935108354980249	0.982085764339375	0.204593884268929	0.0883119089007228	0.274420593764129	0.294871654119269	0.378602616408569	0.159379919304247	0.713279925330236	0.718933156156758	0.476120439153065	0.124509434811863	0.775129773818029	0.718933156156758	0.731827979475373	0.22742739794246	0.767657306162651	0.0120850762092863	0.0092743376584506	0.0330029396266283	0.0263119019523056	0.309208659898238	0.771424627617092	0.277915702347651
Achromobacter	0.00891949507827314	0.701166768751069	0.00521447933995862	0.0271397758044596	0.00315573053211054	0.0580719248958362	0.00672792962173472	0.0433144165099354	0.0611133713020348	0.0345076988320426	0.0325371669917594	0.00116704244432829	0.00130725178033784	0	0.715157915429981	0.0141919923204939	0.975497969567827	0.117669807054145	0.402294513854827	0.573238006071429	0.581197334890361	0.431914614640121	0.0565936423726125	0.0766330109275535	0.233015796644448	0.160629133853013	0.129708740919518	0.0558233490288358	0.42735288548199	0.348016347902539	0.0766330109275535	0.10755072802394	0.382798779777666	0.22161130536859	0.802627644973487	0.148083873024337	0.890025345767223	0.00380915992772716	0.000923646534614136	0.00386909952991776	0.0433144165099354	0.205246662827868	0.831597223128898	0.592801081886075
Microvirga	0.743395026137277	0.400295090711511	0.384196650761819	0.243655337594556	0.243655337594556	0.191057627345904	0.573277290866	0.715157915429981	0.0642713028440202	0.22010439650727	0.612592598367419	0.91078039911692	0.802627644973487	0.870208202042932	0	0.827235410472221	0.423276787025925	0.857634808053977	0.0203107294103894	0.541819034542478	0.924049825605554	0.11379019093141	0.806791883307869	0.617327063014741	0.612878663209685	0.985217800405747	0.621611556166658	0.536853239517561	0.690467726104697	0.590346961891325	0.651685444173902	0.651685444173902	0.105463419410594	0.431914614640121	0.165450447849669	0.851105007087506	0.571644287975042	0.439233876188868	0.881213585700763	0.242441109094123	0.239624406310444	0.95690776230211	0.573238006071429	0.497006587319681
Novosphingobium	0.00568479008886398	0.903376844718889	0.0898416849718557	0.035526524116891	0.0271397758044596	0.239624406310444	0.000638246691161088	0.140835721892622	0.22010439650727	0.1678153336374	0.363295114375383	1.521727012972e-05	0.00417478638766571	0.000209161804322107	0.639378272107459	0	0.723171640189954	0.370833055369949	0.274420593764129	0.42735288548199	0.367356652129888	0.436358619835112	0.0190228924600547	0.184596431273543	0.419252932077931	0.568485652598866	0.521526410585197	0.10430769830354	0.286845086671964	0.267225534003458	0.492062909853282	0.109276082697822	0.367356652129888	0.14169872036933	0.590346961891325	0.454082978292232	0.833446133291655	0.0149969368546501	0.0940176797007162	0.00291053765164664	0.027987612204855	0.363295114375383	0.858804118773222	0.592801081886075
Kaistia	0.977655893023622	0.295335799471405	0.400295090711511	0.480034401339913	0.23168960494058	0.0961571099142059	0.547680584702937	0.373664866717298	1	0.933030449053075	0.881213585700763	0.444950543678808	0.194542528266613	0.940458343503752	0.164657973316417	0.480034401339913	0	0.974896660935411	0.488779077045021	0.294871654119269	0.541819034542478	0.97272002882451	0.831597223128898	0.723171640189954	0.351943538351153	0.906343984727165	0.895314081037148	0.927372186087973	0.927372186087973	0.682745187096299	0.72180295922877	0.902219380683168	0.236314680088511	0.673758737037941	0.484119467774241	0.800420395513435	0.233396298327415	0.851794399000938	0.837151446108293	0.686533196406393	0.227785653323252	0.510266309871794	0.165450447849669	0.0139708299345223
Chitinophaga	0.0408254985205422	0.488739973692076	0.00517796167290177	0.169129852297399	0.0549747426788328	0.299610278048908	0.350258203396406	0.050126952490384	0.0314620148619126	0.00682399651405721	0.0019960350246974	0.292753011995756	0.0296260451303669	0.0138981686635516	0.690551540087258	0.126963075696257	0.936705057072234	0	0.299610278048908	0.876117001689936	0.858804118773222	0.178320680664281	0.0640133912775408	0.173341633381215	0.0366552126352216	0.00371263978738592	0.0104149298392008	0.346576607993022	0.898845386007271	0.67658500747867	0.0649334695166026	0.0409955473317966	0.386808044484035	0.14788993160517	0.421470743848128	0.031436572036516	0.147258748499275	0.00157079455821367	0.0012581912053039	0.0296012307049281	0.485737805935394	0.00277277901569066	0.516156614166576	0.0836200403878223
Hyphomicrobium	0.333170135915476	0.851794399000938	0.694204783099318	0.146554291784015	0.844466903040607	0.338087647858881	0.474095139944086	0.32346003406511	0.0565941087969963	0.0642713028440202	0.474095139944086	0.32346003406511	0.729235337448989	0.149472369651657	0.000430216119060645	0.0709464396376372	0.216326971668755	0.577086891651346	0	0.559538352143799	0.902219380683168	0.0298454950125677	0.518944908876239	0.953726999077232	0.449768354307813	0.966437349656567	0.327991493121895	0.259495681756863	0.329806654001428	0.128766853567821	0.504675329473585	0.359331768406845	0.006181528190232	0.152932060489045	0.0428040821618885	0.724890352267506	0.789503363853513	0.243655337594556	0.566830730716329	0.126203631616641	0.541361632626163	0.652933439953992	0.940909648523675	0.955327485542882
Iamia	0.135272639034476	0.619247336652413	0.264446347071011	0.124606393508405	0.260203249066505	0.281843162514077	0.0335113521388893	0.155427040254569	0.722186091025371	0.373664866717298	0.729235337448989	0.12203439858783	0.194542528266613	0.295335799471405	0.264446347071011	0.1678153336374	0.0818934520336592	0.725545990563381	0.281843162514077	0	0.335764438262309	0.723171640189954	0.419252932077931	0.581197334890361	0.95690776230211	0.866331694194906	0.998276504262012	0.139419667078012	0.628967457439464	0.621611556166658	0.697803075019665	0.854675526887732	0.475211028229305	0.412865138807067	0.895314081037148	0.594890488944688	0.71093402036926	0.149472369651657	0.673458997542294	0.478935869422829	0.177530739680993	0.152429892154134	0.955327485542882	0.873843532782525
