Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	g__Podospora	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	g__Cladosporium	Chondromyces	Rudaibacter	g__Mycosphaerella	Steroidobacter	g__Nigrospora	Stenotrophomonas	Pantoea	g__Mortierella	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	g__Edenia	Curtobacterium	g__Metacordyceps	Dactylosporangium
Pseudomonas	0.478787878787879	0.381818181818182	0.0181818181818182	0.527272727272727	0.115151515151515	0.466666666666667	0.43030303030303	0.224242424242424	0.0545454545454545	0.406060606060606	1	0.224242424242424	0.139393939393939	0.284848484848485	0.0787878787878788	0.296969696969697	0.236363636363636	0.6	0.248484848484848	0.345454545454545	0.0424242424242424	0.321212121212121	0.284848484848485	0.103030303030303	0.0787878787878788	0.212121212121212	0.115151515151515	0.0181818181818182	0.272727272727273	0.490909090909091	0.454545454545455	0.587878787878788	0.672727272727273	0.0787878787878788	0.393939393939394	0.187878787878788	0.115151515151515	0.0181818181818182	0.272727272727273	0.0424242424242424	0.151515151515151	-0.0424242424242424	0.127272727272727	0.612121212121212	0.442424242424242	0.0787878787878788	0.709090909090909	0.575757575757576	-0.151976385920016	0.0181818181818182
Massilia	0.806060606060606	0.975757575757576	0.83030303030303	0.793939393939394	0.878787878787879	0.854545454545454	0.951515151515151	0.963636363636364	0.793939393939394	-0.0909090909090909	0.224242424242424	1	0.963636363636364	0.842424242424242	0.915151515151515	0.987878787878788	0.890909090909091	0.660606060606061	0.915151515151515	0.575757575757576	0.927272727272727	0.818181818181818	0.975757575757576	0.757575757575757	0.842424242424242	0.793939393939394	0.963636363636364	0.878787878787879	0.866666666666667	0.903030303030303	0.76969696969697	0.36969696969697	0.284848484848485	0.757575757575757	0.83030303030303	0.539393939393939	0.939393939393939	0.903030303030303	0.963636363636364	0.927272727272727	0.551515151515151	0.842424242424242	0.709090909090909	0.672727272727273	0.672727272727273	0.927272727272727	0.103030303030303	0.587878787878788	0.723407596979277	0.915151515151515
Umezawaea	0.757575757575757	0.927272727272727	0.927272727272727	0.709090909090909	0.939393939393939	0.781818181818182	0.890909090909091	0.975757575757576	0.842424242424242	-0.163636363636364	0.139393939393939	0.963636363636364	1	0.83030303030303	0.963636363636364	0.951515151515151	0.903030303030303	0.648484848484848	0.915151515151515	0.551515151515151	0.975757575757576	0.793939393939394	0.915151515151515	0.793939393939394	0.939393939393939	0.709090909090909	0.975757575757576	0.951515151515151	0.793939393939394	0.854545454545454	0.612121212121212	0.2	0.127272727272727	0.818181818181818	0.793939393939394	0.624242424242424	0.951515151515151	0.951515151515151	0.878787878787879	0.975757575757576	0.393939393939394	0.927272727272727	0.76969696969697	0.563636363636364	0.6	0.963636363636364	0.0545454545454545	0.418181818181818	0.826751539404888	0.951515151515151
Devosia	0.648484848484848	0.83030303030303	0.793939393939394	0.466666666666667	0.878787878787879	0.721212121212121	0.793939393939394	0.757575757575757	0.757575757575757	-0.236363636363636	0.284848484848485	0.842424242424242	0.83030303030303	1	0.890909090909091	0.793939393939394	0.951515151515151	0.76969696969697	0.975757575757576	0.781818181818182	0.854545454545454	0.793939393939394	0.890909090909091	0.939393939393939	0.806060606060606	0.587878787878788	0.806060606060606	0.806060606060606	0.806060606060606	0.854545454545454	0.757575757575757	0.151515151515151	0.151515151515151	0.890909090909091	0.490909090909091	0.745454545454545	0.927272727272727	0.878787878787879	0.83030303030303	0.854545454545454	0.272727272727273	0.806060606060606	0.818181818181818	0.575757575757576	0.551515151515151	0.878787878787879	-0.139393939393939	0.515151515151515	0.747723818726479	0.866666666666667
Galbitalea	0.721212121212121	0.878787878787879	0.915151515151515	0.587878787878788	0.987878787878788	0.733333333333333	0.83030303030303	0.903030303030303	0.854545454545454	-0.151515151515151	0.0787878787878788	0.915151515151515	0.963636363636364	0.890909090909091	1	0.890909090909091	0.939393939393939	0.696969696969697	0.951515151515151	0.636363636363636	0.963636363636364	0.757575757575757	0.878787878787879	0.903030303030303	0.927272727272727	0.624242424242424	0.927272727272727	0.975757575757576	0.733333333333333	0.842424242424242	0.587878787878788	0.151515151515151	0.0303030303030303	0.878787878787879	0.672727272727273	0.709090909090909	0.963636363636364	0.987878787878788	0.83030303030303	0.963636363636364	0.321212121212121	0.951515151515151	0.854545454545454	0.515151515151515	0.612121212121212	0.951515151515151	-0.0787878787878788	0.381818181818182	0.881463038336094	0.939393939393939
Sphingomonas	0.866666666666667	0.987878787878788	0.781818181818182	0.866666666666667	0.866666666666667	0.890909090909091	0.975757575757576	0.975757575757576	0.757575757575757	-0.00606060606060606	0.296969696969697	0.987878787878788	0.951515151515151	0.793939393939394	0.890909090909091	1	0.866666666666667	0.709090909090909	0.878787878787879	0.563636363636364	0.890909090909091	0.781818181818182	0.951515151515151	0.696969696969697	0.806060606060606	0.76969696969697	0.939393939393939	0.854545454545454	0.806060606060606	0.915151515151515	0.733333333333333	0.442424242424242	0.309090909090909	0.684848484848485	0.878787878787879	0.478787878787879	0.903030303030303	0.866666666666667	0.939393939393939	0.890909090909091	0.539393939393939	0.806060606060606	0.684848484848485	0.733333333333333	0.696969696969697	0.890909090909091	0.2	0.6	0.65653798717447	0.866666666666667
Mesorhizobium	0.793939393939394	0.878787878787879	0.818181818181818	0.563636363636364	0.951515151515151	0.842424242424242	0.866666666666667	0.854545454545454	0.709090909090909	-0.187878787878788	0.236363636363636	0.890909090909091	0.903030303030303	0.951515151515151	0.939393939393939	0.866666666666667	1	0.818181818181818	0.951515151515151	0.806060606060606	0.903030303030303	0.696969696969697	0.915151515151515	0.866666666666667	0.854545454545454	0.515151515151515	0.854545454545454	0.878787878787879	0.733333333333333	0.83030303030303	0.636363636363636	0.224242424242424	0.0303030303030303	0.818181818181818	0.563636363636364	0.721212121212121	0.975757575757576	0.903030303030303	0.854545454545454	0.903030303030303	0.321212121212121	0.854545454545454	0.793939393939394	0.672727272727273	0.575757575757576	0.951515151515151	-0.0424242424242424	0.393939393939394	0.747723818726479	0.915151515151515
Herbaspirillum	0.854545454545454	0.757575757575757	0.466666666666667	0.624242424242424	0.757575757575757	0.83030303030303	0.793939393939394	0.672727272727273	0.466666666666667	0.151515151515151	0.6	0.660606060606061	0.648484848484848	0.76969696969697	0.696969696969697	0.709090909090909	0.818181818181818	1	0.745454545454545	0.842424242424242	0.587878787878788	0.515151515151515	0.696969696969697	0.648484848484848	0.539393939393939	0.321212121212121	0.551515151515151	0.587878787878788	0.43030303030303	0.781818181818182	0.527272727272727	0.43030303030303	0.151515151515151	0.515151515151515	0.490909090909091	0.466666666666667	0.709090909090909	0.624242424242424	0.624242424242424	0.587878787878788	0.139393939393939	0.551515151515151	0.660606060606061	0.842424242424242	0.539393939393939	0.648484848484848	0.224242424242424	0.478787878787879	0.370822381644839	0.575757575757576
Caulobacter	0.696969696969697	0.903030303030303	0.866666666666667	0.575757575757576	0.927272727272727	0.745454545454545	0.854545454545454	0.854545454545454	0.83030303030303	-0.212121212121212	0.248484848484848	0.915151515151515	0.915151515151515	0.975757575757576	0.951515151515151	0.878787878787879	0.951515151515151	0.745454545454545	1	0.696969696969697	0.915151515151515	0.854545454545454	0.927272727272727	0.939393939393939	0.878787878787879	0.672727272727273	0.890909090909091	0.890909090909091	0.842424242424242	0.915151515151515	0.757575757575757	0.175757575757576	0.175757575757576	0.915151515151515	0.636363636363636	0.733333333333333	0.951515151515151	0.939393939393939	0.878787878787879	0.915151515151515	0.309090909090909	0.866666666666667	0.83030303030303	0.563636363636364	0.636363636363636	0.915151515151515	-0.0787878787878788	0.527272727272727	0.802435317657685	0.903030303030303
Phyllobacterium	0.696969696969697	0.612121212121212	0.43030303030303	0.345454545454545	0.672727272727273	0.733333333333333	0.660606060606061	0.551515151515151	0.345454545454545	0.0181818181818182	0.345454545454545	0.575757575757576	0.551515151515151	0.781818181818182	0.636363636363636	0.563636363636364	0.806060606060606	0.842424242424242	0.696969696969697	1	0.539393939393939	0.478787878787879	0.684848484848485	0.672727272727273	0.490909090909091	0.248484848484848	0.442424242424242	0.503030303030303	0.466666666666667	0.563636363636364	0.527272727272727	0.260606060606061	-0.0666666666666667	0.563636363636364	0.187878787878788	0.454545454545455	0.721212121212121	0.575757575757576	0.624242424242424	0.539393939393939	0.151515151515151	0.490909090909091	0.527272727272727	0.757575757575757	0.333333333333333	0.660606060606061	0.00606060606060606	0.309090909090909	0.37690143708164	0.6
