TAH6	TAD7	TAE0H7	TAH10	TAH8	TAE0BS2	TAE0BS5	TAE0D4	TAD8	TAH5	TAH1	TABS3	TAE0BS1	TABS4	TAH4	TAE0D9	TAH2	TAD5	TAD3	TAE0H6	TAH7	TAD6	TAE0D7	TAE0H10	TAE0H8	TAE0D5	TAE0D1	TAH3	TABS5	TAD9	TAD2	TAE0H9	TAH9	TAE0BS4	TAE0BS3	TABS2	TAD10	TAD1	TAD4	TABS1
OTU_46	232	1	27	195	2	531	2497	19	5	13	20	387	956	938	7	13	51	13	14	312	23	19	0	217	5	24	0	22	1984	11	9	12	8	1097	533	443	2	0	7	777
OTU_133	9	4	0	3	1	10	163	0	176	1	1	67	333	27	12	9	1	3	1	13	0	8	6	13	0	2	0	0	94	5	1	6	0	13	58	6	296	1	0	301
OTU_20	29	2646	454	183	91	0	48	179	2099	4	68	7	7	2	101	456	52	61	700	30	310	231	2850	221	97	89	807	0	34	434	665	1	0	0	5	2	192	340	175	5
OTU_219	0	3	4	0	0	6	21	2	4	0	44	6	108	31	0	1	0	0	4	0	0	0	1	1	0	0	37	0	16	4	2	0	0	38	6	7	0	12	4	103
OTU_35	2	31	25	340	20	3125	442	121	61	1	131	371	409	506	11	30	31	473	57	2	18	135	30	352	9	831	213	20	403	18	66	5	7	565	505	3024	128	174	86	369
OTU_138	14	0	0	8	2	1	4	0	0	39	1	26	0	0	27	0	10	0	0	39	0	0	0	10	4	0	0	180	5	0	29	734	345	0	54	0	0	0	0	0
OTU_15	361	639	179	259	2	0	1	18	741	220	147	0	0	1	727	2408	65	40	116	587	134	277	790	251	9	50	2345	94	7	2012	1004	256	116	0	0	0	185	1027	19	0
OTU_39	1	54	1587	3022	0	1	161	116	57	1	1200	686	65	277	1	15	179	3	3	0	947	0	72	4178	0	18	19	0	139	5	47	0	13	311	831	0	4	7	82	68
OTU_301	0	0	9	2	0	18	12	1	5	0	1	18	6	37	0	0	1	0	0	0	6	0	0	1	0	0	0	0	11	0	0	0	0	31	21	6	0	0	1	10
OTU_78	15	21	8	22	8	242	770	9	7	0	14	729	967	311	0	5	14	0	7	15	5	20	21	13	7	1	3	0	640	9	6	0	4	360	1000	223	0	0	8	945
