TAH6	TAD7	TAE0H7	TAH10	TAH8	TAE0BS2	TAE0BS5	TAE0D4	TAD8	TAH5	TAH1	TABS3	TAE0BS1	TABS4	TAH4	TAE0D9	TAH2	TAD5	TAD3	TAE0H6	TAH7	TAD6	TAE0D7	TAE0H10	TAE0H8	TAE0D5	TAE0D1	TAH3	TABS5	TAD9	TAD2	TAE0H9	TAH9	TAE0BS4	TAE0BS3	TABS2	TAD10	TAD1	TAD4	TABS1
OTU_613	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_201	0	0	0	0	0	119	6	0	0	0	0	18	3	100	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	0	0	0	0	101	19	75	0	0	0	6
OTU_101	30	0	1	169	0	49	1	0	0	0	8	9	27	548	0	0	0	0	0	86	0	0	0	238	0	0	0	0	2	0	0	0	0	678	11	33	0	0	0	35
OTU_329	37	0	0	9	46	2	1	0	0	16	3	2	0	0	40	0	41	0	0	10	0	0	0	9	49	3	0	0	0	0	0	122	35	0	2	1	0	0	0	0
OTU_134	4	39	103	45	6	46	4	8	20	0	202	12	93	11	2	21	83	0	2	2	71	4	37	76	5	6	11	6	12	18	24	0	0	8	7	59	10	2	19	112
OTU_161	0	0	0	22	7	14	5	0	0	0	8	40	2	313	0	0	1	0	0	0	0	0	0	11	13	0	0	0	9	0	0	0	0	277	39	10	0	0	0	1
OTU_350	53	0	0	13	9	1	7	0	0	0	4	6	0	0	7	0	1	0	0	61	0	0	0	14	13	0	0	0	14	0	0	0	1	1	6	1	0	0	0	0
OTU_426	0	0	0	2	0	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	43	0	0	0	0
OTU_1129	0	0	0	0	0	2	6	0	0	2	0	3	3	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	9	0	1	0	0	2	7	1	0	1	0	4
OTU_73	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	31	55	0	3	0	0	3539	0	1	0	0	0	0	0	26	2872	6	0	0	0	0	34	0	0	0
OTU_54	928	0	0	78	0	36	0	0	0	2460	3	0	0	1	203	1	1	0	0	1369	0	31	0	92	0	0	0	45	0	0	2	3853	2291	5	1	45	0	0	0	0
OTU_164	0	0	0	1	5	23	121	0	0	1	0	84	27	66	0	0	1	0	0	0	0	0	0	2	6	0	0	0	85	0	0	0	0	84	95	19	0	2	0	27
OTU_56	0	6	32	11	2	130	3094	13	3	0	114	49	160	28	3	10	15	25	108	6	17	0	7	19	2	35	22	1	2556	2	34	0	1	25	67	95	8	2	14	132
OTU_105	77	0	20	227	39	9	6	0	0	6	10	0	4	2	2	1	474	0	2	181	5	0	2	313	70	0	0	0	2	0	0	358	139	2	8	5	104	0	1	0
OTU_212	0	1	4	0	5	12	139	1	1	0	2	5	7	5	0	0	118	0	1	0	0	1	1	0	4	0	0	0	92	0	0	0	0	5	6	7	0	0	1	5
OTU_204	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	150	24	0	580	5	0	0	0	1	60	0	0	0	0	95	0	7	0	0	0	0	0	0	0	0
OTU_120	12	33	0	9	2	3	0	128	47	42	18	1	12	317	2	54	1	206	163	16	2	4	35	4	4	359	1	1	2	38	15	210	100	289	3	13	11	0	71	10
OTU_978	7	0	0	0	0	4	1	0	0	0	11	0	2	16	0	0	0	0	0	15	0	0	0	2	0	0	0	0	1	0	0	0	0	12	2	11	1	0	0	1
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	739	0	0	0	0	0	0
OTU_118	710	0	0	62	1	47	49	5	0	5	2	51	45	32	0	5	2	0	4	1105	0	0	0	86	4	0	0	0	77	0	0	4	5	44	56	36	0	0	1	22
OTU_234	7	0	0	0	5	3	8	0	1	6	0	79	2	21	0	0	1	0	0	10	0	0	0	3	9	0	0	1	8	0	0	140	54	21	84	10	0	0	1	3
OTU_269	24	0	0	0	0	0	6	0	0	1	0	8	0	97	0	0	0	0	0	44	0	0	0	0	0	0	0	0	4	0	0	41	21	76	2	0	0	0	0	0
OTU_440	0	0	0	0	0	0	0	0	0	0	0	0	12	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	14
OTU_558	1	1	0	1	1	3	2	2	0	1	2	1	3	14	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	1	0	22	0	4	0	0	0	2
OTU_278	0	0	0	0	0	67	24	0	0	0	0	12	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	3	8	58	0	0	0	18
OTU_59	8	0	1	4	4	334	272	1	0	0	5	117	1316	45	1	3	5	0	1	20	4	1	0	4	7	0	0	0	199	3	1	0	1	36	139	313	2	0	1	1341
OTU_491	0	0	0	0	0	0	54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	2
OTU_191	0	0	1	2	0	181	11	9	0	0	0	14	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	2	0	0	22	35	143	0	0	15	7
OTU_106	1	0	0	1	1	602	25	0	0	0	0	78	6	94	0	0	0	0	0	1	0	0	0	0	1	0	0	0	14	0	0	0	0	83	79	485	0	0	0	6
OTU_1120	4	0	0	1	0	0	0	0	0	936	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	301	140	0	0	0	0	0	0	0
OTU_190	1	0	20	0	0	0	0	2	0	90	0	129	8	0	0	2	1	0	0	0	10	0	0	0	1	0	0	101	1	1	0	235	68	0	157	0	0	0	1	0
OTU_197	0	2	8	5	0	103	35	13	7	0	5	7	10	6	1	4	0	0	0	0	5	0	1	1	0	0	0	1	29	2	5	0	0	6	14	66	68	0	6	2
OTU_933	0	0	0	1	0	3	6	0	0	1	2	8	3	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	5	6	5	0	0	0	2
OTU_306	0	0	0	0	0	0	16	0	0	0	0	19	3	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	47	26	0	0	0	0	6
OTU_160	16	0	0	1	0	128	46	0	0	3	0	77	64	26	0	0	1	0	7	20	8	0	0	6	0	0	0	0	32	0	0	3	6	29	80	82	0	0	0	55
OTU_429	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
OTU_304	0	0	75	0	0	0	1	4	7	0	1	0	19	0	0	1	0	0	0	0	49	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	8	0	6	23
OTU_356	0	0	1	0	0	11	13	0	0	0	0	43	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	28	71	6	0	0	0	0
OTU_185	0	0	0	0	0	5	224	0	0	0	0	47	34	6	0	0	4	0	3	0	1	0	0	0	0	0	0	0	162	1	0	0	0	8	45	2	0	0	1	24
OTU_130	14	8	65	59	11	85	171	23	36	12	60	185	229	134	1	7	31	15	8	9	46	0	7	58	13	21	98	0	147	0	2	22	7	159	191	93	2	60	19	188
OTU_43	117	8	12	35	27	657	139	110	11	152	15	715	403	392	5	161	43	78	68	159	7	21	12	44	33	141	18	9	87	143	12	706	268	479	960	598	101	2	65	327
OTU_215	0	3	0	10	0	60	0	0	2	0	1	24	126	0	0	1	0	0	0	0	0	0	9	11	0	0	0	0	0	1	0	0	0	0	32	52	0	0	0	105
OTU_936	0	0	0	0	0	0	2	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	10	0	0	0	0	0
OTU_94	0	0	449	0	1	1	566	18	16	0	148	3	0	25	0	6	164	0	2	0	271	0	0	0	3	3	0	0	435	3	1	0	0	30	0	0	28	0	7	0
OTU_195	0	0	0	0	0	6	61	0	0	0	0	32	24	171	0	0	0	0	0	0	0	0	0	1	0	0	0	0	70	0	0	0	0	193	47	6	0	0	0	30
OTU_84	0	0	0	0	0	0	0	0	0	0	0	0	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1179	0	1	0	0	0	0
OTU_113	0	1	1	24	0	59	214	0	0	0	1	119	160	60	0	1	1	0	0	0	2	1	2	41	2	0	22	0	161	1	0	0	0	75	150	76	1	12	1	181
OTU_189	0	0	0	0	0	191	10	0	0	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	12	0	165	0	0	0	3
OTU_79	2	90	0	11	1	217	73	284	7	8	13	115	139	34	7	3	2	143	6	0	2	0	118	20	0	275	158	3	53	2	1	0	0	36	195	170	7	104	207	128
OTU_391	1	0	0	0	2	18	18	0	0	0	2	42	7	17	0	0	0	0	0	4	0	0	0	1	1	0	0	0	16	0	0	0	3	15	58	16	0	0	0	7
OTU_224	0	0	10	2	0	9	66	0	0	0	0	60	37	4	0	0	5	0	0	0	9	0	0	6	0	0	0	0	47	0	3	0	0	4	91	2	0	0	0	29
OTU_143	0	13	26	19	180	0	0	8	6	3	46	4	5	0	2	7	77	24	8	1	36	13	18	28	211	25	44	2	0	7	10	14	6	0	7	0	13	14	12	4
OTU_866	4	1	0	0	9	0	2	0	0	0	2	0	2	1	0	0	4	0	0	9	0	0	3	0	14	0	0	0	0	0	0	5	3	0	3	0	0	0	0	0
OTU_115	55	3	0	33	394	0	2	0	9	43	9	0	0	0	248	0	85	0	0	55	0	0	1	31	482	0	0	33	0	0	0	78	45	0	0	0	0	0	0	0
OTU_137	0	0	0	1	0	124	93	1	0	0	9	150	55	67	0	0	5	17	0	1	1	0	0	2	0	5	0	0	91	0	0	0	2	68	174	119	0	0	8	39
OTU_810	0	0	0	0	0	6	1	1	0	0	0	4	7	0	0	0	0	10	0	0	0	0	2	0	1	11	12	0	3	1	2	0	0	0	3	3	0	5	1	4
OTU_139	0	0	0	0	476	0	0	0	0	0	1	0	0	19	0	0	23	0	0	0	1	0	0	3	660	0	0	0	0	1	0	0	0	40	0	0	0	0	0	0
OTU_104	0	0	0	0	7	66	357	0	0	0	0	208	85	44	1	1	0	6	0	0	0	0	0	5	6	5	0	0	250	1	0	1	0	65	234	65	12	0	0	128
OTU_142	0	2	2	1	0	41	221	0	3	0	0	164	74	38	0	0	0	0	0	1	4	0	5	1	0	2	0	0	118	0	4	0	0	53	191	48	3	0	1	67
OTU_264	0	0	0	0	0	1	0	0	110	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
OTU_117	0	0	0	11	525	1	20	0	0	0	0	6	1	2	0	0	0	0	2	0	0	0	0	10	623	0	0	0	14	0	1	0	0	1	1	0	0	0	0	1
OTU_925	0	0	0	0	0	0	16	0	0	0	0	15	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	5	3	0	0	0	1
OTU_153	1	0	0	6	223	5	13	5	0	24	0	34	16	26	6	0	5	1	0	3	2	0	0	0	246	5	2	0	0	0	1	43	25	26	43	14	0	0	0	15
OTU_801	3	17	21	47	14	0	4	0	0	14	3	0	1	10	1369	0	8	22	0	5	15	0	27	50	20	28	0	480	2	0	0	0	0	6	1	0	0	0	0	2
OTU_386	7	0	0	9	5	1	17	0	4	0	3	2	1	1	2	3	5	0	0	0	0	0	1	10	9	0	1	7	21	3	0	0	0	3	0	0	0	2	2	1
OTU_148	3	0	3	14	2	37	82	0	13	35	0	185	17	24	1	11	0	1	5	8	0	0	0	10	9	0	0	6	55	10	1	26	5	36	206	40	0	0	2	7
OTU_627	0	0	0	0	18	0	0	0	0	0	0	0	1	0	2	0	2	0	0	1	0	0	0	2	17	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_179	5	2	13	30	141	9	17	0	0	10	5	29	28	85	9	1	25	0	1	5	8	7	1	56	158	0	0	0	17	0	0	24	28	97	36	6	2	3	2	19
OTU_116	0	0	9	2	2	62	298	1	0	0	3	29	178	69	0	8	1	0	1	0	4	1	0	0	0	1	0	0	235	13	0	7	0	77	50	59	0	0	4	162
OTU_126	182	1	0	297	40	0	0	0	0	53	0	1	0	0	19	0	18	0	0	292	0	0	0	378	31	0	11	1	0	0	0	4	2	1	2	0	0	2	0	0
OTU_131	0	4	6	1	4	38	86	13	10	0	472	133	25	75	0	4	1	3	0	0	8	0	2	0	1	7	1	0	98	0	1	0	0	64	135	31	10	0	5	38
OTU_587	6	3	0	8	1	0	0	4	1	0	0	1	0	1	6	1	0	1	1	18	0	0	3	2	1	3	32	0	0	0	0	2	2	0	2	0	0	7	3	0
OTU_288	2	0	0	6	0	23	43	0	0	0	11	56	13	28	0	0	0	0	0	0	0	0	0	5	0	0	0	0	34	0	0	0	0	38	76	30	1	0	0	12
OTU_220	0	2	4	3	4	11	99	0	2	0	3	17	4	14	0	0	21	43	0	0	1	0	7	6	0	101	0	0	82	0	2	0	0	20	19	4	2	0	0	7
OTU_72	0	0	0	2	0	78	207	0	0	0	0	902	61	131	0	26	0	1	0	0	0	0	0	7	0	0	0	0	169	22	0	0	0	178	1083	61	0	0	0	73
OTU_100	2	6	295	83	0	49	116	46	18	0	83	72	87	66	0	10	29	1	5	3	238	3	7	137	0	6	25	0	81	6	10	0	0	69	72	36	25	14	37	93
OTU_180	0	44	0	0	0	2	0	0	15	0	0	0	0	0	0	0	0	7	1	0	0	1	44	0	0	10	1576	0	0	1	0	0	0	0	0	0	0	627	0	0
OTU_124	0	0	639	1	0	0	0	0	0	0	35	0	0	0	0	0	1051	0	0	2	496	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_228	6	0	0	1	1	27	48	2	0	0	0	51	8	19	0	0	0	0	0	0	1	0	0	2	1	5	2	0	43	0	0	2	0	23	81	12	0	0	1	9
OTU_321	0	0	0	3	168	2	1	0	0	0	1	1	0	0	4	0	32	0	0	2	0	0	0	3	174	0	0	0	1	0	0	12	4	2	3	2	0	0	0	1
OTU_257	1	0	0	0	0	13	0	0	0	17	0	85	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	12	0	0	0	0
OTU_136	1	0	0	0	2	8	0	0	0	1	0	391	5	12	5	0	5	1	0	4	0	0	0	0	2	0	0	0	0	0	0	4	5	11	473	7	0	0	0	4
OTU_300	0	0	116	9	0	5	0	1	0	0	5	0	1	0	0	1	2	0	0	0	48	12	1	24	0	0	9	0	1	0	2	0	0	0	3	7	0	1	7	3
OTU_211	0	0	0	0	0	4	66	0	0	0	0	50	87	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	47	49	5	0	0	0	55
OTU_589	0	0	0	0	1	1	0	0	0	0	0	17	27	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	11	30	0	0	0	0	24
OTU_287	8	0	0	3	6	11	45	0	0	0	0	6	14	69	0	0	0	0	0	4	0	0	1	0	2	2	0	0	30	0	0	0	0	54	8	13	0	0	0	9
OTU_280	1	0	0	1	0	20	1	0	0	0	0	26	2	34	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	42	49	13	0	0	0	2
OTU_1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	27	0	0
OTU_205	0	0	0	1	95	0	0	0	0	0	7	0	0	0	1	0	492	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_241	0	0	0	0	21	0	89	0	1	0	3	0	0	0	0	0	81	0	0	2	0	0	0	0	27	0	0	1	63	0	0	17	4	1	0	0	4	0	0	1
OTU_590	0	3	0	7	0	0	0	12	2	0	0	0	0	0	0	29	0	0	2	5	0	0	3	6	0	0	0	0	0	19	10	8	4	0	0	0	0	0	6	0
OTU_295	2	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	185	70	0	0	0	0	0	0	0
OTU_556	8	1	2	0	0	10	4	0	0	0	2	2	1	3	1	0	0	0	0	4	0	0	0	1	0	1	3	1	1	0	0	0	3	2	3	5	17	0	0	1
OTU_441	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	53	0	1	1	0	0	1
OTU_604	0	0	0	0	0	0	8	0	0	0	0	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	19	1	0	0	0	2
OTU_111	1	1	13	3	7	24	87	0	0	0	603	123	150	34	1	1	7	1	1	0	6	0	1	9	5	0	2	0	97	1	0	3	0	51	208	27	2	0	1	150
OTU_617	0	2	0	1	5	8	7	0	0	0	5	18	10	4	0	0	1	1	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	8	14	17	0	0	1	5
OTU_213	0	108	12	0	0	0	0	0	0	0	19	0	0	12	0	0	2	0	0	0	10	0	128	0	0	0	5	0	1	0	0	0	0	27	0	0	0	8	0	0
OTU_144	0	0	0	140	0	0	30	0	10	0	499	0	2	4	10	0	0	0	0	4	0	0	0	186	0	0	0	0	17	0	0	0	0	1	1	0	1	0	0	1
OTU_231	0	0	0	0	0	7	27	0	0	9	0	126	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	74	45	33	140	10	0	0	0	28
OTU_1083	0	1	0	0	0	15	7	0	0	0	0	89	4	62	0	0	0	0	0	0	0	0	0	1	2	0	0	0	12	0	0	0	0	68	107	14	0	0	0	13
OTU_340	0	0	0	0	0	15	45	0	0	0	0	29	10	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	16	55	28	0	0	0	3
OTU_575	0	0	0	0	0	1	27	0	0	0	0	18	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	9	22	4	0	0	0	4
OTU_196	0	0	0	0	20	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	25	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0
OTU_217	0	1	0	0	0	1	109	6	69	0	0	27	3	3	0	2	0	13	0	0	0	0	1	0	0	27	36	0	65	0	1	0	0	0	25	1	0	17	6	3
OTU_240	0	2	0	0	0	4	54	17	1	0	0	42	13	23	0	0	3	0	0	0	0	0	4	0	4	0	0	0	52	0	5	0	0	30	75	5	0	0	17	16
OTU_427	1	5	0	0	9	14	2	16	5	4	1	16	5	14	2	0	2	1	0	6	0	0	6	4	6	2	0	2	1	0	2	2	3	21	9	8	0	0	13	3
OTU_147	0	0	1	0	0	82	13	2	0	0	0	100	23	127	5	0	1	0	0	0	0	0	0	1	0	0	3	0	16	0	0	0	0	180	104	55	0	1	0	19
OTU_159	2	0	0	0	0	177	16	0	0	0	0	189	7	7	0	0	0	9	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	8	233	138	0	0	0	13
OTU_347	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	184	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_332	0	0	0	4	0	52	5	0	0	1	0	14	2	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	9	6	41	0	0	0	1
OTU_182	0	1	2	10	0	118	19	0	2	3	0	11	37	46	0	5	5	0	2	2	0	0	0	4	0	0	1	0	38	1	0	3	1	53	1	117	0	0	1	24
OTU_595	0	0	0	0	1	5	12	0	0	3	0	22	6	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	2	62	3	0	0	0	2
OTU_375	0	0	0	0	0	68	12	0	0	0	0	17	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	8	16	58	0	0	0	7
OTU_263	0	0	0	0	123	0	0	0	0	0	3	0	0	0	0	0	26	0	0	0	0	0	0	0	172	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_108	6	0	0	0	0	473	66	2	0	2	1	28	166	15	0	0	0	0	0	1	0	0	3	1	1	0	0	1	59	0	0	4	7	19	33	380	0	0	3	132
OTU_181	3	6	4	38	61	4	29	1	117	11	43	13	6	20	42	16	63	0	2	34	2	0	4	67	96	7	18	42	30	4	2	4	7	25	11	7	6	2	3	2
OTU_317	0	0	0	0	1	1	4	0	0	0	0	65	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	72	1	0	0	0	0
OTU_596	0	0	0	0	0	13	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	18	0	0	0	0
OTU_172	0	0	0	0	0	440	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	473	0	0	0	0
OTU_188	2	0	3	0	0	3	156	1	0	150	0	11	2	2	1	0	0	2	0	0	1	0	0	1	0	3	0	0	109	0	0	24	20	0	7	1	0	0	0	1
OTU_410	0	9	5	2	0	3	1	1	16	0	0	0	11	11	0	1	11	0	2	0	4	0	6	6	0	1	0	0	2	0	0	1	0	9	0	2	1	0	1	11
OTU_178	0	0	0	1	0	222	197	3	0	0	0	66	69	136	0	0	2	0	0	0	2	0	0	2	0	0	0	0	127	0	0	0	0	157	88	164	0	0	0	54
OTU_158	0	0	2	0	0	4	90	5	2	0	0	44	159	51	0	0	1	2	1	0	3	5	0	0	0	0	0	0	74	0	1	0	0	65	42	4	2	0	0	116
OTU_1006	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	42	5	0	0	0	0	0	0	0
OTU_548	0	0	0	1	0	4	23	0	0	0	9	5	8	13	0	0	0	1	0	0	5	0	0	4	0	0	0	0	14	0	0	0	0	11	5	6	1	0	0	15
OTU_339	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0
OTU_208	0	1	0	0	11	17	57	0	35	0	1	34	60	46	0	15	2	0	0	0	0	0	1	0	17	0	0	0	45	8	1	0	1	47	87	10	0	0	0	53
OTU_555	4	0	0	0	0	2	19	0	0	0	6	8	8	2	0	0	0	0	0	1	0	0	0	0	0	0	7	0	19	0	0	0	0	2	5	3	0	3	0	6
OTU_274	0	0	4	0	0	23	6	0	0	2	0	12	31	28	0	3	0	0	1	3	0	0	0	0	0	1	0	0	5	0	5	7	2	33	20	21	0	0	1	22
OTU_253	22	0	0	3	0	6	0	0	0	0	0	4	60	43	3	3	0	0	0	40	0	0	0	1	0	0	0	0	0	0	0	0	0	44	15	3	0	0	0	45
OTU_141	4	1	356	92	6	16	75	0	1	0	204	40	18	47	0	0	165	0	0	11	221	0	0	160	6	0	4	0	74	0	1	0	0	56	50	10	22	1	0	18
OTU_266	0	0	0	3	1	11	37	0	0	0	0	9	11	40	0	8	0	15	0	0	2	1	1	6	1	22	16	0	16	3	9	0	0	29	5	20	2	6	2	16
OTU_186	2	0	3	5	0	2	59	9	32	0	12	85	32	16	0	65	0	28	3	1	2	6	0	13	0	26	2	0	51	60	35	0	0	22	116	5	31	0	2	40
OTU_369	36	0	0	4	5	6	1	21	0	3	0	2	0	5	2	0	0	3	11	42	0	0	2	3	5	6	0	2	0	0	0	45	17	8	3	12	0	0	23	1
OTU_226	0	0	2	1	0	8	73	1	2	0	5	14	18	40	0	3	0	0	0	0	0	1	0	0	0	0	0	0	75	1	1	0	0	31	20	8	0	0	0	15
OTU_259	0	0	0	0	0	4	22	0	0	0	0	95	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	87	8	0	0	0	4
OTU_629	5	0	1	7	5	0	1	1	0	0	4	0	1	4	0	0	4	0	0	1	0	0	0	5	7	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
OTU_166	7	2	9	39	151	0	0	1	1	0	13	0	0	1	0	1	105	0	2	11	5	4	1	44	158	0	7	0	3	0	1	15	3	0	0	0	3	0	0	0
OTU_170	4	0	4	1	3	10	114	1	2	0	0	9	144	48	0	1	0	6	1	11	1	2	3	9	0	6	0	0	119	0	2	0	4	64	10	20	0	0	6	122
OTU_802	0	0	0	0	0	0	2	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0
OTU_364	0	0	0	0	0	6	43	2	0	2	0	28	19	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50	2	0	0	0	14	40	8	0	0	0	15
OTU_510	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0
OTU_763	4	0	0	8	6	1	0	0	0	3	1	0	0	1	1	0	4	0	0	13	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_99	0	0	0	1	0	0	2	3	0	0	93	0	798	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	738
OTU_125	14	1	47	23	19	295	16	0	0	2	4	23	10	42	0	1	31	3	7	40	23	3	0	33	12	4	28	2	26	1	3	19	9	37	36	262	4	4	1	16
OTU_864	0	0	0	0	0	2	9	0	0	0	3	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	5	5	0	0	0	7
OTU_385	0	0	0	0	0	2	0	0	15	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	2	0	0	0	33	5	0	0	0	2	0	0	0	0	0
OTU_418	0	8	0	0	0	0	1	40	0	0	7	0	0	1	0	21	5	0	9	0	0	1	24	0	0	0	10	0	1	8	2	0	0	1	0	1	0	5	31	3
OTU_294	9	0	0	3	0	9	0	0	3	1	2	0	29	43	0	3	0	4	0	21	0	0	0	1	0	0	0	0	0	0	0	7	8	48	7	9	37	0	0	35
OTU_523	0	0	0	0	0	7	6	0	0	0	0	15	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	2	19	4	0	0	0	2
OTU_514	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0
OTU_302	0	0	0	12	56	32	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	16	60	0	0	0	0	0	0	0	0	0	0	33	0	0	0	23
OTU_872	0	0	0	0	0	3	0	0	0	0	0	11	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	2	0	0	0	17
OTU_1019	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	10	2	0	0	0	0
OTU_644	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
OTU_303	0	0	0	1	1	28	1	0	0	0	0	13	21	8	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	7	18	12	21	22	0	0	0	16
OTU_370	2	0	0	5	8	0	0	0	0	7	2	1	0	0	1	0	39	0	0	15	0	0	0	3	14	0	0	0	0	0	0	165	66	0	0	0	2	0	0	1
OTU_483	0	6	0	0	0	0	0	6	0	0	0	2	16	0	0	0	0	0	7	0	0	1	9	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	5	20
