TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH10	species	ID
bacOTU_77	2.11386985781093	9.66600555557398	4.32604325077678	6.40364592434009	1.28890237079667	2.77396512855995	3.44714871272723	6.72681436411654	5.34008436338962	bac	bacOTU_77
bacOTU_81	2.17992516586752	3.79065119826431	1.15368486687381	0.645418581522645	0.789162675997964	2.47408781736428	6.20478768290902	1.59769466147768	4.09030078897928	bac	bacOTU_81
bacOTU_97	1.91570393364115	6.44403703704932	5.3834960454111	2.28353498077244	2.10426713599457	1.19960924478268	0.919312990060596	5.54963935039615	4.54476754331031	bac	bacOTU_97
bacOTU_109	3.69919725116913	10.4241157952268	5.47962811765058	2.48209454431786	1.42041281679634	3.07384243975562	83.1888756004839	4.03612861846993	14.2021860728447	bac	bacOTU_109
bacOTU_117	0.792763696679099	0.568682679739646	0.576892433436903	0.0993797817727146	0.157912535199593	0.412431302894047	1.83852598012119	0.504603577308741	1.13626688582758	bac	bacOTU_117
bacOTU_133	1.45331677724501	2.08490315904537	1.44208108359226	0.943257926840788	1.23629819239681	2.81144979245941	4.82596819781813	2.27036609788933	4.09030078897928	bac	bacOTU_133
bacOTU_24	3.63314194311253	12.5089189542722	3.17245838390297	3.67345192559044	4.15583009358928	10.8706525308431	21.8314085139392	10.678759053035	16.7017532216654	bac	bacOTU_24
bacOTU_30	0.924874312792282	2.27443071895858	6.05642055108749	1.53893661747708	1.05218356799729	2.17421050616861	6.20478768290902	1.42952680237477	7.95326820079305	bac	bacOTU_30
bacOTU_340	2.84047824643344	11.1822260348797	2.59566595046607	1.09217759949986	0.631350140798371	0.374946638994588	9.19222990060596	2.69078574564662	2.27243377165516	bac	bacOTU_340
bacOTU_39	0.924874312792282	5.87545435730967	1.44208108359226	6.10580657902195	0.631350140798371	0.487400630692965	0.229903247515149	3.27937325250682	0.568183442913789	bac	bacOTU_39
bacOTU_46	0.462487156396141	0.189627559913215	2.4034018059871	1.19145738127258	0.578745962398507	1.01218592528539	1.37891948509089	1e-04	0.227333377165516	bac	bacOTU_46
bacOTU_47	0.660653080565915	4.16970631809074	0.288496216718452	0.347579236204501	0.131610445999661	0.112553991698376	6.66439417793932	1.09319108416894	0.795416820079305	bac	bacOTU_47
bacOTU_63	3.03864417060321	3.03254095861145	0.673024505676387	0.893618035954431	0.789162675997964	2.58654180906266	17.4651468111513	1.93403037968351	8.63496833228959	bac	bacOTU_63
