Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	Chondromyces	Rudaibacter	Steroidobacter	Stenotrophomonas	Pantoea	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	Curtobacterium	Dactylosporangium	g__Podospora	g__Cladosporium	g__Mycosphaerella	g__Nigrospora	g__Mortierella	g__Edenia	g__Metacordyceps
Massilia	0.328226511471368	0.0288827975067328	0.0815528147726023	0.425038154892145	0.533400561272595	0.425038154892145	0.01333014631544	0.603217610029209	0.55630577510293	0.533400561272595	1.0635035875251e-62	0.111692730557156	0.173938597165066	0.171706595286409	0.00117353818015547	0.633573085669802	0.98789114498742	0.10122907430174	0.651477342796243	0.20514363744795	0.485357908201704	0.0330639351297416	0.536842907607135	0.119521653341333	0.217624055196294	0.536842907607135	0.978188078176529	0.910616895266776	0.746163895897973	0.387991476810259	0.715195787209492	0.243840401782846	0.217624055196294	0.171706595286409	0.357760640474031	0.469256732713645	0.552969753324068	0.897654564759414	0.978188078176529	0.804134371401895	0.0524342977155851	0.485357908201704	0.31402758131029	0.445838341542751	0.00381492008255072	0.0106540997366286	0.20514363744795	0.0158005962505716	0.957819305512937	0.237827795046184
Umezawaea	0.651477342796243	0.0537177672171674	0.066688	0.651477342796243	0.138333698394492	0.881036181161853	0.117308065550202	0.445838341542751	0.149655673420837	0.488776304519243	0.00922195272221601	1.0635035875251e-62	0.276255333385436	0.00754700778106786	0.0897240283170912	0.161522928017456	0.907363817812816	0.111692730557156	0.828717394697461	0.10122907430174	0.519213028458341	0.371149731990689	0.371149731990689	0.0384430162188803	0.171706595286409	0.341941938479996	0.934745678434508	0.910616895266776	0.978188078176529	0.536842907607135	0.699143708356	0.243840401782846	0.0524342977155851	0.341941938479996	0.255523330788306	0.872311280516463	0.171706595286409	0.501392472681333	0.759658263142584	0.759658263142584	0.0830688311676079	0.729756502997742	0.20514363744795	0.700931884910058	0.149655673420837	0.0375883775714094	0.666616291343458	0.0111434467996942	0.77699846344389	0.00978703990340832
Devosia	0.751419652325848	0.907363817812816	0.066688	0.328226511471368	0.0330412225454377	0.828717394697461	0.117308065550202	0.700931884910058	0.259997766834888	0.960240418128624	0.433766128955119	0.552969753324068	1.0635035875251e-62	0.150852092415744	0.488776304519243	0.182286243630388	0.501392472681333	0.111692730557156	0.299848490212453	0.10122907430174	0.759658263142584	0.371149731990689	0.0594228358137074	0.160643919336367	0.843680588986132	0.193995381701096	0.957819305512937	0.729756502997742	0.872311280516463	0.804134371401895	0.182286243630388	0.045597636709589	0.230194152866197	0.536842907607135	0.357760640474031	0.978188078176529	0.603079601963637	0.485357908201704	0.934745678434508	0.978188078176529	0.20514363744795	0.683568272338059	0.119521653341333	0.533400561272595	0.488776304519243	0.357760640474031	0.230194152866197	0.0158005962505716	0.759658263142584	0.193995381701096
Galbitalea	0.933772958094147	0.259997766834888	0.0111434467996942	0.603217610029209	0.0158005962505716	0.700931884910058	0.173938597165066	0.854813088248743	0.0815528147726023	0.31037609170568	0.0250966758822518	0.10122907430174	0.0185731550894602	1.0635035875251e-62	0.200422686711942	0.129746757470283	0.843680588986132	0.0594228358137074	0.700931884910058	0.0216041239654622	0.804134371401895	0.485357908201704	0.0665696137131612	0.026788407262516	0.217624055196294	0.0917273112527832	0.934745678434508	0.715195787209492	0.957819305512937	0.934745678434508	0.230194152866197	0.0384430162188803	0.00568910590843783	0.485357908201704	0.129746757470283	0.946324309086366	0.182286243630388	0.31402758131029	0.746163895897973	0.831783399828359	0.111692730557156	0.759658263142584	0.129746757470283	0.700931884910058	0.127552869703234	0.0330412225454377	0.31402758131029	0.000204472406148833	0.683568272338059	0.00832147046034224
Sphingomonas	0.46708905438634	0.138333698394492	0.200422686711942	0.149655673420837	0.986742911194989	0.404701671270157	0.0330412225454377	0.229112840982819	0.384841230261283	0.881036181161853	0.045597636709589	0.31402758131029	0.729756502997742	0.469256732713645	1.0635035875251e-62	0.957819305512937	0.858567606014303	0.433766128955119	0.946324309086366	0.452198140134117	0.469256732713645	0.0594228358137074	0.746163895897973	0.433766128955119	0.182286243630388	0.683568272338059	0.666616291343458	0.729756502997742	0.433766128955119	0.160643919336367	0.910616895266776	0.452198140134117	0.469256732713645	0.243840401782846	0.371149731990689	0.0830688311676079	0.485357908201704	0.788689971191324	0.804134371401895	0.922371190087869	0.243840401782846	0.255523330788306	0.501392472681333	0.881036181161853	0.000343612197763281	0.139529458825612	0.299848490212453	0.229112840982819	0.885905125264508	0.496593653409184
Mesorhizobium	0.488776304519243	0.36546831043867	0.107593187782415	0.533400561272595	0.000112034506393977	0.77699846344389	0.161522928017456	0.828717394697461	0.346593507087334	0.55630577510293	0.36546831043867	0.419931721987968	0.0288827975067328	0.01333014631544	0.907363817812816	1.0635035875251e-62	0.0815528147726023	0.171706595286409	0.173938597165066	0.111692730557156	0.759658263142584	0.858567606014303	0.129746757470283	0.193995381701096	0.746163895897973	0.243840401782846	0.633573085669802	0.818603631449613	0.746163895897973	0.699143708356	0.255523330788306	0.10122907430174	0.160643919336367	0.897654564759414	0.230194152866197	0.774782108008879	0.403673180238266	0.469256732713645	0.98789114498742	0.934745678434508	0.230194152866197	0.831783399828359	0.217624055196294	0.960240418128624	0.907363817812816	0.425038154892145	0.729756502997742	0.0375883775714094	0.759658263142584	0.116717718452033
Herbaspirillum	0.0111434467996942	0.328226511471368	0.603217610029209	0.533400561272595	0.107593187782415	0.066688	0.161522928017456	0.907363817812816	0.751419652325848	0.229112840982819	0.986742911194989	0.957819305512937	0.229112840982819	0.676065175997854	0.700931884910058	0.299848490212453	1.0635035875251e-62	0.501392472681333	0.00222003122591684	0.843680588986132	0.843680588986132	0.946324309086366	0.759658263142584	0.922371190087869	0.804134371401895	0.934745678434508	0.98789114498742	0.469256732713645	0.759658263142584	0.858567606014303	0.843680588986132	0.746163895897973	0.934745678434508	0.552969753324068	0.978188078176529	0.872311280516463	0.922371190087869	0.978188078176529	0.230194152866197	0.843680588986132	0.858567606014303	0.843680588986132	0.968509022668044	0.259997766834888	0.854813088248743	0.907363817812816	0.651086820492613	0.881036181161853	0.897654564759414	0.946324309086366
Caulobacter	0.244282294086627	0.0815528147726023	0.149655673420837	0.907363817812816	0.0537177672171674	0.579584	0.00922195272221601	0.960240418128624	0.55630577510293	0.488776304519243	0.00754700778106786	0.00922195272221601	0.00922195272221601	0.00222003122591684	0.173938597165066	0.0250966758822518	0.229112840982819	1.0635035875251e-62	0.229112840982819	0.00294022702327952	0.579584	0.0425401276844894	0.230194152866197	0.045597636709589	0.501392472681333	0.419931721987968	0.579584	0.897654564759414	0.828717394697461	0.922371190087869	0.485357908201704	0.0753908324763304	0.111692730557156	0.182286243630388	0.403673180238266	0.968509022668044	0.552969753324068	0.774782108008879	0.922371190087869	0.666616291343458	0.045597636709589	0.666616291343458	0.20514363744795	0.404701671270157	0.173938597165066	0.00922195272221601	0.217624055196294	0.00381492008255072	0.404701671270157	0.0128997310068978
Phyllobacterium	0.0250966758822518	0.5108853175152	0.986742911194989	0.700931884910058	0.229112840982819	0.0330412225454377	0.0984011766696351	0.802771731207162	0.676065175997854	0.293050075292822	0.831783399828359	0.922371190087869	0.0815528147726023	0.858567606014303	0.881036181161853	0.433766128955119	0.0594228358137074	0.501392472681333	1.0635035875251e-62	0.843680588986132	0.98789114498742	0.58693461411334	0.651086820492613	0.910616895266776	0.651086820492613	0.968509022668044	0.910616895266776	0.519213028458341	0.729756502997742	0.818603631449613	0.818603631449613	0.683568272338059	0.98789114498742	0.536842907607135	0.934745678434508	0.934745678434508	0.759658263142584	0.897654564759414	0.217624055196294	0.746163895897973	0.746163895897973	0.818603631449613	0.885905125264508	0.579584	0.77699846344389	0.729756502997742	0.403673180238266	0.726057014762789	0.885905125264508	0.978188078176529
Kribbella	0.933772958094147	0.46708905438634	0.00609992331369691	0.488776304519243	0.00922195272221601	0.676065175997854	0.0815528147726023	0.404701671270157	0.0599721424772553	0.404701671270157	0.0375883775714094	0.00754700778106786	0.00754700778106786	0.000204472406148833	0.186904810349332	0.00922195272221601	0.676065175997854	0.0665696137131612	0.676065175997854	1.0635035875251e-62	0.651477342796243	0.149655673420837	0.045597636709589	0.0106540997366286	0.341941938479996	0.0665696137131612	0.676065175997854	0.536842907607135	0.802771731207162	0.978188078176529	0.255523330788306	0.00568910590843783	0.0106540997366286	0.633573085669802	0.0665696137131612	0.946324309086366	0.119521653341333	0.243840401782846	0.651086820492613	0.759658263142584	0.0384430162188803	0.843680588986132	0.0163570379335206	0.445838341542751	0.31037609170568	0.0897240283170912	0.536842907607135	0.00117353818015547	0.36546831043867	2.92858832377611e-05
