Promicromonospora	Phyllobacterium	Pseudomonas	Rhizobium	Flavobacterium	Sphingomonas	Variovorax	Pseudoxanthomonas	g__Acremonium	Chryseobacterium	Lentzea	Nocardioides	g__Lachnella	g__Scytalidium	Streptomyces	Actinoplanes	Herbaspirillum	g__Magnaporthiopsis	Mycobacterium	Kribbella	Massilia	g__Ophiosphaerella	Devosia	Microbacterium	Sphingopyxis	Stenotrophomonas	Mesorhizobium	g__Gibberella	Caulobacter	Aeromicrobium	Sorangium	Agromyces	Steroidobacter	Arthrobacter	g__Pyrenochaetopsis	Chondromyces	Umezawaea	Pantoea	Rhodanobacter	g__Sarocladium	Shinella	Lysobacter	Solirubrobacter	Bosea	Glycomyces	Cellulomonas	Bradyrhizobium	Burkholderia	Rhodopseudomonas	Bacillus	g__Bipolaris	g__Mycosphaerella	g__Didymella	Actinosynnema	Reyranella	Haliangium
g__Lachnella	0.232935534650098	0.232935534650098	0.910849168519584	0.570156320815768	0.0855588910126731	0.419753086419753	0.651401495702482	0.651401495702482	0.492726245016957	0.610344415645267	0.232935534650098	0.0149026676862301	0	0.264168219862778	0.33799305162718	0.360036645485575	0.49421398342114	0.647883301182676	0.647883301182676	0.140253633099399	0.22102675952445	0.617020500145474	0.360036645485575	0.856040759793161	0.924147611587141	0.785458365364536	0.360036645485575	0.785458365364536	0.49421398342114	0.0744253544403319	0.105755720807267	0.0245221535210005	0.123034547391291	0.00801489711197443	0.752138049115845	0.0245221535210005	0.140253633099399	0.785458365364536	0.891343338894277	0.856040759793161	0.360036645485575	0.439495281880935	0.0245221535210005	0.310474664507151	0.360036645485575	0.0744253544403319	0.0603958806601786	0.411294276618771	0.617020500145474	0.158414309008367	0.856040759793161	0.683076730699121	0.647883301182676	0.617020500145474	0.617020500145474	0.0245221535210005
g__Scytalidium	0.693238811728395	0.693238811728395	0.570156320815768	0.610344415645267	0.385120643556256	0.866526270675909	0.77888572605238	0.77888572605238	0.822505430203611	0.385120643556256	0.693238811728395	0.28940322484679	0.138959957160707	0	0.647883301182676	0.617020500145474	0.820212309327793	0.959755923004847	0.683076730699121	0.55413340016279	0.522927376109033	0.55413340016279	0.584311491661558	0.959755923004847	0.891343338894277	0.785458365364536	0.411294276618771	0.647883301182676	0.584311491661558	0.439495281880935	0.522927376109033	0.386565164901315	0.411294276618771	0.360036645485575	0.752138049115845	0.411294276618771	0.439495281880935	1	0.924147611587141	0.959755923004847	0.584311491661558	0.716602990765396	0.386565164901315	0.647883301182676	0.959755923004847	0.439495281880935	0.360036645485575	0.856040759793161	0.752138049115845	0.584311491661558	0.33799305162718	0.179544091983518	0.46471992571897	0.522927376109033	0.647883301182676	0.386565164901315
Streptomyces	0.232935534650098	0.232935534650098	0.160025642538896	0.138959957160707	0.0855588910126731	0.0709876543209876	0.182720750539715	0.182720750539715	0.0208151272535253	0.160025642538896	0.232935534650098	0.0855588910126731	0.20703125	0.570156320815768	0	0.00221740697987248	0.158414309008367	0.123034547391291	0.264168219862778	0.286434807524383	0.22102675952445	0.105755720807267	0.0744253544403319	0.856040759793161	0.584311491661558	0.55413340016279	0.0744253544403319	0.959755923004847	0.310474664507151	0.0744253544403319	0.105755720807267	0.123034547391291	0.0245221535210005	0.22102675952445	1	0.123034547391291	0.0359817947793598	0.201424679024173	0.264168219862778	0.647883301182676	0.0744253544403319	0.0245221535210005	0.123034547391291	0.310474664507151	0.201424679024173	0.0744253544403319	0.0603958806601786	0.242289346751836	0.411294276618771	0.158414309008367	0.411294276618771	0.683076730699121	0.264168219862778	0.242289346751836	0.242289346751836	0.123034547391291
Actinoplanes	0.138959957160707	0.138959957160707	0.101733037454265	0.0465282322841672	0.0365527610528608	0.0280049391530719	0.0709876543209876	0.0709876543209876	0.0465282322841672	0.0579903181645727	0.138959957160707	0.0579903181645727	0.232935534650098	0.530922861565801	3.31439602620011e-05	0	0.090262663365075	0.179544091983518	0.140253633099399	0.264168219862778	0.140253633099399	0.123034547391291	0.0245221535210005	0.716602990765396	0.46471992571897	0.522927376109033	0.0359817947793598	0.959755923004847	0.179544091983518	0.090262663365075	0.140253633099399	0.140253633099399	0.01694913730562	0.201424679024173	0.891343338894277	0.158414309008367	0.0245221535210005	0.158414309008367	0.158414309008367	0.522927376109033	0.0245221535210005	0.00801489711197443	0.140253633099399	0.201424679024173	0.286434807524383	0.090262663365075	0.0489123216108154	0.158414309008367	0.286434807524383	0.179544091983518	0.264168219862778	0.49421398342114	0.140253633099399	0.140253633099399	0.123034547391291	0.140253633099399
Herbaspirillum	0.0280049391530719	0.0280049391530719	0.0365527610528608	0.0038503204637324	0.0465282322841672	3.31439602620011e-05	0.0101755401234568	0.0101755401234568	0.0709876543209876	0.0149026676862301	0.0280049391530719	0.0365527610528608	0.385120643556256	0.77888572605238	0.0579903181645727	0.0208151272535253	0	0.179544091983518	0.0359817947793598	0.360036645485575	0.090262663365075	0.179544091983518	0.0603958806601786	0.158414309008367	0.123034547391291	0.123034547391291	0.0489123216108154	0.891343338894277	0.140253633099399	0.158414309008367	0.201424679024173	0.242289346751836	0.123034547391291	0.264168219862778	0.46471992571897	0.439495281880935	0.0744253544403319	0.201424679024173	0.0245221535210005	0.201424679024173	0.0603958806601786	0.123034547391291	0.242289346751836	0.0744253544403319	0.360036645485575	0.158414309008367	0.201424679024173	0.090262663365075	0.0744253544403319	0.158414309008367	0.242289346751836	0.46471992571897	0.123034547391291	0.201424679024173	0.0744253544403319	0.242289346751836
g__Magnaporthiopsis	0.419753086419753	0.419753086419753	0.101733037454265	0.351812553117565	0.570156320815768	0.0855588910126731	0.419753086419753	0.419753086419753	0.00026040002438725	0.419753086419753	0.419753086419753	0.28940322484679	0.570156320815768	0.955374011815881	0.0365527610528608	0.0709876543209876	0.0709876543209876	0	0.46471992571897	0.683076730699121	0.522927376109033	0.0603958806601786	0.411294276618771	0.439495281880935	0.33799305162718	0.140253633099399	0.242289346751836	0.647883301182676	0.785458365364536	0.179544091983518	0.140253633099399	0.310474664507151	0.286434807524383	0.584311491661558	0.584311491661558	0.46471992571897	0.201424679024173	0.33799305162718	0.286434807524383	0.411294276618771	0.411294276618771	0.310474664507151	0.310474664507151	0.584311491661558	0.105755720807267	0.179544091983518	0.439495281880935	0.46471992571897	0.46471992571897	0.158414309008367	0.752138049115845	0.856040759793161	0.647883301182676	0.683076730699121	0.584311491661558	0.310474664507151
Mycobacterium	0.00653001725471527	0.00653001725471527	0.101733037454265	0	0.0101755401234568	0.0101755401234568	0.00200827550542945	0.00200827550542945	0.351812553117565	3.31439602620011e-05	0.00653001725471527	0.0709876543209876	0.570156320815768	0.610344415645267	0.138959957160707	0.0465282322841672	0.0038503204637324	0.351812553117565	0	0.242289346751836	0.0489123216108154	0.264168219862778	0.0245221535210005	0.201424679024173	0.158414309008367	0.310474664507151	0.0603958806601786	1	0.01694913730562	0.360036645485575	0.411294276618771	0.411294276618771	0.22102675952445	0.360036645485575	0.439495281880935	0.522927376109033	0.201424679024173	0.242289346751836	0.00801489711197443	0.22102675952445	0.0245221535210005	0.123034547391291	0.411294276618771	0.0245221535210005	0.522927376109033	0.360036645485575	0.264168219862778	0.140253633099399	0.01694913730562	0.310474664507151	0.090262663365075	0.201424679024173	0.00801489711197443	0.105755720807267	0.00221740697987248	0.411294276618771
Kribbella	0.00653001725471527	0.00653001725471527	0.910849168519584	0.119529806138793	0.00200827550542945	0.351812553117565	0.319888641228816	0.319888641228816	0.530922861565801	0.138959957160707	0.00653001725471527	0.0101755401234568	0.0465282322841672	0.455644890737582	0.160025642538896	0.138959957160707	0.232935534650098	0.610344415645267	0.119529806138793	0	0.0359817947793598	0.411294276618771	0.123034547391291	0.647883301182676	0.856040759793161	0.716602990765396	0.22102675952445	0.752138049115845	0.140253633099399	0.179544091983518	0.158414309008367	0.105755720807267	0.201424679024173	0.090262663365075	0.752138049115845	0.0603958806601786	0.22102675952445	0.716602990765396	0.411294276618771	0.959755923004847	0.123034547391291	0.286434807524383	0.105755720807267	0.0603958806601786	0.179544091983518	0.179544091983518	0.123034547391291	0.439495281880935	0.158414309008367	0.123034547391291	0.647883301182676	0.584311491661558	0.242289346751836	0.49421398342114	0.22102675952445	0.105755720807267
Massilia	0.00026040002438725	0.00026040002438725	0.492726245016957	0.00653001725471527	3.31439602620011e-05	0.0579903181645727	0.0709876543209876	0.0709876543209876	0.419753086419753	0.0101755401234568	0.00026040002438725	0.000862968182899978	0.101733037454265	0.419753086419753	0.101733037454265	0.0465282322841672	0.0208151272535253	0.419753086419753	0.00653001725471527	0.0038503204637324	0	0.264168219862778	0.0245221535210005	0.386565164901315	0.49421398342114	0.46471992571897	0.0489123216108154	0.617020500145474	0.0489123216108154	0.123034547391291	0.140253633099399	0.105755720807267	0.105755720807267	0.090262663365075	0.959755923004847	0.158414309008367	0.090262663365075	0.522927376109033	0.140253633099399	0.647883301182676	0.0245221535210005	0.179544091983518	0.105755720807267	0.00221740697987248	0.286434807524383	0.123034547391291	0.090262663365075	0.242289346751836	0.0359817947793598	0.090262663365075	0.33799305162718	0.386565164901315	0.0744253544403319	0.286434807524383	0.0603958806601786	0.105755720807267
g__Ophiosphaerella	0.182720750539715	0.182720750539715	0.20703125	0.138959957160707	0.232935534650098	0.160025642538896	0.419753086419753	0.419753086419753	0.0579903181645727	0.101733037454265	0.182720750539715	0.119529806138793	0.530922861565801	0.455644890737582	0.0280049391530719	0.0365527610528608	0.0709876543209876	0.0101755401234568	0.138959957160707	0.28940322484679	0.138959957160707	0	0.22102675952445	0.617020500145474	0.55413340016279	0.386565164901315	0.0603958806601786	0.891343338894277	0.49421398342114	0.140253633099399	0.105755720807267	0.242289346751836	0.22102675952445	0.522927376109033	0.820212309327793	0.386565164901315	0.140253633099399	0.584311491661558	0.22102675952445	0.647883301182676	0.22102675952445	0.286434807524383	0.242289346751836	0.360036645485575	0.123034547391291	0.140253633099399	0.33799305162718	0.683076730699121	0.242289346751836	0.090262663365075	0.49421398342114	0.785458365364536	0.310474664507151	0.617020500145474	0.360036645485575	0.242289346751836
