Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mycobacterium	Caulobacter	Microbacterium	Steroidobacter	Sphingopyxis	Agromyces	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Kinneretia	Hyphomicrobium	Iamia	g__Acremonium	g__Lachnella	g__Scytalidium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Chrysosporium	g__Cyphellophora	g__Bipolaris	g__Pseudogymnoascus	g__Phaeoacremonium
Devosia	0.955327485542882	0.815282850275457	0.504149546055297	0.32346003406511	0.535075506276651	0.947890881823222	0.750504450153402	0.90991798962012	0.0781167127530595	0.736849664565559	0	0.0355119578123273	0.698809001571321	0.105463419410594	0.554966752485819	0.661664572491682	0.888036212256756	0.327991493121895	0.0290278717933314	0.45407658446304	0.90991798962012	0.754013675478851	0.959907438438384	0.294871654119269	1	0.647790648924538	0.285084102425222	0.982085764339375	0.431914614640121	0.233015796644448	0.847636721470172	0.884360280158533	0.323894960307003	0.207660245048697	0.827235410472221	0.90991798962012	0.378602616408569	1	0.370833055369949	0.315951815868209	0.378602616408569	0.319857279732638	0.554966752485819	0.847636721470172	0.775129773818029	0.975497969567827	0.500891672462632	0.771424627617092	0.445252146936212	0.382798779777666	0.449768354307813	0.690467726104697	0.787319303528802	0.86980848647811
Kribbella	0.132548902627589	0.23168960494058	0.171013148869103	0.333170135915476	0.358171399916303	0.22010439650727	0.504149546055297	0.368459654854376	0.00499139592987034	0.98510295927032	0.00130725178033784	0	0.339918057495662	0.0593487084259939	0.90991798962012	0.927372186087973	0.702758681164876	0.0135774649255498	0.0102220864809906	0.0488287720253743	0.577086891651346	0.335764438262309	0.54630702958244	0.0190228924600547	0.718933156156758	0.0918591994490204	0.0373592259732144	0.754013675478851	0.103310710869011	0.26037105343278	0.877100616390548	0.466491793183658	0.277915702347651	0.00327501033857512	0.277915702347651	0.758633077301488	0.458354350706809	0.969624626395423	0.536853239517561	0.102175753357873	0.423276787025925	0.370833055369949	0.767657306162651	0.100540179430096	0.0345076988320426	0.129863425822574	0.119771408617503	0.673758737037941	0.673758737037941	0.0918591994490204	0.854675526887732	0.484119467774241	0.308671638653878	0.366356123171391
Mycobacterium	0.0858010189515453	0.486009775519929	0.251844416752926	0.504149546055297	0.444950543678808	0.338087647858881	0.98510295927032	0.368459654854376	0.743395026137277	0.98510295927032	0.444950543678808	0.107379242778117	0	0.605966363012461	0.373664866717298	0.757632908692156	0.851054728885482	0.518944908876239	0.715494450915152	0.256861417369617	0.947323842899044	0.944405475655469	0.54630702958244	0.390557232850064	0.394795058937824	0.246174464232349	0.190086266490592	0.795068214873635	0.267225534003458	0.827235410472221	0.670009936864199	0.42735288548199	0.90991798962012	0.35568582482389	0.798842850740355	0.246174464232349	0.458354350706809	0.514710470451313	0.319857279732638	0.577086891651346	0.920709072253567	0.612878663209685	0.559538352143799	0.158463989982369	0.0799888724598652	0.0565941087969963	0.0551444817999355	0.487781043557679	0.528357287462286	0.0994680523130697	0.758633077301488	0.500891672462632	0.46260709361951	0.788528592950023
Caulobacter	0.970210571395858	0.0134789952898069	0.0172267385253585	0.32346003406511	0.405740688633927	0.416749848551334	0.353088659052	0.0297444194091824	0.0002620675462425	0.462326120624514	0.0112210900834503	0.00363634895773983	0.806791883307869	0	0.888592867568345	0.736305151542122	0.963563223221785	0.643952709789465	0.0303169826586486	0.802627644973487	0.902219380683168	0.202048020572519	0.771424627617092	0.367356652129888	0.475211028229305	0.226562095658723	0.749788373955232	0.992650199359092	0.811039616152402	0.178320680664281	0.510297802090157	0.500891672462632	0.28814331499093	0.193152682073196	0.541819034542478	0.706450634991619	0.877100616390548	0.975497969567827	0.335764438262309	0.083124201557579	0.115790255509453	0.862373980652812	0.839256582210654	0.468192284279852	0.273059897379955	0.498067657323734	0.305368730864435	0.706450634991619	0.950515375629611	0.219928689154589	0.608687954532124	0.0954378952830919	0.0935108354980249	0.466859304092407
Microbacterium	0.00330981324288434	0.786326661978121	0.030654016087949	0.158463989982369	0.194542528266613	0.243655337594556	0.000349610950046986	0.0184349895156923	0.673458997542294	0.837151446108293	0.277430325791221	0.79354244291606	0.643952709789465	0.953726999077232	0	0.940909648523675	0.031436572036516	0.791224256692379	0.740716344774294	0.873739813210945	0.541819034542478	0.140551626860185	0.394795058937824	0.470496692073796	0.145602196990744	0.723171640189954	0.888036212256756	0.0466394169283976	0.975497969567827	0.920709072253567	0.117669807054145	0.378602616408569	0.959907438438384	0.906343984727165	0.158328647021269	0.0817502176870327	0.787319303528802	0.0246557830306415	0.771424627617092	0.624515638904444	0.93040543719116	0.718933156156758	0.184596431273543	0.0059324373230873	0.0537227308401887	0.0178228445091595	0.514710470451313	0.00919160322852842	0.00455531090065803	0.673758737037941	0.202048020572519	0.497006587319681	0.814918665792105	0.482988796550886
Steroidobacter	0.444950543678808	0.554031999092186	0.205246662827868	0.384196650761819	0.0210498248670677	0.659750043107423	0.866483274919872	0.779127287251723	0.808021077411703	0.632640608560034	0.39488908833634	0.829848583535362	0.891601793572544	0.88104386229828	0.859133376284092	0	0.877100616390548	0.920709072253567	0.686678634779435	0.71093402036926	0.458354350706809	0.947323842899044	0.745284267357605	0.523370421584579	0.891601793572544	0.678373705495856	0.510297802090157	0.754013675478851	0.651685444173902	0.323894960307003	0.963563223221785	0.351943538351153	0.884360280158533	0.995503294433053	0.291216895025972	0.823029189091153	0.253367970317643	0.924049825605554	0.128766853567821	0.400591545435953	0.291216895025972	0.230044517723944	0.29844488408849	0.579754799279412	0.535075506276651	0.639378272107459	0.514710470451313	0.851054728885482	0.884360280158533	0.639355264449211	0.488779077045021	0.906343984727165	0.661664572491682	0.964538239493711
Sphingopyxis	0.0210498248670677	0.940458343503752	0.0838307391247892	0.00891949507827314	0.378910588269484	0.0247148017345798	0.0675481801337168	0.00964034773549731	0.579754799279412	0.0858010189515453	0.750504450153402	0.450704980881877	0.680350418048162	0.91078039911692	0.00103947461159762	0.729235337448989	0	0.802627644973487	0.568485652598866	0.643952709789465	0.348016347902539	0.28814331499093	0.604557429521292	0.851054728885482	0.115790255509453	0.731827979475373	0.608687954532124	3.68330038169734e-05	0.554966752485819	0.798842850740355	0.0119711450959423	0.686678634779435	0.470496692073796	0.702758681164876	0.0232854127072827	0.0303169826586486	0.906343984727165	0.00374965713393448	0.870208202042932	0.458354350706809	0.573238006071429	0.718933156156758	0.423276787025925	0.0239449582902576	0.0709464396376372	0.212591592370428	0.112117908825948	0.0180866466399713	0.109276082697822	0.758633077301488	0.573238006071429	0.694382775716275	0.795068214873635	0.536853239517561
Agromyces	0.0178228445091595	0.474095139944086	0.722186091025371	0.353088659052	0.918190900918974	0.0595782421081178	0.180850799570501	0.940458343503752	0.0509616000523244	0.592801081886075	0.100540179430096	0.000193651643172682	0.243655337594556	0.373664866717298	0.579754799279412	0.815282850275457	0.599369052164823	0	0.0954378952830919	0.00544903023702227	0.940909648523675	0.470496692073796	0.599461752079176	0.017837138438116	0.223225068375128	0.199224393966958	0.00522870797715121	0.818566870969997	0.0152199338887724	0.42735288548199	0.851054728885482	0.0686122492313373	0.184596431273543	0.00941482196777795	0.559538352143799	0.831597223128898	0.26037105343278	0.818566870969997	0.90991798962012	0.436358619835112	0.877100616390548	0.190086266490592	0.510297802090157	0.0409689559558362	0.01300093934899	0.0271397758044596	0.102784346815144	0.207716860374584	0.639378272107459	0.285084102425222	0.523370421584579	0.953726999077232	0.647790648924538	0.321738630893778
Bradyrhizobium	0.829848583535362	0.22010439650727	0.400295090711511	0.844466903040607	0.373664866717298	0.547680584702937	0.277430325791221	0.680350418048162	0.0139708299345223	0.873843532782525	0.000869865321967388	0.000100739403001067	0.468192284279852	0.000980147711372141	0.504149546055297	0.427914853142708	0.290795938504419	0.0092743376584506	0	0.119771408617503	0.456496928548754	0.382798779777666	0.536853239517561	0.155587529366502	0.818566870969997	0.302078318547516	0.0994680523130697	0.740716344774294	0.083124201557579	0.0977548261218752	0.944405475655469	0.827235410472221	0.163198562102186	0.0273722844780932	0.488779077045021	0.920709072253567	0.173341633381215	0.950515375629611	0.253367970317643	0.236314680088511	0.150333182629904	0.128766853567821	0.90991798962012	0.462326120624514	0.171013148869103	0.155427040254569	0.313917161519425	0.742783804453134	0.516417623083982	0.264014490756772	0.90991798962012	0.436358619835112	0.367356652129888	0.429455578074978
Solirubrobacter	0.129863425822574	0.859133376284092	0.694204783099318	0.687265838956656	0.829848583535362	0.0297444194091824	0.343046653099585	0.541361632626163	0.2560026072263	0.504149546055297	0.187614117874796	0.00247028949220901	0.0626776221113285	0.599369052164823	0.722186091025371	0.462326120624514	0.373664866717298	2.94016793168203e-05	0.0144767180850721	0	0.462326120624514	0.749788373955232	0.249984484848824	0.0734533910287995	0.367356652129888	0.348016347902539	0.00016169647115683	0.690467726104697	0.0001472613326879	0.331765236031609	0.621611556166658	0.0488287720253743	0.204593884268929	0.00700518545081421	0.577086891651346	0.795068214873635	0.0428040821618885	0.985217800405747	0.811039616152402	0.698809001571321	0.634963013122478	0.0669576242063976	0.634963013122478	0.260203249066505	0.0919126286128184	0.0315848269163221	0.313917161519425	0.267504631586175	0.918190900918974	0.436358619835112	0.46260709361951	0.966437349656567	0.715494450915152	0.406109583402724
Bosea	0.666592049963725	0.194542528266613	0.722186091025371	0.0445245262088991	0.0172267385253585	0.0421293326577055	0.992551188788469	0.384196650761819	0.844466903040607	0.201636943552964	0.79354244291606	0.299917912095903	0.873843532782525	0.779127287251723	0.264446347071011	0.191057627345904	0.112117908825948	0.859133376284092	0.706450634991619	0.71093402036926	0	0.975497969567827	0.541819034542478	0.656350387034363	0.745284267357605	0.510297802090157	0.851054728885482	0.500891672462632	0.814918665792105	0.71093402036926	0.934246191449709	0.953726999077232	0.791224256692379	0.479408663910587	0.470496692073796	0.802627644973487	0.740716344774294	0.277915702347651	0.888036212256756	0.876117001689936	0.950515375629611	0.940909648523675	0.577086891651346	0.925607776019925	0.625930150846739	0.940458343503752	0.486009775519929	0.873535523071883	0.694204783099318	0.71093402036926	0.811039616152402	0.71093402036926	0.978725649786392	0.736849664565559
Lysobacter	0.0387210488787062	0.0642713028440202	0.00286506386532915	0.286298378658792	0.560415506280904	0.343046653099585	0.000140875554629218	0.000869865321967388	0.0409689559558362	0.450704980881877	0.522603153588037	0.10506394931044	0.866483274919872	0.0398329676232378	0.0197085659158017	0.873843532782525	0.0781167127530595	0.201636943552964	0.135272639034476	0.516417623083982	0.940458343503752	0	0.423276787025925	0.202048020572519	0.634963013122478	0.374654229264277	0.913887109836366	0.204593884268929	0.995503294433053	0.500891672462632	0.0782749806489829	0.514710470451313	0.767657306162651	0.497006587319681	0.54630702958244	0.210722592523116	0.870208202042932	0.390557232850064	0.643952709789465	0.227933987269143	0.35568582482389	0.599461752079176	0.410729599070081	0.0184349895156923	0.0483081942842584	0.074468490732616	0.027987612204855	0.00553022453182985	0.146554291784015	0.639355264449211	0.62625168499554	0.26037105343278	0.806791883307869	0.264014490756772
Burkholderia	0.0470210969967303	0.859133376284092	0.358171399916303	0.673458997542294	0.687265838956656	0.673458997542294	0.0878045742079767	0.79354244291606	0.639378272107459	0.102784346815144	0.903376844718889	0.268731899367844	0.268731899367844	0.547680584702937	0.143675472730951	0.510266309871794	0.328294229565018	0.32346003406511	0.260203249066505	0.0595782421081178	0.264446347071011	0.164657973316417	0	0.160629133853013	0.488779077045021	0.378602616408569	0.514710470451313	0.500891672462632	0.226562095658723	0.877100616390548	0.45407658446304	0.440585086027696	0.950515375629611	0.294871654119269	0.787319303528802	0.253367970317643	0.26037105343278	0.492672664737788	1	0.178320680664281	0.920709072253567	0.242453508410095	0.873739813210945	0.155427040254569	0.0983311879496131	0.0565941087969963	0.119499784613816	0.0141800476728316	0.0523285418908112	0.370833055369949	0.242453508410095	0.466491793183658	0.518944908876239	0.38366697177221
Bacillus	0.00521447933995862	0.800774094340852	0.0445245262088991	0.0726918417890812	0.299917912095903	0.205246662827868	0.0433144165099354	0.208898183250939	0.149472369651657	0.363295114375383	0.0818934520336592	0.000374943967328615	0.140835721892622	0.124606393508405	0.201636943552964	0.247728666216701	0.680350418048162	0.000325721658435161	0.0239449582902576	0.00544554125241379	0.389522878396792	0.0398329676232378	0.0255036803158819	0	0.175742377801932	0.0700231803111307	0.122270972174342	0.77849951857457	0.140551626860185	0.831597223128898	0.541819034542478	0.233015796644448	0.470496692073796	0.0290278717933314	0.736849664565559	0.187210631742725	0.492672664737788	0.42735288548199	0.97272002882451	0.0823301800570782	0.975497969567827	0.26037105343278	0.643952709789465	0.00964034773549731	0.000374943967328615	0.0104068703955598	0.000430216119060645	0.0242939221868785	0.815282850275457	0.00123550880078635	0.806791883307869	0.823029189091153	0.470496692073796	0.23607753174773
Glycomyces	0.000193651643172682	0.592801081886075	0.522603153588037	0.0315848269163221	0.450704980881877	0.612592598367419	0.171013148869103	0.343046653099585	0.535075506276651	0.468192284279852	1	0.474095139944086	0.143675472730951	0.205246662827868	0.0210498248670677	0.757632908692156	0.0134789952898069	0.0483081942842584	0.625930150846739	0.124606393508405	0.510266309871794	0.363295114375383	0.216326971668755	0.030654016087949	0	0.402294513854827	0.402294513854827	0.163198562102186	0.563945815927218	0.758633077301488	0.348016347902539	0.0133862020085309	0.775129773818029	0.639355264449211	0.331765236031609	0.152932060489045	0.814918665792105	0.083124201557579	0.913887109836366	0.682745187096299	0.253367970317643	0.359331768406845	0.199224393966958	0.00672792962173472	0.00436797854042077	0.0247148017345798	0.0315848269163221	0.0489817804976565	0.247728666216701	0.171013148869103	0.370833055369949	0.736849664565559	0.95690776230211	0.421430627791043
