Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	Mycobacterium	Microbacterium	Lysobacter	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter	g__Acremonium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Pseudogymnoascus	g__Didymella	g__Bipolaris
Amycolatopsis	0.490196078431373	0.198529411764706	0.482843137254902	0.409313725490196	0.470588235294118	0.468137254901961	0.183823529411765	0.382352941176471	0.379901960784314	0.647058823529412	1	0.144607843137255	0.416666666666667	0.519607843137255	0.132352941176471	0.235294117647059	0.0392156862745098	0.694052858840673	0.186274509803922	-0.0906862745098039	0.225490196078431	0.458333333333333	0.424019607843137	0.436274509803922	0.625	0.58578431372549	0.827713215048505	0.464374866058856	0.0809319588047427	0.330882352941177	0.589407009442651	0.659313725490196	0.443627450980392	0.356836363820911	0.33578431372549	0.757852658340432	0.435235332787296	0.705882352941177	0.821078431372549	0.476659915425493	0.156862745098039	0.732843137254902	0.247549019607843	0.372549019607843
Sphingobium	0.53921568627451	-0.0343137254901961	0.433823529411765	0.485294117647059	0.595588235294118	0.142156862745098	0.688725490196079	0.5	0.308823529411765	0.151960784313726	0.144607843137255	1	0.823529411764706	0.718137254901961	0.0294117647058824	0.850490196078431	0.198529411764706	0.270999437815881	0.254901960784314	0.389705882352941	0.568627450980392	0.0318627450980392	0.512254901960784	0.519607843137255	0.245098039215686	0.154411764705882	0.143470290608408	0.584768349851893	0.42182717922472	0.176470588235294	0.217020154104407	0.482843137254902	0.134803921568627	0.182710028210707	0.169117647058824	0.245519208321859	-0.15657856484421	0.465686274509804	0.411764705882353	0.56019825111862	0.566176470588235	0.017156862745098	0.0465686274509804	0.274509803921569
Luteimonas	0.509803921568628	0.107843137254902	0.757352941176471	0.549019607843137	0.801470588235294	0.215686274509804	0.583333333333333	0.634803921568628	0.33578431372549	0.286764705882353	0.416666666666667	0.823529411764706	1	0.713235294117647	-0.137254901960784	0.656862745098039	0.330882352941177	0.5272839740309	0.0906862745098039	0.330882352941177	0.612745098039216	0.0147058823529412	0.5	0.620098039215686	0.448529411764706	0.433823529411765	0.380134958022276	0.540542172132002	0.190067479011138	0.186274509803922	0.323064093041788	0.575980392156863	0.154411764705882	0.186388753610923	0.178921568627451	0.482269873489366	0.15923243882462	0.593137254901961	0.610294117647059	0.518429083272056	0.536764705882353	0.262254901960784	0.156862745098039	0.446078431372549
Achromobacter	0.612745098039216	-0.100490196078431	0.644607843137255	0.534313725490196	0.67156862745098	0.468137254901961	0.629901960784314	0.495098039215686	0.463235294117647	0.514705882352941	0.519607843137255	0.718137254901961	0.713235294117647	1	0.0955882352941177	0.781862745098039	0.0196078431372549	0.583691096834205	0.365196078431373	0.269607843137255	0.264705882352941	0.348039215686275	0.669117647058824	0.637254901960784	0.477941176470588	0.53921568627451	0.570202437033415	0.670763695418348	0.350705154820552	0.399509803921569	0.637496702681696	0.595588235294118	0.377450980392157	0.486817994628528	0.137254901960784	0.551165569702132	0.0822700933927206	0.661764705882353	0.727941176470588	0.660935655925039	0.495098039215686	0.323529411764706	-0.120098039215686	0.139705882352941
Microvirga	0.0857843137254902	-0.218137254901961	-0.225490196078431	0.299019607843137	-0.299019607843137	0.333333333333333	0.147058823529412	0.0955882352941177	0.458333333333333	0.313725490196078	0.132352941176471	0.0294117647058824	-0.137254901960784	0.0955882352941177	1	0.122549019607843	0.352941176470588	0.104230553006108	0.757352941176471	0.286764705882353	-0.0588235294117647	0.588235294117647	0.134803921568627	-0.245098039215686	0.247549019607843	-0.0122549019607843	0.242795876414228	0.289927165052619	0.203556138811929	0.259803921568627	0.225651637506287	0.225490196078431	0.598039215686275	0.348252671220408	0.534313725490196	0.107727815896326	0.270695146001855	0.200980392156863	-0.0392156862745098	0.299755204545928	0.301470588235294	0.0343137254901961	0.269607843137255	0.311274509803922
Novosphingobium	0.639705882352941	-0.0318627450980392	0.424019607843137	0.512254901960784	0.534313725490196	0.301470588235294	0.74264705882353	0.372549019607843	0.313725490196078	0.350490196078431	0.235294117647059	0.850490196078431	0.656862745098039	0.781862745098039	0.122549019607843	1	0.183823529411765	0.385039925222564	0.448529411764706	0.350490196078431	0.387254901960784	0.345588235294118	0.762254901960784	0.517156862745098	0.355392156862745	0.272058823529412	0.297976757417462	0.599510409091856	0.440220806225798	0.45343137254902	0.314432609639908	0.593137254901961	0.387254901960784	0.557940019032696	0.259803921568627	0.335709937909481	-0.119424329118465	0.57843137254902	0.419117647058824	0.675677715165002	0.531862745098039	0.235294117647059	-0.102941176470588	0.139705882352941
Kaistia	-0.00735294117647059	0.269607843137255	0.218137254901961	0.183823529411765	0.306372549019608	0.416666666666667	0.156862745098039	0.230392156862745	0	-0.0220588235294118	0.0392156862745098	0.198529411764706	0.330882352941177	0.0196078431372549	0.352941176470588	0.183823529411765	1	0.0208461106012216	0.316176470588235	0.433823529411765	0.286764705882353	0.0220588235294118	0.120098039215686	-0.183823529411765	0.397058823529412	0.071078431372549	0.078479475204599	0.0565112270865275	-0.0564071228033055	0.208333333333333	-0.184960358611711	0.0735294117647059	0.475490196078431	0.213366073212504	0.318627450980392	0.139044041447583	0.477697316473861	0.0490196078431373	-0.053921568627451	0.105651424553073	0.308823529411765	0.17156862745098	0.534313725490196	0.583333333333333
Chitinophaga	0.500306654429319	0.180257544610563	0.645003186837798	0.34947891302048	0.473329334827738	0.267320712415665	0.241569634614156	0.481913027428241	0.522379006830612	0.629062043436864	0.694052858840673	0.270999437815881	0.5272839740309	0.583691096834205	0.104230553006108	0.385039925222564	0.0208461106012216	1	0.267320712415665	-0.0919681350053895	0.103004311206036	0.522379006830612	0.657265604838517	0.5272839740309	0.709994002241607	0.854690534650086	0.803067484662577	0.400738235017481	0.0760736196319018	0.212139831412432	0.655778152045823	0.700184067841032	0.375229990821989	0.551533742331288	0.354383880220767	0.72322177217115	0.552344337965105	0.705089035041319	0.714898969441894	0.527351849148771	0.181483786410635	0.678111715439738	0.169221368409917	0.431637113625295
Hyphomicrobium	0.25	-0.0490196078431373	-0.102941176470588	0.367647058823529	-0.0514705882352941	0.247549019607843	0.186274509803922	0.254901960784314	0.470588235294118	0.458333333333333	0.186274509803922	0.254901960784314	0.0906862745098039	0.365196078431373	0.757352941176471	0.448529411764706	0.316176470588235	0.267320712415665	1	0.276960784313726	0.0735294117647059	0.727941176470588	0.299019607843137	0.0367647058823529	0.338235294117647	0.0269607843137255	0.412017244824145	0.459460846312202	0.410791003024073	0.571078431372549	0.30703419529544	0.392156862745098	0.830882352941177	0.546903842832049	0.696078431372549	0.182886757219344	0.145963068922569	0.299019607843137	0.149509803921569	0.385750550112383	0.159313725490196	0.117647058823529	-0.0465686274509804	0.0147058823529412
Iamia	0.377450980392157	-0.129901960784314	0.286764705882353	0.387254901960784	0.28921568627451	0.276960784313726	0.517156862745098	0.360294117647059	-0.0931372549019608	0.230392156862745	-0.0906862745098039	0.389705882352941	0.330882352941177	0.269607843137255	0.286764705882353	0.350490196078431	0.433823529411765	-0.0919681350053895	0.276960784313726	1	0.406862745098039	0.183823529411765	0.355392156862745	0.264705882352941	-0.0343137254901961	-0.0980392156862745	-0.00122624180007186	0.56019825111862	0.239117151014013	0.242647058823529	0.199757187300647	0.105392156862745	0.323529411764706	0.359288847421055	-0.0784313725490196	-0.258045698542362	-0.191078926589545	0.365196078431373	0.110294117647059	0.184275740499546	0.343137254901961	-0.362745098039216	-0.0147058823529412	0.0416666666666667
