Rownames,MicrobiomeLoad,Treatment,Genotype,Site,Micro,Group
Fun2DWYJ02,50.40350114,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ03,70.82635061,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ04,94.25293601,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ05,93.58062551,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ06,65.80698504,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ07,116.0451718,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ08,96.1577696,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ09,49.01163129,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ10,63.82132571,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ11,76.85874909,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ12,53.70818424,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ13,57.79105468,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ14,78.98003436,dry,WYJ,AH,Bac,AHBAC
Fun2DWYJ15,77.96578231,dry,WYJ,AH,Bac,AHBAC
Fun2WWYJ01,90.68790217,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ02,67.29084504,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ03,42.81649995,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ05,38.48002456,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ06,52.11580685,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ07,107.0864141,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ08,60.05542195,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ09,38.77279238,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ12,39.27373229,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ13,77.09263373,wet,WYJ,AH,Bac,AHBAC
Fun2WWYJ15,53.92430656,wet,WYJ,AH,Bac,AHBAC
FunDMH6301,103.7941583,dry,MH63,HN,Bac,HNBAC
FunDMH6302,522.1830433,dry,MH63,HN,Bac,HNBAC
FunDMH6303,204.3822665,dry,MH63,HN,Bac,HNBAC
FunDMH6304,94.19988068,dry,MH63,HN,Bac,HNBAC
FunDMH6305,197.1794969,dry,MH63,HN,Bac,HNBAC
FunDMH6306,147.8507768,dry,MH63,HN,Bac,HNBAC
FunDMH6307,225.9498069,dry,MH63,HN,Bac,HNBAC
FunDMH6308,265.9649312,dry,MH63,HN,Bac,HNBAC
FunDMH6309,137.7161952,dry,MH63,HN,Bac,HNBAC
FunDMH6310,110.7856189,dry,MH63,HN,Bac,HNBAC
FunDMH6311,104.041837,dry,MH63,HN,Bac,HNBAC
FunDMH6312,100.6751375,dry,MH63,HN,Bac,HNBAC
FunDMH6313,368.0109324,dry,MH63,HN,Bac,HNBAC
FunDMH6314,306.8398115,dry,MH63,HN,Bac,HNBAC
FunDMH6315,309.895048,dry,MH63,HN,Bac,HNBAC
FunWMH6302,112.9307475,wet,MH63,HN,Bac,HNBAC
FunWMH6303,126.3742971,wet,MH63,HN,Bac,HNBAC
FunWMH6304,116.5744893,wet,MH63,HN,Bac,HNBAC
FunWMH6305,82.23674381,wet,MH63,HN,Bac,HNBAC
FunWMH6306,82.14139587,wet,MH63,HN,Bac,HNBAC
FunWMH6308,83.14950045,wet,MH63,HN,Bac,HNBAC
FunWMH6309,93.89908831,wet,MH63,HN,Bac,HNBAC
FunWMH6310,74.84460701,wet,MH63,HN,Bac,HNBAC
FunWMH6311,96.77040115,wet,MH63,HN,Bac,HNBAC
FunWMH6312,92.65320334,wet,MH63,HN,Bac,HNBAC
FunWMH6313,136.1290922,wet,MH63,HN,Bac,HNBAC
FunWMH6314,136.3104245,wet,MH63,HN,Bac,HNBAC
FunWMH6315,56.31242295,wet,MH63,HN,Bac,HNBAC
FunDWYJ01,636.8147632,dry,WYJ,HN,Bac,HNBAC
FunDWYJ03,396.7974623,dry,WYJ,HN,Bac,HNBAC
FunDWYJ04,402.9792935,dry,WYJ,HN,Bac,HNBAC
FunDWYJ06,606.8554241,dry,WYJ,HN,Bac,HNBAC
FunDWYJ08,290.9504314,dry,WYJ,HN,Bac,HNBAC
FunDWYJ09,166.3821651,dry,WYJ,HN,Bac,HNBAC
FunDWYJ11,478.3421348,dry,WYJ,HN,Bac,HNBAC
FunDWYJ12,312.3798999,dry,WYJ,HN,Bac,HNBAC
FunDWYJ13,366.9319502,dry,WYJ,HN,Bac,HNBAC
FunDWYJ14,215.1833411,dry,WYJ,HN,Bac,HNBAC
FunDWYJ15,390.7859096,dry,WYJ,HN,Bac,HNBAC
FunWWYJ01,144.9637462,wet,WYJ,HN,Bac,HNBAC
FunWWYJ02,95.52926111,wet,WYJ,HN,Bac,HNBAC
FunWWYJ03,83.07672727,wet,WYJ,HN,Bac,HNBAC
FunWWYJ04,58.00635549,wet,WYJ,HN,Bac,HNBAC
FunWWYJ05,103.8018092,wet,WYJ,HN,Bac,HNBAC
FunWWYJ06,67.85892382,wet,WYJ,HN,Bac,HNBAC
FunWWYJ08,71.68858529,wet,WYJ,HN,Bac,HNBAC
FunWWYJ09,82.83902669,wet,WYJ,HN,Bac,HNBAC
FunWWYJ10,117.6510231,wet,WYJ,HN,Bac,HNBAC
FunWWYJ11,100.4699674,wet,WYJ,HN,Bac,HNBAC
FunWWYJ12,93.25634817,wet,WYJ,HN,Bac,HNBAC
FunWWYJ13,102.4439176,wet,WYJ,HN,Bac,HNBAC
FunWWYJ15,47.09864679,wet,WYJ,HN,Bac,HNBAC
